# Tiempo [s], Voltage [V], Corriente [A]
#  Vpos=5, Vneg=5, stepPos=0.1, stepNeg=0.1, rev=0, hslV=0.3, hslF=1, cycles=3, T=0.25, pw=0.025, limitI=0.0005, rangeI=1e-08, limitV=0.5, rangeV=20, nlpc=0.01
0.000000000000000000e+00,3.002670000000000061e-01,5.919219999999999749e-10
2.038729999999999987e-01,1.000219999999999998e-01,-3.524059999999999926e-10
4.538730000000000264e-01,3.003730000000000011e-01,1.897919999999999997e-09
7.038729999999999709e-01,2.000139999999999973e-01,1.010889999999999947e-11
9.538729999999999709e-01,3.004459999999999908e-01,2.177140000000000197e-09
1.203869999999999996e+00,3.003730000000000011e-01,1.028810000000000090e-09
1.453869999999999996e+00,3.004780000000000229e-01,1.924279999999999894e-09
1.703869999999999996e+00,4.002600000000000047e-01,2.166520000000000083e-09
1.953869999999999996e+00,3.003239999999999799e-01,1.459750000000000051e-09
2.203870000000000218e+00,5.005920000000000369e-01,3.461470000000000042e-09
2.453870000000000218e+00,3.004700000000000149e-01,1.066639999999999948e-09
2.703870000000000218e+00,6.004469999999999530e-01,4.784880000000000128e-09
2.953870000000000218e+00,3.003890000000000171e-01,9.238479999999999514e-10
3.203870000000000218e+00,7.004320000000000546e-01,6.763650000000000316e-09
3.453870000000000218e+00,3.005019999999999913e-01,8.762480000000000330e-10
3.703870000000000218e+00,8.006109999999999616e-01,8.431299999999999205e-09
3.953870000000000218e+00,3.004209999999999936e-01,8.294940000000000309e-10
4.203870000000000218e+00,9.005779999999999896e-01,9.480190000000000533e-09
4.453870000000000218e+00,3.005349999999999966e-01,7.916690000000000090e-10
4.703870000000000218e+00,1.000680000000000014e+00,1.049929999999999992e-08
4.953870000000000218e+00,3.005019999999999913e-01,7.767919999999999786e-10
5.203870000000000218e+00,1.100589999999999957e+00,1.183169999999999999e-08
5.453870000000000218e+00,3.004939999999999833e-01,7.470490000000000121e-10
5.703870000000000218e+00,1.200760000000000050e+00,1.322860000000000041e-08
5.953870000000000218e+00,3.004700000000000149e-01,7.330180000000000013e-10
6.203870000000000218e+00,1.300529999999999964e+00,1.469570000000000003e-08
6.453870000000000218e+00,3.004539999999999988e-01,7.113459999999999959e-10
6.703870000000000218e+00,1.400740000000000096e+00,1.575519999999999870e-08
6.953870000000000218e+00,3.004370000000000096e-01,6.871220000000000184e-10
7.203870000000000218e+00,1.500520000000000076e+00,1.724259999999999917e-08
7.453870000000000218e+00,3.003000000000000114e-01,6.824490000000000491e-10
7.703870000000000218e+00,1.600789999999999935e+00,1.885169999999999933e-08
7.953870000000000218e+00,3.004129999999999856e-01,6.692769999999999626e-10
8.203870000000000218e+00,1.700639999999999930e+00,2.037570000000000027e-08
8.453870000000000218e+00,3.005909999999999971e-01,6.543990000000000271e-10
8.703870000000000218e+00,1.800950000000000051e+00,2.216319999999999890e-08
8.953870000000000218e+00,3.004290000000000016e-01,6.340030000000000077e-10
9.203870000000000218e+00,1.900900000000000034e+00,2.441440000000000122e-08
9.453870000000000218e+00,3.003970000000000251e-01,6.097790000000000302e-10
9.703870000000000218e+00,2.000690000000000079e+00,2.643480000000000057e-08
9.953870000000000218e+00,3.007290000000000241e-01,6.152990000000000277e-10
1.020390000000000086e+01,2.103060000000000151e+00,2.879729999999999939e-08
1.045390000000000086e+01,3.003399999999999959e-01,6.025549999999999939e-10
1.070390000000000086e+01,2.203699999999999992e+00,3.123209999999999682e-08
1.095390000000000086e+01,3.004700000000000149e-01,5.915050000000000166e-10
1.120390000000000086e+01,2.303479999999999972e+00,3.373699999999999961e-08
1.145390000000000086e+01,3.003640000000000199e-01,5.804540000000000306e-10
1.170390000000000086e+01,2.402690000000000214e+00,3.655250000000000256e-08
1.195390000000000086e+01,3.003239999999999799e-01,5.728010000000000365e-10
1.220390000000000086e+01,2.503699999999999815e+00,3.943689999999999892e-08
1.245390000000000086e+01,3.003890000000000171e-01,5.562309999999999582e-10
1.270390000000000086e+01,2.603839999999999932e+00,4.319339999999999686e-08
1.295390000000000086e+01,3.004049999999999776e-01,5.553720000000000339e-10
1.320390000000000086e+01,2.705130000000000035e+00,4.772600000000000001e-08
1.345390000000000086e+01,3.004539999999999988e-01,5.443219999999999532e-10
1.370390000000000086e+01,2.803980000000000139e+00,5.364139999999999883e-08
1.395390000000000086e+01,3.004859999999999753e-01,5.375269999999999782e-10
1.420390000000000086e+01,2.905629999999999935e+00,5.542639999999999794e-08
1.445390000000000086e+01,3.004209999999999936e-01,5.396489999999999839e-10
1.470390000000000086e+01,3.004189999999999916e+00,6.157470000000000410e-08
1.495390000000000086e+01,3.005189999999999806e-01,5.609040000000000309e-10
1.520390000000000086e+01,3.104909999999999837e+00,6.819440000000000348e-08
1.545390000000000086e+01,3.000530000000000141e-01,5.621200000000000193e-10
1.570390000000000086e+01,3.201519999999999921e+00,8.407940000000000312e-08
1.595390000000000086e+01,2.999640000000000084e-01,5.493759999999999855e-10
1.620390000000000086e+01,3.300339999999999829e+00,8.090120000000000183e-08
1.645390000000000086e+01,3.001099999999999879e-01,5.676510000000000077e-10
1.670390000000000086e+01,3.400599999999999845e+00,8.146799999999999867e-08
1.695390000000000086e+01,3.000289999999999901e-01,5.540489999999999548e-10
1.720390000000000086e+01,3.500070000000000014e+00,8.719560000000000028e-08
1.745390000000000086e+01,3.000369999999999981e-01,5.502220000000000052e-10
1.770459999999999923e+01,3.600979999999999848e+00,4.472820000000000211e-07
1.799930000000000163e+01,3.002719999999999834e-01,7.683040000000000592e-11
1.820459999999999923e+01,3.703409999999999869e+00,5.899600000000000232e-07
1.849930000000000163e+01,2.997859999999999969e-01,-1.437189999999999873e-10
1.870459999999999923e+01,3.801940000000000097e+00,5.729119999999999622e-07
1.899930000000000163e+01,3.000289999999999901e-01,-1.284119999999999904e-10
1.920459999999999923e+01,3.901269999999999794e+00,6.468010000000000225e-07
