# Tiempo [s], Voltage [V], Corriente [A]
#  Vpos=5, Vneg=5, stepPos=0.1, stepNeg=0.1, rev=0, hslV=0.3, hslF=1, cycles=1, T=0.25, pw=0.025, limitI=0.0005, rangeI=1e-08, limitV=0.5, rangeV=20, nlpc=0.01
0.000000000000000000e+00,3.003700000000000259e-01,3.751239999999999913e-07
2.487800000000000011e-01,1.000029999999999947e-01,1.243360000000000090e-07
4.987800000000000011e-01,3.002159999999999829e-01,6.675260000000000443e-07
7.487800000000000011e-01,2.000409999999999966e-01,2.595619999999999786e-07
9.987800000000000011e-01,3.002250000000000196e-01,3.933239999999999822e-07
1.248780000000000001e+00,3.002409999999999801e-01,3.840200000000000201e-07
1.498780000000000001e+00,3.000220000000000109e-01,6.849510000000000299e-07
1.748780000000000001e+00,4.003189999999999804e-01,4.856030000000000371e-07
1.998780000000000001e+00,3.002330000000000276e-01,4.058740000000000251e-07
2.249519999999999964e+00,5.003239999999999910e-01,1.172080000000000050e-06
2.499499999999999833e+00,3.001599999999999824e-01,3.878369999999999808e-07
2.749490000000000212e+00,6.003049999999999775e-01,1.465359999999999934e-06
2.999499999999999833e+00,2.999169999999999892e-01,3.938370000000000080e-07
3.249499999999999833e+00,7.004399999999999515e-01,2.087740000000000191e-06
3.499499999999999833e+00,3.002569999999999961e-01,4.288079999999999842e-07
3.749519999999999964e+00,8.004050000000000331e-01,2.027569999999999884e-06
3.999499999999999833e+00,3.002409999999999801e-01,9.337659999999999719e-07
4.249500000000000277e+00,9.003130000000000299e-01,1.269479999999999956e-06
4.499500000000000277e+00,3.000539999999999874e-01,3.790499999999999961e-07
4.749509999999999899e+00,1.000429999999999930e+00,1.398559999999999998e-06
4.999500000000000277e+00,3.001269999999999771e-01,3.484559999999999804e-07
5.249500000000000277e+00,1.100360000000000005e+00,1.653609999999999995e-06
5.499500000000000277e+00,3.000300000000000189e-01,2.942630000000000192e-07
5.749500000000000277e+00,1.200450000000000017e+00,2.091820000000000159e-06
5.999500000000000277e+00,3.001030000000000086e-01,2.352049999999999942e-07
6.249520000000000408e+00,1.300429999999999975e+00,6.855140000000000066e-06
6.499509999999999899e+00,3.001429999999999931e-01,1.487950000000000033e-07
6.749520000000000408e+00,1.400619999999999976e+00,2.619889999999999831e-06
6.999500000000000277e+00,3.000950000000000006e-01,1.565819999999999922e-07
7.249500000000000277e+00,1.500429999999999930e+00,1.394629999999999936e-06
7.499500000000000277e+00,3.001349999999999851e-01,1.663730000000000036e-07
7.749500000000000277e+00,1.600530000000000008e+00,1.797840000000000010e-06
7.999500000000000277e+00,3.002489999999999881e-01,2.451019999999999934e-07
8.249499999999999389e+00,1.700490000000000057e+00,1.281629999999999916e-06
8.499499999999999389e+00,2.999809999999999977e-01,1.494030000000000045e-07
8.749980000000000757e+00,1.800450000000000106e+00,5.001969999999999816e-05
8.999489999999999768e+00,2.999809999999999977e-01,8.327010000000000764e-06
9.249299999999999855e+00,1.900339999999999918e+00,4.936630000000000201e-05
9.499489999999999768e+00,3.003219999999999779e-01,1.615010000000000060e-06
9.749779999999999447e+00,2.000430000000000152e+00,4.083110000000000146e-04
9.999299999999999855e+00,3.003700000000000259e-01,4.479959999999999710e-05
1.024929999999999986e+01,2.103050000000000086e+00,4.628650000000000212e-04
1.049929999999999986e+01,3.002650000000000041e-01,4.869300000000000288e-05
1.074929999999999986e+01,2.203199999999999825e+00,7.548309999999999699e-04
1.099929999999999986e+01,3.001920000000000144e-01,6.465320000000000637e-05
1.124980000000000047e+01,2.300380000000000091e+00,1.266399999999999991e-03
1.149929999999999986e+01,3.002730000000000121e-01,9.691480000000000255e-05
1.174980000000000047e+01,2.401310000000000056e+00,1.339329999999999904e-03
1.199929999999999986e+01,3.003060000000000174e-01,9.438570000000000672e-05
1.224980000000000047e+01,2.500080000000000080e+00,1.730540000000000030e-03
1.249929999999999986e+01,3.001110000000000166e-01,1.113919999999999933e-04
1.274929999999999986e+01,2.600290000000000212e+00,1.830449999999999959e-03
1.299929999999999986e+01,3.002330000000000276e-01,1.110140000000000047e-04
1.324929999999999986e+01,2.699850000000000083e+00,1.955409999999999874e-03
1.349929999999999986e+01,3.001519999999999744e-01,1.136419999999999938e-04
1.374929999999999986e+01,2.800860000000000127e+00,2.127930000000000099e-03
1.399929999999999986e+01,3.000539999999999874e-01,1.157439999999999950e-04
1.424929999999999986e+01,2.901279999999999859e+00,2.309540000000000117e-03
1.449929999999999986e+01,3.001269999999999771e-01,1.241000000000000078e-04
1.474929999999999986e+01,3.002209999999999823e+00,2.535229999999999862e-03
1.499929999999999986e+01,3.003060000000000174e-01,1.278320000000000053e-04
1.524929999999999986e+01,3.102209999999999912e+00,2.682459999999999792e-03
1.549929999999999986e+01,3.001599999999999824e-01,1.301100000000000130e-04
1.574929999999999986e+01,3.201119999999999965e+00,2.790019999999999827e-03
1.599980000000000047e+01,3.001670000000000171e-01,1.290730000000000024e-04
1.624930000000000163e+01,3.298859999999999904e+00,2.924490000000000076e-03
1.649930000000000163e+01,3.001019999999999799e-01,1.325820000000000123e-04
1.674930000000000163e+01,3.399350000000000094e+00,3.083380000000000148e-03
1.699930000000000163e+01,3.000700000000000034e-01,1.325710000000000018e-04
1.724930000000000163e+01,3.499830000000000219e+00,3.354769999999999974e-03
1.749930000000000163e+01,2.999319999999999764e-01,1.391359999999999906e-04
1.774930000000000163e+01,3.599600000000000133e+00,3.598539999999999899e-03
1.799930000000000163e+01,3.000289999999999901e-01,1.416479999999999964e-04
1.824930000000000163e+01,3.700009999999999799e+00,3.794500000000000130e-03
1.849930000000000163e+01,3.000780000000000114e-01,1.438619999999999992e-04
