# Tiempo [s], Voltage [V], Corriente [A]
#  Vpos=5, Vneg=5, stepPos=0.1, stepNeg=0.1, rev=0, hslV=0.3, hslF=1, cycles=1, T=0.25, pw=0.025, limitI=0.0005, rangeI=1e-08, limitV=0.5, rangeV=20, nlpc=0.01
0.000000000000000000e+00,3.002349999999999741e-01,2.670829999999999889e-06
2.499750000000000028e-01,9.993680000000000618e-02,9.256630000000000217e-07
4.999990000000000268e-01,3.001860000000000084e-01,2.919620000000000093e-06
7.492480000000000251e-01,1.999150000000000094e-01,1.773119999999999932e-06
9.992480000000000251e-01,3.002909999999999746e-01,2.833309999999999898e-06
1.249249999999999972e+00,3.002259999999999929e-01,2.726820000000000008e-06
1.499249999999999972e+00,3.001619999999999844e-01,2.779029999999999971e-06
1.749249999999999972e+00,4.000759999999999872e-01,4.804419999999999818e-06
1.999249999999999972e+00,3.002179999999999849e-01,3.332379999999999933e-06
2.249249999999999972e+00,5.004429999999999712e-01,6.669330000000000230e-06
2.499249999999999972e+00,3.003560000000000119e-01,3.502540000000000181e-06
2.749249999999999972e+00,6.002760000000000318e-01,7.779729999999999797e-06
2.999249999999999972e+00,3.003560000000000119e-01,3.862329999999999831e-06
3.249249999999999972e+00,7.001979999999999871e-01,8.509350000000000106e-06
3.499249999999999972e+00,3.001050000000000106e-01,3.116259999999999874e-06
3.749249999999999972e+00,8.003069999999999906e-01,9.991649999999999450e-06
3.999249999999999972e+00,3.003640000000000199e-01,3.073000000000000055e-06
4.249780000000000335e+00,9.001970000000000249e-01,3.195719999999999957e-05
4.499249999999999972e+00,3.002020000000000244e-01,1.144620000000000063e-05
4.749249999999999972e+00,1.000510000000000010e+00,2.801440000000000066e-05
4.999970000000000248e+00,2.998939999999999939e-01,8.113180000000000814e-06
5.249769999999999825e+00,1.099380000000000024e+00,1.707930000000000095e-05
5.499959999999999738e+00,2.999100000000000099e-01,5.037199999999999816e-06
5.749769999999999825e+00,1.200320000000000054e+00,2.374899999999999911e-05
