# Tiempo [s], Voltage [V], Corriente [A]
#  Vpos=0.4, Vneg=0.4, stepPos=0.008, stepNeg=0.008, rev=0, hslV=0, hslF=0, cycles=1, T=0.5, pw=0.05, limitI=0.0005, rangeI=0.0001, limitV=0.5, rangeV=20, nlpc=0.001
0.000000000000000000e+00,7.565709999999999796e-03,6.007669999999999691e-07
5.000010000000000288e-01,1.610620000000000107e-02,1.547730000000000003e-06
1.000000000000000000e+00,2.340340000000000129e-02,2.265390000000000091e-06
1.500000000000000000e+00,3.213839999999999753e-02,3.042500000000000093e-06
2.000000000000000000e+00,3.960860000000000075e-02,3.836580000000000120e-06
2.500000000000000000e+00,4.766249999999999654e-02,4.749579999999999679e-06
3.000000000000000000e+00,5.597599999999999798e-02,5.522440000000000103e-06
3.500000000000000000e+00,6.386780000000000235e-02,6.405700000000000350e-06
4.000000000000000000e+00,7.178120000000000334e-02,7.276240000000000150e-06
4.500000000000000000e+00,8.010539999999999328e-02,8.286889999999999529e-06
5.000000000000000000e+00,8.819180000000000075e-02,9.301810000000000308e-06
5.500000000000000000e+00,9.546739999999999393e-02,1.028699999999999993e-05
6.000000000000000000e+00,1.045159999999999978e-01,1.130189999999999931e-05
6.500000000000000000e+00,1.118460000000000010e-01,1.244839999999999926e-05
7.000000000000000000e+00,1.207430000000000031e-01,1.383280000000000078e-05
7.500000000000000000e+00,1.278019999999999989e-01,1.483920000000000016e-05
8.000000000000000000e+00,1.361479999999999912e-01,1.610469999999999846e-05
8.500000000000000000e+00,1.440609999999999946e-01,1.748049999999999975e-05
9.000000000000000000e+00,1.519749999999999990e-01,1.872899999999999974e-05
9.500000000000000000e+00,1.604399999999999993e-01,2.021519999999999917e-05
1.000000000000000000e+01,1.681259999999999977e-01,2.159110000000000068e-05
1.050000000000000000e+01,1.762990000000000113e-01,2.322179999999999847e-05
1.100000000000000000e+01,1.836929999999999952e-01,2.459759999999999977e-05
1.150000000000000000e+01,1.918880000000000030e-01,2.629620000000000075e-05
1.200000000000000000e+01,1.999849999999999961e-01,2.811790000000000060e-05
1.250000000000000000e+01,2.086230000000000029e-01,2.974859999999999839e-05
1.300000000000000000e+01,2.159169999999999978e-01,3.147270000000000108e-05
1.350000000000000000e+01,2.235020000000000062e-01,3.330290000000000263e-05
1.400000000000000000e+01,2.318649999999999878e-01,3.508220000000000099e-05
1.450000000000000000e+01,2.402279999999999971e-01,3.697609999999999992e-05
1.500000000000000000e+01,2.471329999999999916e-01,3.901859999999999942e-05
1.550000000000000000e+01,2.561760000000000148e-01,4.114610000000000234e-05
1.600000000000000000e+01,2.658920000000000172e-01,4.321020000000000178e-05
1.650000000000000000e+01,2.739659999999999873e-01,4.530310000000000337e-05
1.700000000000000000e+01,2.812620000000000120e-01,4.747659999999999874e-05
1.750000000000000000e+01,2.896279999999999966e-01,4.973509999999999753e-05
1.800000000000000000e+01,2.980909999999999949e-01,5.195540000000000065e-05
1.850000000000000000e+01,3.036360000000000170e-01,5.423509999999999849e-05
1.900000000000000000e+01,3.119040000000000146e-01,5.654450000000000047e-05
1.950000000000000000e+01,3.217289999999999872e-01,5.876899999999999925e-05
2.000000000000000000e+01,3.274690000000000101e-01,6.118879999999999935e-05
2.050000000000000000e+01,3.368070000000000230e-01,6.378259999999999475e-05
2.100000000000000000e+01,3.465349999999999819e-01,6.629159999999999393e-05
2.150000000000000000e+01,3.529559999999999920e-01,6.905949999999999838e-05
2.200000000000000000e+01,3.610300000000000176e-01,7.169999999999999453e-05
2.250000000000000000e+01,3.682279999999999998e-01,7.421320000000000293e-05
2.300000000000000000e+01,3.773730000000000140e-01,7.675610000000000191e-05
2.350000000000000000e+01,3.858360000000000123e-01,7.966839999999999773e-05
2.400000000000000000e+01,3.937149999999999817e-01,8.246170000000000366e-05
2.450000000000000000e+01,3.996489999999999765e-01,8.537399999999999948e-05
2.500000000000000000e+01,3.944929999999999826e-01,8.252120000000000538e-05
2.550000000000000000e+01,3.828199999999999936e-01,7.977029999999999755e-05
2.600000000000000000e+01,3.779560000000000142e-01,7.718489999999999347e-05
2.650000000000000000e+01,3.679370000000000140e-01,7.414950000000000555e-05
2.700000000000000000e+01,3.591809999999999725e-01,7.152170000000000337e-05
2.750000000000000000e+01,3.538310000000000066e-01,6.901279999999999763e-05
2.800000000000000000e+01,3.445900000000000074e-01,6.658879999999999509e-05
2.850000000000000000e+01,3.386560000000000126e-01,6.386330000000000229e-05
2.900000000000000000e+01,3.280529999999999835e-01,6.119729999999999766e-05
2.950000000000000000e+01,3.228969999999999896e-01,5.916810000000000022e-05
3.000000000000000000e+01,3.136550000000000171e-01,5.642140000000000160e-05
3.050000000000000000e+01,3.049000000000000044e-01,5.426060000000000019e-05
3.100000000000000000e+01,2.960479999999999778e-01,5.160730000000000308e-05
3.150000000000000000e+01,2.888490000000000224e-01,4.960350000000000035e-05
3.200000000000000000e+01,2.796819999999999862e-01,4.738780000000000054e-05
3.250000000000000000e+01,2.702470000000000150e-01,4.515080000000000146e-05
3.300000000000000000e+01,2.639239999999999919e-01,4.307080000000000104e-05
3.350000000000000000e+01,2.571149999999999824e-01,4.116909999999999857e-05
3.400000000000000000e+01,2.477769999999999972e-01,3.919520000000000041e-05
3.450000000000000000e+01,2.392179999999999862e-01,3.708550000000000263e-05
3.500000000000000000e+01,2.336729999999999918e-01,3.534079999999999882e-05
3.550000000000000000e+01,2.238489999999999924e-01,3.345179999999999709e-05
3.600000000000000000e+01,2.163589999999999958e-01,3.164350000000000290e-05
3.650000000000000000e+01,2.071189999999999976e-01,2.968660000000000136e-05
3.700000000000000000e+01,2.000669999999999948e-01,2.801410000000000000e-05
3.750000000000000000e+01,1.916329999999999978e-01,2.633320000000000056e-05
3.800000000000000000e+01,1.841389999999999971e-01,2.491960000000000109e-05
3.850000000000000000e+01,1.759749999999999925e-01,2.324290000000000069e-05
3.900000000000000000e+01,1.682869999999999922e-01,2.173170000000000066e-05
3.950000000000000000e+01,1.607929999999999915e-01,2.029269999999999970e-05
4.000000000000000000e+01,1.516230000000000078e-01,1.886210000000000021e-05
4.050000000000000000e+01,1.442380000000000051e-01,1.762259999999999963e-05
4.100000000000000000e+01,1.358139999999999903e-01,1.604349999999999979e-05
4.150000000000000000e+01,1.266879999999999951e-01,1.474459999999999940e-05
4.200000000000000000e+01,1.198970000000000036e-01,1.385740000000000051e-05
4.250000000000000000e+01,1.121980000000000061e-01,1.252450000000000011e-05
4.300000000000000000e+01,1.037200000000000066e-01,1.127649999999999952e-05
4.350000000000000000e+01,9.586959999999999926e-02,1.046999999999999971e-05
4.400000000000000000e+01,8.814890000000000225e-02,9.306870000000000222e-06
