# Tiempo [s], Voltage [V], Corriente [A]
#  Vpos=7, Vneg=7, stepPos=0.07, stepNeg=0.07, rev=0, hslV=0.4, hslF=1, cycles=2, T=0.25, pw=0.025, limitI=0.0005, rangeI=1e-08, limitV=0.5, rangeV=20, nlpc=0.01
0.000000000000000000e+00,4.000759999999999872e-01,7.903579999999999812e-11
2.038679999999999937e-01,6.992379999999999429e-02,-1.026389999999999951e-11
4.538679999999999937e-01,4.003109999999999724e-01,5.352499999999999740e-11
7.038680000000000492e-01,1.400139999999999996e-01,7.164479999999999780e-12
9.538680000000000492e-01,4.002140000000000142e-01,5.352499999999999740e-11
1.203869999999999996e+00,2.102849999999999997e-01,1.184940000000000078e-11
1.453869999999999996e+00,4.000600000000000267e-01,5.564689999999999708e-11
1.703869999999999996e+00,2.800819999999999976e-01,2.927779999999999789e-11
1.953869999999999996e+00,4.003030000000000199e-01,5.394220000000000011e-11
2.203870000000000218e+00,3.500659999999999883e-01,3.949399999999999953e-11
2.453870000000000218e+00,4.000679999999999792e-01,5.097390000000000194e-11
2.703870000000000218e+00,4.200010000000000132e-01,5.480049999999999858e-11
2.953870000000000218e+00,4.000839999999999952e-01,5.394220000000000011e-11
3.203870000000000218e+00,4.902679999999999816e-01,6.330009999999999682e-11
3.453870000000000218e+00,4.001569999999999849e-01,4.799369999999999733e-11
3.703870000000000218e+00,5.601949999999999985e-01,7.860660000000000233e-11
3.953870000000000218e+00,4.000839999999999952e-01,5.564689999999999708e-11
4.203870000000000218e+00,6.303010000000000002e-01,9.094480000000000321e-11
4.453870000000000218e+00,4.000279999999999947e-01,5.054469999999999969e-11
4.703870000000000218e+00,7.001060000000000061e-01,1.126289999999999944e-10
4.953870000000000218e+00,4.001410000000000244e-01,5.480049999999999858e-11
5.203870000000000218e+00,7.700339999999999963e-01,1.228330000000000038e-10
5.453870000000000218e+00,4.000119999999999787e-01,4.714729999999999884e-11
5.703870000000000218e+00,8.401710000000000012e-01,1.432420000000000054e-10
5.953870000000000218e+00,4.000600000000000267e-01,4.884000000000000273e-11
6.203870000000000218e+00,9.104379999999999695e-01,1.602529999999999893e-10
6.453870000000000218e+00,4.001089999999999924e-01,4.118680000000000298e-11
6.703870000000000218e+00,9.801870000000000305e-01,1.798149999999999886e-10
6.953870000000000218e+00,4.001089999999999924e-01,4.289149999999999995e-11
7.203870000000000218e+00,1.050410000000000066e+00,2.083059999999999939e-10
7.453870000000000218e+00,3.998990000000000045e-01,4.373789999999999844e-11
7.703870000000000218e+00,1.120130000000000070e+00,2.397780000000000068e-10
7.953870000000000218e+00,4.001410000000000244e-01,4.246229999999999770e-11
8.203870000000000218e+00,1.190059999999999896e+00,2.576350000000000104e-10
8.453870000000000218e+00,4.001250000000000084e-01,4.118680000000000298e-11
8.703870000000000218e+00,1.260320000000000107e+00,3.078099999999999948e-10
8.953870000000000218e+00,4.000040000000000262e-01,3.949399999999999953e-11
9.203870000000000218e+00,1.330319999999999947e+00,5.706070000000000335e-10
9.453870000000000218e+00,4.001739999999999742e-01,4.671810000000000305e-11
9.703870000000000218e+00,1.400320000000000009e+00,5.740170000000000248e-10
9.953870000000000218e+00,4.001330000000000164e-01,4.501339999999999962e-11
1.020390000000000086e+01,1.470480000000000009e+00,6.335500000000000508e-10
1.045390000000000086e+01,4.001569999999999849e-01,3.949399999999999953e-11
1.070390000000000086e+01,1.540450000000000097e+00,6.973269999999999847e-10
1.095390000000000086e+01,4.002299999999999747e-01,4.799369999999999733e-11
1.120390000000000086e+01,1.610300000000000065e+00,8.359550000000000358e-10
1.145390000000000086e+01,4.000199999999999867e-01,4.246229999999999770e-11
1.170390000000000086e+01,1.680490000000000039e+00,9.524699999999999173e-10
1.195390000000000086e+01,4.002299999999999747e-01,4.459619999999999692e-11
1.220390000000000086e+01,1.750320000000000098e+00,1.263749999999999901e-09
1.245390000000000086e+01,4.000839999999999952e-01,3.991130000000000180e-11
1.270390000000000086e+01,1.820410000000000084e+00,1.333059999999999944e-09
1.295390000000000086e+01,4.000119999999999787e-01,4.289149999999999995e-11
1.320390000000000086e+01,1.890530000000000044e+00,1.699610000000000090e-09
1.345390000000000086e+01,4.000600000000000267e-01,3.821849999999999836e-11
1.370390000000000086e+01,1.960229999999999917e+00,2.004930000000000024e-09
1.395390000000000086e+01,4.000759999999999872e-01,4.416700000000000113e-11
1.420390000000000086e+01,2.032869999999999955e+00,1.896070000000000050e-09
1.445390000000000086e+01,4.001489999999999769e-01,2.886059999999999842e-11
1.470390000000000086e+01,2.102650000000000130e+00,2.125279999999999924e-09
1.495390000000000086e+01,4.000679999999999792e-01,2.332930000000000158e-11
1.520390000000000086e+01,2.172200000000000131e+00,3.327429999999999955e-09
1.545390000000000086e+01,3.999829999999999774e-01,4.373789999999999844e-11
1.570390000000000086e+01,2.239160000000000039e+00,2.981880000000000047e-09
1.595390000000000086e+01,3.999420000000000197e-01,4.246229999999999770e-11
1.620390000000000086e+01,2.309499999999999886e+00,3.731080000000000313e-09
1.645390000000000086e+01,3.998940000000000272e-01,3.736019999999999988e-11
1.670390000000000086e+01,2.379340000000000011e+00,4.428419999999999893e-09
1.695390000000000086e+01,3.999670000000000170e-01,3.522630000000000066e-11
1.720390000000000086e+01,2.449679999999999858e+00,4.925910000000000002e-09
1.745390000000000086e+01,4.000230000000000175e-01,3.480909999999999796e-11
1.770390000000000086e+01,2.521240000000000148e+00,5.621960000000000302e-09
1.795390000000000086e+01,3.998209999999999820e-01,2.629759999999999974e-11
1.820390000000000086e+01,2.590720000000000134e+00,5.745700000000000125e-09
1.845390000000000086e+01,4.001120000000000232e-01,2.970700000000000014e-11
1.870390000000000086e+01,2.658189999999999831e+00,6.932850000000000104e-09
1.895390000000000086e+01,3.998780000000000112e-01,2.588030000000000070e-11
1.920390000000000086e+01,2.730980000000000185e+00,7.402710000000000382e-09
1.945390000000000086e+01,3.999260000000000037e-01,1.736879999999999926e-11
1.970390000000000086e+01,2.800240000000000062e+00,7.776029999999999254e-09
1.995390000000000086e+01,3.999510000000000010e-01,1.736879999999999926e-11
2.020390000000000086e+01,2.870010000000000172e+00,8.282450000000000490e-09
2.045390000000000086e+01,3.999019999999999797e-01,6.747249999999999952e-12
2.070390000000000086e+01,2.940929999999999822e+00,9.499379999999999926e-09
2.095390000000000086e+01,3.998450000000000060e-01,7.593629999999999825e-12
2.120390000000000086e+01,3.010260000000000158e+00,9.522340000000000020e-09
2.145390000000000086e+01,3.999510000000000010e-01,9.715560000000000659e-12
2.170390000000000086e+01,3.080680000000000085e+00,1.121290000000000044e-08
2.195390000000000086e+01,4.000639999999999752e-01,7.164479999999999780e-12
2.220390000000000086e+01,3.151450000000000085e+00,1.456519999999999929e-08
2.245390000000000086e+01,3.999989999999999934e-01,1.142029999999999971e-11
2.270390000000000086e+01,3.219419999999999948e+00,1.626729999999999903e-08
2.295390000000000086e+01,4.001359999999999917e-01,2.062320000000000042e-12
2.320390000000000086e+01,3.290560000000000151e+00,1.403499999999999961e-08
2.345390000000000086e+01,4.000389999999999779e-01,-4.315379999999999733e-12
2.370390000000000086e+01,3.359890000000000043e+00,1.573450000000000103e-08
2.395390000000000086e+01,3.999909999999999854e-01,-5.161759999999999606e-12
2.420390000000000086e+01,3.429800000000000182e+00,1.672059999999999952e-08
2.445390000000000086e+01,4.001689999999999969e-01,-1.764300000000000065e-12
2.470619999999999905e+01,3.500000000000000000e+00,1.397450000000000114e-04
2.495439999999999969e+01,3.999510000000000010e-01,1.553149999999999859e-05
2.520439999999999969e+01,3.569920000000000204e+00,1.427439999999999872e-04
2.545439999999999969e+01,4.002009999999999734e-01,1.552859999999999901e-05
2.570439999999999969e+01,3.639829999999999899e+00,1.456560000000000027e-04
2.595439999999999969e+01,3.999670000000000170e-01,1.554449999999999999e-05
2.620439999999999969e+01,3.710669999999999913e+00,1.486090000000000132e-04
2.645439999999999969e+01,3.999989999999999934e-01,1.554449999999999999e-05
2.670439999999999969e+01,3.780219999999999914e+00,1.514329999999999984e-04
2.695439999999999969e+01,3.999750000000000250e-01,1.553600000000000169e-05
2.720439999999999969e+01,3.851640000000000175e+00,1.543439999999999981e-04
2.745439999999999969e+01,4.000719999999999832e-01,1.550320000000000092e-05
2.770439999999999969e+01,3.920619999999999994e+00,1.567750000000000025e-04
2.795439999999999969e+01,4.001199999999999757e-01,1.547959999999999999e-05
2.820439999999999969e+01,3.990099999999999980e+00,1.595740000000000006e-04
2.845439999999999969e+01,3.999340000000000117e-01,1.548059999999999879e-05
2.870439999999999969e+01,4.060299999999999798e+00,1.625239999999999910e-04
2.895439999999999969e+01,4.000639999999999752e-01,1.545030000000000012e-05
2.920439999999999969e+01,4.129349999999999632e+00,1.653930000000000070e-04
2.945439999999999969e+01,4.000310000000000255e-01,1.545949999999999996e-05
2.970439999999999969e+01,4.201990000000000336e+00,1.683400000000000044e-04
2.995439999999999969e+01,4.000070000000000014e-01,1.547500000000000007e-05
3.020439999999999969e+01,4.270679999999999588e+00,1.713750000000000050e-04
3.045439999999999969e+01,3.999179999999999957e-01,1.547710000000000128e-05
3.070439999999999969e+01,4.340810000000000279e+00,1.743349999999999902e-04
3.095439999999999969e+01,4.000150000000000095e-01,1.547149999999999917e-05
3.120439999999999969e+01,4.412090000000000067e+00,1.772929999999999981e-04
3.145489999999999853e+01,4.001219999999999777e-01,1.548000000000000087e-05
3.170439999999999969e+01,4.482199999999999740e+00,1.801200000000000034e-04
3.195439999999999969e+01,4.000489999999999879e-01,1.549899999999999848e-05
3.220439999999999969e+01,4.552179999999999893e+00,1.831299999999999898e-04
3.245439999999999969e+01,4.001460000000000017e-01,1.550079999999999904e-05
3.270439999999999969e+01,4.622600000000000264e+00,1.860630000000000107e-04
3.295439999999999969e+01,4.002109999999999834e-01,1.547040000000000015e-05
3.320439999999999969e+01,4.692660000000000053e+00,1.890340000000000065e-04
3.345439999999999969e+01,3.999929999999999874e-01,1.546869999999999981e-05
3.370439999999999969e+01,4.762360000000000149e+00,1.919670000000000003e-04
3.395439999999999969e+01,4.000330000000000275e-01,1.545739999999999875e-05
3.420439999999999969e+01,4.831409999999999982e+00,1.948429999999999910e-04
3.445439999999999969e+01,4.002109999999999834e-01,1.546440000000000054e-05
3.470439999999999969e+01,4.902470000000000105e+00,1.978960000000000040e-04
3.495439999999999969e+01,4.000980000000000092e-01,1.547779999999999943e-05
3.520439999999999969e+01,4.972030000000000172e+00,2.008989999999999886e-04
3.545439999999999969e+01,3.999440000000000217e-01,1.546969999999999861e-05
3.570439999999999969e+01,5.041159999999999641e+00,2.035320000000000022e-04
3.595439999999999969e+01,4.002189999999999914e-01,1.544290000000000083e-05
3.620439999999999969e+01,5.111570000000000391e+00,2.065600000000000010e-04
3.645439999999999969e+01,4.000250000000000195e-01,1.544639999999999834e-05
3.670439999999999969e+01,5.182640000000000136e+00,2.095200000000000133e-04
3.695439999999999969e+01,4.000980000000000092e-01,1.546199999999999867e-05
3.720439999999999969e+01,5.250829999999999664e+00,2.127639999999999978e-04
3.745439999999999969e+01,4.000650000000000039e-01,1.546620000000000110e-05
3.770439999999999969e+01,5.322110000000000340e+00,2.156009999999999979e-04
3.795439999999999969e+01,3.999519999999999742e-01,1.546689999999999925e-05
3.820439999999999969e+01,5.392879999999999896e+00,2.179299999999999955e-04
3.845439999999999969e+01,4.001790000000000069e-01,1.538430000000000109e-05
3.870439999999999969e+01,5.461579999999999657e+00,2.203999999999999905e-04
3.895439999999999969e+01,4.001870000000000149e-01,1.539279999999999940e-05
3.920439999999999969e+01,5.532499999999999751e+00,2.233899999999999872e-04
3.945439999999999969e+01,3.999280000000000057e-01,1.539000000000000003e-05
3.970439999999999969e+01,5.603629999999999889e+00,2.225139999999999909e-04
3.995439999999999969e+01,4.001790000000000069e-01,1.512280000000000029e-05
4.020439999999999969e+01,5.671820000000000306e+00,2.256059999999999945e-04
4.045439999999999969e+01,3.999759999999999982e-01,1.498169999999999922e-05
4.070439999999999969e+01,5.741740000000000066e+00,2.274660000000000072e-04
4.095439999999999969e+01,3.999440000000000217e-01,1.505539999999999988e-05
4.120439999999999969e+01,5.812800000000000189e+00,2.304859999999999884e-04
4.149929999999999808e+01,4.000739999999999852e-01,-3.423450000000000208e-10
4.170620000000000260e+01,5.879990000000000272e+00,2.448069999999999890e-04
4.195439999999999969e+01,3.999759999999999982e-01,1.466550000000000045e-05
4.220439999999999969e+01,5.950759999999999827e+00,2.329920000000000081e-04
4.245439999999999969e+01,4.000650000000000039e-01,1.478859999999999932e-05
4.270439999999999969e+01,6.020459999999999923e+00,2.341710000000000048e-04
4.295439999999999969e+01,4.001219999999999777e-01,1.468700000000000016e-05
4.320439999999999969e+01,6.090300000000000047e+00,2.352370000000000112e-04
4.345439999999999969e+01,4.000569999999999959e-01,1.456839999999999929e-05
4.370439999999999969e+01,6.161369999999999791e+00,2.358360000000000100e-04
4.399989999999999668e+01,3.999679999999999902e-01,1.889419999999999987e-07
4.420559999999999690e+01,6.228699999999999903e+00,2.372829999999999980e-04
4.445439999999999969e+01,3.999039999999999817e-01,1.436020000000000017e-05
4.470439999999999969e+01,6.301490000000000258e+00,2.353350000000000092e-04
4.495439999999999969e+01,3.998880000000000212e-01,1.310739999999999922e-05
4.520439999999999969e+01,6.370029999999999859e+00,2.348980000000000133e-04
4.545439999999999969e+01,3.999119999999999897e-01,1.365469999999999989e-05
4.570439999999999969e+01,6.441390000000000171e+00,2.276740000000000025e-04
4.595439999999999969e+01,4.000009999999999954e-01,1.091869999999999932e-05
4.620439999999999969e+01,6.511009999999999742e+00,2.419350000000000070e-04
4.649929999999999808e+01,4.002029999999999754e-01,1.028529999999999963e-09
4.670620000000000260e+01,6.580280000000000129e+00,2.317850000000000043e-04
4.695439999999999969e+01,3.999199999999999977e-01,1.289809999999999938e-05
4.720439999999999969e+01,6.651419999999999888e+00,2.377699999999999952e-04
4.745490000000000208e+01,4.000029999999999974e-01,1.303910000000000023e-05
4.770439999999999969e+01,6.720379999999999576e+00,2.409979999999999989e-04
4.795439999999999969e+01,3.998900000000000232e-01,1.324269999999999943e-05
4.820439999999999969e+01,6.790440000000000254e+00,2.411430000000000051e-04
4.845439999999999969e+01,3.998419999999999752e-01,1.299500000000000009e-05
