# Tiempo [s], Voltage [V], Corriente [A]
#  Vpos=7, Vneg=7, stepPos=0.07, stepNeg=0.07, rev=0, hslV=0.4, hslF=1, cycles=5, T=0.25, pw=0.025, limitI=0.0005, rangeI=1e-08, limitV=0.5, rangeV=20, nlpc=0.01
0.000000000000000000e+00,4.003380000000000272e-01,1.002009999999999958e-06
2.488470000000000126e-01,6.993800000000000017e-02,1.215360000000000104e-07
4.981160000000000032e-01,4.003709999999999769e-01,9.936660000000000252e-07
7.481160000000000032e-01,1.399539999999999951e-01,2.612910000000000069e-07
9.981160000000000032e-01,4.003140000000000032e-01,9.854120000000000361e-07
1.248119999999999896e+00,2.104729999999999934e-01,4.297309999999999984e-07
1.498839999999999950e+00,4.002660000000000107e-01,1.003900000000000036e-06
1.748839999999999950e+00,2.803140000000000076e-01,6.336670000000000056e-07
1.998839999999999950e+00,4.003220000000000112e-01,1.047850000000000056e-06
2.248829999999999885e+00,3.502770000000000050e-01,8.124140000000000113e-07
2.498829999999999885e+00,4.004110000000000169e-01,1.021500000000000088e-06
2.748120000000000118e+00,4.204019999999999979e-01,1.075139999999999925e-06
2.998120000000000118e+00,4.002249999999999974e-01,1.024880000000000003e-06
3.248120000000000118e+00,4.905260000000000176e-01,1.296689999999999947e-06
3.498839999999999950e+00,4.002490000000000214e-01,9.927509999999999671e-07
3.748839999999999950e+00,5.606430000000000025e-01,1.581640000000000073e-06
3.998120000000000118e+00,4.003470000000000084e-01,1.007890000000000060e-06
4.248120000000000118e+00,6.305330000000000101e-01,1.931780000000000163e-06
4.498840000000000394e+00,4.002089999999999814e-01,9.614499999999999173e-07
4.748840000000000394e+00,7.002369999999999983e-01,2.244529999999999837e-06
4.998829999999999885e+00,4.001120000000000232e-01,9.949979999999999474e-07
5.248850000000000016e+00,7.704509999999999970e-01,2.555320000000000041e-06
5.498829999999999885e+00,4.002580000000000027e-01,9.889759999999999481e-07
5.748850000000000016e+00,8.405679999999999819e-01,2.870800000000000110e-06
5.998829999999999885e+00,4.003300000000000192e-01,9.641800000000001012e-07
6.248850000000000016e+00,9.105950000000000433e-01,3.216580000000000127e-06
6.498840000000000394e+00,4.002660000000000107e-01,9.838589999999999428e-07
6.748859999999999637e+00,9.806789999999999674e-01,3.764309999999999963e-06
6.998829999999999885e+00,4.003059999999999952e-01,9.419739999999999618e-07
7.248859999999999637e+00,1.050659999999999927e+00,4.283580000000000245e-06
7.498840000000000394e+00,4.003140000000000032e-01,9.314810000000000014e-07
7.748859999999999637e+00,1.120570000000000066e+00,4.748149999999999593e-06
7.998829999999999885e+00,4.003869999999999929e-01,9.573449999999998947e-07
8.248860000000000525e+00,1.190669999999999895e+00,5.254359999999999783e-06
8.498839999999999506e+00,4.002899999999999792e-01,9.229839999999999750e-07
8.748849999999999127e+00,1.260450000000000070e+00,5.809059999999999741e-06
8.998829999999999885e+00,4.002979999999999872e-01,9.308640000000000165e-07
9.248849999999999127e+00,1.330689999999999928e+00,6.409450000000000103e-06
9.498829999999999885e+00,4.003059999999999952e-01,9.405509999999999629e-07
9.748860000000000525e+00,1.400709999999999900e+00,7.404179999999999640e-06
9.998829999999999885e+00,4.004679999999999906e-01,8.891900000000000365e-07
1.024890000000000079e+01,1.470750000000000002e+00,8.376700000000000622e-06
1.049879999999999924e+01,4.004110000000000169e-01,9.272020000000000463e-07
1.074890000000000079e+01,1.540440000000000031e+00,9.240559999999999836e-06
1.099879999999999924e+01,4.002820000000000267e-01,9.400869999999999661e-07
1.124929999999999986e+01,1.610289999999999999e+00,1.075770000000000036e-05
1.149879999999999924e+01,4.002899999999999792e-01,9.342179999999999551e-07
1.174929999999999986e+01,1.680449999999999999e+00,1.215499999999999967e-05
1.199879999999999924e+01,4.003869999999999929e-01,9.591090000000000950e-07
1.224929999999999986e+01,1.750450000000000061e+00,1.288419999999999939e-05
1.249879999999999924e+01,4.002740000000000187e-01,9.523290000000000303e-07
1.274929999999999986e+01,1.820470000000000033e+00,1.299859999999999952e-05
1.299879999999999924e+01,4.002580000000000027e-01,9.286940000000000440e-07
1.324929999999999986e+01,1.890419999999999989e+00,1.454449999999999940e-05
1.349879999999999924e+01,4.003470000000000084e-01,9.410670000000000186e-07
1.374929999999999986e+01,1.960199999999999942e+00,1.603529999999999875e-05
1.399879999999999924e+01,4.003709999999999769e-01,9.483620000000000055e-07
1.424929999999999986e+01,2.029739999999999878e+00,1.686330000000000167e-05
1.449879999999999924e+01,4.002410000000000134e-01,9.590840000000000402e-07
1.474929999999999986e+01,2.100880000000000081e+00,1.775310000000000118e-05
1.499879999999999924e+01,4.002330000000000054e-01,9.551020000000000248e-07
1.524980000000000047e+01,2.167739999999999778e+00,1.798209999999999848e-05
1.549879999999999924e+01,3.998269999999999880e-01,9.457369999999999671e-07
1.574929999999999986e+01,2.236419999999999852e+00,1.747360000000000157e-05
