# Tiempo [s], Voltage [V], Corriente [A]
#  Vpos=5, Vneg=5, stepPos=0.2, stepNeg=0.2, rev=0, hslV=0.3, hslF=0, cycles=1, T=0.25, pw=0.025, limitI=0.0005, rangeI=1e-08, limitV=0.5, rangeV=20, nlpc=0.1
0.000000000000000000e+00,1.999920000000000031e-01,3.535760000000000289e-08
2.002700000000000036e-01,4.000449999999999839e-01,6.536600000000000444e-08
4.528039999999999843e-01,6.000760000000000538e-01,2.238079999999999881e-07
7.002699999999999481e-01,8.000960000000000294e-01,2.545860000000000008e-07
9.502699999999999481e-01,1.000089999999999923e+00,3.874189999999999833e-07
1.200269999999999948e+00,1.200099999999999945e+00,5.304629999999999769e-07
1.452790000000000026e+00,1.400060000000000082e+00,1.070980000000000078e-06
1.700269999999999948e+00,1.600049999999999972e+00,1.898200000000000096e-06
1.950269999999999948e+00,1.800030000000000019e+00,5.701489999999999685e-06
2.200270000000000170e+00,1.999949999999999894e+00,9.642710000000000720e-06
2.452589999999999826e+00,2.199899999999999967e+00,1.541439999999999933e-05
2.700270000000000170e+00,2.400589999999999780e+00,2.919389999999999843e-05
2.950270000000000170e+00,2.600389999999999979e+00,2.768530000000000071e-05
3.200270000000000170e+00,2.800790000000000113e+00,4.383949999999999929e-05
3.450270000000000170e+00,3.001059999999999839e+00,4.735299999999999877e-05
3.700270000000000170e+00,3.201049999999999951e+00,6.334289999999999962e-05
3.950270000000000170e+00,3.401159999999999961e+00,7.744919999999999702e-05
4.200269999999999726e+00,3.601059999999999928e+00,8.034290000000000626e-05
4.452589999999999826e+00,3.800879999999999814e+00,1.137770000000000052e-04
4.700269999999999726e+00,4.000989999999999824e+00,1.974710000000000072e-04
4.950269999999999726e+00,4.200829999999999842e+00,2.177439999999999942e-04
5.200269999999999726e+00,4.401410000000000267e+00,2.367009999999999958e-04
5.450269999999999726e+00,4.601230000000000153e+00,2.479390000000000261e-04
5.700269999999999726e+00,4.801359999999999850e+00,2.481639999999999909e-04
5.950269999999999726e+00,5.001500000000000057e+00,2.687449999999999757e-04
6.200269999999999726e+00,4.801249999999999574e+00,2.574599999999999914e-04
6.450269999999999726e+00,4.601250000000000284e+00,2.324960000000000047e-04
6.700269999999999726e+00,4.401329999999999742e+00,2.211799999999999931e-04
6.950269999999999726e+00,4.201159999999999783e+00,2.076749999999999929e-04
7.200269999999999726e+00,4.001059999999999839e+00,1.928640000000000020e-04
7.450269999999999726e+00,3.800959999999999894e+00,1.805649999999999898e-04
7.700269999999999726e+00,3.600989999999999913e+00,1.671569999999999989e-04
7.950269999999999726e+00,3.401269999999999794e+00,1.550570000000000030e-04
8.200269999999999726e+00,3.200800000000000090e+00,1.434490000000000016e-04
8.450269999999999726e+00,3.001090000000000035e+00,1.311859999999999871e-04
8.700269999999999726e+00,2.800699999999999967e+00,1.211109999999999997e-04
8.950269999999999726e+00,2.600680000000000103e+00,1.106259999999999942e-04
9.200269999999999726e+00,2.400679999999999925e+00,1.011050000000000018e-04
9.452590000000000714e+00,2.200320000000000054e+00,9.130269999999999575e-05
9.700269999999999726e+00,2.000030000000000197e+00,8.193519999999999439e-05
9.950269999999999726e+00,1.800040000000000084e+00,7.293960000000000211e-05
1.020030000000000037e+01,1.600090000000000012e+00,6.377630000000000126e-05
1.045030000000000037e+01,1.400079999999999991e+00,5.524030000000000032e-05
1.070030000000000037e+01,1.200110000000000010e+00,4.661679999999999725e-05
1.095030000000000037e+01,1.000110000000000054e+00,3.834199999999999983e-05
1.120030000000000037e+01,8.001070000000000126e-01,3.032600000000000069e-05
1.145030000000000037e+01,6.000720000000000498e-01,2.245729999999999927e-05
1.170030000000000037e+01,4.000319999999999987e-01,1.483729999999999938e-05
1.195279999999999987e+01,1.999430000000000096e-01,7.307880000000000241e-06
1.224750000000000050e+01,-1.335140000000000061e-05,-9.985089999999999896e-10
1.245030000000000037e+01,-1.020429999999999986e-05,-3.283309999999999904e-09
1.270539999999999914e+01,-2.000379999999999936e-01,-7.397430000000000086e-06
1.295260000000000034e+01,-4.000600000000000267e-01,-1.486599999999999963e-05
1.320030000000000037e+01,-6.001419999999999533e-01,-2.244910000000000162e-05
1.345030000000000037e+01,-8.001249999999999751e-01,-3.060679999999999976e-05
1.370030000000000037e+01,-1.000129999999999963e+00,-3.856449999999999982e-05
1.395030000000000037e+01,-1.200129999999999919e+00,-4.680829999999999702e-05
1.420030000000000037e+01,-1.400150000000000006e+00,-5.518049999999999794e-05
1.445030000000000037e+01,-1.600070000000000103e+00,-6.376019999999999984e-05
1.470030000000000037e+01,-1.800089999999999968e+00,-7.072590000000000669e-05
1.495030000000000037e+01,-2.000059999999999949e+00,-7.837559999999999547e-05
1.520030000000000037e+01,-2.200060000000000127e+00,-8.723540000000000168e-05
1.545030000000000037e+01,-2.400349999999999984e+00,-8.651909999999999636e-05
1.570260000000000034e+01,-2.600330000000000030e+00,-1.022709999999999971e-04
1.595030000000000037e+01,-2.800019999999999953e+00,-1.241410000000000029e-04
1.620029999999999859e+01,-3.000169999999999781e+00,-1.367940000000000052e-04
1.645029999999999859e+01,-3.200569999999999915e+00,-1.495070000000000036e-04
1.670029999999999859e+01,-3.400259999999999838e+00,-1.586790000000000032e-04
1.695029999999999859e+01,-3.600789999999999935e+00,-1.966749999999999965e-04
1.720029999999999859e+01,-3.800780000000000047e+00,-1.957849999999999966e-04
1.745029999999999859e+01,-4.000440000000000218e+00,-2.074719999999999950e-04
1.770029999999999859e+01,-4.200450000000000017e+00,-2.171429999999999910e-04
1.795029999999999859e+01,-4.400479999999999947e+00,-2.297610000000000114e-04
1.820029999999999859e+01,-4.600699999999999790e+00,-2.484230000000000032e-04
1.845029999999999859e+01,-4.800729999999999720e+00,-2.611560000000000183e-04
1.870029999999999859e+01,-5.000759999999999650e+00,-2.824079999999999971e-04
1.895029999999999859e+01,-4.800769999999999982e+00,-2.635960000000000017e-04
1.920029999999999859e+01,-4.600530000000000008e+00,-2.450299999999999766e-04
1.945029999999999859e+01,-4.400319999999999787e+00,-2.282840000000000119e-04
1.970029999999999859e+01,-4.200630000000000308e+00,-2.108799999999999867e-04
1.995029999999999859e+01,-4.000390000000000335e+00,-1.948329999999999962e-04
2.020029999999999859e+01,-3.800679999999999836e+00,-1.819070000000000051e-04
2.045029999999999859e+01,-3.600499999999999812e+00,-1.690729999999999989e-04
2.070029999999999859e+01,-3.400220000000000020e+00,-1.574199999999999937e-04
2.095029999999999859e+01,-3.200250000000000039e+00,-1.467290000000000109e-04
2.120029999999999859e+01,-2.999989999999999934e+00,-1.361909999999999976e-04
2.145029999999999859e+01,-2.800199999999999800e+00,-1.262199999999999943e-04
2.170029999999999859e+01,-2.600379999999999914e+00,-1.161510000000000065e-04
2.195029999999999859e+01,-2.400370000000000115e+00,-1.064200000000000009e-04
2.220260000000000034e+01,-2.200190000000000090e+00,-9.684640000000000165e-05
2.245029999999999859e+01,-2.000059999999999949e+00,-8.747459999999999763e-05
2.270029999999999859e+01,-1.800089999999999968e+00,-7.814710000000000265e-05
2.295029999999999859e+01,-1.600079999999999947e+00,-6.907840000000000594e-05
2.320029999999999859e+01,-1.400139999999999940e+00,-6.012269999999999952e-05
2.345029999999999859e+01,-1.200120000000000076e+00,-5.117539999999999795e-05
2.370029999999999859e+01,-1.000140000000000029e+00,-4.244020000000000068e-05
2.395029999999999859e+01,-8.001359999999999584e-01,-3.378249999999999716e-05
2.420029999999999859e+01,-6.001549999999999940e-01,-2.522410000000000131e-05
2.445029999999999859e+01,-4.001009999999999844e-01,-1.676220000000000021e-05
2.470279999999999987e+01,-2.000220000000000053e-01,-8.282790000000000703e-06
