# Tiempo [s], Voltage [V], Corriente [A]
#  Vpos=3, Vneg=3, stepPos=0.12, stepNeg=0.12, rev=0, hslV=0.3, hslF=0, cycles=1, T=0.25, pw=0.025, limitI=0.0005, rangeI=1e-08, limitV=0.5, rangeV=20, nlpc=0.1
0.000000000000000000e+00,1.199940000000000034e-01,1.890050000000000014e-06
2.474449999999999983e-01,2.400269999999999904e-01,4.092570000000000019e-06
4.974450000000000260e-01,3.600329999999999919e-01,7.066929999999999608e-06
7.497679999999999900e-01,4.800889999999999880e-01,9.925009999999999695e-06
9.974450000000000260e-01,6.001260000000000483e-01,1.399430000000000084e-05
1.247440000000000104e+00,7.201319999999999943e-01,2.017539999999999999e-05
1.497440000000000104e+00,8.401450000000000307e-01,2.522260000000000140e-05
1.747440000000000104e+00,9.601600000000000135e-01,2.955859999999999851e-05
1.997440000000000104e+00,1.080149999999999944e+00,4.283870000000000034e-05
2.247440000000000104e+00,1.200180000000000025e+00,3.291419999999999735e-05
2.497440000000000104e+00,1.320160000000000000e+00,4.643819999999999865e-05
2.747440000000000104e+00,1.440129999999999910e+00,5.440690000000000250e-05
2.997440000000000104e+00,1.560130000000000017e+00,5.750240000000000023e-05
3.247440000000000104e+00,1.680150000000000032e+00,6.914389999999999371e-05
3.497440000000000104e+00,1.800119999999999942e+00,7.854700000000000538e-05
3.749769999999999825e+00,1.920120000000000049e+00,9.716300000000000468e-05
3.999760000000000204e+00,2.040919999999999845e+00,8.285960000000000200e-05
4.249760000000000204e+00,2.160759999999999792e+00,1.043399999999999937e-04
4.497440000000000104e+00,2.280819999999999848e+00,1.294420000000000119e-04
4.747440000000000104e+00,2.401060000000000194e+00,1.336889999999999867e-04
4.997440000000000104e+00,2.520770000000000177e+00,1.685959999999999965e-04
5.247440000000000104e+00,2.641090000000000160e+00,1.870610000000000035e-04
5.497440000000000104e+00,2.761210000000000164e+00,2.552070000000000250e-04
5.747440000000000104e+00,2.881279999999999841e+00,1.787830000000000127e-04
5.999769999999999825e+00,3.001279999999999948e+00,3.155219999999999813e-03
6.247440000000000104e+00,2.881279999999999841e+00,3.000249999999999879e-03
6.497440000000000104e+00,2.761420000000000208e+00,2.842229999999999843e-03
6.747440000000000104e+00,2.640909999999999869e+00,2.682359999999999953e-03
6.997440000000000104e+00,2.521170000000000133e+00,2.510749999999999961e-03
7.247440000000000104e+00,2.400889999999999969e+00,2.353350000000000147e-03
7.497440000000000104e+00,2.281099999999999905e+00,2.193130000000000166e-03
7.747440000000000104e+00,2.160870000000000068e+00,2.039309999999999908e-03
7.997440000000000104e+00,2.041269999999999918e+00,1.886890000000000008e-03
8.247439999999999216e+00,1.920120000000000049e+00,1.733570000000000033e-03
8.497439999999999216e+00,1.800140000000000073e+00,1.589609999999999981e-03
8.747439999999999216e+00,1.680139999999999967e+00,1.453999999999999997e-03
8.997439999999999216e+00,1.560159999999999991e+00,1.315449999999999909e-03
9.247439999999999216e+00,1.440120000000000067e+00,1.187630000000000066e-03
9.497439999999999216e+00,1.320160000000000000e+00,1.062970000000000104e-03
9.749769999999999825e+00,1.200180000000000025e+00,9.393440000000000513e-04
9.997439999999999216e+00,1.080170000000000075e+00,8.207489999999999578e-04
1.024740000000000073e+01,9.601359999999999895e-01,7.063009999999999991e-04
1.049740000000000073e+01,8.401389999999999691e-01,5.955210000000000061e-04
1.074740000000000073e+01,7.201260000000000439e-01,4.890250000000000282e-04
1.099740000000000073e+01,6.001370000000000315e-01,3.874889999999999758e-04
1.124740000000000073e+01,4.800780000000000047e-01,2.918279999999999984e-04
1.149740000000000073e+01,3.600689999999999724e-01,2.034129999999999988e-04
1.174740000000000073e+01,2.400160000000000071e-01,1.242030000000000033e-04
1.199980000000000047e+01,1.200169999999999987e-01,5.659800000000000258e-05
1.229470000000000063e+01,9.536739999999999937e-07,-4.097940000000000099e-08
1.249740000000000073e+01,-1.549720000000000089e-06,-2.796069999999999837e-08
1.275479999999999947e+01,-1.200179999999999997e-01,-5.831840000000000054e-05
1.299980000000000047e+01,-2.400319999999999954e-01,-1.294110000000000117e-04
1.324740000000000073e+01,-3.600389999999999979e-01,-2.128909999999999917e-04
1.349740000000000073e+01,-4.800909999999999900e-01,-3.057840000000000254e-04
1.374740000000000073e+01,-6.001189999999999580e-01,-4.055199999999999799e-04
1.399740000000000073e+01,-7.201330000000000231e-01,-5.112349999999999664e-04
1.424740000000000073e+01,-8.401340000000000474e-01,-6.224919999999999889e-04
1.449740000000000073e+01,-9.601499999999999480e-01,-7.403450000000000005e-04
1.474740000000000073e+01,-1.080130000000000035e+00,-8.639239999999999637e-04
1.499740000000000073e+01,-1.200150000000000050e+00,-9.965460000000000637e-04
1.525389999999999979e+01,-1.320149999999999935e+00,-1.146129999999999979e-03
1.549740000000000073e+01,-1.440139999999999976e+00,-1.294079999999999970e-03
1.574740000000000073e+01,-1.560130000000000017e+00,-1.439699999999999921e-03
1.599740000000000073e+01,-1.680150000000000032e+00,-1.594200000000000044e-03
1.624739999999999895e+01,-1.800110000000000099e+00,-1.747230000000000007e-03
1.649739999999999895e+01,-1.920099999999999918e+00,-1.849369999999999920e-03
1.674739999999999895e+01,-2.040140000000000065e+00,-2.062510000000000038e-03
1.699739999999999895e+01,-2.159980000000000011e+00,-2.259919999999999898e-03
1.724739999999999895e+01,-2.280170000000000030e+00,-2.434899999999999825e-03
1.749739999999999895e+01,-2.400380000000000180e+00,-2.672200000000000009e-03
1.774739999999999895e+01,-2.520430000000000170e+00,-2.943780000000000008e-03
1.799739999999999895e+01,-2.640190000000000037e+00,-3.188480000000000047e-03
1.824739999999999895e+01,-2.760260000000000158e+00,-3.408270000000000136e-03
1.849739999999999895e+01,-2.880209999999999937e+00,-3.647619999999999856e-03
1.874739999999999895e+01,-3.000000000000000000e+00,-3.863849999999999837e-03
1.899739999999999895e+01,-2.880149999999999988e+00,-3.671199999999999897e-03
1.924739999999999895e+01,-2.760180000000000078e+00,-3.481039999999999916e-03
1.949739999999999895e+01,-2.640249999999999986e+00,-3.287299999999999944e-03
1.974739999999999895e+01,-2.520379999999999843e+00,-3.101270000000000155e-03
1.999739999999999895e+01,-2.400440000000000129e+00,-2.914089999999999823e-03
2.024739999999999895e+01,-2.280209999999999848e+00,-2.728910000000000190e-03
2.049739999999999895e+01,-2.159949999999999815e+00,-2.547090000000000118e-03
2.074739999999999895e+01,-2.040099999999999802e+00,-2.367890000000000099e-03
2.099739999999999895e+01,-1.920099999999999918e+00,-2.191180000000000037e-03
2.124739999999999895e+01,-1.800100000000000033e+00,-2.017870000000000167e-03
2.149739999999999895e+01,-1.680139999999999967e+00,-1.846079999999999943e-03
2.174739999999999895e+01,-1.560149999999999926e+00,-1.679060000000000014e-03
2.199739999999999895e+01,-1.440139999999999976e+00,-1.514060000000000015e-03
2.224739999999999895e+01,-1.320160000000000000e+00,-1.354139999999999988e-03
2.249739999999999895e+01,-1.200150000000000050e+00,-1.196009999999999955e-03
2.274739999999999895e+01,-1.080130000000000035e+00,-1.043169999999999948e-03
2.299980000000000047e+01,-9.601769999999999472e-01,-8.945999999999999525e-04
2.324739999999999895e+01,-8.401549999999999851e-01,-7.513539999999999759e-04
2.349739999999999895e+01,-7.201379999999999448e-01,-6.136610000000000458e-04
2.374739999999999895e+01,-6.001530000000000475e-01,-4.824890000000000082e-04
2.399739999999999895e+01,-4.801150000000000140e-01,-3.592739999999999758e-04
2.424739999999999895e+01,-3.600630000000000219e-01,-2.462720000000000165e-04
2.449739999999999895e+01,-2.400579999999999936e-01,-1.462219999999999969e-04
2.474980000000000047e+01,-1.200500000000000039e-01,-6.384849999999999695e-05
