# Tiempo [s], Voltage [V], Corriente [A]
#  Vpos=0.4, Vneg=0.4, stepPos=0.016, stepNeg=0.016, rev=0, hslV=0.1, hslF=1, cycles=2, T=0.25, pw=0.025, limitI=0.0005, rangeI=1e-08, limitV=0.5, rangeV=20, nlpc=0.01
0.000000000000000000e+00,9.995249999999999968e-02,1.251700000000000018e-07
2.940030000000000143e-01,1.596879999999999827e-02,1.580700000000000053e-08
4.993070000000000008e-01,1.001429999999999959e-01,4.805200000000000173e-07
7.939950000000000063e-01,3.199069999999999692e-02,3.281339999999999920e-08
9.992959999999999621e-01,1.000859999999999944e-01,4.952080000000000493e-07
1.293989999999999974e+00,4.797850000000000031e-02,4.999229999999999827e-08
1.499300000000000077e+00,1.001210000000000017e-01,4.941159999999999758e-07
1.793989999999999974e+00,6.401569999999999483e-02,6.862259999999999669e-08
1.999300000000000077e+00,1.001230000000000037e-01,4.902379999999999724e-07
2.293989999999999974e+00,7.998900000000000454e-02,9.043169999999999575e-08
2.499289999999999790e+00,1.001400000000000068e-01,5.024809999999999584e-07
2.748580000000000023e+00,9.596960000000000213e-02,1.144700000000000053e-07
2.998580000000000023e+00,1.000640000000000002e-01,1.265349999999999879e-07
3.248580000000000023e+00,1.120099999999999985e-01,1.352630000000000115e-07
3.498580000000000023e+00,9.996510000000000118e-02,1.257160000000000121e-07
3.748580000000000023e+00,1.280280000000000029e-01,1.594690000000000100e-07
3.998580000000000023e+00,9.996779999999999555e-02,1.259519999999999886e-07
4.248579999999999579e+00,1.440309999999999924e-01,1.885310000000000092e-07
4.498579999999999579e+00,9.997230000000000005e-02,1.261419999999999923e-07
4.748579999999999579e+00,1.600189999999999946e-01,2.174919999999999996e-07
4.998579999999999579e+00,9.999669999999999392e-02,1.300820000000000130e-07
5.248579999999999579e+00,1.759380000000000110e-01,2.505210000000000236e-07
5.498579999999999579e+00,9.994799999999999518e-02,1.298599999999999995e-07
5.748579999999999579e+00,1.919909999999999950e-01,2.897739999999999847e-07
5.998579999999999579e+00,9.999489999999999768e-02,1.302309999999999966e-07
6.248579999999999579e+00,2.080889999999999962e-01,3.285619999999999744e-07
6.498579999999999579e+00,1.000299999999999939e-01,1.301220000000000054e-07
6.748579999999999579e+00,2.241720000000000101e-01,3.743179999999999773e-07
6.998579999999999579e+00,9.998590000000000255e-02,1.294020000000000095e-07
7.248579999999999579e+00,2.401330000000000131e-01,4.241919999999999910e-07
7.498579999999999579e+00,1.000130000000000047e-01,1.305799999999999953e-07
7.748579999999999579e+00,2.560779999999999723e-01,4.761070000000000161e-07
7.998579999999999579e+00,1.000189999999999968e-01,1.302089999999999982e-07
