# Tiempo [s], Voltage [V], Corriente [A]
#  minV=0, maxV=0.4, N=50, pw=0.05, T=0.5, limitI=5e-06, nplc=0.001, remoteSense=0
0.000000000000000000e+00,1.878019999999999993e-03,-4.612210000000000144e-09
5.000010000000000288e-01,9.268520000000000578e-03,1.502039999999999913e-09
1.000000000000000000e+00,1.850649999999999865e-02,1.329659999999999976e-08
1.500000000000000000e+00,2.434110000000000093e-02,1.766440000000000034e-08
2.000000000000000000e+00,3.494049999999999934e-02,2.203350000000000007e-08
2.500000000000000000e+00,4.028869999999999674e-02,3.295420000000000269e-08
3.000000000000000000e+00,4.933209999999999679e-02,3.732200000000000161e-08
3.500000000000000000e+00,5.750059999999999893e-02,4.518510000000000271e-08
4.000000000000000000e+00,6.664130000000000054e-02,5.042670000000000248e-08
4.500000000000000000e+00,7.471229999999999538e-02,6.003740000000000528e-08
5.000000000000000000e+00,8.220009999999999817e-02,6.746289999999999458e-08
5.500000000000000000e+00,9.231309999999999516e-02,8.056760000000000207e-08
6.000000000000000000e+00,9.921739999999999726e-02,8.362529999999999907e-08
6.500000000000000000e+00,1.089419999999999972e-01,9.847759999999999502e-08
7.000000000000000000e+00,1.170130000000000059e-01,1.089620000000000065e-07
7.500000000000000000e+00,1.220689999999999970e-01,1.229409999999999889e-07
8.000000000000000000e+00,1.298479999999999912e-01,1.373550000000000014e-07
8.500000000000000000e+00,1.407400000000000040e-01,1.522080000000000087e-07
9.000000000000000000e+00,1.484219999999999984e-01,1.692440000000000033e-07
9.500000000000000000e+00,1.576599999999999946e-01,1.823480000000000126e-07
1.000000000000000000e+01,1.647579999999999878e-01,1.937060000000000009e-07
1.050000000000000000e+01,1.737049999999999983e-01,2.120529999999999997e-07
1.100000000000000000e+01,1.809979999999999922e-01,2.360780000000000047e-07
1.150000000000000000e+01,1.880969999999999864e-01,2.491829999999999887e-07
1.200000000000000000e+01,1.978209999999999968e-01,2.627240000000000171e-07
1.250000000000000000e+01,2.041409999999999891e-01,3.024759999999999882e-07
1.300000000000000000e+01,2.134770000000000001e-01,3.247539999999999975e-07
1.350000000000000000e+01,2.212560000000000082e-01,3.614470000000000204e-07
1.400000000000000000e+01,2.310770000000000046e-01,3.763000000000000013e-07
1.450000000000000000e+01,2.373979999999999979e-01,4.116819999999999935e-07
1.500000000000000000e+01,2.464419999999999944e-01,4.405129999999999953e-07
1.550000000000000000e+01,2.556800000000000184e-01,4.645380000000000004e-07
1.600000000000000000e+01,2.619029999999999969e-01,5.077840000000000158e-07
1.650000000000000000e+01,2.694880000000000053e-01,5.248199999999999574e-07
1.700000000000000000e+01,2.770730000000000137e-01,5.676290000000000332e-07
1.750000000000000000e+01,2.864079999999999959e-01,5.754920000000000289e-07
1.800000000000000000e+01,2.930200000000000027e-01,6.187379999999999915e-07
1.850000000000000000e+01,3.029390000000000138e-01,6.571779999999999572e-07
1.900000000000000000e+01,3.120800000000000241e-01,7.104709999999999567e-07
1.950000000000000000e+01,3.183030000000000026e-01,7.572110000000000165e-07
2.000000000000000000e+01,3.287080000000000002e-01,7.799270000000000460e-07
2.050000000000000000e+01,3.362930000000000086e-01,8.266659999999999724e-07
2.100000000000000000e+01,3.440730000000000177e-01,8.956849999999999633e-07
2.150000000000000000e+01,3.520460000000000256e-01,9.354360000000000127e-07
2.200000000000000000e+01,3.601170000000000204e-01,9.834870000000000503e-07
2.250000000000000000e+01,3.684799999999999742e-01,1.062550000000000101e-06
2.300000000000000000e+01,3.748009999999999953e-01,1.109290000000000055e-06
2.350000000000000000e+01,3.842329999999999912e-01,1.166520000000000099e-06
2.400000000000000000e+01,3.941520000000000024e-01,1.224620000000000017e-06
2.450000000000000000e+01,4.004730000000000234e-01,1.306300000000000097e-06
