# Tiempo [s], Voltage [V], Corriente [A]
#  Vpos=0.4, Vneg=0.4, stepPos=0.01, stepNeg=0.01, rev=0, hslV=0, hslF=0, cycles=1, T=0.1, pw=0.05, limitI=0.5, rangeI=0.1, limitV=0.5, rangeV=20, nlpc=0.001
0.000000000000000000e+00,1.007549999999999939e-02,-8.547310000000000671e-05
1.000010000000000066e-01,2.019599999999999868e-02,-9.841919999999999445e-05
2.000010000000000121e-01,2.992720000000000102e-02,-8.115770000000000395e-05
3.000010000000000177e-01,3.988549999999999734e-02,-1.070500000000000000e-04
4.000009999999999954e-01,4.982219999999999704e-02,-9.410380000000000524e-05
5.000010000000000288e-01,6.032110000000000249e-02,-8.115770000000000395e-05
6.000010000000000066e-01,7.003070000000000128e-02,-6.822349999999999487e-05
7.000009999999999843e-01,7.942670000000000285e-02,-1.027349999999999981e-04
8.000009999999999621e-01,9.043379999999999475e-02,-7.684230000000000118e-05
9.000010000000000510e-01,1.000790000000000013e-01,-7.684230000000000118e-05
1.000000000000000000e+00,1.103399999999999936e-01,-6.390810000000000566e-05
1.100000000000000089e+00,1.199839999999999934e-01,-8.115770000000000395e-05
1.199999999999999956e+00,1.300509999999999999e-01,-6.390810000000000566e-05
1.300000000000000044e+00,1.400409999999999988e-01,-7.252689999999999842e-05
1.399999999999999911e+00,1.501840000000000119e-01,-3.370050000000000031e-05
1.500000000000000000e+00,1.603690000000000115e-01,-6.822349999999999487e-05
1.600000000000000089e+00,1.693220000000000003e-01,-4.664660000000000160e-05
1.699999999999999956e+00,1.801669999999999938e-01,-5.527730000000000013e-05
1.800000000000000044e+00,1.903839999999999977e-01,-5.096199999999999759e-05
1.899999999999999911e+00,2.004400000000000071e-01,-1.243109999999999962e-04
2.000000000000000000e+00,2.113810000000000133e-01,-1.156810000000000059e-04
2.100000000000000089e+00,2.228580000000000005e-01,-7.252689999999999842e-05
2.200000000000000178e+00,2.311249999999999971e-01,-8.547310000000000671e-05
2.299999999999999822e+00,2.414350000000000107e-01,-8.547310000000000671e-05
2.399999999999999911e+00,2.515499999999999958e-01,-9.841919999999999445e-05
2.500000000000000000e+00,2.593309999999999782e-01,-8.978840000000000248e-05
2.600000000000000089e+00,2.713920000000000221e-01,-7.684230000000000118e-05
