# Tiempo [s], Voltage [V], Corriente [A]
#  Vpos=0.4, Vneg=0.4, stepPos=0.008, stepNeg=0.008, rev=0, hslV=0, hslF=0, cycles=1, T=0.5, pw=0.05, limitI=0.1, rangeI=0.02, limitV=0.5, rangeV=20, nlpc=0.001
0.000000000000000000e+00,7.882929999999999798e-03,-1.069900000000000039e-04
5.000010000000000288e-01,1.656789999999999999e-02,-5.524160000000000317e-05
1.000000000000000000e+00,2.395490000000000119e-02,-3.799199999999999810e-05
1.500000000000000000e+00,3.202340000000000048e-02,-2.937319999999999856e-05
2.000000000000000000e+00,4.027569999999999761e-02,-1.212360000000000027e-05
2.500000000000000000e+00,4.811700000000000005e-02,-2.937319999999999856e-05
3.000000000000000000e+00,5.596910000000000079e-02,-1.642700000000000044e-05
3.500000000000000000e+00,6.443770000000000053e-02,-4.662279999999999685e-05
4.000000000000000000e+00,7.250620000000000676e-02,-5.092620000000000041e-05
4.500000000000000000e+00,8.008790000000000353e-02,-4.662279999999999685e-05
5.000000000000000000e+00,8.838350000000000373e-02,-6.387229999999999492e-05
5.500000000000000000e+00,9.638700000000000045e-02,-5.092620000000000041e-05
6.000000000000000000e+00,1.043469999999999953e-01,-1.642700000000000044e-05
6.500000000000000000e+00,1.121889999999999971e-01,-7.680650000000000400e-05
7.000000000000000000e+00,1.202460000000000057e-01,-8.542540000000000376e-05
7.500000000000000000e+00,1.284009999999999874e-01,-2.505779999999999919e-05
8.000000000000000000e+00,1.365020000000000122e-01,-7.680650000000000400e-05
8.500000000000000000e+00,1.448629999999999918e-01,-4.662279999999999685e-05
9.000000000000000000e+00,1.522930000000000117e-01,-5.524160000000000317e-05
9.500000000000000000e+00,1.601450000000000096e-01,-6.387229999999999492e-05
1.000000000000000000e+01,1.675319999999999865e-01,-6.387229999999999492e-05
1.050000000000000000e+01,1.759469999999999923e-01,-4.662279999999999685e-05
1.100000000000000000e+01,1.843720000000000081e-01,-3.799199999999999810e-05
1.150000000000000000e+01,1.926889999999999992e-01,-8.974080000000000652e-05
1.200000000000000000e+01,2.000649999999999928e-01,-5.955699999999999915e-05
1.250000000000000000e+01,2.111500000000000044e-01,-7.249119999999999468e-05
1.300000000000000000e+01,2.210739999999999927e-01,-8.112190000000000676e-05
1.350000000000000000e+01,2.265220000000000011e-01,-2.937319999999999856e-05
1.400000000000000000e+01,2.372239999999999904e-01,-8.542540000000000376e-05
1.450000000000000000e+01,2.434510000000000007e-01,-4.230740000000000087e-05
1.500000000000000000e+01,2.505530000000000257e-01,-7.249119999999999468e-05
1.550000000000000000e+01,2.556499999999999884e-01,8.106230000000000186e-07
1.600000000000000000e+01,2.644940000000000069e-01,-7.808209999999999904e-06
1.650000000000000000e+01,2.706180000000000252e-01,1.374479999999999925e-05
1.700000000000000000e+01,2.801429999999999754e-01,3.961320000000000216e-05
1.750000000000000000e+01,2.883069999999999800e-01,8.106230000000000186e-07
1.800000000000000000e+01,2.968600000000000128e-01,1.804830000000000133e-05
1.850000000000000000e+01,3.040519999999999889e-01,3.529789999999999962e-05
1.900000000000000000e+01,3.128000000000000225e-01,3.529789999999999962e-05
1.950000000000000000e+01,3.205749999999999988e-01,3.099440000000000262e-05
2.000000000000000000e+01,3.260179999999999745e-01,3.961320000000000216e-05
2.050000000000000000e+01,3.356399999999999939e-01,1.374479999999999925e-05
2.100000000000000000e+01,3.425409999999999844e-01,6.117820000000000322e-05
2.150000000000000000e+01,3.518720000000000181e-01,1.804830000000000133e-05
2.200000000000000000e+01,3.587730000000000086e-01,5.686280000000000045e-05
2.250000000000000000e+01,3.680059999999999998e-01,3.099440000000000262e-05
2.300000000000000000e+01,3.768500000000000183e-01,9.429449999999999987e-06
2.350000000000000000e+01,3.834600000000000231e-01,-1.212360000000000027e-05
2.400000000000000000e+01,3.907490000000000130e-01,3.961320000000000216e-05
2.450000000000000000e+01,3.985250000000000181e-01,1.374479999999999925e-05
2.500000000000000000e+01,3.910410000000000275e-01,6.549360000000000598e-05
2.550000000000000000e+01,3.812240000000000073e-01,2.236370000000000071e-05
2.600000000000000000e+01,3.759759999999999769e-01,9.429449999999999987e-06
2.650000000000000000e+01,3.679089999999999860e-01,2.236370000000000071e-05
2.700000000000000000e+01,3.593560000000000088e-01,-1.212360000000000027e-05
2.750000000000000000e+01,3.508999999999999897e-01,6.979699999999999598e-05
2.800000000000000000e+01,3.428329999999999989e-01,4.824400000000000091e-05
2.850000000000000000e+01,3.360290000000000221e-01,3.529789999999999962e-05
2.900000000000000000e+01,3.292260000000000186e-01,3.961320000000000216e-05
2.950000000000000000e+01,3.194089999999999985e-01,5.114080000000000171e-06
3.000000000000000000e+01,3.111470000000000069e-01,3.529789999999999962e-05
3.050000000000000000e+01,3.017199999999999882e-01,3.529789999999999962e-05
3.100000000000000000e+01,2.947219999999999840e-01,3.099440000000000262e-05
3.150000000000000000e+01,2.880869999999999820e-01,2.236370000000000071e-05
3.200000000000000000e+01,2.802120000000000166e-01,-1.211169999999999959e-05
3.250000000000000000e+01,2.726290000000000102e-01,9.429449999999999987e-06
3.300000000000000000e+01,2.650460000000000038e-01,-1.211169999999999959e-05
3.350000000000000000e+01,2.564910000000000245e-01,-3.492829999999999811e-06
3.400000000000000000e+01,2.482280000000000042e-01,1.804830000000000133e-05
3.450000000000000000e+01,2.391860000000000097e-01,1.373290000000000026e-05
3.500000000000000000e+01,2.325750000000000040e-01,9.429449999999999987e-06
3.550000000000000000e+01,2.237290000000000112e-01,3.529789999999999962e-05
3.600000000000000000e+01,2.155620000000000036e-01,-7.808209999999999904e-06
3.650000000000000000e+01,2.078820000000000112e-01,-3.492829999999999811e-06
