# Tiempo [s], Voltage [V], Corriente [A]
#  Vpos=0.5, Vneg=0.5, stepPos=0.02, stepNeg=0.02, rev=0, hslV=0.3, hslF=0, cycles=1, T=0.25, pw=0.025, limitI=0.0005, rangeI=1e-08, limitV=0.5, rangeV=20, nlpc=0.1
0.000000000000000000e+00,1.998650000000000079e-02,1.272109999999999868e-07
2.474470000000000003e-01,3.998630000000000240e-02,2.777020000000000074e-07
4.974469999999999725e-01,5.999140000000000028e-02,3.956500000000000257e-07
7.474469999999999725e-01,7.998700000000000254e-02,5.490840000000000482e-07
9.974469999999999725e-01,9.998529999999999918e-02,6.667519999999999607e-07
1.247449999999999948e+00,1.199849999999999944e-01,8.236129999999999781e-07
1.497449999999999948e+00,1.399839999999999973e-01,9.439590000000000156e-07
1.749980000000000091e+00,1.599889999999999923e-01,1.100149999999999961e-06
1.997449999999999948e+00,1.799870000000000081e-01,1.224750000000000005e-06
2.247450000000000170e+00,1.999809999999999921e-01,1.387519999999999973e-06
2.497450000000000170e+00,2.200050000000000061e-01,1.512609999999999990e-06
2.747450000000000170e+00,2.399950000000000139e-01,1.678130000000000059e-06
2.997450000000000170e+00,2.599960000000000049e-01,1.807460000000000013e-06
3.247450000000000170e+00,2.800000000000000266e-01,1.974839999999999967e-06
3.497450000000000170e+00,3.000140000000000029e-01,2.107440000000000189e-06
3.747450000000000170e+00,3.200009999999999799e-01,2.279800000000000178e-06
3.997450000000000170e+00,3.400170000000000137e-01,2.415690000000000160e-06
4.247449999999999726e+00,3.600320000000000187e-01,2.588710000000000156e-06
4.497449999999999726e+00,3.800399999999999889e-01,2.728600000000000015e-06
4.747449999999999726e+00,4.000449999999999839e-01,2.902480000000000034e-06
4.997449999999999726e+00,4.200450000000000017e-01,3.047290000000000177e-06
5.247449999999999726e+00,4.400470000000000215e-01,3.221799999999999799e-06
5.497449999999999726e+00,4.600369999999999737e-01,3.370999999999999997e-06
5.747449999999999726e+00,4.800260000000000082e-01,3.547389999999999844e-06
5.997449999999999726e+00,5.000809999999999977e-01,3.700469999999999995e-06
