# Tiempo [s], Voltage [V], Corriente [A]
#  Vpos=2, Vneg=2, stepPos=0.08, stepNeg=0.08, rev=0, hslV=0.3, hslF=0, cycles=1, T=0.25, pw=0.025, limitI=0.0005, rangeI=1e-08, limitV=0.5, rangeV=20, nlpc=0.1
0.000000000000000000e+00,8.001329999999999554e-02,6.559950000000000102e-05
2.499770000000000048e-01,1.599770000000000081e-01,1.348649999999999903e-04
4.976519999999999833e-01,2.400299999999999934e-01,2.100100000000000035e-04
7.476519999999999833e-01,3.200120000000000187e-01,2.914500000000000098e-04
9.976519999999999833e-01,4.000859999999999972e-01,3.790539999999999795e-04
1.247649999999999926e+00,4.800599999999999867e-01,4.719699999999999959e-04
1.497649999999999926e+00,5.600870000000000015e-01,5.701190000000000077e-04
1.747649999999999926e+00,6.400759999999999783e-01,6.730560000000000015e-04
1.997649999999999926e+00,7.201079999999999703e-01,7.797719999999999738e-04
2.247650000000000148e+00,8.001160000000000494e-01,8.909379999999999730e-04
2.499979999999999869e+00,8.800759999999999694e-01,1.007910000000000099e-03
2.747650000000000148e+00,9.601309999999999567e-01,1.125640000000000017e-03
2.997650000000000148e+00,1.040110000000000090e+00,1.247690000000000084e-03
3.247650000000000148e+00,1.120120000000000005e+00,1.370459999999999994e-03
3.497650000000000148e+00,1.200120000000000076e+00,1.498470000000000010e-03
3.747650000000000148e+00,1.280170000000000030e+00,1.626099999999999898e-03
3.997650000000000148e+00,1.360100000000000087e+00,1.758639999999999899e-03
4.247650000000000148e+00,1.440120000000000067e+00,1.892170000000000093e-03
4.497650000000000148e+00,1.520149999999999890e+00,2.028170000000000146e-03
4.747650000000000148e+00,1.600139999999999896e+00,2.166790000000000035e-03
4.997650000000000148e+00,1.680109999999999992e+00,2.307529999999999911e-03
5.247650000000000148e+00,1.760119999999999907e+00,2.448420000000000197e-03
5.497650000000000148e+00,1.840079999999999938e+00,2.593359999999999849e-03
5.747650000000000148e+00,1.920109999999999983e+00,2.738180000000000214e-03
5.997650000000000148e+00,2.000090000000000146e+00,2.885159999999999895e-03
6.247650000000000148e+00,1.920099999999999918e+00,2.737920000000000024e-03
6.497650000000000148e+00,1.840079999999999938e+00,2.592740000000000062e-03
6.747650000000000148e+00,1.760129999999999972e+00,2.448699999999999835e-03
6.997650000000000148e+00,1.680109999999999992e+00,2.307459999999999893e-03
7.247650000000000148e+00,1.600130000000000052e+00,2.165999999999999957e-03
7.497650000000000148e+00,1.520119999999999916e+00,2.029270000000000119e-03
7.747650000000000148e+00,1.440139999999999976e+00,1.892489999999999927e-03
7.997650000000000148e+00,1.360100000000000087e+00,1.758449999999999944e-03
8.247650000000000148e+00,1.280140000000000056e+00,1.626660000000000042e-03
8.497650000000000148e+00,1.200159999999999894e+00,1.497360000000000097e-03
8.747650000000000148e+00,1.120120000000000005e+00,1.371250000000000073e-03
8.997650000000000148e+00,1.040119999999999933e+00,1.246280000000000001e-03
9.247650000000000148e+00,9.601110000000000477e-01,1.126260000000000022e-03
9.497650000000000148e+00,8.801470000000000127e-01,1.007010000000000023e-03
9.749980000000000757e+00,8.001249999999999751e-01,8.912230000000000152e-04
9.997650000000000148e+00,7.201260000000000439e-01,7.804440000000000379e-04
1.024770000000000003e+01,6.401069999999999816e-01,6.735489999999999576e-04
1.049770000000000003e+01,5.600910000000000055e-01,5.710510000000000455e-04
1.074770000000000003e+01,4.800590000000000135e-01,4.730059999999999907e-04
1.099770000000000003e+01,4.000759999999999872e-01,3.801720000000000186e-04
1.124770000000000003e+01,3.200020000000000087e-01,2.926529999999999778e-04
1.149770000000000003e+01,2.400039999999999951e-01,2.111760000000000124e-04
1.174770000000000003e+01,1.599909999999999943e-01,1.357850000000000018e-04
1.200000000000000000e+01,8.001320000000000654e-02,6.611049999999999663e-05
1.229490000000000016e+01,-2.193450000000000150e-06,-4.570989999999999825e-08
1.249770000000000003e+01,4.386900000000000299e-06,-5.069540000000000011e-08
1.275500000000000078e+01,-8.001640000000000141e-02,-6.653359999999999602e-05
