# Tiempo [s], Voltage [V], Corriente [A]
#  Vpos=2, Vneg=7, stepPos=0.08, stepNeg=0.28, rev=0, hslV=0.3, hslF=0, cycles=1, T=0.25, pw=0.025, limitI=0.0005, rangeI=1e-08, limitV=0.5, rangeV=20, nlpc=0.1
0.000000000000000000e+00,7.999359999999999804e-02,6.649490000000000578e-11
2.002760000000000096e-01,1.599879999999999913e-01,6.253959999999999981e-10
4.502760000000000096e-01,2.400220000000000131e-01,3.223860000000000073e-09
7.002760000000000096e-01,3.200330000000000119e-01,2.375849999999999814e-09
9.502760000000000096e-01,4.001049999999999884e-01,7.266809999999999642e-09
1.200280000000000014e+00,4.800630000000000175e-01,5.188689999999999791e-09
1.450280000000000014e+00,5.601199999999999513e-01,1.013190000000000055e-08
1.700280000000000014e+00,6.400860000000000438e-01,8.500680000000000056e-09
1.950280000000000014e+00,7.201419999999999488e-01,1.466820000000000028e-08
2.200279999999999792e+00,8.001209999999999711e-01,1.221289999999999946e-08
2.450279999999999792e+00,8.801579999999999959e-01,1.855140000000000027e-08
2.700279999999999792e+00,9.601239999999999775e-01,1.590070000000000156e-08
2.950279999999999792e+00,1.040110000000000090e+00,2.018290000000000069e-08
3.200279999999999792e+00,1.120139999999999914e+00,2.036970000000000008e-08
3.450279999999999792e+00,1.200150000000000050e+00,2.577109999999999841e-08
3.700279999999999792e+00,1.280149999999999899e+00,2.595540000000000159e-08
3.950279999999999792e+00,1.360130000000000061e+00,3.093370000000000124e-08
4.200280000000000236e+00,1.440120000000000067e+00,3.322540000000000316e-08
4.450280000000000236e+00,1.520129999999999981e+00,3.519279999999999866e-08
4.700280000000000236e+00,1.600130000000000052e+00,4.041479999999999738e-08
4.950280000000000236e+00,1.680139999999999967e+00,4.553690000000000061e-08
5.200280000000000236e+00,1.760129999999999972e+00,4.959899999999999964e-08
5.450280000000000236e+00,1.840100000000000069e+00,5.213610000000000321e-08
5.700280000000000236e+00,1.920120000000000049e+00,5.705350000000000197e-08
5.950280000000000236e+00,2.000080000000000080e+00,6.374930000000000029e-08
6.200280000000000236e+00,1.920099999999999918e+00,5.139360000000000169e-08
6.450280000000000236e+00,1.840079999999999938e+00,4.371590000000000038e-08
6.700280000000000236e+00,1.760140000000000038e+00,4.009439999999999671e-08
6.950280000000000236e+00,1.680109999999999992e+00,3.604240000000000119e-08
7.200280000000000236e+00,1.600149999999999961e+00,3.487449999999999905e-08
7.450280000000000236e+00,1.520140000000000047e+00,2.891310000000000100e-08
7.700280000000000236e+00,1.440120000000000067e+00,2.960330000000000013e-08
7.950280000000000236e+00,1.360139999999999905e+00,2.247239999999999945e-08
8.200279999999999347e+00,1.280140000000000056e+00,2.336940000000000080e-08
8.450279999999999347e+00,1.200169999999999959e+00,1.893500000000000048e-08
8.700279999999999347e+00,1.120120000000000005e+00,1.880939999999999835e-08
8.950279999999999347e+00,1.040129999999999999e+00,1.554649999999999962e-08
9.200279999999999347e+00,9.601340000000000430e-01,1.454699999999999950e-08
9.450279999999999347e+00,8.801269999999999927e-01,1.291979999999999999e-08
9.700279999999999347e+00,8.001540000000000319e-01,1.061260000000000035e-08
9.950279999999999347e+00,7.201250000000000151e-01,1.032810000000000035e-08
1.020030000000000037e+01,6.400789999999999536e-01,7.040450000000000022e-09
1.045030000000000037e+01,5.600870000000000015e-01,7.826589999999999543e-09
1.070030000000000037e+01,4.801010000000000000e-01,3.830950000000000300e-09
1.095030000000000037e+01,4.000730000000000119e-01,5.327430000000000079e-09
1.120030000000000037e+01,3.200209999999999999e-01,1.175449999999999906e-09
1.145030000000000037e+01,2.400460000000000094e-01,2.512200000000000072e-09
1.170030000000000037e+01,1.599820000000000131e-01,-3.175380000000000051e-10
1.195030000000000037e+01,8.000989999999999491e-02,1.082909999999999934e-09
1.220030000000000037e+01,-2.777579999999999925e-05,-8.358360000000000489e-10
1.245030000000000037e+01,-2.384190000000000056e-08,6.220340000000000049e-10
1.270030000000000037e+01,-2.800420000000000131e-01,-2.446929999999999945e-09
1.295030000000000037e+01,-5.601199999999999513e-01,-5.894990000000000134e-09
1.320030000000000037e+01,-8.401480000000000059e-01,-1.578079999999999993e-08
1.345030000000000037e+01,-1.120149999999999979e+00,-2.259400000000000035e-08
1.370759999999999934e+01,-1.400150000000000006e+00,-2.543049999999999987e-05
1.395030000000000037e+01,-1.680169999999999941e+00,-3.917990000000000074e-05
1.420030000000000037e+01,-1.960080000000000044e+00,-7.520969999999999923e-05
1.445260000000000034e+01,-2.240000000000000213e+00,-1.233519999999999940e-04
1.470030000000000037e+01,-2.520150000000000112e+00,-1.628810000000000013e-04
1.495030000000000037e+01,-2.799990000000000201e+00,-2.720250000000000120e-04
1.520030000000000037e+01,-3.080259999999999998e+00,-3.665130000000000059e-04
1.545030000000000037e+01,-3.360599999999999810e+00,-5.002539999999999982e-04
1.570030000000000037e+01,-3.640359999999999818e+00,-6.669990000000000424e-04
1.595030000000000037e+01,-3.920790000000000219e+00,-8.472539999999999759e-04
1.620260000000000034e+01,-4.200300000000000367e+00,-1.020510000000000080e-03
1.645029999999999859e+01,-4.480610000000000426e+00,-1.305060000000000031e-03
1.670029999999999859e+01,-4.760729999999999684e+00,-1.461119999999999997e-03
1.695029999999999859e+01,-5.040510000000000268e+00,-1.687480000000000100e-03
1.720029999999999859e+01,-5.320829999999999949e+00,-1.957319999999999807e-03
1.745029999999999859e+01,-5.600780000000000314e+00,-2.264659999999999937e-03
1.770029999999999859e+01,-5.881029999999999980e+00,-2.544990000000000013e-03
1.795029999999999859e+01,-6.160730000000000040e+00,-2.998660000000000214e-03
1.820029999999999859e+01,-6.441130000000000244e+00,-3.418459999999999901e-03
1.845029999999999859e+01,-6.721239999999999881e+00,-4.894199999999999592e-03
1.870029999999999859e+01,-7.000949999999999562e+00,-5.531549999999999662e-03
1.895029999999999859e+01,-6.721160000000000245e+00,-5.226200000000000290e-03
1.920029999999999859e+01,-6.441230000000000011e+00,-4.887879999999999829e-03
1.945029999999999859e+01,-6.160870000000000068e+00,-4.525780000000000081e-03
1.970029999999999859e+01,-5.881050000000000111e+00,-4.171300000000000181e-03
1.995029999999999859e+01,-5.601049999999999862e+00,-3.827220000000000101e-03
2.020029999999999859e+01,-5.320940000000000225e+00,-3.472729999999999827e-03
2.045029999999999859e+01,-5.040700000000000180e+00,-3.138890000000000083e-03
2.070029999999999859e+01,-4.760889999999999844e+00,-2.797469999999999818e-03
2.095029999999999859e+01,-4.480629999999999669e+00,-2.471829999999999947e-03
2.120029999999999859e+01,-4.200330000000000119e+00,-2.141640000000000210e-03
2.145029999999999859e+01,-3.920440000000000147e+00,-1.833240000000000086e-03
2.170029999999999859e+01,-3.640369999999999884e+00,-1.530990000000000085e-03
2.195029999999999859e+01,-3.360170000000000101e+00,-1.243069999999999982e-03
2.220260000000000034e+01,-3.080529999999999990e+00,-9.736779999999999567e-04
2.245029999999999859e+01,-2.800190000000000179e+00,-7.368070000000000218e-04
2.270029999999999859e+01,-2.520340000000000025e+00,-5.311190000000000355e-04
2.295029999999999859e+01,-2.239889999999999937e+00,-3.574510000000000035e-04
2.320029999999999859e+01,-1.960080000000000044e+00,-2.316610000000000034e-04
2.345029999999999859e+01,-1.680150000000000032e+00,-1.553240000000000057e-04
2.370029999999999859e+01,-1.400150000000000006e+00,-1.004969999999999968e-04
