# Tiempo [s], Voltage [V], Corriente [A]
#  Vpos=7, Vneg=7, stepPos=0.07, stepNeg=0.07, rev=0, hslV=0.3, hslF=1, cycles=1, T=0.25, pw=0.025, limitI=0.0005, rangeI=1e-08, limitV=0.5, rangeV=20, nlpc=0.01
0.000000000000000000e+00,3.002139999999999809e-01,1.485029999999999976e-04
2.499790000000000068e-01,7.002160000000000328e-02,2.486809999999999997e-05
4.999779999999999780e-01,3.002059999999999729e-01,1.485489999999999901e-04
7.499740000000000295e-01,1.399559999999999971e-01,5.461700000000000241e-05
9.999770000000000048e-01,3.003190000000000026e-01,1.484210000000000076e-04
1.249970000000000026e+00,2.103379999999999972e-01,9.137519999999999887e-05
1.499970000000000026e+00,3.002870000000000261e-01,1.485659999999999867e-04
1.749449999999999950e+00,2.803300000000000236e-01,1.349819999999999894e-04
1.999449999999999950e+00,3.003919999999999924e-01,1.485659999999999867e-04
2.249449999999999950e+00,3.501750000000000140e-01,1.849149999999999871e-04
2.499449999999999950e+00,3.001409999999999911e-01,1.486020000000000114e-04
2.749449999999999950e+00,4.202239999999999864e-01,2.401220000000000025e-04
2.999449999999999950e+00,3.002299999999999969e-01,1.485659999999999867e-04
3.249449999999999950e+00,4.901750000000000274e-01,2.999459999999999908e-04
3.499449999999999950e+00,3.002380000000000049e-01,1.485950000000000096e-04
3.749449999999999950e+00,5.602399999999999602e-01,3.642030000000000094e-04
3.999449999999999950e+00,3.001329999999999831e-01,1.484959999999999958e-04
4.249450000000000394e+00,6.303940000000000099e-01,4.316790000000000254e-04
4.499450000000000394e+00,3.002949999999999786e-01,1.484599999999999982e-04
4.749450000000000394e+00,7.001100000000000101e-01,5.026600000000000425e-04
4.999450000000000394e+00,3.002219999999999889e-01,1.484000000000000022e-04
5.249450000000000394e+00,7.704499999999999682e-01,5.768400000000000133e-04
5.499450000000000394e+00,3.000920000000000254e-01,1.483579999999999914e-04
5.749450000000000394e+00,8.401819999999999844e-01,6.531339999999999845e-04
5.999450000000000394e+00,3.003029999999999866e-01,1.484110000000000127e-04
6.249450000000000394e+00,9.105790000000000273e-01,7.323619999999999653e-04
6.499450000000000394e+00,3.002619999999999734e-01,1.482199999999999870e-04
6.749450000000000394e+00,9.804979999999999807e-01,8.140660000000000084e-04
6.999450000000000394e+00,3.002219999999999889e-01,1.482300000000000089e-04
7.249450000000000394e+00,1.050510000000000055e+00,8.989850000000000401e-04
7.499450000000000394e+00,3.000999999999999779e-01,1.485380000000000066e-04
7.749450000000000394e+00,1.120400000000000063e+00,9.861650000000000017e-04
7.999450000000000394e+00,3.001079999999999859e-01,1.486299999999999915e-04
8.249980000000000757e+00,1.190309999999999979e+00,1.077009999999999990e-03
