# Tiempo [s], Voltage [V], Corriente [A]
#  Vpos=5, Vneg=5, stepPos=0.1, stepNeg=0.1, rev=0, hslV=0.3, hslF=1, cycles=1, T=0.25, pw=0.025, limitI=0.0005, rangeI=1e-08, limitV=0.5, rangeV=20, nlpc=0.01
0.000000000000000000e+00,3.000249999999999861e-01,-1.195070000000000093e-10
2.038689999999999947e-01,9.999750000000000305e-02,4.326110000000000274e-11
4.538690000000000224e-01,3.002679999999999794e-01,1.637430000000000000e-09
7.038689999999999669e-01,2.000520000000000076e-01,4.644389999999999923e-10
9.538689999999999669e-01,3.002190000000000136e-01,2.234130000000000018e-09
1.203869999999999996e+00,3.003569999999999851e-01,1.369260000000000088e-09
1.453869999999999996e+00,3.001460000000000239e-01,2.034809999999999925e-09
1.703869999999999996e+00,4.003419999999999757e-01,2.360359999999999902e-09
1.953869999999999996e+00,3.002759999999999874e-01,1.590679999999999929e-09
2.203870000000000218e+00,5.005450000000000177e-01,3.447499999999999934e-09
2.453870000000000218e+00,3.000729999999999786e-01,1.113399999999999898e-09
2.703870000000000218e+00,6.003749999999999920e-01,4.393120000000000232e-09
2.953870000000000218e+00,3.002429999999999821e-01,8.932589999999999653e-10
3.203870000000000218e+00,7.003599999999999826e-01,5.794760000000000367e-09
3.453870000000000218e+00,3.002839999999999954e-01,8.873110000000000185e-10
3.703870000000000218e+00,8.002879999999999994e-01,7.946960000000000442e-09
3.953870000000000218e+00,3.002190000000000136e-01,9.230140000000000347e-10
4.203870000000000218e+00,9.003210000000000379e-01,1.010550000000000072e-08
4.453870000000000218e+00,3.003000000000000114e-01,8.592609999999999965e-10
4.703870000000000218e+00,1.000469999999999970e+00,1.277580000000000049e-08
4.953870000000000218e+00,3.001619999999999844e-01,8.575559999999999491e-10
5.203870000000000218e+00,1.100479999999999903e+00,1.475629999999999959e-08
5.453870000000000218e+00,3.003160000000000274e-01,7.848860000000000336e-10
5.703870000000000218e+00,1.200309999999999988e+00,1.933899999999999867e-08
5.953870000000000218e+00,3.000729999999999786e-01,7.717130000000000419e-10
6.203870000000000218e+00,1.300529999999999964e+00,2.494050000000000088e-08
