# Tiempo [s], Voltage [V], Corriente [A]
#  Vpos=5, Vneg=5, stepPos=0.1, stepNeg=0.1, rev=0, hslV=0.4, hslF=1, cycles=2, T=0.25, pw=0.025, limitI=0.0005, rangeI=1e-08, limitV=0.5, rangeV=20, nlpc=0.01
0.000000000000000000e+00,4.003880000000000217e-01,-2.023819999999999945e-10
2.038639999999999897e-01,1.000930000000000014e-01,-1.590250000000000014e-10
4.538639999999999897e-01,4.005099999999999771e-01,3.044530000000000032e-09
7.038640000000000452e-01,2.000260000000000093e-01,3.774170000000000265e-11
9.538640000000000452e-01,4.003229999999999844e-01,3.268929999999999795e-09
1.203859999999999930e+00,3.004319999999999768e-01,4.287239999999999766e-10
1.453859999999999930e+00,4.002510000000000234e-01,3.066209999999999899e-09
1.703859999999999930e+00,4.002020000000000022e-01,1.324610000000000040e-09
1.953859999999999930e+00,4.004289999999999794e-01,2.645050000000000084e-09
2.203860000000000152e+00,5.004250000000000087e-01,2.323759999999999842e-09
2.453860000000000152e+00,4.003720000000000057e-01,3.210709999999999969e-09
2.703860000000000152e+00,6.003319999999999768e-01,2.856270000000000105e-09
2.953860000000000152e+00,4.001779999999999782e-01,2.770420000000000035e-09
3.203860000000000152e+00,7.004820000000000491e-01,3.746200000000000154e-09
3.453860000000000152e+00,4.003309999999999924e-01,2.731739999999999916e-09
3.703860000000000152e+00,8.004539999999999988e-01,4.688389999999999771e-09
3.953860000000000152e+00,4.004530000000000034e-01,2.598730000000000186e-09
4.203859999999999708e+00,9.004180000000000517e-01,5.521799999999999688e-09
4.453859999999999708e+00,4.003149999999999764e-01,2.261710000000000041e-09
4.703859999999999708e+00,1.000669999999999948e+00,7.135489999999999727e-09
4.953859999999999708e+00,4.001779999999999782e-01,2.925110000000000045e-09
5.203859999999999708e+00,1.100440000000000085e+00,8.028389999999999404e-09
5.453859999999999708e+00,4.004369999999999874e-01,3.286780000000000100e-09
5.703859999999999708e+00,1.200579999999999981e+00,9.480149999999999363e-09
5.953859999999999708e+00,4.002990000000000159e-01,2.611900000000000048e-09
6.203859999999999708e+00,1.300450000000000106e+00,1.048059999999999956e-08
6.453859999999999708e+00,4.004210000000000269e-01,2.522229999999999881e-09
6.703859999999999708e+00,1.400579999999999936e+00,1.187959999999999938e-08
6.953859999999999708e+00,4.003639999999999977e-01,2.570680000000000061e-09
7.203859999999999708e+00,1.500399999999999956e+00,1.344319999999999924e-08
7.453859999999999708e+00,4.002339999999999787e-01,2.532849999999999996e-09
7.703859999999999708e+00,1.600579999999999892e+00,1.497610000000000001e-08
7.953859999999999708e+00,4.002510000000000234e-01,2.494180000000000170e-09
8.203860000000000596e+00,1.700490000000000057e+00,1.680140000000000114e-08
8.453860000000000596e+00,4.003479999999999817e-01,2.467819999999999859e-09
8.703860000000000596e+00,1.800599999999999978e+00,1.865399999999999948e-08
8.953860000000000596e+00,4.002020000000000022e-01,2.445299999999999817e-09
9.203860000000000596e+00,1.900570000000000093e+00,2.133270000000000017e-08
9.453860000000000596e+00,4.002260000000000262e-01,2.383669999999999897e-09
9.703860000000000596e+00,2.000579999999999803e+00,2.356809999999999847e-08
9.953860000000000596e+00,4.003720000000000057e-01,2.366260000000000057e-09
1.020390000000000086e+01,2.103870000000000129e+00,2.671690000000000149e-08
1.045390000000000086e+01,4.002100000000000102e-01,2.305900000000000071e-09
1.070390000000000086e+01,2.204579999999999984e+00,2.880650000000000056e-08
1.095390000000000086e+01,4.003559999999999897e-01,2.275300000000000198e-09
1.120390000000000086e+01,2.304419999999999913e+00,3.415719999999999698e-08
1.145390000000000086e+01,4.002990000000000159e-01,2.195409999999999970e-09
1.170390000000000086e+01,2.404700000000000060e+00,3.751930000000000298e-08
1.195390000000000086e+01,4.001859999999999862e-01,2.175009999999999916e-09
1.220390000000000086e+01,2.502310000000000034e+00,4.141300000000000164e-08
1.245390000000000086e+01,4.002180000000000182e-01,2.098079999999999852e-09
1.270390000000000086e+01,2.604169999999999874e+00,4.208319999999999794e-08
1.295390000000000086e+01,4.001370000000000204e-01,2.047519999999999977e-09
1.320390000000000086e+01,2.702570000000000139e+00,4.714099999999999841e-08
1.345390000000000086e+01,4.002180000000000182e-01,2.020310000000000027e-09
1.370390000000000086e+01,2.802329999999999988e+00,5.217880000000000266e-08
1.395390000000000086e+01,4.004210000000000269e-01,1.937870000000000051e-09
1.420390000000000086e+01,2.903399999999999981e+00,5.688599999999999733e-08
1.445390000000000086e+01,4.003720000000000057e-01,1.868159999999999885e-09
1.470390000000000086e+01,3.003029999999999866e+00,6.354010000000000395e-08
1.495390000000000086e+01,4.004369999999999874e-01,1.754690000000000069e-09
1.520390000000000086e+01,3.103009999999999824e+00,6.892720000000000327e-08
1.545390000000000086e+01,4.001040000000000152e-01,1.577270000000000076e-09
1.570390000000000086e+01,3.201000000000000068e+00,7.513359999999999457e-08
1.595390000000000086e+01,4.001689999999999969e-01,1.341440000000000074e-09
1.620390000000000086e+01,3.299539999999999917e+00,8.040059999999999800e-08
1.645390000000000086e+01,3.998940000000000272e-01,1.120469999999999957e-09
1.670390000000000086e+01,3.400669999999999860e+00,9.145490000000000189e-08
1.695390000000000086e+01,4.000879999999999992e-01,8.667830000000000042e-10
1.720459999999999923e+01,3.501510000000000122e+00,4.355819999999999891e-07
1.749930000000000163e+01,4.000719999999999832e-01,-9.484289999999999929e-11
1.770459999999999923e+01,3.601210000000000022e+00,5.223940000000000123e-07
1.799930000000000163e+01,3.999179999999999957e-01,6.917719999999999972e-11
1.820459999999999923e+01,3.702910000000000146e+00,6.263469999999999639e-07
1.849930000000000163e+01,4.000480000000000147e-01,7.088179999999999712e-11
1.870459999999999923e+01,3.801449999999999996e+00,6.584559999999999770e-07
1.899930000000000163e+01,4.000639999999999752e-01,3.436799999999999961e-10
1.920459999999999923e+01,3.901289999999999925e+00,7.439430000000000065e-07
1.949930000000000163e+01,3.999500000000000277e-01,5.591269999999999863e-10
1.970459999999999923e+01,4.002640000000000420e+00,8.077930000000000389e-07
1.999930000000000163e+01,4.000960000000000072e-01,6.891610000000000358e-10
2.020459999999999923e+01,4.101750000000000007e+00,8.290420000000000196e-07
2.049930000000000163e+01,3.999179999999999957e-01,7.822159999999999797e-10
2.070530000000000115e+01,4.201730000000000409e+00,3.278029999999999873e-07
2.099930000000000163e+01,4.001120000000000232e-01,8.446810000000000323e-10
2.120520000000000138e+01,4.301560000000000272e+00,4.436990000000000081e-07
2.149930000000000163e+01,3.999500000000000277e-01,8.340600000000000129e-10
2.170530000000000115e+01,4.401469999999999771e+00,5.206730000000000461e-07
2.199930000000000163e+01,4.000639999999999752e-01,7.626769999999999710e-10
2.220520000000000138e+01,4.502030000000000420e+00,5.777120000000000051e-07
2.249930000000000163e+01,3.998689999999999745e-01,6.432649999999999495e-10
2.270530000000000115e+01,4.601140000000000008e+00,9.676370000000000242e-07
2.299930000000000163e+01,3.999099999999999877e-01,5.391600000000000283e-10
2.320530000000000115e+01,4.701769999999999783e+00,1.219769999999999970e-06
2.349930000000000163e+01,4.000799999999999912e-01,3.377319999999999976e-10
2.370530000000000115e+01,4.802830000000000155e+00,1.390340000000000100e-06
2.399930000000000163e+01,4.000560000000000227e-01,1.864550000000000039e-10
2.420530000000000115e+01,4.900509999999999700e+00,2.178769999999999809e-06
2.449930000000000163e+01,4.000230000000000175e-01,4.962680000000000176e-11
2.470530000000000115e+01,5.000840000000000174e+00,4.863500000000000107e-06
2.499930000000000163e+01,4.000310000000000255e-01,9.365490000000000505e-09
2.520530000000000115e+01,4.905549999999999855e+00,6.523160000000000239e-06
2.549930000000000163e+01,4.000070000000000014e-01,-3.757240000000000045e-10
2.570530000000000115e+01,4.802399999999999558e+00,3.621260000000000121e-06
2.599930000000000163e+01,3.999750000000000250e-01,1.586620000000000049e-09
2.620530000000000115e+01,4.704290000000000305e+00,4.604319999999999820e-06
2.649930000000000163e+01,4.000389999999999779e-01,2.105459999999999882e-09
2.670530000000000115e+01,4.601069999999999993e+00,2.591429999999999853e-06
2.699930000000000163e+01,4.000389999999999779e-01,-6.243229999999999957e-10
2.720530000000000115e+01,4.502239999999999576e+00,2.047710000000000169e-06
2.749930000000000163e+01,4.000879999999999992e-01,-5.448580000000000018e-10
2.770520000000000138e+01,4.402050000000000018e+00,1.632749999999999953e-06
2.799930000000000163e+01,3.999099999999999877e-01,-6.034970000000000099e-10
2.820520000000000138e+01,4.302139999999999631e+00,1.577499999999999931e-06
2.849930000000000163e+01,4.000230000000000175e-01,-5.537869999999999820e-10
2.870520000000000138e+01,4.201229999999999798e+00,1.310889999999999955e-06
2.899930000000000163e+01,3.998610000000000220e-01,-5.516529999999999767e-10
2.920530000000000115e+01,4.100959999999999717e+00,1.292660000000000089e-06
2.949930000000000163e+01,4.000799999999999912e-01,-4.734639999999999689e-10
2.970520000000000138e+01,3.998170000000000002e+00,1.030390000000000057e-06
2.999930000000000163e+01,4.000070000000000014e-01,-3.901720000000000254e-10
3.020520000000000138e+01,3.900640000000000107e+00,1.034240000000000028e-06
3.049930000000000163e+01,4.000799999999999912e-01,-2.592920000000000079e-10
3.070520000000000138e+01,3.800229999999999997e+00,8.270759999999999609e-07
3.099930000000000163e+01,3.998450000000000060e-01,9.764429999999999905e-11
3.120520000000000138e+01,3.700180000000000025e+00,7.844419999999999511e-07
3.149980000000000047e+01,4.000909999999999744e-01,1.524690000000000088e-10
3.170530000000000115e+01,3.601010000000000044e+00,7.935869999999999712e-07
3.199930000000000163e+01,4.002450000000000174e-01,5.770919999999999729e-11
3.220519999999999783e+01,3.501749999999999918e+00,5.609149999999999905e-07
