# Tiempo [s], Voltage [V], Corriente [A]
#  Vpos=5, Vneg=5, stepPos=0.1, stepNeg=0.1, rev=0, hslV=0.4, hslF=1, cycles=2, T=0.25, pw=0.025, limitI=0.0005, rangeI=1e-08, limitV=0.5, rangeV=20, nlpc=0.01
0.000000000000000000e+00,4.003109999999999724e-01,2.286079999999999905e-04
2.499689999999999968e-01,9.994490000000000318e-02,3.862420000000000198e-05
4.999830000000000108e-01,4.000759999999999872e-01,2.286079999999999905e-04
7.499550000000000383e-01,2.000170000000000003e-01,8.891439999999999695e-05
9.999749999999999472e-01,4.001730000000000009e-01,2.285269999999999890e-04
1.249440000000000106e+00,3.002259999999999929e-01,1.527499999999999995e-04
1.499440000000000106e+00,4.000920000000000032e-01,2.285090000000000038e-04
1.749440000000000106e+00,4.001239999999999797e-01,2.285440000000000128e-04
1.999440000000000106e+00,4.001410000000000244e-01,2.285479999999999944e-04
2.249439999999999884e+00,5.003220000000000445e-01,3.139239999999999847e-04
2.499439999999999884e+00,3.999219999999999997e-01,2.285199999999999872e-04
2.749439999999999884e+00,6.001469999999999860e-01,4.078579999999999836e-04
2.999439999999999884e+00,4.002620000000000067e-01,2.286719999999999953e-04
3.249439999999999884e+00,6.999229999999999619e-01,5.082710000000000266e-04
3.499439999999999884e+00,4.000839999999999952e-01,2.287710000000000091e-04
3.749439999999999884e+00,8.001449999999999951e-01,6.152459999999999570e-04
3.999439999999999884e+00,4.001080000000000192e-01,2.289190000000000083e-04
4.249439999999999884e+00,9.001719999999999722e-01,7.274220000000000295e-04
4.499439999999999884e+00,4.002049999999999774e-01,2.292060000000000007e-04
4.749439999999999884e+00,1.000180000000000069e+00,8.441460000000000456e-04
4.999439999999999884e+00,4.001410000000000244e-01,2.290679999999999962e-04
5.249439999999999884e+00,1.100230000000000041e+00,9.662079999999999757e-04
5.499439999999999884e+00,4.001239999999999797e-01,2.297680000000000132e-04
5.749959999999999738e+00,1.200099999999999945e+00,1.092480000000000057e-03
5.999970000000000248e+00,4.002049999999999774e-01,2.301150000000000016e-04
6.249959999999999738e+00,1.300140000000000073e+00,1.222589999999999961e-03
6.499959999999999738e+00,4.002209999999999934e-01,2.307549999999999955e-04
6.749959999999999738e+00,1.400130000000000097e+00,1.356299999999999954e-03
6.999959999999999738e+00,4.001730000000000009e-01,2.320040000000000101e-04
7.249959999999999738e+00,1.500029999999999974e+00,1.495149999999999995e-03
7.499959999999999738e+00,4.001890000000000169e-01,2.329839999999999906e-04
7.749959999999999738e+00,1.600200000000000067e+00,1.635890000000000087e-03
7.999959999999999738e+00,4.000679999999999792e-01,2.336240000000000116e-04
8.249950000000000117e+00,1.699980000000000047e+00,1.779839999999999981e-03
8.499950000000000117e+00,4.000270000000000215e-01,2.342110000000000112e-04
8.749959999999999738e+00,1.800240000000000062e+00,1.928699999999999989e-03
8.999959999999999738e+00,4.000589999999999979e-01,2.340699999999999866e-04
9.249959999999999738e+00,1.899909999999999988e+00,2.079010000000000059e-03
9.499950000000000117e+00,4.003590000000000204e-01,2.354769999999999953e-04
9.749959999999999738e+00,2.000049999999999883e+00,2.233049999999999879e-03
