# Mon Jun 12 19:57:27 2023
#  Tiempo [s], Voltage [V], Corriente [A]
#  V=5, N=600, cycles=1, T=1, pw=0.999, limitI=0.0005, rangeI=1e-08, limitV=0.5, rangeV=20, nlpc=0.01
0.000000000000000000e+00,5.006190000000000140e+00,1.588530000000000053e-04
9.994490000000000318e-01,5.004030000000000200e+00,1.595599999999999970e-04
1.999449999999999950e+00,5.004319999999999879e+00,1.601859999999999873e-04
2.999449999999999950e+00,5.004100000000000215e+00,1.601619999999999888e-04
3.999449999999999950e+00,5.004679999999999573e+00,1.603069999999999951e-04
4.999450000000000394e+00,5.004459999999999908e+00,1.588849999999999941e-04
5.999450000000000394e+00,5.004679999999999573e+00,1.593479999999999929e-04
6.999450000000000394e+00,5.004389999999999894e+00,1.600200000000000027e-04
7.999450000000000394e+00,5.004609999999999559e+00,1.602499999999999921e-04
8.999449999999999505e+00,5.004319999999999879e+00,1.601119999999999876e-04
9.999449999999999505e+00,5.004900000000000126e+00,1.604230000000000055e-04
1.099939999999999962e+01,5.004170000000000229e+00,1.599879999999999868e-04
1.199939999999999962e+01,5.003599999999999604e+00,1.601549999999999870e-04
1.299939999999999962e+01,5.004459999999999908e+00,1.600870000000000006e-04
1.399939999999999962e+01,5.004100000000000215e+00,1.607310000000000032e-04
1.499939999999999962e+01,5.001809999999999867e+00,1.613220000000000116e-04
1.599939999999999962e+01,5.001089999999999591e+00,1.593760000000000001e-04
1.699940000000000140e+01,5.003040000000000376e+00,1.599030000000000037e-04
1.799940000000000140e+01,5.002530000000000143e+00,1.580460000000000111e-04
1.899940000000000140e+01,5.000939999999999941e+00,1.584889999999999932e-04
1.999940000000000140e+01,5.001660000000000217e+00,1.568789999999999866e-04
2.099940000000000140e+01,5.002309999999999590e+00,1.573029999999999947e-04
2.199940000000000140e+01,5.001809999999999867e+00,1.586869999999999936e-04
2.299940000000000140e+01,5.000659999999999883e+00,1.588489999999999965e-04
2.399940000000000140e+01,5.000729999999999897e+00,1.588240000000000094e-04
2.499940000000000140e+01,5.001660000000000217e+00,1.584669999999999991e-04
2.599940000000000140e+01,5.002390000000000114e+00,1.594049999999999959e-04
2.699940000000000140e+01,5.002959999999999852e+00,1.590370000000000021e-04
2.799940000000000140e+01,5.001520000000000188e+00,1.584780000000000097e-04
2.899940000000000140e+01,5.001380000000000159e+00,1.608969999999999877e-04
2.999940000000000140e+01,5.001590000000000202e+00,1.608090000000000116e-04
3.099940000000000140e+01,5.000869999999999926e+00,1.606090000000000067e-04
3.199940000000000140e+01,5.001089999999999591e+00,1.603339999999999865e-04
