# Mon Jun 12 19:46:17 2023
#  Tiempo [s], Voltage [V], Corriente [A]
#  V=5, N=600, cycles=1, T=1, pw=0.999, limitI=0.0005, rangeI=1e-08, limitV=0.5, rangeV=20, nlpc=0.01
0.000000000000000000e+00,5.004500000000000171e+00,1.608100000000000003e-04
9.994420000000000526e-01,5.003709999999999880e+00,1.606300000000000121e-04
1.999440000000000106e+00,5.004789999999999850e+00,1.607819999999999931e-04
2.999439999999999884e+00,5.005429999999999602e+00,1.604669999999999935e-04
3.999439999999999884e+00,5.003420000000000201e+00,1.612239999999999865e-04
4.999439999999999884e+00,5.003989999999999938e+00,1.615459999999999878e-04
5.999439999999999884e+00,5.003779999999999895e+00,1.614750000000000083e-04
6.999439999999999884e+00,5.005720000000000169e+00,1.615429999999999948e-04
7.999439999999999884e+00,5.003269999999999662e+00,1.616099999999999926e-04
8.999439999999999884e+00,5.002119999999999678e+00,1.616309999999999980e-04
9.999439999999999884e+00,5.002909999999999968e+00,1.611820000000000028e-04
1.099939999999999962e+01,5.003199999999999648e+00,1.613089999999999967e-04
1.199939999999999962e+01,5.003919999999999924e+00,1.611849999999999958e-04
1.299939999999999962e+01,5.003199999999999648e+00,1.618430000000000020e-04
1.399939999999999962e+01,5.003059999999999619e+00,1.622150000000000046e-04
1.499939999999999962e+01,5.002679999999999794e+00,1.619769999999999977e-04
1.599939999999999962e+01,5.003110000000000390e+00,1.616409999999999928e-04
1.699940000000000140e+01,5.003899999999999793e+00,1.614329999999999975e-04
1.799940000000000140e+01,5.003180000000000405e+00,1.620410000000000025e-04
1.899940000000000140e+01,5.002239999999999576e+00,1.620299999999999920e-04
1.999940000000000140e+01,5.002320000000000100e+00,1.619989999999999917e-04
2.099940000000000140e+01,5.002679999999999794e+00,1.620729999999999914e-04
2.199940000000000140e+01,5.002390000000000114e+00,1.621969999999999922e-04
2.299940000000000140e+01,5.001019999999999577e+00,1.623060000000000008e-04
2.399940000000000140e+01,5.001960000000000406e+00,1.632509999999999994e-04
2.499940000000000140e+01,5.002030000000000420e+00,1.630600000000000007e-04
2.599940000000000140e+01,5.003040000000000376e+00,1.629710000000000089e-04
2.699940000000000140e+01,5.003040000000000376e+00,1.631980000000000052e-04
2.799940000000000140e+01,5.002530000000000143e+00,1.631310000000000073e-04
2.899940000000000140e+01,5.001879999999999882e+00,1.629319999999999911e-04
2.999940000000000140e+01,5.002959999999999852e+00,1.630629999999999938e-04
3.099940000000000140e+01,5.001339999999999897e+00,1.631729999999999910e-04
3.199940000000000140e+01,5.000829999999999664e+00,1.632609999999999942e-04
3.299940000000000140e+01,5.000040000000000262e+00,1.633179999999999972e-04
3.399940000000000140e+01,5.001269999999999882e+00,1.627590000000000048e-04
3.499940000000000140e+01,5.002349999999999852e+00,1.629289999999999981e-04
3.599940000000000140e+01,5.001629999999999576e+00,1.630769999999999974e-04
3.699940000000000140e+01,5.001549999999999940e+00,1.631550000000000058e-04
3.799940000000000140e+01,5.001409999999999911e+00,1.620229999999999902e-04
3.899940000000000140e+01,5.001479999999999926e+00,1.611419999999999964e-04
3.999940000000000140e+01,5.000910000000000188e+00,1.611919999999999976e-04
4.099940000000000140e+01,5.000759999999999650e+00,1.613650000000000110e-04
4.199940000000000140e+01,5.000759999999999650e+00,1.609199999999999975e-04
4.299940000000000140e+01,4.999390000000000001e+00,1.598269999999999997e-04
4.399940000000000140e+01,4.999679999999999680e+00,1.609939999999999971e-04
4.499940000000000140e+01,5.000619999999999621e+00,1.606119999999999998e-04
4.599940000000000140e+01,5.001269999999999882e+00,1.575029999999999996e-04
4.699940000000000140e+01,5.003499999999999837e+00,1.585310000000000039e-04
4.799940000000000140e+01,5.002489999999999881e+00,1.589519999999999920e-04
4.899940000000000140e+01,5.003429999999999822e+00,1.603350000000000023e-04
4.999940000000000140e+01,5.003709999999999880e+00,1.587369999999999949e-04
5.099940000000000140e+01,5.003140000000000143e+00,1.581739999999999936e-04
5.199940000000000140e+01,5.003350000000000186e+00,1.588249999999999981e-04
5.299940000000000140e+01,5.002270000000000216e+00,1.599779999999999920e-04
5.399940000000000140e+01,5.001909999999999634e+00,1.611519999999999912e-04
5.499940000000000140e+01,5.003429999999999822e+00,1.609469999999999889e-04
5.599940000000000140e+01,5.003790000000000404e+00,1.579119999999999884e-04
5.699940000000000140e+01,5.002779999999999561e+00,1.599220000000000047e-04
5.799940000000000140e+01,5.001699999999999591e+00,1.594719999999999937e-04
5.899940000000000140e+01,5.003709999999999880e+00,1.591540000000000012e-04
5.999940000000000140e+01,5.004430000000000156e+00,1.580110000000000021e-04
6.099940000000000140e+01,5.004579999999999806e+00,1.528930000000000013e-04
6.199940000000000140e+01,5.002989999999999604e+00,1.523060000000000017e-04
6.299940000000000140e+01,5.001750000000000362e+00,1.540310000000000030e-04
6.399940000000000140e+01,5.000890000000000057e+00,1.551780000000000108e-04
6.499939999999999429e+01,5.002760000000000318e+00,1.538160000000000059e-04
6.599939999999999429e+01,5.000460000000000349e+00,1.523050000000000131e-04
6.699939999999999429e+01,5.001030000000000086e+00,1.506959999999999951e-04
6.799939999999999429e+01,5.000390000000000335e+00,1.503169999999999908e-04
6.899939999999999429e+01,5.002040000000000042e+00,1.544449999999999892e-04
6.999939999999999429e+01,5.002690000000000303e+00,1.510740000000000108e-04
7.099939999999999429e+01,5.000029999999999752e+00,1.509120000000000079e-04
7.199939999999999429e+01,5.000890000000000057e+00,1.508869999999999938e-04
7.299939999999999429e+01,5.001249999999999751e+00,1.498639999999999868e-04
7.399939999999999429e+01,5.001970000000000027e+00,1.499179999999999968e-04
7.499939999999999429e+01,5.003190000000000026e+00,1.461959999999999941e-04
7.599939999999999429e+01,5.001389999999999780e+00,1.525920000000000054e-04
7.699939999999999429e+01,5.001249999999999751e+00,1.607699999999999939e-04
7.799939999999999429e+01,5.000530000000000364e+00,1.653620000000000068e-04
7.899939999999999429e+01,5.000530000000000364e+00,1.656969999999999960e-04
7.999939999999999429e+01,5.000390000000000335e+00,1.656680000000000002e-04
8.099939999999999429e+01,4.999810000000000088e+00,1.655340000000000045e-04
8.199939999999999429e+01,4.999950000000000117e+00,1.656369999999999999e-04
8.299939999999999429e+01,5.000460000000000349e+00,1.665950000000000135e-04
8.399939999999999429e+01,4.999810000000000088e+00,1.669560000000000054e-04
8.499939999999999429e+01,5.000820000000000043e+00,1.669519999999999967e-04
8.599939999999999429e+01,5.000239999999999796e+00,1.667829999999999920e-04
8.699939999999999429e+01,5.000099999999999767e+00,1.665880000000000117e-04
8.799939999999999429e+01,5.000600000000000378e+00,1.666449999999999876e-04
8.899939999999999429e+01,5.001039999999999708e+00,1.669909999999999873e-04
8.999939999999999429e+01,4.999950000000000117e+00,1.671820000000000131e-04
9.099939999999999429e+01,4.999229999999999841e+00,1.667399999999999926e-04
9.199939999999999429e+01,5.000460000000000349e+00,1.672210000000000038e-04
9.299939999999999429e+01,5.000390000000000335e+00,1.667440000000000014e-04
9.399939999999999429e+01,4.999950000000000117e+00,1.650029999999999921e-04
9.499939999999999429e+01,5.002819999999999823e+00,1.518900000000000111e-04
9.599939999999999429e+01,5.001380000000000159e+00,1.471499999999999989e-04
9.699939999999999429e+01,5.003330000000000055e+00,1.445469999999999969e-04
9.799939999999999429e+01,5.001310000000000144e+00,1.356119999999999884e-04
9.899939999999999429e+01,5.001380000000000159e+00,1.375819999999999984e-04
9.999939999999999429e+01,5.001019999999999577e+00,1.444159999999999942e-04
1.009989999999999952e+02,5.000799999999999912e+00,1.471180000000000100e-04
1.019989999999999952e+02,5.001240000000000130e+00,1.520240000000000068e-04
1.029989999999999952e+02,5.001879999999999882e+00,1.498129999999999970e-04
1.039989999999999952e+02,5.001310000000000144e+00,1.492080000000000121e-04
1.049989999999999952e+02,5.002530000000000143e+00,1.460319999999999869e-04
1.059989999999999952e+02,5.002030000000000420e+00,1.361810000000000028e-04
1.069989999999999952e+02,5.002390000000000114e+00,1.630179999999999900e-04
1.079989999999999952e+02,5.001599999999999824e+00,1.572060000000000124e-04
1.089989999999999952e+02,5.001669999999999838e+00,1.568669999999999874e-04
