# Mon Jun 12 17:51:35 2023
#  Tiempo [s], Voltage [V], Corriente [A]
#  V=5, N=600, cycles=1, T=1, pw=0.999, limitI=0.0005, rangeI=1e-08, limitV=0.5, rangeV=20, nlpc=0.01
0.000000000000000000e+00,5.002379999999999605e+00,7.116650000000000406e-03
9.994469999999999743e-01,5.002379999999999605e+00,7.129469999999999731e-03
1.999449999999999950e+00,5.001660000000000217e+00,7.241809999999999567e-03
2.999449999999999950e+00,5.002169999999999561e+00,7.316930000000000135e-03
3.999449999999999950e+00,5.002600000000000158e+00,7.297569999999999751e-03
4.999450000000000394e+00,5.002959999999999852e+00,7.244220000000000000e-03
5.999450000000000394e+00,5.003750000000000142e+00,7.383859999999999903e-03
6.999450000000000394e+00,5.001949999999999896e+00,7.501800000000000308e-03
7.999450000000000394e+00,5.002169999999999561e+00,7.542939999999999715e-03
8.999449999999999505e+00,5.003459999999999575e+00,7.584579999999999621e-03
9.999449999999999505e+00,5.003389999999999560e+00,7.592480000000000409e-03
1.099939999999999962e+01,5.003099999999999881e+00,7.552279999999999757e-03
1.199939999999999962e+01,5.001089999999999591e+00,7.535680000000000330e-03
1.299939999999999962e+01,5.003180000000000405e+00,7.468859999999999909e-03
1.399939999999999962e+01,5.003389999999999560e+00,7.491170000000000120e-03
1.499939999999999962e+01,5.004089999999999705e+00,7.519800000000000095e-03
1.599939999999999962e+01,5.003370000000000317e+00,7.543649999999999835e-03
1.699940000000000140e+01,5.002580000000000027e+00,7.565709999999999796e-03
1.799940000000000140e+01,5.003009999999999735e+00,7.574290000000000016e-03
1.899940000000000140e+01,5.003449999999999953e+00,7.609030000000000134e-03
1.999940000000000140e+01,5.002939999999999721e+00,7.611330000000000352e-03
2.099940000000000140e+01,5.002580000000000027e+00,7.630510000000000070e-03
2.199940000000000140e+01,5.001929999999999765e+00,7.635290000000000306e-03
2.299940000000000140e+01,5.002729999999999677e+00,7.648369999999999821e-03
2.399940000000000140e+01,5.003160000000000274e+00,7.658419999999999984e-03
2.499940000000000140e+01,5.002439999999999998e+00,7.654900000000000072e-03
2.599940000000000140e+01,5.003730000000000011e+00,7.666400000000000298e-03
2.699940000000000140e+01,5.001789999999999736e+00,7.670030000000000424e-03
2.799940000000000140e+01,5.002369999999999983e+00,7.664670000000000163e-03
2.899940000000000140e+01,5.003009999999999735e+00,7.675409999999999698e-03
2.999940000000000140e+01,5.003949999999999676e+00,7.665860000000000035e-03
3.099940000000000140e+01,5.002720000000000056e+00,7.670240000000000044e-03
3.199940000000000140e+01,5.001640000000000086e+00,7.678719999999999990e-03
3.299940000000000140e+01,5.002209999999999823e+00,7.669879999999999580e-03
3.399940000000000140e+01,5.002860000000000085e+00,7.671210000000000355e-03
3.499940000000000140e+01,5.003289999999999793e+00,7.656950000000000041e-03
3.599940000000000140e+01,5.001570000000000071e+00,7.655440000000000335e-03
3.699940000000000140e+01,5.002139999999999809e+00,7.653359999999999677e-03
3.799940000000000140e+01,5.002860000000000085e+00,7.655119999999999633e-03
3.899940000000000140e+01,5.003730000000000011e+00,7.648900000000000143e-03
3.999940000000000140e+01,5.003940000000000055e+00,7.641399999999999582e-03
4.099940000000000140e+01,5.002069999999999794e+00,7.644989999999999945e-03
4.199940000000000140e+01,5.003079999999999750e+00,7.646069999999999603e-03
4.299940000000000140e+01,5.003650000000000375e+00,7.650449999999999612e-03
4.399940000000000140e+01,5.003730000000000011e+00,7.646820000000000353e-03
4.499940000000000140e+01,5.002790000000000070e+00,7.644699999999999933e-03
4.599940000000000140e+01,5.002209999999999823e+00,7.649369999999999954e-03
4.699940000000000140e+01,5.000320000000000320e+00,7.650109999999999896e-03
4.799940000000000140e+01,5.001689999999999969e+00,7.651510000000000256e-03
4.899940000000000140e+01,5.001979999999999649e+00,7.655140000000000382e-03
4.999940000000000140e+01,5.000320000000000320e+00,7.656139999999999647e-03
5.099940000000000140e+01,5.001549999999999940e+00,7.656859999999999708e-03
5.199940000000000140e+01,5.001549999999999940e+00,7.661059999999999919e-03
5.299940000000000140e+01,5.002119999999999678e+00,7.659589999999999975e-03
5.399940000000000140e+01,5.003420000000000201e+00,7.661030000000000097e-03
5.499940000000000140e+01,5.002270000000000216e+00,7.663149999999999649e-03
5.599940000000000140e+01,5.001109999999999722e+00,7.664259999999999996e-03
5.699940000000000140e+01,5.001179999999999737e+00,7.665270000000000070e-03
5.799940000000000140e+01,5.000820000000000043e+00,7.664259999999999996e-03
5.899940000000000140e+01,5.001549999999999940e+00,7.663289999999999685e-03
5.999940000000000140e+01,5.000029999999999752e+00,7.671090000000000200e-03
6.099940000000000140e+01,5.001179999999999737e+00,7.667929999999999885e-03
6.199940000000000140e+01,5.000969999999999693e+00,7.672990000000000192e-03
6.299940000000000140e+01,5.002849999999999575e+00,7.666700000000000251e-03
6.399940000000000140e+01,5.004360000000000142e+00,7.668780000000000041e-03
6.499939999999999429e+01,5.002489999999999881e+00,7.667519999999999718e-03
6.599939999999999429e+01,5.002340000000000231e+00,7.669750000000000352e-03
6.699939999999999429e+01,5.002989999999999604e+00,7.670040000000000364e-03
6.799939999999999429e+01,5.003779999999999895e+00,7.670790000000000247e-03
6.899939999999999429e+01,5.002559999999999896e+00,7.675930000000000079e-03
6.999939999999999429e+01,5.001549999999999940e+00,7.675210000000000019e-03
7.099939999999999429e+01,5.002779999999999561e+00,7.679090000000000395e-03
7.199939999999999429e+01,5.003420000000000201e+00,7.679380000000000407e-03
7.299939999999999429e+01,5.003140000000000143e+00,7.682249999999999843e-03
7.399939999999999429e+01,5.003779999999999895e+00,7.682650000000000069e-03
7.499939999999999429e+01,5.003210000000000157e+00,7.672840000000000216e-03
7.599939999999999429e+01,5.003420000000000201e+00,7.678980000000000181e-03
7.699939999999999429e+01,5.003140000000000143e+00,7.683579999999999750e-03
7.799939999999999429e+01,5.003059999999999619e+00,7.680020000000000076e-03
7.899939999999999429e+01,5.001459999999999795e+00,7.683210000000000213e-03
7.999939999999999429e+01,5.000449999999999839e+00,7.683749999999999608e-03
8.099939999999999429e+01,5.001750000000000362e+00,7.682569999999999677e-03
8.199939999999999429e+01,5.001529999999999809e+00,7.685329999999999766e-03
8.299939999999999429e+01,5.002539999999999765e+00,7.687270000000000388e-03
8.399939999999999429e+01,5.002749999999999808e+00,7.686629999999999852e-03
8.499939999999999429e+01,5.001100000000000101e+00,7.687059999999999900e-03
8.599939999999999429e+01,5.002180000000000071e+00,7.688140000000000425e-03
8.699939999999999429e+01,5.002320000000000100e+00,7.691690000000000159e-03
8.799939999999999429e+01,5.003110000000000390e+00,7.692629999999999781e-03
8.899939999999999429e+01,5.003110000000000390e+00,7.693880000000000163e-03
8.999939999999999429e+01,5.001960000000000406e+00,7.694349999999999974e-03
9.099939999999999429e+01,5.001240000000000130e+00,7.692230000000000421e-03
9.199939999999999429e+01,5.002609999999999779e+00,7.691869999999999957e-03
9.299939999999999429e+01,5.003190000000000026e+00,7.692730000000000054e-03
9.399939999999999429e+01,5.001750000000000362e+00,7.693809999999999712e-03
9.499939999999999429e+01,5.000440000000000218e+00,7.696829999999999991e-03
9.599939999999999429e+01,5.002030000000000420e+00,7.692410000000000220e-03
9.699939999999999429e+01,5.002250000000000085e+00,7.690360000000000251e-03
9.799939999999999429e+01,5.002819999999999823e+00,7.689719999999999715e-03
9.899939999999999429e+01,5.001310000000000144e+00,7.695070000000000035e-03
9.999939999999999429e+01,5.002169999999999561e+00,7.694709999999999571e-03
1.009989999999999952e+02,5.002169999999999561e+00,7.689819999999999989e-03
1.019989999999999952e+02,5.002889999999999837e+00,7.694639999999999987e-03
1.029989999999999952e+02,5.001089999999999591e+00,7.696510000000000157e-03
1.039989999999999952e+02,5.000659999999999883e+00,7.700099999999999653e-03
1.049989999999999952e+02,4.999789999999999957e+00,7.703080000000000170e-03
1.059989999999999952e+02,5.001019999999999577e+00,7.704299999999999864e-03
1.069989999999999952e+02,5.003250000000000419e+00,7.704950000000000340e-03
1.079989999999999952e+02,5.001089999999999591e+00,7.708719999999999635e-03
1.089989999999999952e+02,5.000589999999999868e+00,7.711339999999999688e-03
1.099989999999999952e+02,5.001450000000000173e+00,7.709900000000000433e-03
1.109989999999999952e+02,5.000919999999999810e+00,7.713870000000000275e-03
1.119989999999999952e+02,5.002209999999999823e+00,7.717469999999999712e-03
1.129989999999999952e+02,5.000989999999999824e+00,7.719580000000000192e-03
1.139989999999999952e+02,4.999909999999999854e+00,7.717749999999999784e-03
1.149989999999999952e+02,5.000270000000000437e+00,7.719509999999999740e-03
1.159989999999999952e+02,5.000560000000000116e+00,7.723719999999999891e-03
1.169989999999999952e+02,5.000630000000000130e+00,7.725619999999999883e-03
1.179989999999999952e+02,4.999329999999999607e+00,7.724080000000000355e-03
1.189989999999999952e+02,4.999620000000000175e+00,7.723250000000000080e-03
1.199989999999999952e+02,4.999760000000000204e+00,7.722889999999999616e-03
1.209989999999999952e+02,5.000840000000000174e+00,7.726089999999999694e-03
1.219989999999999952e+02,5.001199999999999868e+00,7.730250000000000142e-03
1.229989999999999952e+02,4.999909999999999854e+00,7.726519999999999742e-03
1.239989999999999952e+02,4.999259999999999593e+00,7.735500000000000188e-03
1.249989999999999952e+02,5.001490000000000435e+00,7.734129999999999651e-03
1.259989999999999952e+02,5.000919999999999810e+00,7.734210000000000043e-03
1.269989999999999952e+02,5.002189999999999692e+00,7.733270000000000421e-03
1.279989999999999952e+02,5.000609999999999999e+00,7.737800000000000407e-03
1.289989999999999952e+02,5.002119999999999678e+00,7.711939999999999594e-03
1.299989999999999952e+02,5.002620000000000289e+00,7.711499999999999605e-03
1.309989999999999952e+02,5.002410000000000245e+00,7.714269999999999634e-03
