# Mon Jun 12 17:29:48 2023
#  Tiempo [s], Voltage [V], Corriente [A]
#  V=5, N=600, cycles=1, T=1, pw=0.999, limitI=0.0005, rangeI=1e-08, limitV=0.5, rangeV=20, nlpc=0.01
0.000000000000000000e+00,5.003580000000000361e+00,6.855280000000000054e-03
9.994420000000000526e-01,5.003219999999999779e+00,6.506409999999999798e-03
1.999440000000000106e+00,5.002640000000000420e+00,6.784290000000000112e-03
2.999439999999999884e+00,5.003289999999999793e+00,7.556069999999999801e-03
3.999439999999999884e+00,5.003140000000000143e+00,7.535130000000000126e-03
4.999439999999999884e+00,5.002500000000000391e+00,7.527469999999999647e-03
5.999439999999999884e+00,5.002930000000000099e+00,7.511740000000000257e-03
6.999439999999999884e+00,5.003499999999999837e+00,7.477110000000000353e-03
7.999439999999999884e+00,5.003790000000000404e+00,7.372710000000000201e-03
8.999439999999999884e+00,5.002279999999999838e+00,7.306789999999999639e-03
9.999439999999999884e+00,5.001850000000000129e+00,7.239139999999999811e-03
1.099939999999999962e+01,5.003429999999999822e+00,7.200950000000000233e-03
1.199939999999999962e+01,5.003580000000000361e+00,7.333590000000000074e-03
1.299939999999999962e+01,5.002930000000000099e+00,7.393979999999999650e-03
1.399939999999999962e+01,5.001920000000000144e+00,7.459859999999999582e-03
1.499939999999999962e+01,5.001380000000000159e+00,7.565170000000000401e-03
1.599939999999999962e+01,5.001809999999999867e+00,7.571989999999999797e-03
1.699940000000000140e+01,5.002320000000000100e+00,7.577740000000000344e-03
1.799940000000000140e+01,5.002169999999999561e+00,7.553640000000000354e-03
1.899940000000000140e+01,5.001520000000000188e+00,7.561939999999999634e-03
1.999940000000000140e+01,5.001599999999999824e+00,7.619120000000000059e-03
2.099940000000000140e+01,5.001809999999999867e+00,7.612869999999999880e-03
2.199940000000000140e+01,5.001599999999999824e+00,7.623040000000000198e-03
2.299940000000000140e+01,5.001159999999999606e+00,7.632670000000000253e-03
2.399940000000000140e+01,4.999869999999999592e+00,7.646889999999999937e-03
2.499940000000000140e+01,4.999939999999999607e+00,7.654829999999999621e-03
2.599940000000000140e+01,5.000869999999999926e+00,7.660110000000000356e-03
2.699940000000000140e+01,5.001809999999999867e+00,7.676279999999999736e-03
2.799940000000000140e+01,5.001879999999999882e+00,7.678719999999999990e-03
