# Mon Jun 12 20:24:24 2023
#  Tiempo [s], Voltage [V], Corriente [A]
#  V=5, N=600, cycles=1, T=1, pw=0.999, limitI=0.0005, rangeI=1e-08, limitV=0.5, rangeV=20, nlpc=0.01
0.000000000000000000e+00,5.003930000000000433e+00,4.819140000000000077e-04
9.994480000000000031e-01,5.003639999999999866e+00,4.868380000000000168e-04
1.999449999999999950e+00,5.002629999999999910e+00,4.892050000000000435e-04
2.999449999999999950e+00,5.004430000000000156e+00,4.972060000000000368e-04
3.999449999999999950e+00,5.003140000000000143e+00,4.907260000000000311e-04
4.999450000000000394e+00,5.004069999999999574e+00,4.977539999999999916e-04
5.999450000000000394e+00,5.003140000000000143e+00,4.984440000000000138e-04
6.999450000000000394e+00,5.002410000000000245e+00,5.001810000000000414e-04
7.999450000000000394e+00,5.004220000000000113e+00,4.981680000000000049e-04
8.999449999999999505e+00,5.003350000000000186e+00,4.962330000000000040e-04
9.999449999999999505e+00,5.003639999999999866e+00,4.968769999999999524e-04
1.099939999999999962e+01,5.002849999999999575e+00,4.965520000000000394e-04
1.199939999999999962e+01,5.002489999999999881e+00,4.958270000000000082e-04
1.299939999999999962e+01,5.003280000000000172e+00,4.962939999999999886e-04
1.399939999999999962e+01,5.003569999999999851e+00,4.965619999999999800e-04
1.499939999999999962e+01,5.003829999999999778e+00,4.966359999999999525e-04
1.599939999999999962e+01,5.002239999999999576e+00,5.035620000000000417e-04
1.699940000000000140e+01,5.003040000000000376e+00,4.984819999999999616e-04
1.799940000000000140e+01,5.002670000000000172e+00,5.024370000000000008e-04
1.899940000000000140e+01,5.003680000000000128e+00,5.035509999999999769e-04
1.999940000000000140e+01,5.003680000000000128e+00,5.026170000000000160e-04
2.099940000000000140e+01,5.002030000000000420e+00,5.059279999999999984e-04
2.199940000000000140e+01,5.001590000000000202e+00,5.046690000000000160e-04
2.299940000000000140e+01,5.001809999999999867e+00,5.043110000000000171e-04
2.399940000000000140e+01,5.003680000000000128e+00,5.046230000000000507e-04
2.499940000000000140e+01,5.001590000000000202e+00,5.054680000000000197e-04
2.599940000000000140e+01,5.001450000000000173e+00,5.039540000000000339e-04
2.699940000000000140e+01,5.003250000000000419e+00,5.059459999999999565e-04
2.799940000000000140e+01,5.003759999999999764e+00,5.088500000000000358e-04
2.899940000000000140e+01,5.004260000000000375e+00,5.094620000000000225e-04
2.999940000000000140e+01,5.003040000000000376e+00,5.071410000000000154e-04
3.099940000000000140e+01,5.001369999999999649e+00,5.043079999999999698e-04
3.199940000000000140e+01,5.002089999999999925e+00,5.054649999999999725e-04
3.299940000000000140e+01,5.002239999999999576e+00,5.061970000000000055e-04
3.399940000000000140e+01,5.002819999999999823e+00,5.016200000000000389e-04
3.499940000000000140e+01,5.001949999999999896e+00,5.017290000000000205e-04
3.599940000000000140e+01,5.002089999999999925e+00,5.069640000000000474e-04
3.699940000000000140e+01,5.002530000000000143e+00,4.947789999999999870e-04
3.799940000000000140e+01,5.002889999999999837e+00,5.012659999999999946e-04
3.899940000000000140e+01,5.003250000000000419e+00,5.009619999999999785e-04
3.999940000000000140e+01,5.001879999999999882e+00,5.057160000000000214e-04
4.099940000000000140e+01,5.000720000000000276e+00,5.046929999999999602e-04
4.199940000000000140e+01,5.002379999999999605e+00,5.041279999999999546e-04
4.299940000000000140e+01,5.002460000000000129e+00,5.051390000000000437e-04
4.399940000000000140e+01,5.002019999999999911e+00,5.064159999999999842e-04
4.499940000000000140e+01,5.000289999999999679e+00,5.074240000000000261e-04
4.599940000000000140e+01,5.003180000000000405e+00,5.098010000000000475e-04
4.699940000000000140e+01,5.002239999999999576e+00,5.084840000000000193e-04
4.799940000000000140e+01,5.002100000000000435e+00,5.068069999999999607e-04
4.899940000000000140e+01,5.001590000000000202e+00,5.077439999999999688e-04
4.999940000000000140e+01,5.000729999999999897e+00,5.059049999999999615e-04
5.099940000000000140e+01,5.002100000000000435e+00,5.105990000000000355e-04
5.199940000000000140e+01,5.001019999999999577e+00,5.111290000000000321e-04
5.299940000000000140e+01,5.002309999999999590e+00,5.151720000000000474e-04
5.399940000000000140e+01,5.000869999999999926e+00,5.194769999999999596e-04
5.499940000000000140e+01,4.999859999999999971e+00,5.150270000000000412e-04
5.599940000000000140e+01,5.000370000000000203e+00,5.187549999999999757e-04
5.699940000000000140e+01,5.001299999999999635e+00,5.068110000000000236e-04
5.799940000000000140e+01,5.001299999999999635e+00,5.090000000000000123e-04
5.899940000000000140e+01,5.002600000000000158e+00,5.106239999999999954e-04
5.999940000000000140e+01,5.000659999999999883e+00,5.094239999999999663e-04
6.099940000000000140e+01,5.002030000000000420e+00,5.069239999999999597e-04
6.199940000000000140e+01,5.001660000000000217e+00,5.056929999999999845e-04
6.299940000000000140e+01,5.002180000000000071e+00,5.063379999999999487e-04
6.399940000000000140e+01,5.002180000000000071e+00,5.059100000000000402e-04
6.499939999999999429e+01,5.000449999999999839e+00,5.020410000000000541e-04
6.599939999999999429e+01,5.000880000000000436e+00,5.041130000000000437e-04
6.699939999999999429e+01,5.001310000000000144e+00,5.058960000000000366e-04
6.799939999999999429e+01,5.002679999999999794e+00,5.031939999999999937e-04
6.899939999999999429e+01,5.001030000000000086e+00,5.032079999999999973e-04
6.999939999999999429e+01,5.000670000000000393e+00,5.072759999999999726e-04
7.099939999999999429e+01,5.001960000000000406e+00,5.072009999999999843e-04
7.199939999999999429e+01,5.002609999999999779e+00,5.034479999999999815e-04
7.299939999999999429e+01,5.002250000000000085e+00,5.004949999999999980e-04
7.399939999999999429e+01,5.001820000000000377e+00,5.012550000000000382e-04
7.499939999999999429e+01,5.002399999999999736e+00,5.007990000000000141e-04
7.599939999999999429e+01,5.000670000000000393e+00,4.999820000000000523e-04
7.699939999999999429e+01,5.003689999999999749e+00,5.017119999999999696e-04
7.799939999999999429e+01,5.001599999999999824e+00,5.007069999999999750e-04
7.899939999999999429e+01,5.001219999999999999e+00,5.031529999999999987e-04
7.999939999999999429e+01,5.000359999999999694e+00,5.034220000000000058e-04
8.099939999999999429e+01,5.001079999999999970e+00,5.018769999999999655e-04
8.199939999999999429e+01,5.001579999999999693e+00,5.003059999999999495e-04
8.299939999999999429e+01,5.000790000000000290e+00,5.000200000000000001e-04
8.399939999999999429e+01,5.000720000000000276e+00,5.016289999999999638e-04
8.499939999999999429e+01,5.001149999999999984e+00,5.053920000000000157e-04
8.599939999999999429e+01,5.002159999999999940e+00,5.027039999999999764e-04
8.699939999999999429e+01,5.003160000000000274e+00,5.081620000000000451e-04
8.799939999999999429e+01,5.001800000000000246e+00,5.064219999999999703e-04
8.899939999999999429e+01,5.001079999999999970e+00,5.072850000000000059e-04
8.999939999999999429e+01,5.001000000000000334e+00,5.036450000000000475e-04
9.099939999999999429e+01,5.001219999999999999e+00,5.015119999999999648e-04
9.199939999999999429e+01,5.001800000000000246e+00,4.983039999999999779e-04
9.299939999999999429e+01,5.000000000000000000e+00,5.025490000000000295e-04
9.399939999999999429e+01,5.000860000000000305e+00,5.028349999999999790e-04
9.499939999999999429e+01,5.001120000000000232e+00,4.987620000000000334e-04
9.599939999999999429e+01,5.002130000000000187e+00,4.960319999999999833e-04
9.699939999999999429e+01,5.002629999999999910e+00,4.977929999999999551e-04
9.799939999999999429e+01,5.001050000000000217e+00,4.998729999999999623e-04
9.899939999999999429e+01,5.001479999999999926e+00,4.949530000000000162e-04
9.999939999999999429e+01,5.001839999999999620e+00,4.945359999999999557e-04
1.009989999999999952e+02,5.001769999999999605e+00,4.979350000000000226e-04
1.019989999999999952e+02,5.000980000000000203e+00,4.947800000000000028e-04
1.029989999999999952e+02,5.000329999999999941e+00,4.940940000000000436e-04
1.039989999999999952e+02,5.002060000000000173e+00,4.931739999999999778e-04
1.049989999999999952e+02,5.002130000000000187e+00,4.845860000000000120e-04
1.059989999999999952e+02,5.002060000000000173e+00,4.905810000000000249e-04
1.069989999999999952e+02,5.002489999999999881e+00,4.965870000000000483e-04
1.079989999999999952e+02,5.001260000000000261e+00,4.982600000000000440e-04
1.089989999999999952e+02,5.002200000000000202e+00,4.922900000000000453e-04
1.099989999999999952e+02,5.002419999999999867e+00,4.887389999999999703e-04
1.109989999999999952e+02,5.002290000000000347e+00,4.927010000000000113e-04
1.119989999999999952e+02,5.000350000000000072e+00,4.951239999999999981e-04
1.129989999999999952e+02,5.000350000000000072e+00,4.962910000000000498e-04
1.139989999999999952e+02,5.000779999999999781e+00,4.911870000000000255e-04
1.149989999999999952e+02,5.001789999999999736e+00,4.941470000000000107e-04
1.159989999999999952e+02,5.001999999999999780e+00,4.939809999999999991e-04
1.169989999999999952e+02,5.001640000000000086e+00,4.917740000000000522e-04
1.179989999999999952e+02,5.000490000000000101e+00,4.885939999999999641e-04
1.189989999999999952e+02,5.002150000000000318e+00,4.849899999999999762e-04
1.199989999999999952e+02,5.001350000000000406e+00,4.889830000000000175e-04
1.209989999999999952e+02,5.002080000000000304e+00,4.932380000000000098e-04
1.219989999999999952e+02,5.001280000000000392e+00,4.891490000000000291e-04
1.229989999999999952e+02,5.001640000000000086e+00,4.928419999999999546e-04
1.239989999999999952e+02,5.001350000000000406e+00,4.978260000000000410e-04
1.249989999999999952e+02,5.000779999999999781e+00,4.983989999999999558e-04
1.259989999999999952e+02,5.001929999999999765e+00,4.941540000000000125e-04
1.269989999999999952e+02,4.999699999999999811e+00,4.895760000000000303e-04
1.279989999999999952e+02,5.000490000000000101e+00,4.920309999999999788e-04
1.289989999999999952e+02,5.000630000000000130e+00,4.967459999999999497e-04
1.299989999999999952e+02,5.001140000000000363e+00,4.970919999999999766e-04
1.309989999999999952e+02,4.999410000000000132e+00,4.975199999999999935e-04
1.319989999999999952e+02,4.999550000000000161e+00,4.983379999999999711e-04
1.329989999999999952e+02,5.000779999999999781e+00,5.006330000000000025e-04
1.339989999999999952e+02,4.999119999999999564e+00,4.963069999999999765e-04
1.349989999999999952e+02,5.000919999999999810e+00,4.971809999999999685e-04
1.359989999999999952e+02,4.999839999999999840e+00,4.956990000000000528e-04
1.369989999999999952e+02,4.999119999999999564e+00,4.951369999999999860e-04
1.379989999999999952e+02,4.999769999999999825e+00,4.957730000000000253e-04
1.389989999999999952e+02,5.000130000000000408e+00,4.983089999999999482e-04
1.399989999999999952e+02,5.000490000000000101e+00,4.947859999999999888e-04
1.409989999999999952e+02,4.999340000000000117e+00,4.954480000000000038e-04
1.419989999999999952e+02,5.000560000000000116e+00,4.967669999999999551e-04
1.429989999999999952e+02,5.003289999999999793e+00,4.969249999999999492e-04
1.439989999999999952e+02,5.002139999999999809e+00,4.969860000000000423e-04
1.449989999999999952e+02,5.002930000000000099e+00,4.994790000000000471e-04
1.459989999999999952e+02,5.002720000000000056e+00,4.961860000000000229e-04
1.469989999999999952e+02,5.002209999999999823e+00,4.982940000000000372e-04
1.479989999999999952e+02,5.001780000000000115e+00,5.029029999999999655e-04
1.489989999999999952e+02,5.001929999999999765e+00,5.003779999999999990e-04
1.499989999999999952e+02,5.002209999999999823e+00,4.973679999999999855e-04
1.509989999999999952e+02,5.001640000000000086e+00,5.024969999999999697e-04
1.519989999999999952e+02,5.001420000000000421e+00,4.977319999999999705e-04
1.529989999999999952e+02,5.001780000000000115e+00,4.986199999999999660e-04
1.539989999999999952e+02,5.001929999999999765e+00,4.947680000000000307e-04
1.549989999999999952e+02,5.002790000000000070e+00,5.009440000000000203e-04
1.559989999999999952e+02,5.001640000000000086e+00,4.933879999999999863e-04
1.569989999999999952e+02,5.001999999999999780e+00,5.167449999999999865e-04
1.579989999999999952e+02,5.002360000000000362e+00,5.249690000000000216e-04
1.589989999999999952e+02,5.002089999999999925e+00,5.326480000000000407e-04
1.599989999999999952e+02,5.003029999999999866e+00,5.311229999999999901e-04
1.609989999999999952e+02,5.001509999999999678e+00,5.358809999999999876e-04
1.619989999999999952e+02,5.003169999999999895e+00,5.306139999999999989e-04
1.629989999999999952e+02,5.002950000000000230e+00,5.276960000000000244e-04
1.639989999999999952e+02,5.002449999999999619e+00,5.208479999999999707e-04
1.649989999999999952e+02,5.003239999999999910e+00,5.127159999999999747e-04
1.659989999999999952e+02,5.003099999999999881e+00,5.134550000000000095e-04
1.669989999999999952e+02,5.003029999999999866e+00,5.156269999999999474e-04
1.679989999999999952e+02,5.002950000000000230e+00,5.189020000000000134e-04
1.689989999999999952e+02,5.002740000000000187e+00,5.182130000000000070e-04
1.699989999999999952e+02,5.002379999999999605e+00,5.209859999999999752e-04
1.709989999999999952e+02,5.002670000000000172e+00,5.246959999999999515e-04
1.719989999999999952e+02,5.003099999999999881e+00,5.198890000000000499e-04
1.729989999999999952e+02,5.002299999999999969e+00,5.260329999999999694e-04
1.739989999999999952e+02,5.002519999999999634e+00,5.218630000000000144e-04
1.749989999999999952e+02,5.000359999999999694e+00,5.265689999999999520e-04
1.759989999999999952e+02,5.000790000000000290e+00,5.246520000000000176e-04
1.769989999999999952e+02,5.000790000000000290e+00,5.245169999999999520e-04
1.779989999999999952e+02,5.000140000000000029e+00,5.220560000000000174e-04
1.789989999999999952e+02,5.000210000000000043e+00,5.181009999999999782e-04
1.799989999999999952e+02,5.000639999999999752e+00,5.227489999999999784e-04
1.809989999999999952e+02,5.000790000000000290e+00,5.218609999999999829e-04
1.819989999999999952e+02,5.000359999999999694e+00,5.180270000000000057e-04
1.829989999999999952e+02,4.999780000000000335e+00,5.193209999999999970e-04
1.839989999999999952e+02,5.000930000000000319e+00,5.198870000000000184e-04
1.849989999999999952e+02,5.000280000000000058e+00,5.215890000000000370e-04
1.859989999999999952e+02,5.001509999999999678e+00,5.249280000000000265e-04
1.869989999999999952e+02,5.001149999999999984e+00,5.260669999999999626e-04
1.879989999999999952e+02,5.000860000000000305e+00,5.262469999999999778e-04
1.889989999999999952e+02,5.000790000000000290e+00,5.247119999999999866e-04
1.899989999999999952e+02,5.000140000000000029e+00,5.231909999999999989e-04
1.909989999999999952e+02,5.000700000000000145e+00,5.256259999999999578e-04
1.919989999999999952e+02,4.999620000000000175e+00,5.269419999999999703e-04
1.929989999999999952e+02,5.000630000000000130e+00,5.286180000000000132e-04
1.939989999999999952e+02,5.001280000000000392e+00,5.308790000000000514e-04
1.949989999999999952e+02,5.001059999999999839e+00,5.269810000000000423e-04
1.959989999999999952e+02,5.002139999999999809e+00,5.224640000000000447e-04
1.969989999999999952e+02,5.000700000000000145e+00,5.286859999999999997e-04
1.979989999999999952e+02,5.000339999999999563e+00,5.261960000000000422e-04
1.989989999999999952e+02,5.001640000000000086e+00,5.278540000000000185e-04
1.999989999999999952e+02,5.001710000000000100e+00,5.249509999999999550e-04
2.009989999999999952e+02,5.000849999999999795e+00,5.299019999999999555e-04
2.019989999999999952e+02,4.999909999999999854e+00,5.292229999999999981e-04
2.029989999999999952e+02,5.001280000000000392e+00,5.294709999999999998e-04
2.039989999999999952e+02,5.001780000000000115e+00,5.274760000000000299e-04
2.049989999999999952e+02,5.001140000000000363e+00,5.322900000000000418e-04
2.059989999999999952e+02,5.001929999999999765e+00,5.319149999999999920e-04
2.069989999999999952e+02,5.000799999999999912e+00,5.305260000000000227e-04
2.079989999999999952e+02,5.001879999999999882e+00,5.308929999999999465e-04
2.089989999999999952e+02,5.001949999999999896e+00,5.329380000000000532e-04
2.099989999999999952e+02,5.001299999999999635e+00,5.339809999999999956e-04
2.109989999999999952e+02,5.001299999999999635e+00,5.325100000000000363e-04
2.119989999999999952e+02,4.999500000000000277e+00,5.312469999999999909e-04
2.129989999999999952e+02,5.000009999999999621e+00,5.276179999999999889e-04
2.139989999999999952e+02,5.001520000000000188e+00,5.266059999999999925e-04
2.149989999999999952e+02,5.001380000000000159e+00,5.294860000000000191e-04
2.159989999999999952e+02,5.002100000000000435e+00,5.281770000000000085e-04
2.169989999999999952e+02,5.000510000000000232e+00,5.325630000000000034e-04
2.179989999999999952e+02,5.000939999999999941e+00,5.329030000000000442e-04
2.189989999999999952e+02,5.002169999999999561e+00,5.351699999999999600e-04
2.199989999999999952e+02,5.002460000000000129e+00,5.399380000000000065e-04
2.209989999999999952e+02,5.001809999999999867e+00,5.316570000000000497e-04
2.219989999999999952e+02,4.999719999999999942e+00,5.325590000000000488e-04
2.229989999999999952e+02,5.000689999999999635e+00,5.329150000000000163e-04
2.239989999999999952e+02,5.001920000000000144e+00,5.332820000000000485e-04
2.249989999999999952e+02,5.002209999999999823e+00,5.335160000000000466e-04
2.259989999999999952e+02,5.000770000000000159e+00,5.343509999999999666e-04
2.269989999999999952e+02,5.000549999999999606e+00,5.327129999999999799e-04
2.279989999999999952e+02,5.001629999999999576e+00,5.344250000000000476e-04
2.289989999999999952e+02,5.001920000000000144e+00,5.368270000000000290e-04
2.299989999999999952e+02,5.002500000000000391e+00,5.371339999999999839e-04
2.309989999999999952e+02,5.001269999999999882e+00,5.346160000000000192e-04
2.319989999999999952e+02,5.000409999999999577e+00,5.364910000000000512e-04
2.329989999999999952e+02,5.000980000000000203e+00,5.326099999999999845e-04
2.339989999999999952e+02,5.002930000000000099e+00,5.370390000000000059e-04
2.349989999999999952e+02,5.001629999999999576e+00,5.360910000000000415e-04
2.359989999999999952e+02,5.001199999999999868e+00,5.328579999999999862e-04
2.369989999999999952e+02,5.000409999999999577e+00,5.321329999999999550e-04
2.379989999999999952e+02,5.000840000000000174e+00,5.359349999999999704e-04
2.389989999999999952e+02,5.002480000000000260e+00,5.306440000000000375e-04
2.399989999999999952e+02,5.001179999999999737e+00,5.344430000000000057e-04
2.409989999999999952e+02,5.001400000000000290e+00,5.336370000000000002e-04
2.419989999999999952e+02,5.002550000000000274e+00,5.371490000000000032e-04
