# Mon Jun 12 20:13:16 2023
#  Tiempo [s], Voltage [V], Corriente [A]
#  V=5, N=600, cycles=1, T=1, pw=0.999, limitI=0.0005, rangeI=1e-08, limitV=0.5, rangeV=20, nlpc=0.01
0.000000000000000000e+00,5.005040000000000155e+00,1.472610000000000119e-04
9.994450000000000278e-01,5.004030000000000200e+00,1.483149999999999920e-04
1.999440000000000106e+00,5.005399999999999849e+00,1.593239999999999945e-04
2.999439999999999884e+00,5.005550000000000388e+00,1.701560000000000019e-04
3.999439999999999884e+00,5.004030000000000200e+00,1.793649999999999878e-04
4.999439999999999884e+00,5.004679999999999573e+00,1.895920000000000103e-04
5.999439999999999884e+00,5.005469999999999864e+00,1.933949999999999873e-04
6.999439999999999884e+00,5.004609999999999559e+00,2.123070000000000122e-04
7.999439999999999884e+00,5.004459999999999908e+00,2.205350000000000019e-04
8.999439999999999884e+00,5.003020000000000245e+00,2.265729999999999871e-04
9.999439999999999884e+00,5.005040000000000155e+00,2.305780000000000004e-04
1.099939999999999962e+01,5.004540000000000433e+00,2.340449999999999996e-04
1.199939999999999962e+01,5.005110000000000170e+00,2.442149999999999920e-04
1.299939999999999962e+01,5.003809999999999647e+00,2.404619999999999891e-04
1.399939999999999962e+01,5.004609999999999559e+00,2.410169999999999999e-04
1.499939999999999962e+01,5.002530000000000143e+00,2.531739999999999989e-04
1.599939999999999962e+01,5.003320000000000434e+00,2.576869999999999877e-04
1.699940000000000140e+01,5.003110000000000390e+00,2.600039999999999860e-04
1.799940000000000140e+01,5.001949999999999896e+00,2.679520000000000122e-04
1.899940000000000140e+01,5.002169999999999561e+00,2.766180000000000136e-04
1.999940000000000140e+01,5.002530000000000143e+00,2.813900000000000147e-04
2.099940000000000140e+01,5.003040000000000376e+00,2.738490000000000000e-04
2.199940000000000140e+01,5.002100000000000435e+00,2.820510000000000139e-04
2.299940000000000140e+01,5.000729999999999897e+00,2.897590000000000018e-04
2.399940000000000140e+01,5.000580000000000247e+00,2.874169999999999893e-04
