# Wed Jun 14 18:39:19 2023
#  Tiempo [s], Voltage [V], Corriente [A]
#  V=5, N=600, cycles=1, T=1, pw=0.999, limitI=0.0005, rangeI=1e-08, limitV=0.5, rangeV=20, nlpc=0.01
0.000000000000000000e+00,5.002379999999999605e+00,1.561909999999999959e-04
9.994459999999999456e-01,5.001730000000000231e+00,1.561029999999999926e-04
1.999449999999999950e+00,5.002299999999999969e+00,1.561060000000000128e-04
2.999449999999999950e+00,5.002089999999999925e+00,1.560990000000000110e-04
3.999449999999999950e+00,5.001800000000000246e+00,1.560110000000000077e-04
4.999450000000000394e+00,5.001660000000000217e+00,1.560710000000000038e-04
5.999450000000000394e+00,5.001870000000000260e+00,1.560570000000000002e-04
6.999450000000000394e+00,5.001870000000000260e+00,1.560780000000000056e-04
7.999450000000000394e+00,5.002019999999999911e+00,1.560640000000000020e-04
8.999449999999999505e+00,5.003029999999999866e+00,1.560599999999999932e-04
9.999449999999999505e+00,5.002229999999999954e+00,1.560429999999999966e-04
1.099939999999999962e+01,5.002019999999999911e+00,1.561060000000000128e-04
1.199939999999999962e+01,5.001579999999999693e+00,1.560990000000000110e-04
1.299939999999999962e+01,5.002740000000000187e+00,1.560780000000000056e-04
1.399939999999999962e+01,5.001009999999999955e+00,1.561699999999999905e-04
1.499939999999999962e+01,5.000779999999999781e+00,1.561249999999999867e-04
1.599939999999999962e+01,5.000860000000000305e+00,1.562839999999999965e-04
1.699940000000000140e+01,5.000930000000000319e+00,1.562310000000000022e-04
1.799940000000000140e+01,5.000709999999999766e+00,1.561040000000000084e-04
1.899940000000000140e+01,5.001140000000000363e+00,1.561959999999999933e-04
1.999940000000000140e+01,5.001000000000000334e+00,1.562029999999999951e-04
2.099940000000000140e+01,5.000210000000000043e+00,1.561500000000000008e-04
2.199940000000000140e+01,5.001789999999999736e+00,1.561739999999999992e-04
2.299940000000000140e+01,5.001000000000000334e+00,1.559800000000000075e-04
2.399940000000000140e+01,5.001290000000000013e+00,1.561110000000000102e-04
2.499940000000000140e+01,5.001000000000000334e+00,1.561739999999999992e-04
2.599940000000000140e+01,5.001430000000000042e+00,1.561529999999999938e-04
2.699940000000000140e+01,5.001140000000000363e+00,1.561319999999999885e-04
2.799940000000000140e+01,5.001500000000000057e+00,1.562029999999999951e-04
