# Wed Jun 14 18:29:10 2023
#  Tiempo [s], Voltage [V], Corriente [A]
#  V=5, N=600, cycles=1, T=1, pw=0.999, limitI=0.0005, rangeI=1e-08, limitV=0.5, rangeV=20, nlpc=0.01
0.000000000000000000e+00,5.003779999999999895e+00,1.646530000000000107e-04
9.994420000000000526e-01,5.003569999999999851e+00,1.644689999999999867e-04
1.999440000000000106e+00,5.003140000000000143e+00,1.644550000000000102e-04
2.999439999999999884e+00,5.002559999999999896e+00,1.644200000000000013e-04
3.999439999999999884e+00,5.003420000000000201e+00,1.644340000000000049e-04
4.999439999999999884e+00,5.003210000000000157e+00,1.645890000000000059e-04
5.999439999999999884e+00,5.003860000000000419e+00,1.645399999999999933e-04
6.999439999999999884e+00,5.004430000000000156e+00,1.646109999999999999e-04
7.999439999999999884e+00,5.002559999999999896e+00,1.646109999999999999e-04
8.999439999999999884e+00,5.003350000000000186e+00,1.646069999999999912e-04
9.999439999999999884e+00,5.003350000000000186e+00,1.646809999999999908e-04
1.099939999999999962e+01,5.003999999999999559e+00,1.646920000000000014e-04
1.199939999999999962e+01,5.003930000000000433e+00,1.648189999999999952e-04
1.299939999999999962e+01,5.001909999999999634e+00,1.648300000000000058e-04
1.399939999999999962e+01,5.002410000000000245e+00,1.649400000000000031e-04
1.499939999999999962e+01,5.000820000000000043e+00,1.649979999999999947e-04
1.599939999999999962e+01,5.001260000000000261e+00,1.650540000000000091e-04
1.699940000000000140e+01,4.999530000000000030e+00,1.650760000000000031e-04
1.799940000000000140e+01,5.000099999999999767e+00,1.652839999999999984e-04
1.899940000000000140e+01,5.000539999999999985e+00,1.653729999999999903e-04
1.999940000000000140e+01,5.002480000000000260e+00,1.652880000000000072e-04
2.099940000000000140e+01,5.002699999999999925e+00,1.652980000000000020e-04
2.199940000000000140e+01,5.000750000000000028e+00,1.653550000000000050e-04
2.299940000000000140e+01,5.000750000000000028e+00,1.654890000000000007e-04
2.399940000000000140e+01,5.000969999999999693e+00,1.656309999999999868e-04
2.499940000000000140e+01,5.002340000000000231e+00,1.655600000000000073e-04
2.599940000000000140e+01,5.000539999999999985e+00,1.655960000000000049e-04
2.699940000000000140e+01,4.999959999999999738e+00,1.657050000000000135e-04
2.799940000000000140e+01,5.000460000000000349e+00,1.657650000000000096e-04
2.899940000000000140e+01,5.000099999999999767e+00,1.658929999999999921e-04
2.999940000000000140e+01,5.001039999999999708e+00,1.659599999999999899e-04
3.099940000000000140e+01,5.001890000000000391e+00,1.661490000000000113e-04
3.199940000000000140e+01,5.001170000000000115e+00,1.662690000000000034e-04
3.299940000000000140e+01,5.002390000000000114e+00,1.662339999999999944e-04
3.399940000000000140e+01,5.002679999999999794e+00,1.663050000000000010e-04
3.499940000000000140e+01,5.003400000000000070e+00,1.664109999999999895e-04
3.599940000000000140e+01,5.002679999999999794e+00,1.663790000000000006e-04
3.699940000000000140e+01,5.003190000000000026e+00,1.665699999999999993e-04
3.799940000000000140e+01,5.002539999999999765e+00,1.666620000000000113e-04
3.899940000000000140e+01,5.002469999999999750e+00,1.666659999999999930e-04
3.999940000000000140e+01,5.002390000000000114e+00,1.667150000000000055e-04
4.099940000000000140e+01,5.000949999999999562e+00,1.667510000000000032e-04
4.199940000000000140e+01,5.002539999999999765e+00,1.667820000000000034e-04
4.299940000000000140e+01,5.002030000000000420e+00,1.667469999999999944e-04
4.399940000000000140e+01,5.002180000000000071e+00,1.668669999999999865e-04
4.499940000000000140e+01,5.002749999999999808e+00,1.668460000000000082e-04
4.599940000000000140e+01,5.001820000000000377e+00,1.668739999999999883e-04
