# Wed Jun 14 20:22:52 2023
#  Tiempo [s], Voltage [V], Corriente [A]
#  Vpos=5, Vneg=0.001, stepPos=0.1, stepNeg=2e-05, rev=0, hslV=0.4, hslF=1, cycles=1, T=0.5, pw=0.25, limitI=0.0005, rangeI=1e-08, limitV=0.5, rangeV=20, nlpc=0.001
0.000000000000000000e+00,4.007519999999999971e-01,3.085499999999999935e-07
2.943839999999999790e-01,9.994119999999999393e-02,3.131040000000000222e-08
5.001590000000000202e-01,4.009469999999999978e-01,4.417680000000000155e-07
7.496829999999999883e-01,1.991380000000000094e-01,9.477569999999999812e-08
9.991409999999999458e-01,4.020170000000000132e-01,4.452620000000000070e-07
1.249139999999999917e+00,3.011309999999999820e-01,1.901769999999999962e-07
1.499139999999999917e+00,4.017249999999999988e-01,3.609659999999999779e-07
1.749139999999999917e+00,4.022120000000000140e-01,3.583010000000000001e-07
1.999139999999999917e+00,4.004599999999999826e-01,3.569909999999999969e-07
2.249140000000000139e+00,5.030000000000000027e-01,6.024290000000000008e-07
2.499140000000000139e+00,4.018229999999999857e-01,3.535840000000000247e-07
2.749680000000000124e+00,6.028160000000000185e-01,9.336100000000000068e-07
2.999680000000000124e+00,4.028930000000000011e-01,3.689159999999999929e-07
3.249670000000000059e+00,7.025339999999999918e-01,1.347630000000000004e-06
3.499680000000000124e+00,4.008499999999999841e-01,3.621890000000000148e-07
3.749699999999999811e+00,8.025440000000000351e-01,1.910629999999999950e-06
3.999680000000000124e+00,4.009469999999999978e-01,3.659020000000000163e-07
4.249670000000000059e+00,9.028460000000000374e-01,2.600299999999999905e-06
4.499679999999999680e+00,4.009469999999999978e-01,3.590880000000000190e-07
4.749679999999999680e+00,1.003630000000000022e+00,3.401769999999999789e-06
4.999679999999999680e+00,4.042549999999999755e-01,3.809280000000000081e-07
5.249670000000000059e+00,1.103259999999999907e+00,4.409399999999999660e-06
5.499670000000000059e+00,4.010440000000000116e-01,3.817579999999999963e-07
5.749670000000000059e+00,1.203750000000000098e+00,5.516620000000000386e-06
5.999670000000000059e+00,4.014329999999999843e-01,3.762100000000000051e-07
6.249679999999999680e+00,1.303080000000000016e+00,6.750940000000000284e-06
6.499670000000000059e+00,4.018229999999999857e-01,3.783510000000000241e-07
6.749679999999999680e+00,1.403680000000000039e+00,8.143370000000000266e-06
6.999679999999999680e+00,4.029900000000000149e-01,3.871739999999999966e-07
7.249670000000000059e+00,1.500769999999999937e+00,9.950729999999999848e-06
7.499670000000000059e+00,4.027950000000000141e-01,3.793989999999999948e-07
7.749959999999999738e+00,1.602039999999999909e+00,1.144339999999999957e-05
7.999670000000000059e+00,3.985130000000000061e-01,3.045560000000000174e-07
8.249959999999999738e+00,1.701529999999999987e+00,1.432000000000000011e-05
8.499670000000000059e+00,3.997780000000000222e-01,2.883100000000000187e-07
8.749950000000000117e+00,1.799670000000000103e+00,1.602690000000000066e-05
8.999670000000000059e+00,3.996799999999999797e-01,3.117610000000000082e-07
9.249959999999999738e+00,1.901310000000000056e+00,1.841319999999999847e-05
9.499679999999999680e+00,4.004579999999999806e-01,3.018920000000000142e-07
9.749950000000000117e+00,1.999349999999999961e+00,2.097359999999999855e-05
9.999679999999999680e+00,3.995830000000000215e-01,3.036819999999999793e-07
1.025000000000000000e+01,2.101109999999999811e+00,2.410299999999999945e-05
1.049970000000000070e+01,3.986100000000000199e-01,3.175689999999999765e-07
1.075000000000000000e+01,2.201420000000000154e+00,2.725789999999999867e-05
1.099970000000000070e+01,4.001669999999999949e-01,3.041190000000000248e-07
1.125000000000000000e+01,2.294799999999999951e+00,3.070149999999999735e-05
1.149970000000000070e+01,4.000690000000000079e-01,3.197970000000000147e-07
1.175000000000000000e+01,2.395109999999999850e+00,3.417909999999999942e-05
1.199970000000000070e+01,4.006529999999999814e-01,3.318060000000000000e-07
1.225000000000000000e+01,2.498000000000000220e+00,3.817890000000000134e-05
1.249970000000000070e+01,3.994860000000000078e-01,3.336840000000000120e-07
1.275000000000000000e+01,2.613869999999999916e+00,4.274350000000000165e-05
1.299970000000000070e+01,3.995830000000000215e-01,3.319810000000000132e-07
1.325000000000000000e+01,2.715899999999999981e+00,4.669670000000000304e-05
1.349970000000000070e+01,4.006529999999999814e-01,3.206700000000000253e-07
1.375000000000000000e+01,2.801509999999999945e+00,5.154999999999999941e-05
1.399970000000000070e+01,4.004579999999999806e-01,3.377020000000000153e-07
1.425000000000000000e+01,2.893159999999999954e+00,5.623769999999999860e-05
1.449970000000000070e+01,4.017229999999999968e-01,3.278319999999999937e-07
1.475000000000000000e+01,3.003839999999999844e+00,6.208040000000000281e-05
1.499970000000000070e+01,4.017229999999999968e-01,3.380950000000000109e-07
1.525009999999999977e+01,3.095499999999999918e+00,6.786359999999999853e-05
1.549970000000000070e+01,3.998749999999999805e-01,3.228100000000000166e-07
1.575000000000000000e+01,3.205319999999999947e+00,7.408840000000000033e-05
1.599970000000000070e+01,3.982020000000000004e-01,3.499309999999999853e-07
1.625000000000000000e+01,3.293470000000000120e+00,8.105279999999999755e-05
1.649970000000000070e+01,3.987850000000000006e-01,3.481850000000000172e-07
1.675000000000000000e+01,3.378169999999999895e+00,8.720589999999999798e-05
1.699970000000000070e+01,3.982020000000000004e-01,3.585289999999999939e-07
1.725000000000000000e+01,3.481869999999999798e+00,9.488229999999999787e-05
1.749970000000000070e+01,3.982990000000000141e-01,3.434710000000000188e-07
1.775019999999999953e+01,3.580389999999999961e+00,1.025489999999999968e-04
1.799970000000000070e+01,3.972300000000000275e-01,3.662099999999999950e-07
