# Wed Jun 14 20:45:07 2023
#  Tiempo [s], Voltage [V], Corriente [A]
#  Vpos=5, Vneg=0.001, stepPos=0.1, stepNeg=2e-05, rev=0, hslV=0.4, hslF=1, cycles=1, T=2, pw=1.0, limitI=0.0005, rangeI=1e-08, limitV=0.5, rangeV=20, nlpc=0.001
0.000000000000000000e+00,4.030850000000000266e-01,3.474089999999999843e-07
1.044380000000000086e+00,1.008740000000000053e-01,3.860870000000000214e-08
2.000160000000000160e+00,4.025980000000000114e-01,4.603219999999999843e-07
3.044369999999999798e+00,2.009469999999999867e-01,1.188580000000000046e-07
4.000149999999999650e+00,4.034739999999999993e-01,3.991489999999999963e-07
4.999670000000000059e+00,3.023700000000000276e-01,2.299870000000000066e-07
5.999130000000000074e+00,4.044479999999999742e-01,4.001109999999999754e-07
6.999130000000000074e+00,4.040590000000000015e-01,4.007660000000000034e-07
7.999130000000000074e+00,4.014499999999999735e-01,4.150709999999999982e-07
8.999129999999999185e+00,5.002969999999999917e-01,6.507480000000000247e-07
9.999129999999999185e+00,3.998929999999999985e-01,4.270339999999999843e-07
1.099910000000000032e+01,5.995329999999999826e-01,9.864069999999999733e-07
1.199910000000000032e+01,3.984340000000000104e-01,4.110540000000000225e-07
1.299970000000000070e+01,7.005200000000000315e-01,1.332180000000000008e-06
1.399970000000000070e+01,4.013530000000000153e-01,3.721969999999999810e-07
1.499980000000000047e+01,8.003400000000000514e-01,1.793630000000000054e-06
1.599970000000000070e+01,3.970009999999999928e-01,3.895019999999999894e-07
1.699970000000000070e+01,8.979519999999999724e-01,2.375249999999999832e-06
1.799970000000000070e+01,3.973900000000000210e-01,3.912489999999999851e-07
1.899970000000000070e+01,9.963929999999999731e-01,3.053709999999999940e-06
1.999970000000000070e+01,3.978760000000000074e-01,3.970559999999999788e-07
2.099909999999999854e+01,1.095809999999999951e+00,3.784559999999999896e-06
2.199909999999999854e+01,3.970009999999999928e-01,4.043910000000000111e-07
2.299970000000000070e+01,1.197060000000000013e+00,4.679580000000000350e-06
2.399970000000000070e+01,3.988800000000000123e-01,4.091630000000000223e-07
2.499970000000000070e+01,1.297460000000000058e+00,5.652410000000000148e-06
2.599970000000000070e+01,3.981999999999999984e-01,4.187219999999999824e-07
2.699970000000000070e+01,1.398339999999999916e+00,6.605650000000000020e-06
2.799970000000000070e+01,3.981029999999999847e-01,3.933620000000000253e-07
2.899970000000000070e+01,1.497759999999999980e+00,7.756169999999999975e-06
2.999970000000000070e+01,3.987829999999999986e-01,3.999530000000000080e-07
3.099980000000000047e+01,1.597469999999999946e+00,9.039820000000000806e-06
3.199970000000000070e+01,4.024730000000000252e-01,3.895110000000000261e-07
3.299969999999999715e+01,1.702720000000000011e+00,1.035920000000000070e-05
3.399969999999999715e+01,4.001379999999999937e-01,3.712700000000000151e-07
3.499969999999999715e+01,1.803530000000000078e+00,1.156839999999999922e-05
3.599969999999999715e+01,4.027649999999999841e-01,3.021470000000000122e-07
3.699969999999999715e+01,1.903939999999999966e+00,1.413969999999999949e-05
3.799969999999999715e+01,4.030569999999999986e-01,2.978269999999999841e-07
3.899969999999999715e+01,2.001930000000000209e+00,1.497980000000000013e-05
3.999969999999999715e+01,3.999820000000000042e-01,3.267899999999999768e-07
4.099969999999999715e+01,2.082359999999999989e+00,1.688049999999999872e-05
4.199969999999999715e+01,3.993990000000000040e-01,3.081909999999999835e-07
4.300000000000000000e+01,2.198139999999999983e+00,1.885020000000000123e-05
4.399969999999999715e+01,4.006629999999999914e-01,3.400630000000000190e-07
4.500000000000000000e+01,2.292330000000000201e+00,2.102359999999999976e-05
4.599969999999999715e+01,4.010520000000000196e-01,3.587060000000000093e-07
4.700010000000000332e+01,2.402060000000000084e+00,2.315470000000000042e-05
4.799969999999999715e+01,3.991739999999999733e-01,3.421420000000000206e-07
4.900000000000000000e+01,2.493209999999999926e+00,2.537159999999999947e-05
4.999969999999999715e+01,3.981040000000000134e-01,3.305259999999999780e-07
5.100000000000000000e+01,2.595180000000000042e+00,2.781719999999999855e-05
5.199969999999999715e+01,4.002430000000000154e-01,3.324479999999999869e-07
5.300000000000000000e+01,2.687650000000000095e+00,3.031810000000000031e-05
5.399969999999999715e+01,4.007290000000000019e-01,3.393909999999999982e-07
5.500000000000000000e+01,2.792219999999999924e+00,3.299730000000000339e-05
5.599969999999999715e+01,3.995480000000000143e-01,3.278350000000000236e-07
5.700000000000000000e+01,2.901720000000000077e+00,3.541880000000000045e-05
5.799969999999999715e+01,4.015900000000000025e-01,3.406290000000000255e-07
5.899989999999999668e+01,2.989889999999999937e+00,3.843320000000000330e-05
5.999969999999999715e+01,4.013950000000000018e-01,3.439040000000000069e-07
6.100000000000000000e+01,3.106580000000000119e+00,4.198680000000000261e-05
6.199969999999999715e+01,4.002290000000000014e-01,3.646449999999999939e-07
6.300010000000000332e+01,3.193020000000000191e+00,4.467850000000000261e-05
6.399969999999999715e+01,4.013079999999999981e-01,3.581819999999999975e-07
6.500000000000000000e+01,3.288390000000000146e+00,4.885010000000000177e-05
6.599970000000000425e+01,3.996560000000000112e-01,3.611070000000000055e-07
6.700000000000000000e+01,3.386859999999999982e+00,5.161789999999999922e-05
6.799970000000000425e+01,3.987820000000000253e-01,3.787460000000000220e-07
6.900000000000000000e+01,3.512109999999999843e+00,5.545539999999999763e-05
6.999970000000000425e+01,3.976160000000000250e-01,3.961659999999999755e-07
7.100000000000000000e+01,3.576029999999999820e+00,5.855010000000000038e-05
7.199970000000000425e+01,4.007339999999999791e-01,3.820600000000000211e-07
7.300000000000000000e+01,3.703219999999999956e+00,6.285949999999999676e-05
7.399970000000000425e+01,4.011230000000000073e-01,3.668679999999999999e-07
7.500000000000000000e+01,3.799199999999999910e+00,6.608540000000000258e-05
7.599970000000000425e+01,3.999559999999999782e-01,3.523750000000000038e-07
7.700000000000000000e+01,3.895169999999999799e+00,7.008380000000000143e-05
7.799970000000000425e+01,3.993720000000000048e-01,3.484460000000000220e-07
7.900010000000000332e+01,4.004979999999999762e+00,7.329690000000000630e-05
7.999970000000000425e+01,3.990909999999999735e-01,3.342880000000000086e-07
8.100000000000000000e+01,4.095489999999999853e+00,7.723689999999999907e-05
8.199970000000000425e+01,3.979249999999999732e-01,3.399190000000000145e-07
8.300000000000000000e+01,4.188799999999999635e+00,8.129450000000000575e-05
8.399970000000000425e+01,3.991890000000000160e-01,3.382169999999999904e-07
8.500000000000000000e+01,4.294220000000000148e+00,8.541579999999999626e-05
8.599970000000000425e+01,3.996739999999999737e-01,3.998980000000000251e-07
8.700000000000000000e+01,4.394449999999999967e+00,8.963890000000000670e-05
8.799970000000000425e+01,3.997700000000000142e-01,3.667300000000000023e-07
8.899989999999999668e+01,4.490109999999999602e+00,9.490129999999999887e-05
8.999970000000000425e+01,3.990900000000000003e-01,3.880229999999999799e-07
9.100000000000000000e+01,4.588580000000000325e+00,1.001900000000000013e-04
9.199970000000000425e+01,3.970489999999999853e-01,4.700529999999999806e-07
9.300000000000000000e+01,4.679289999999999949e+00,1.057050000000000052e-04
9.399970000000000425e+01,4.007410000000000139e-01,4.665189999999999967e-07
9.500029999999999575e+01,4.777759999999999785e+00,1.096929999999999948e-04
9.599970000000000425e+01,3.992530000000000245e-01,4.258560000000000250e-07
