# Wed Jun 14 19:43:54 2023
#  Tiempo [s], Voltage [V], Corriente [A]
#  V=0.4, N=200, cycles=1, T=1, pw=0.999, limitI=0.0005, rangeI=1e-08, limitV=0.5, rangeV=20, nlpc=0.01
0.000000000000000000e+00,5.003300000000000303e+00,2.663809999999999963e-04
9.994560000000000111e-01,5.003449999999999953e+00,2.685499999999999953e-04
1.999460000000000015e+00,5.003589999999999982e+00,2.674280000000000016e-04
2.999460000000000015e+00,5.002220000000000333e+00,2.698019999999999759e-04
3.999460000000000015e+00,5.002369999999999983e+00,2.753380000000000259e-04
4.999460000000000015e+00,5.003009999999999735e+00,2.753990000000000105e-04
5.999460000000000015e+00,5.004240000000000244e+00,2.820990000000000108e-04
6.999460000000000015e+00,5.004019999999999690e+00,2.752070000000000232e-04
7.999460000000000015e+00,5.002650000000000041e+00,2.790599999999999743e-04
8.999459999999999127e+00,5.003300000000000303e+00,2.783449999999999922e-04
9.999459999999999127e+00,5.002869999999999706e+00,2.762719999999999868e-04
1.099949999999999939e+01,5.004739999999999966e+00,2.727629999999999768e-04
1.199949999999999939e+01,5.002650000000000041e+00,2.795660000000000267e-04
1.299949999999999939e+01,5.001570000000000071e+00,2.761309999999999893e-04
1.399949999999999939e+01,5.001789999999999736e+00,2.709410000000000204e-04
1.499949999999999939e+01,5.000339999999999563e+00,2.689559999999999911e-04
1.599949999999999939e+01,5.001929999999999765e+00,2.626810000000000147e-04
1.699950000000000117e+01,5.000049999999999883e+00,2.321330000000000084e-04
1.799950000000000117e+01,5.000339999999999563e+00,1.702929999999999906e-04
1.899950000000000117e+01,5.000270000000000437e+00,1.684110000000000110e-04
1.999950000000000117e+01,5.002430000000000376e+00,1.693099999999999900e-04
2.099950000000000117e+01,5.002069999999999794e+00,1.624189999999999911e-04
2.199950000000000117e+01,5.001420000000000421e+00,1.660940000000000127e-04
2.299950000000000117e+01,5.000630000000000130e+00,1.653090000000000126e-04
2.399950000000000117e+01,5.000490000000000101e+00,1.644179999999999969e-04
2.499950000000000117e+01,5.001210000000000377e+00,1.650470000000000073e-04
2.599950000000000117e+01,5.000849999999999795e+00,1.632109999999999930e-04
2.699950000000000117e+01,4.999909999999999854e+00,1.629319999999999911e-04
2.799950000000000117e+01,5.001210000000000377e+00,1.621500000000000111e-04
2.899950000000000117e+01,5.001129999999999853e+00,1.617749999999999885e-04
2.999950000000000117e+01,5.001490000000000435e+00,1.632639999999999873e-04
3.099950000000000117e+01,5.003000000000000114e+00,2.450719999999999873e-04
3.199950000000000117e+01,5.001629999999999576e+00,2.404100000000000106e-04
3.299949999999999761e+01,5.001199999999999868e+00,2.380620000000000121e-04
3.399949999999999761e+01,5.001990000000000158e+00,2.257629999999999999e-04
3.499949999999999761e+01,5.002419999999999867e+00,2.222469999999999882e-04
3.599949999999999761e+01,5.002349999999999852e+00,2.042470000000000114e-04
3.699949999999999761e+01,5.000770000000000159e+00,2.045759999999999875e-04
