# Wed Jun 14 19:41:01 2023
#  Tiempo [s], Voltage [V], Corriente [A]
#  V=0.4, N=200, cycles=1, T=1, pw=0.999, limitI=0.0005, rangeI=1e-08, limitV=0.5, rangeV=20, nlpc=0.01
0.000000000000000000e+00,4.003099999999999992e-01,4.759769999999999746e-07
9.994499999999999496e-01,4.003099999999999992e-01,4.478090000000000098e-07
1.999449999999999950e+00,4.003430000000000044e-01,4.375200000000000161e-07
2.999449999999999950e+00,4.000670000000000059e-01,4.312430000000000189e-07
3.999449999999999950e+00,4.002209999999999934e-01,4.441920000000000113e-07
4.999450000000000394e+00,4.002129999999999854e-01,4.458110000000000207e-07
5.999450000000000394e+00,4.001319999999999877e-01,4.366280000000000105e-07
6.999450000000000394e+00,4.001560000000000117e-01,4.383669999999999972e-07
7.999450000000000394e+00,4.001890000000000169e-01,4.381240000000000128e-07
8.999449999999999505e+00,4.003180000000000072e-01,4.210119999999999850e-07
9.999449999999999505e+00,4.001399999999999957e-01,4.377710000000000096e-07
1.099939999999999962e+01,4.002780000000000227e-01,4.328920000000000093e-07
1.199939999999999962e+01,4.003099999999999992e-01,4.225409999999999983e-07
1.299939999999999962e+01,4.003510000000000124e-01,4.231809999999999828e-07
1.399939999999999962e+01,4.002859999999999752e-01,4.332950000000000163e-07
1.499939999999999962e+01,3.998800000000000132e-01,4.376330000000000119e-07
1.599939999999999962e+01,3.999519999999999742e-01,4.434900000000000094e-07
1.699940000000000140e+01,3.997419999999999862e-01,4.421690000000000202e-07
1.799940000000000140e+01,4.001230000000000064e-01,4.465169999999999742e-07
1.899940000000000140e+01,3.997990000000000155e-01,4.399279999999999937e-07
1.999940000000000140e+01,3.998959999999999737e-01,4.195480000000000190e-07
2.099940000000000140e+01,4.000170000000000115e-01,4.267400000000000215e-07
2.199940000000000140e+01,3.998630000000000240e-01,4.007720000000000103e-07
2.299940000000000140e+01,4.000009999999999954e-01,4.223670000000000127e-07
2.399940000000000140e+01,3.997339999999999782e-01,4.250379999999999974e-07
2.499940000000000140e+01,3.998630000000000240e-01,4.227060000000000001e-07
2.599940000000000140e+01,3.998880000000000212e-01,4.284279999999999768e-07
2.699940000000000140e+01,3.999610000000000110e-01,4.335109999999999966e-07
2.799940000000000140e+01,4.000739999999999852e-01,4.485469999999999996e-07
2.899940000000000140e+01,3.998720000000000052e-01,4.373119999999999920e-07
2.999940000000000140e+01,3.999199999999999977e-01,4.428199999999999908e-07
3.099940000000000140e+01,4.001290000000000124e-01,4.305109999999999829e-07
3.199940000000000140e+01,4.001859999999999862e-01,4.373139999999999943e-07
3.299940000000000140e+01,4.001529999999999809e-01,4.186580000000000157e-07
3.399940000000000140e+01,4.002589999999999759e-01,4.250540000000000155e-07
3.499940000000000140e+01,4.001939999999999942e-01,4.182249999999999747e-07
3.599940000000000140e+01,4.001779999999999782e-01,4.209500000000000206e-07
3.699940000000000140e+01,4.002180000000000182e-01,4.174099999999999770e-07
3.799940000000000140e+01,4.002589999999999759e-01,4.360729999999999900e-07
3.899940000000000140e+01,4.002100000000000102e-01,4.381249999999999875e-07
3.999940000000000140e+01,4.001210000000000044e-01,4.284950000000000263e-07
4.099940000000000140e+01,4.003229999999999844e-01,4.181230000000000179e-07
4.199940000000000140e+01,4.002749999999999919e-01,4.215429999999999783e-07
4.299940000000000140e+01,4.001859999999999862e-01,4.329809999999999779e-07
4.399940000000000140e+01,4.001290000000000124e-01,4.336500000000000218e-07
4.499940000000000140e+01,4.002020000000000022e-01,4.303430000000000042e-07
4.599940000000000140e+01,4.002510000000000234e-01,4.251560000000000253e-07
4.699940000000000140e+01,3.999210000000000265e-01,4.354430000000000168e-07
4.799940000000000140e+01,3.999460000000000237e-01,4.342790000000000204e-07
4.899940000000000140e+01,3.999210000000000265e-01,4.340830000000000099e-07
4.999940000000000140e+01,4.001399999999999957e-01,4.288289999999999815e-07
5.099940000000000140e+01,3.998889999999999945e-01,4.343449999999999893e-07
5.199940000000000140e+01,3.998650000000000260e-01,4.170890000000000101e-07
5.299940000000000140e+01,3.998650000000000260e-01,4.150049999999999763e-07
5.399940000000000140e+01,3.998079999999999967e-01,4.133749999999999809e-07
5.499940000000000140e+01,3.998729999999999785e-01,4.077139999999999939e-07
5.599940000000000140e+01,3.999780000000000002e-01,4.151790000000000148e-07
5.699940000000000140e+01,3.998809999999999865e-01,4.153210000000000170e-07
5.799940000000000140e+01,3.998970000000000025e-01,4.212370000000000019e-07
5.899940000000000140e+01,4.000270000000000215e-01,4.085320000000000215e-07
5.999940000000000140e+01,3.999380000000000157e-01,4.150010000000000247e-07
6.099940000000000140e+01,3.997669999999999835e-01,4.096380000000000051e-07
6.199940000000000140e+01,3.998970000000000025e-01,4.180199999999999805e-07
6.299940000000000140e+01,3.998470000000000080e-01,4.011869999999999779e-07
6.399940000000000140e+01,3.998550000000000160e-01,4.139860000000000120e-07
6.499939999999999429e+01,3.999280000000000057e-01,4.033440000000000150e-07
6.599939999999999429e+01,3.998789999999999845e-01,3.985199999999999978e-07
6.699939999999999429e+01,3.999920000000000142e-01,4.005869999999999858e-07
6.799939999999999429e+01,3.999599999999999822e-01,3.987890000000000116e-07
6.899939999999999429e+01,4.000819999999999932e-01,3.954129999999999952e-07
6.999939999999999429e+01,3.999440000000000217e-01,3.864559999999999766e-07
7.099939999999999429e+01,3.998550000000000160e-01,3.954390000000000246e-07
7.199939999999999429e+01,3.998140000000000027e-01,3.940270000000000117e-07
7.299939999999999429e+01,3.999030000000000085e-01,3.980030000000000203e-07
7.399939999999999429e+01,3.998789999999999845e-01,3.962860000000000057e-07
7.499939999999999429e+01,3.997740000000000182e-01,3.929610000000000206e-07
7.599939999999999429e+01,3.999599999999999822e-01,3.934630000000000075e-07
7.699939999999999429e+01,3.998869999999999925e-01,3.902720000000000155e-07
7.799939999999999429e+01,4.000409999999999799e-01,4.033770000000000260e-07
7.899939999999999429e+01,4.002709999999999879e-01,3.948250000000000166e-07
7.999939999999999429e+01,4.001250000000000084e-01,4.019199999999999885e-07
8.099939999999999429e+01,4.000770000000000159e-01,4.168630000000000185e-07
8.199939999999999429e+01,4.002229999999999954e-01,4.344570000000000105e-07
8.299939999999999429e+01,4.003200000000000092e-01,4.260570000000000147e-07
8.399939999999999429e+01,4.001250000000000084e-01,4.257219999999999789e-07
8.499939999999999429e+01,4.001410000000000244e-01,4.282030000000000128e-07
8.599939999999999429e+01,4.003120000000000012e-01,4.165569999999999891e-07
8.699939999999999429e+01,4.003039999999999932e-01,4.296879999999999762e-07
8.799939999999999429e+01,4.003200000000000092e-01,4.361490000000000232e-07
8.899939999999999429e+01,4.001660000000000217e-01,4.299569999999999900e-07
8.999939999999999429e+01,4.001089999999999924e-01,4.227379999999999834e-07
9.099939999999999429e+01,4.002629999999999799e-01,4.267619999999999935e-07
9.199939999999999429e+01,4.002709999999999879e-01,4.279190000000000084e-07
9.299939999999999429e+01,4.001739999999999742e-01,4.158180000000000247e-07
9.399939999999999429e+01,4.001089999999999924e-01,4.236630000000000000e-07
9.499939999999999429e+01,3.999300000000000077e-01,4.136739999999999758e-07
9.599939999999999429e+01,3.998570000000000180e-01,4.214560000000000120e-07
9.699939999999999429e+01,4.000429999999999819e-01,4.157180000000000172e-07
9.799939999999999429e+01,3.998650000000000260e-01,4.125170000000000138e-07
9.899939999999999429e+01,4.000520000000000187e-01,4.083329999999999811e-07
9.999939999999999429e+01,3.998729999999999785e-01,4.051529999999999752e-07
1.009989999999999952e+02,3.999949999999999894e-01,4.033739999999999961e-07
1.019989999999999952e+02,4.001080000000000192e-01,4.010060000000000109e-07
1.029989999999999952e+02,4.000270000000000215e-01,4.061940000000000174e-07
1.039989999999999952e+02,4.000429999999999819e-01,4.009370000000000121e-07
1.049989999999999952e+02,3.998570000000000180e-01,3.959010000000000191e-07
1.059989999999999952e+02,4.000429999999999819e-01,4.047929999999999905e-07
1.069989999999999952e+02,4.000429999999999819e-01,3.913360000000000044e-07
1.079989999999999952e+02,4.000349999999999739e-01,3.802179999999999971e-07
1.089989999999999952e+02,3.998729999999999785e-01,3.837360000000000157e-07
1.099989999999999952e+02,3.999380000000000157e-01,3.809849999999999933e-07
1.109989999999999952e+02,3.999489999999999990e-01,3.714609999999999935e-07
1.119989999999999952e+02,4.000219999999999887e-01,3.697470000000000087e-07
1.129989999999999952e+02,4.000790000000000179e-01,3.657200000000000217e-07
1.139989999999999952e+02,3.999809999999999754e-01,3.646860000000000139e-07
1.149989999999999952e+02,3.998920000000000252e-01,3.577669999999999769e-07
1.159989999999999952e+02,4.000219999999999887e-01,3.621689999999999921e-07
1.169989999999999952e+02,3.998999999999999777e-01,3.450150000000000226e-07
1.179989999999999952e+02,3.999329999999999830e-01,3.866280000000000128e-07
1.189989999999999952e+02,3.998920000000000252e-01,3.967350000000000119e-07
1.199989999999999952e+02,3.999170000000000225e-01,3.863369999999999740e-07
1.209989999999999952e+02,3.999809999999999754e-01,3.914269999999999752e-07
1.219989999999999952e+02,3.999409999999999910e-01,3.970329999999999792e-07
1.229989999999999952e+02,3.999489999999999990e-01,2.075629999999999906e-07
1.239989999999999952e+02,3.999170000000000225e-01,2.135879999999999932e-07
1.249989999999999952e+02,3.998840000000000172e-01,2.108230000000000079e-07
1.259989999999999952e+02,3.999980000000000202e-01,2.076869999999999988e-07
1.269989999999999952e+02,4.003129999999999744e-01,2.126599999999999998e-07
1.279989999999999952e+02,4.002149999999999874e-01,3.946089999999999835e-07
1.289989999999999952e+02,4.000449999999999839e-01,3.862199999999999737e-07
1.299989999999999952e+02,4.001020000000000132e-01,3.879590000000000132e-07
1.309989999999999952e+02,4.002560000000000007e-01,3.834799999999999901e-07
1.319989999999999952e+02,4.000940000000000052e-01,3.804169999999999845e-07
1.329989999999999952e+02,4.001020000000000132e-01,3.762950000000000221e-07
1.339989999999999952e+02,4.000290000000000235e-01,3.906259999999999934e-07
1.349989999999999952e+02,4.000859999999999972e-01,3.942929999999999957e-07
1.359989999999999952e+02,4.002479999999999927e-01,3.859689999999999802e-07
1.369989999999999952e+02,4.002560000000000007e-01,3.926850000000000253e-07
1.379989999999999952e+02,4.001179999999999737e-01,3.854560000000000073e-07
1.389989999999999952e+02,4.000449999999999839e-01,3.937620000000000024e-07
