# Wed Jun 14 17:50:19 2023
#  Tiempo [s], Voltage [V], Corriente [A]
#  V=5, N=600, cycles=1, T=1, pw=0.999, limitI=0.0005, rangeI=1e-08, limitV=0.5, rangeV=20, nlpc=0.01
0.000000000000000000e+00,5.002909999999999968e+00,2.899239999999999977e-04
9.994480000000000031e-01,5.003049999999999997e+00,2.982940000000000006e-04
1.999449999999999950e+00,5.002399999999999736e+00,2.973140000000000201e-04
2.999449999999999950e+00,5.003549999999999720e+00,2.957540000000000147e-04
3.999449999999999950e+00,5.003190000000000026e+00,2.944000000000000002e-04
4.999450000000000394e+00,5.002690000000000303e+00,2.999359999999999960e-04
5.999450000000000394e+00,5.001680000000000348e+00,3.002120000000000049e-04
6.999450000000000394e+00,5.003190000000000026e+00,3.049239999999999828e-04
7.999450000000000394e+00,5.003549999999999720e+00,3.016730000000000236e-04
8.999449999999999505e+00,5.003339999999999677e+00,3.075339999999999866e-04
9.999449999999999505e+00,5.004059999999999953e+00,3.027759999999999892e-04
1.099939999999999962e+01,5.002909999999999968e+00,3.017189999999999889e-04
1.199939999999999962e+01,5.003120000000000012e+00,2.983120000000000129e-04
1.299939999999999962e+01,5.003479999999999706e+00,3.008630000000000093e-04
1.399939999999999962e+01,5.003120000000000012e+00,3.049199999999999740e-04
1.499939999999999962e+01,5.000619999999999621e+00,3.048570000000000121e-04
1.599939999999999962e+01,5.000259999999999927e+00,3.036159999999999879e-04
1.699940000000000140e+01,5.000829999999999664e+00,3.033430000000000262e-04
1.799940000000000140e+01,5.001050000000000217e+00,3.045880000000000050e-04
1.899940000000000140e+01,5.001339999999999897e+00,3.038669999999999826e-04
1.999940000000000140e+01,5.002130000000000187e+00,3.054940000000000129e-04
2.099940000000000140e+01,5.000980000000000203e+00,3.082779999999999917e-04
2.199940000000000140e+01,5.001339999999999897e+00,3.060879999999999873e-04
2.299940000000000140e+01,5.001269999999999882e+00,3.095789999999999848e-04
2.399940000000000140e+01,5.002060000000000173e+00,3.048150000000000013e-04
2.499940000000000140e+01,5.000910000000000188e+00,3.107790000000000140e-04
2.599940000000000140e+01,5.000259999999999927e+00,3.078670000000000256e-04
2.699940000000000140e+01,5.000469999999999970e+00,3.027740000000000119e-04
2.799940000000000140e+01,5.002200000000000202e+00,3.073929999999999892e-04
2.899940000000000140e+01,5.001839999999999620e+00,3.066650000000000192e-04
2.999940000000000140e+01,5.000619999999999621e+00,3.124269999999999955e-04
3.099940000000000140e+01,5.001450000000000173e+00,3.184150000000000066e-04
3.199940000000000140e+01,5.002819999999999823e+00,3.126140000000000125e-04
3.299940000000000140e+01,5.003610000000000113e+00,3.132510000000000134e-04
3.399940000000000140e+01,5.003820000000000157e+00,3.102269999999999962e-04
3.499940000000000140e+01,5.002169999999999561e+00,3.157980000000000010e-04
3.599940000000000140e+01,5.002530000000000143e+00,3.132690000000000257e-04
3.699940000000000140e+01,5.001879999999999882e+00,3.163989999999999771e-04
3.799940000000000140e+01,5.003899999999999793e+00,3.108489999999999778e-04
3.899940000000000140e+01,5.002239999999999576e+00,3.105699999999999759e-04
3.999940000000000140e+01,5.001809999999999867e+00,3.096180000000000026e-04
4.099940000000000140e+01,5.001949999999999896e+00,3.125970000000000159e-04
4.199940000000000140e+01,5.001450000000000173e+00,3.106760000000000185e-04
4.299940000000000140e+01,5.004470000000000418e+00,3.116799999999999974e-04
4.399940000000000140e+01,5.001660000000000217e+00,3.108879999999999955e-04
4.499940000000000140e+01,5.001809999999999867e+00,3.136929999999999797e-04
4.599940000000000140e+01,5.002239999999999576e+00,3.138880000000000142e-04
