# Wed Jun 14 19:29:13 2023
#  Tiempo [s], Voltage [V], Corriente [A]
#  V=0.4, N=200, cycles=1, T=1, pw=0.999, limitI=0.0005, rangeI=1e-08, limitV=0.5, rangeV=20, nlpc=0.01
0.000000000000000000e+00,3.998950000000000005e-01,6.223029999999999946e-05
9.994530000000000358e-01,3.999759999999999982e-01,7.960659999999999774e-05
1.999449999999999950e+00,4.000650000000000039e-01,6.431450000000000231e-05
2.999449999999999950e+00,4.000409999999999799e-01,6.029169999999999739e-05
3.999449999999999950e+00,3.999030000000000085e-01,6.187970000000000319e-05
4.999450000000000394e+00,4.000489999999999879e-01,4.483200000000000038e-05
5.999450000000000394e+00,3.999759999999999982e-01,4.569579999999999709e-05
6.999450000000000394e+00,4.000569999999999959e-01,4.204550000000000258e-05
7.999450000000000394e+00,4.000000000000000222e-01,4.042570000000000158e-05
8.999449999999999505e+00,3.999110000000000165e-01,3.719419999999999703e-05
9.999449999999999505e+00,3.999030000000000085e-01,3.799869999999999924e-05
1.099949999999999939e+01,3.999349999999999850e-01,3.702119999999999717e-05
1.199949999999999939e+01,3.999759999999999982e-01,4.116859999999999747e-05
1.299949999999999939e+01,4.000000000000000222e-01,4.263129999999999958e-05
1.399949999999999939e+01,3.998380000000000267e-01,4.851300000000000122e-05
1.499949999999999939e+01,3.999599999999999822e-01,5.107880000000000298e-05
1.599949999999999939e+01,4.000730000000000119e-01,4.807680000000000021e-05
1.699950000000000117e+01,3.999920000000000142e-01,4.730919999999999760e-05
1.799950000000000117e+01,4.000409999999999799e-01,4.596290000000000000e-05
1.899950000000000117e+01,3.998140000000000027e-01,4.411679999999999747e-05
1.999950000000000117e+01,3.999030000000000085e-01,4.006670000000000045e-05
2.099950000000000117e+01,3.999920000000000142e-01,4.224030000000000281e-05
2.199950000000000117e+01,4.000330000000000275e-01,4.114979999999999691e-05
2.299950000000000117e+01,3.997979999999999867e-01,4.495729999999999730e-05
2.399950000000000117e+01,3.999440000000000217e-01,3.005819999999999963e-05
2.499950000000000117e+01,4.000000000000000222e-01,2.738759999999999846e-05
2.599950000000000117e+01,4.001219999999999777e-01,2.844199999999999975e-05
2.699950000000000117e+01,4.000409999999999799e-01,2.526519999999999995e-05
2.799950000000000117e+01,3.999599999999999822e-01,3.313729999999999866e-05
2.899950000000000117e+01,3.999269999999999770e-01,3.235489999999999747e-05
2.999950000000000117e+01,3.999190000000000245e-01,3.293989999999999950e-05
3.099950000000000117e+01,4.001439999999999997e-01,2.950919999999999862e-05
3.199950000000000117e+01,3.998200000000000087e-01,2.930689999999999887e-05
3.299949999999999761e+01,3.997629999999999795e-01,2.937229999999999998e-05
3.399949999999999761e+01,3.997149999999999870e-01,3.054069999999999712e-05
3.499949999999999761e+01,3.998929999999999985e-01,2.833310000000000152e-05
3.599949999999999761e+01,3.997959999999999847e-01,2.939849999999999983e-05
3.699949999999999761e+01,3.997800000000000242e-01,4.702829999999999831e-05
3.799949999999999761e+01,3.999249999999999750e-01,4.748009999999999964e-05
3.899949999999999761e+01,3.998439999999999772e-01,4.812380000000000162e-05
