# Wed Jun 14 16:41:02 2023
#  Tiempo [s], Voltage [V], Corriente [A]
#  V=5, N=600, cycles=1, T=1, pw=0.999, limitI=0.0005, rangeI=1e-08, limitV=0.5, rangeV=20, nlpc=0.01
0.000000000000000000e+00,5.003940000000000055e+00,8.414470000000000283e-03
9.994380000000000486e-01,5.001999999999999780e+00,8.533630000000000382e-03
1.999440000000000106e+00,5.001999999999999780e+00,8.489009999999999959e-03
2.999439999999999884e+00,5.002500000000000391e+00,8.477520000000000541e-03
3.999439999999999884e+00,5.003510000000000346e+00,8.553720000000000767e-03
4.999439999999999884e+00,5.002279999999999838e+00,8.535829999999999460e-03
5.999439999999999884e+00,5.002640000000000420e+00,8.593560000000000088e-03
6.999439999999999884e+00,5.002930000000000099e+00,8.735639999999999378e-03
7.999439999999999884e+00,5.001920000000000144e+00,8.755620000000000416e-03
8.999439999999999884e+00,5.003720000000000390e+00,8.793810000000000862e-03
9.999439999999999884e+00,5.002640000000000420e+00,8.814640000000000322e-03
1.099939999999999962e+01,5.001850000000000129e+00,8.814749999999999669e-03
1.199939999999999962e+01,5.002209999999999823e+00,8.819669999999999940e-03
1.299939999999999962e+01,5.002570000000000405e+00,8.814209999999999406e-03
1.399939999999999962e+01,5.003149999999999764e+00,8.815470000000000597e-03
1.499939999999999962e+01,5.001430000000000042e+00,8.819550000000000653e-03
1.599939999999999962e+01,5.001500000000000057e+00,8.773279999999999620e-03
1.699940000000000140e+01,5.002150000000000318e+00,8.812840000000000604e-03
1.799940000000000140e+01,5.003090000000000259e+00,8.816320000000000753e-03
1.899940000000000140e+01,5.003449999999999953e+00,8.817790000000000697e-03
1.999940000000000140e+01,5.001649999999999707e+00,8.820240000000000025e-03
2.099940000000000140e+01,5.001649999999999707e+00,8.816390000000000338e-03
2.199940000000000140e+01,5.001570000000000071e+00,8.817830000000000459e-03
2.299940000000000140e+01,5.002220000000000333e+00,8.821849999999999137e-03
2.399940000000000140e+01,5.002080000000000304e+00,8.822709999999999234e-03
2.499940000000000140e+01,5.000930000000000319e+00,8.822969999999999424e-03
2.599940000000000140e+01,5.001570000000000071e+00,8.827200000000000324e-03
2.699940000000000140e+01,5.002010000000000289e+00,8.745950000000000599e-03
2.799940000000000140e+01,5.002369999999999983e+00,8.748030000000000389e-03
2.899940000000000140e+01,5.002650000000000041e+00,8.752809999999999757e-03
2.999940000000000140e+01,5.001210000000000377e+00,8.749319999999999667e-03
3.099940000000000140e+01,5.001000000000000334e+00,8.751510000000000539e-03
3.199940000000000140e+01,5.001360000000000028e+00,8.724100000000000257e-03
3.299940000000000140e+01,5.002729999999999677e+00,8.727940000000000004e-03
3.399940000000000140e+01,5.001789999999999736e+00,8.730279999999999985e-03
