# Wed Jun 14 16:26:40 2023
#  Tiempo [s], Voltage [V], Corriente [A]
#  V=5, N=600, cycles=1, T=1, pw=0.999, limitI=0.0005, rangeI=1e-08, limitV=0.5, rangeV=20, nlpc=0.01
0.000000000000000000e+00,5.003709999999999880e+00,7.018380000000000278e-03
9.994380000000000486e-01,5.003420000000000201e+00,7.446330000000000136e-03
1.999440000000000106e+00,5.003059999999999619e+00,7.268639999999999823e-03
2.999439999999999884e+00,5.003280000000000172e+00,7.285060000000000320e-03
3.999439999999999884e+00,5.003280000000000172e+00,7.404619999999999778e-03
4.999439999999999884e+00,5.004290000000000127e+00,7.519660000000000059e-03
5.999439999999999884e+00,5.002849999999999575e+00,7.483449999999999998e-03
6.999439999999999884e+00,5.002849999999999575e+00,7.424850000000000200e-03
7.999439999999999884e+00,5.003420000000000201e+00,8.233769999999999631e-03
8.999439999999999884e+00,5.003930000000000433e+00,8.074080000000000840e-03
9.999439999999999884e+00,5.005370000000000097e+00,8.045840000000000283e-03
1.099939999999999962e+01,5.004579999999999806e+00,8.068080000000000043e-03
1.199939999999999962e+01,5.003420000000000201e+00,8.034309999999999369e-03
1.299939999999999962e+01,5.003499999999999837e+00,7.940569999999999226e-03
1.399939999999999962e+01,5.003999999999999559e+00,7.960939999999999683e-03
1.499939999999999962e+01,5.001660000000000217e+00,7.746789999999999926e-03
1.599939999999999962e+01,5.000429999999999708e+00,7.892059999999999353e-03
1.699940000000000140e+01,5.001439999999999664e+00,7.363709999999999874e-03
1.799940000000000140e+01,5.001369999999999649e+00,7.726850000000000385e-03
1.899940000000000140e+01,5.001439999999999664e+00,7.804479999999999924e-03
1.999940000000000140e+01,5.002309999999999590e+00,7.886239999999999223e-03
2.099940000000000140e+01,5.001439999999999664e+00,7.726239999999999671e-03
2.199940000000000140e+01,5.000289999999999679e+00,7.562690000000000384e-03
2.299940000000000140e+01,5.001800000000000246e+00,7.868059999999999637e-03
2.399940000000000140e+01,5.001509999999999678e+00,7.996659999999999185e-03
2.499940000000000140e+01,5.000939999999999941e+00,8.053630000000000858e-03
2.599940000000000140e+01,4.999430000000000263e+00,8.073820000000000649e-03
2.699940000000000140e+01,5.002239999999999576e+00,7.726130000000000324e-03
2.799940000000000140e+01,5.001660000000000217e+00,7.717619999999999689e-03
2.899940000000000140e+01,5.001800000000000246e+00,7.462749999999999766e-03
2.999940000000000140e+01,5.001660000000000217e+00,7.527159999999999754e-03
3.099940000000000140e+01,5.001050000000000217e+00,7.584849999999999752e-03
3.199940000000000140e+01,5.001479999999999926e+00,7.604030000000000337e-03
3.299940000000000140e+01,5.000469999999999970e+00,7.579459999999999670e-03
3.399940000000000140e+01,5.001050000000000217e+00,7.554390000000000237e-03
3.499940000000000140e+01,5.000689999999999635e+00,7.625980000000000085e-03
3.599940000000000140e+01,5.000619999999999621e+00,7.606830000000000189e-03
3.699940000000000140e+01,5.000759999999999650e+00,7.580609999999999779e-03
3.799940000000000140e+01,5.001909999999999634e+00,7.805089999999999771e-03
3.899940000000000140e+01,5.001260000000000261e+00,8.004709999999999950e-03
3.999940000000000140e+01,5.001979999999999649e+00,7.393750000000000148e-03
4.099940000000000140e+01,5.000399999999999956e+00,7.103820000000000273e-03
4.199940000000000140e+01,5.001050000000000217e+00,7.142690000000000150e-03
4.299940000000000140e+01,5.001120000000000232e+00,7.738240000000000396e-03
4.399940000000000140e+01,5.001339999999999897e+00,7.810580000000000127e-03
4.499940000000000140e+01,5.000829999999999664e+00,7.592999999999999923e-03
4.599940000000000140e+01,5.001839999999999620e+00,8.021840000000000567e-03
4.699940000000000140e+01,5.003680000000000128e+00,7.383149999999999782e-03
4.799940000000000140e+01,5.002390000000000114e+00,7.400539999999999723e-03
4.899940000000000140e+01,5.003400000000000070e+00,8.131019999999999220e-03
4.999940000000000140e+01,5.002679999999999794e+00,8.243570000000000411e-03
5.099940000000000140e+01,5.002749999999999808e+00,8.243489999999999152e-03
5.199940000000000140e+01,5.002030000000000420e+00,8.240149999999999905e-03
5.299940000000000140e+01,5.001960000000000406e+00,8.237029999999999352e-03
5.399940000000000140e+01,5.002320000000000100e+00,8.249489999999999948e-03
5.499940000000000140e+01,5.003540000000000099e+00,8.252050000000000357e-03
5.599940000000000140e+01,5.002460000000000129e+00,8.257070000000000035e-03
5.699940000000000140e+01,5.003320000000000434e+00,8.260770000000000612e-03
5.799940000000000140e+01,5.002239999999999576e+00,8.276900000000000229e-03
5.899940000000000140e+01,5.002889999999999837e+00,8.296160000000000340e-03
5.999940000000000140e+01,5.002169999999999561e+00,8.274139999999999273e-03
6.099940000000000140e+01,5.003110000000000390e+00,8.241200000000000608e-03
6.199940000000000140e+01,5.002959999999999852e+00,8.231999999999999734e-03
6.299940000000000140e+01,5.000070000000000014e+00,8.269679999999999739e-03
6.399940000000000140e+01,5.000499999999999723e+00,8.258079999999999241e-03
6.499939999999999429e+01,5.000000000000000000e+00,8.253840000000000135e-03
6.599939999999999429e+01,5.001439999999999664e+00,8.248059999999999767e-03
6.699939999999999429e+01,5.001149999999999984e+00,8.248880000000000101e-03
6.799939999999999429e+01,5.001509999999999678e+00,8.241739999999999136e-03
6.899939999999999429e+01,5.001009999999999955e+00,8.275859999999999467e-03
6.999939999999999429e+01,5.001149999999999984e+00,8.128120000000000830e-03
7.099939999999999429e+01,5.000429999999999708e+00,7.971999999999999920e-03
7.199939999999999429e+01,5.000930000000000319e+00,8.043949999999999365e-03
7.299939999999999429e+01,5.001290000000000013e+00,8.020209999999999839e-03
7.399939999999999429e+01,5.000359999999999694e+00,7.849180000000000740e-03
7.499939999999999429e+01,5.000930000000000319e+00,7.611520000000000091e-03
7.599939999999999429e+01,5.000140000000000029e+00,7.452819999999999757e-03
7.699939999999999429e+01,4.999279999999999724e+00,7.365169999999999877e-03
7.799939999999999429e+01,5.000429999999999708e+00,7.378029999999999831e-03
7.899939999999999429e+01,5.000429999999999708e+00,7.521950000000000337e-03
7.999939999999999429e+01,5.000359999999999694e+00,7.370250000000000065e-03
8.099939999999999429e+01,5.000070000000000014e+00,7.363459999999999624e-03
8.199939999999999429e+01,5.000650000000000261e+00,7.377179999999999675e-03
8.299939999999999429e+01,5.001079999999999970e+00,7.402109999999999940e-03
8.399939999999999429e+01,5.000219999999999665e+00,7.527510000000000277e-03
8.499939999999999429e+01,5.002379999999999605e+00,7.552910000000000353e-03
8.599939999999999429e+01,5.001299999999999635e+00,7.509189999999999789e-03
8.699939999999999429e+01,5.000429999999999708e+00,7.091390000000000367e-03
8.799939999999999429e+01,5.000650000000000261e+00,7.436850000000000058e-03
8.899939999999999429e+01,5.000359999999999694e+00,7.229150000000000159e-03
8.999939999999999429e+01,5.000720000000000276e+00,7.198069999999999989e-03
9.099939999999999429e+01,5.000650000000000261e+00,7.258999999999999828e-03
9.199939999999999429e+01,5.000070000000000014e+00,7.276640000000000018e-03
9.299939999999999429e+01,5.000869999999999926e+00,7.270959999999999923e-03
9.399939999999999429e+01,5.001009999999999955e+00,7.244770000000000203e-03
9.499939999999999429e+01,5.002570000000000405e+00,7.238910000000000310e-03
9.599939999999999429e+01,5.000919999999999810e+00,7.173099999999999962e-03
9.699939999999999429e+01,5.000270000000000437e+00,7.239670000000000133e-03
9.799939999999999429e+01,5.001490000000000435e+00,7.224440000000000375e-03
9.899939999999999429e+01,5.002650000000000041e+00,7.571770000000000236e-03
9.999939999999999429e+01,5.001570000000000071e+00,7.577119999999999689e-03
1.009989999999999952e+02,5.000490000000000101e+00,7.448699999999999939e-03
1.019989999999999952e+02,5.001929999999999765e+00,7.583949999999999893e-03
1.029989999999999952e+02,5.002930000000000099e+00,7.534049999999999601e-03
1.039989999999999952e+02,5.002430000000000376e+00,7.552879999999999663e-03
1.049989999999999952e+02,5.003289999999999793e+00,7.725949999999999658e-03
1.059989999999999952e+02,5.001710000000000100e+00,7.598390000000000005e-03
1.069989999999999952e+02,5.002570000000000405e+00,7.477260000000000330e-03
1.079989999999999952e+02,5.002139999999999809e+00,7.411560000000000197e-03
1.089989999999999952e+02,5.002430000000000376e+00,7.374480000000000098e-03
1.099989999999999952e+02,5.001350000000000406e+00,7.368310000000000311e-03
1.109989999999999952e+02,4.999069999999999681e+00,7.441269999999999829e-03
1.119989999999999952e+02,5.000079999999999636e+00,7.317549999999999923e-03
1.129989999999999952e+02,4.999570000000000292e+00,7.378769999999999774e-03
1.139989999999999952e+02,5.000869999999999926e+00,8.202239999999999531e-03
1.149989999999999952e+02,5.001590000000000202e+00,8.245670000000000083e-03
1.159989999999999952e+02,4.999640000000000306e+00,8.266330000000000552e-03
1.169989999999999952e+02,5.000359999999999694e+00,8.163870000000000154e-03
1.179989999999999952e+02,5.000580000000000247e+00,8.071760000000000740e-03
1.189989999999999952e+02,5.001369999999999649e+00,8.111169999999999145e-03
1.199989999999999952e+02,5.000869999999999926e+00,8.121450000000000544e-03
1.209989999999999952e+02,5.000079999999999636e+00,8.015829999999999830e-03
1.219989999999999952e+02,4.999500000000000277e+00,8.019929999999999767e-03
1.229989999999999952e+02,5.001009999999999955e+00,8.351859999999999146e-03
