# Wed Jun 14 17:20:17 2023
#  Tiempo [s], Voltage [V], Corriente [A]
#  V=5, N=100, cycles=1, T=1, pw=0.999, limitI=0.0005, rangeI=1e-08, limitV=0.5, rangeV=20, nlpc=0.01
0.000000000000000000e+00,5.002539999999999765e+00,5.166210000000000073e-03
9.994520000000000071e-01,5.001599999999999824e+00,5.337510000000000171e-03
1.999449999999999950e+00,5.002110000000000056e+00,5.328089999999999736e-03
2.999449999999999950e+00,5.002830000000000332e+00,5.452819999999999716e-03
3.999449999999999950e+00,5.003980000000000317e+00,5.603389999999999760e-03
4.999450000000000394e+00,5.002040000000000042e+00,5.544330000000000092e-03
5.999450000000000394e+00,5.003400000000000070e+00,5.548390000000000266e-03
6.999450000000000394e+00,5.003190000000000026e+00,5.598470000000000356e-03
7.999450000000000394e+00,5.003040000000000376e+00,5.600439999999999932e-03
8.999449999999999505e+00,5.004269999999999996e+00,5.556860000000000271e-03
9.999449999999999505e+00,5.003840000000000288e+00,5.585930000000000235e-03
1.099949999999999939e+01,5.002320000000000100e+00,5.553309999999999670e-03
1.199949999999999939e+01,5.002320000000000100e+00,5.553879999999999754e-03
1.299949999999999939e+01,5.002679999999999794e+00,5.578920000000000233e-03
1.399949999999999939e+01,5.002250000000000085e+00,5.585999999999999820e-03
1.499949999999999939e+01,5.000670000000000393e+00,5.676679999999999920e-03
1.599949999999999939e+01,5.001610000000000333e+00,5.670429999999999741e-03
1.699950000000000117e+01,5.001750000000000362e+00,5.677360000000000219e-03
1.799950000000000117e+01,5.002900000000000347e+00,5.694779999999999981e-03
1.899950000000000117e+01,5.002399999999999736e+00,5.705019999999999883e-03
1.999950000000000117e+01,5.001750000000000362e+00,5.697190000000000414e-03
2.099950000000000117e+01,5.000890000000000057e+00,5.688419999999999588e-03
2.199950000000000117e+01,5.002690000000000303e+00,5.690399999999999972e-03
2.299950000000000117e+01,5.003049999999999997e+00,5.702760000000000294e-03
2.399950000000000117e+01,5.001459999999999795e+00,5.719710000000000245e-03
2.499950000000000117e+01,5.000600000000000378e+00,5.716910000000000394e-03
2.599950000000000117e+01,5.001970000000000027e+00,5.731820000000000317e-03
2.699950000000000117e+01,5.001680000000000348e+00,5.727000000000000320e-03
2.799950000000000117e+01,5.002760000000000318e+00,5.738319999999999879e-03
2.899950000000000117e+01,5.002690000000000303e+00,5.735230000000000015e-03
2.999950000000000117e+01,5.002620000000000289e+00,5.738280000000000117e-03
3.099950000000000117e+01,5.001059999999999839e+00,5.742960000000000079e-03
3.199950000000000117e+01,5.000339999999999563e+00,5.746369999999999777e-03
3.299949999999999761e+01,5.000910000000000188e+00,5.753659999999999851e-03
3.399949999999999761e+01,5.000409999999999577e+00,5.757179999999999763e-03
3.499949999999999761e+01,4.998969999999999914e+00,5.739369999999999715e-03
3.599949999999999761e+01,4.999620000000000175e+00,5.761419999999999736e-03
3.699949999999999761e+01,5.000840000000000174e+00,5.749640000000000306e-03
3.799949999999999761e+01,5.000189999999999912e+00,5.750390000000000189e-03
3.899949999999999761e+01,5.001350000000000406e+00,5.750860000000000000e-03
3.999949999999999761e+01,4.999620000000000175e+00,5.753809999999999827e-03
4.099949999999999761e+01,5.000840000000000174e+00,5.764690000000000265e-03
4.199949999999999761e+01,5.001629999999999576e+00,5.761750000000000378e-03
4.299949999999999761e+01,5.001559999999999562e+00,5.777120000000000172e-03
4.399949999999999761e+01,5.000549999999999606e+00,5.777840000000000233e-03
4.499949999999999761e+01,4.999039999999999928e+00,5.778379999999999628e-03
4.599949999999999761e+01,5.000339999999999563e+00,5.774679999999999917e-03
4.699949999999999761e+01,5.001350000000000406e+00,5.771430000000000136e-03
4.799949999999999761e+01,5.001129999999999853e+00,5.778110000000000364e-03
4.899949999999999761e+01,4.999830000000000219e+00,5.781200000000000228e-03
4.999949999999999761e+01,5.000549999999999606e+00,5.784290000000000091e-03
5.099949999999999761e+01,4.999900000000000233e+00,5.785730000000000213e-03
5.199949999999999761e+01,5.001199999999999868e+00,5.789459999999999745e-03
