# Wed Jun 14 16:53:48 2023
#  Tiempo [s], Voltage [V], Corriente [A]
#  V=5, N=600, cycles=1, T=1, pw=0.999, limitI=0.0005, rangeI=1e-08, limitV=0.5, rangeV=20, nlpc=0.01
0.000000000000000000e+00,5.001750000000000362e+00,5.553770000000000191e-05
9.994459999999999456e-01,5.002970000000000361e+00,5.832289999999999686e-05
1.999449999999999950e+00,5.003689999999999749e+00,6.730480000000000653e-05
2.999449999999999950e+00,5.002830000000000332e+00,6.539209999999999348e-05
3.999449999999999950e+00,5.001459999999999795e+00,7.218000000000000349e-05
5.047609999999999708e+00,5.001599999999999824e+00,7.693559999999999570e-05
5.999450000000000394e+00,5.002900000000000347e+00,9.329940000000000325e-05
6.999450000000000394e+00,5.002250000000000085e+00,1.084780000000000005e-04
7.999450000000000394e+00,5.001680000000000348e+00,1.452280000000000129e-04
8.999449999999999505e+00,5.001680000000000348e+00,1.395500000000000039e-04
9.999449999999999505e+00,5.003549999999999720e+00,1.278340000000000097e-04
1.099939999999999962e+01,5.003980000000000317e+00,1.306009999999999918e-04
1.199939999999999962e+01,5.003190000000000026e+00,1.349269999999999907e-04
1.299939999999999962e+01,5.002679999999999794e+00,1.297410000000000035e-04
1.399939999999999962e+01,5.003120000000000012e+00,1.291359999999999915e-04
1.499939999999999962e+01,5.001019999999999577e+00,1.266139999999999909e-04
1.599939999999999962e+01,5.002460000000000129e+00,1.378340000000000088e-04
1.699940000000000140e+01,5.001019999999999577e+00,1.309360000000000081e-04
1.799940000000000140e+01,5.000449999999999839e+00,1.497220000000000007e-04
1.899940000000000140e+01,5.000160000000000160e+00,1.492660000000000037e-04
1.999940000000000140e+01,5.000949999999999562e+00,1.429310000000000042e-04
2.099940000000000140e+01,5.001089999999999591e+00,1.461140000000000041e-04
2.199940000000000140e+01,5.000659999999999883e+00,1.452229999999999884e-04
2.299940000000000140e+01,5.000009999999999621e+00,1.470970000000000047e-04
2.399940000000000140e+01,5.000880000000000436e+00,1.687830000000000135e-04
2.499940000000000140e+01,5.001890000000000391e+00,1.833880000000000135e-04
2.599940000000000140e+01,5.002539999999999765e+00,1.845589999999999926e-04
2.699940000000000140e+01,5.001380000000000159e+00,1.902290000000000111e-04
2.799940000000000140e+01,5.000659999999999883e+00,1.875830000000000097e-04
2.899940000000000140e+01,5.000519999999999854e+00,1.961540000000000061e-04
2.999940000000000140e+01,5.000880000000000436e+00,1.943179999999999918e-04
3.099940000000000140e+01,5.001949999999999896e+00,2.024189999999999876e-04
3.199940000000000140e+01,5.000440000000000218e+00,2.090930000000000121e-04
3.299940000000000140e+01,5.001450000000000173e+00,2.034940000000000002e-04
3.399940000000000140e+01,5.001809999999999867e+00,2.143029999999999978e-04
3.499940000000000140e+01,5.002390000000000114e+00,2.021290000000000022e-04
3.599940000000000140e+01,5.002819999999999823e+00,1.735170000000000126e-04
3.699940000000000140e+01,5.002239999999999576e+00,1.744930000000000114e-04
3.799940000000000140e+01,5.001089999999999591e+00,1.749699999999999867e-04
3.899940000000000140e+01,5.001949999999999896e+00,1.731910000000000025e-04
3.999940000000000140e+01,5.001809999999999867e+00,1.698240000000000058e-04
4.099940000000000140e+01,5.002169999999999561e+00,1.784509999999999894e-04
4.199940000000000140e+01,5.000729999999999897e+00,1.738920000000000082e-04
4.299940000000000140e+01,5.002600000000000158e+00,1.740830000000000068e-04
4.399940000000000140e+01,5.001809999999999867e+00,1.866500000000000103e-04
4.499940000000000140e+01,5.001660000000000217e+00,1.761839999999999923e-04
4.599940000000000140e+01,5.002959999999999852e+00,1.866960000000000028e-04
4.699940000000000140e+01,5.001890000000000391e+00,1.935139999999999907e-04
4.799940000000000140e+01,5.002320000000000100e+00,1.870899999999999994e-04
4.899940000000000140e+01,5.002900000000000347e+00,1.814730000000000021e-04
4.999940000000000140e+01,5.002180000000000071e+00,1.851060000000000129e-04
5.099940000000000140e+01,5.001669999999999838e+00,1.778440000000000001e-04
5.199940000000000140e+01,5.000160000000000160e+00,1.953529999999999980e-04
5.299940000000000140e+01,5.001529999999999809e+00,1.862549999999999980e-04
5.399940000000000140e+01,5.001389999999999780e+00,2.041289999999999966e-04
5.499940000000000140e+01,5.002030000000000420e+00,2.076950000000000096e-04
5.599940000000000140e+01,5.003040000000000376e+00,1.922329999999999872e-04
5.699940000000000140e+01,5.001310000000000144e+00,2.017099999999999915e-04
5.799940000000000140e+01,5.002320000000000100e+00,2.191340000000000063e-04
5.899940000000000140e+01,5.001890000000000391e+00,2.265199999999999928e-04
5.999940000000000140e+01,5.002679999999999794e+00,2.174149999999999911e-04
6.099940000000000140e+01,5.001820000000000377e+00,2.152219999999999936e-04
6.199940000000000140e+01,5.000589999999999868e+00,2.062049999999999951e-04
6.299940000000000140e+01,5.001400000000000290e+00,1.948560000000000060e-04
6.399940000000000140e+01,5.001759999999999984e+00,1.897269999999999946e-04
6.499939999999999429e+01,5.001120000000000232e+00,1.797769999999999967e-04
6.599939999999999429e+01,5.000899999999999679e+00,1.762500000000000015e-04
6.699939999999999429e+01,5.000609999999999999e+00,1.840140000000000037e-04
6.799939999999999429e+01,5.000539999999999985e+00,1.784819999999999896e-04
6.899939999999999429e+01,5.002200000000000202e+00,1.694339999999999909e-04
6.999939999999999429e+01,5.002340000000000231e+00,1.701490000000000001e-04
7.099939999999999429e+01,5.001479999999999926e+00,1.693640000000000000e-04
7.199939999999999429e+01,5.001260000000000261e+00,1.764729999999999890e-04
7.299939999999999429e+01,5.000899999999999679e+00,1.650549999999999977e-04
7.399939999999999429e+01,5.002049999999999663e+00,1.670610000000000053e-04
7.499939999999999429e+01,5.001479999999999926e+00,1.739409999999999936e-04
7.599939999999999429e+01,4.999530000000000030e+00,1.890650000000000067e-04
7.699939999999999429e+01,4.999959999999999738e+00,1.783970000000000065e-04
7.799939999999999429e+01,5.001120000000000232e+00,1.690560000000000023e-04
7.899939999999999429e+01,5.003619999999999735e+00,1.709439999999999950e-04
7.999939999999999429e+01,5.001179999999999737e+00,1.849689999999999971e-04
8.099939999999999429e+01,5.002399999999999736e+00,1.741590000000000108e-04
8.199939999999999429e+01,5.002329999999999721e+00,1.690910000000000113e-04
8.299939999999999429e+01,5.002469999999999750e+00,1.686839999999999997e-04
8.399939999999999429e+01,5.003980000000000317e+00,1.717359999999999969e-04
8.499939999999999429e+01,5.002760000000000318e+00,1.671730000000000069e-04
8.599939999999999429e+01,5.002040000000000042e+00,1.661970000000000081e-04
8.699939999999999429e+01,5.001680000000000348e+00,1.652419999999999876e-04
8.799939999999999429e+01,5.002259999999999707e+00,1.614920000000000049e-04
8.899939999999999429e+01,5.002180000000000071e+00,1.680820000000000079e-04
8.999939999999999429e+01,5.000890000000000057e+00,1.596599999999999994e-04
9.099939999999999429e+01,5.001680000000000348e+00,1.654150000000000011e-04
9.199939999999999429e+01,5.002040000000000042e+00,1.629570000000000053e-04
9.299939999999999429e+01,5.002979999999999983e+00,1.689840000000000070e-04
9.399939999999999429e+01,5.003479999999999706e+00,1.694900000000000052e-04
9.499939999999999429e+01,5.001540000000000319e+00,1.717529999999999936e-04
9.599939999999999429e+01,5.001109999999999722e+00,1.705959999999999909e-04
9.699939999999999429e+01,5.001900000000000013e+00,1.657250000000000032e-04
9.799939999999999429e+01,5.002480000000000260e+00,1.758630000000000067e-04
9.899939999999999429e+01,5.001179999999999737e+00,1.703490000000000050e-04
9.999939999999999429e+01,4.999670000000000059e+00,1.699519999999999883e-04
1.009989999999999952e+02,5.001179999999999737e+00,1.777129999999999975e-04
1.019989999999999952e+02,5.001900000000000013e+00,1.772570000000000005e-04
1.029989999999999952e+02,5.001400000000000290e+00,1.766869999999999975e-04
1.039989999999999952e+02,5.002839999999999954e+00,1.820530000000000000e-04
1.049989999999999952e+02,5.001759999999999984e+00,1.702209999999999954e-04
1.059989999999999952e+02,5.002119999999999678e+00,1.729450000000000052e-04
1.069989999999999952e+02,5.002329999999999721e+00,1.698070000000000091e-04
1.079989999999999952e+02,5.001470000000000304e+00,1.682230000000000053e-04
1.089989999999999952e+02,5.001109999999999722e+00,1.659800000000000067e-04
1.099989999999999952e+02,4.999810000000000088e+00,1.690080000000000054e-04
1.109989999999999952e+02,5.000639999999999752e+00,1.701299999999999991e-04
1.119989999999999952e+02,5.001500000000000057e+00,1.716300000000000085e-04
1.129989999999999952e+02,5.001649999999999707e+00,1.687399999999999870e-04
1.139989999999999952e+02,5.001859999999999751e+00,1.668800000000000014e-04
1.149989999999999952e+02,5.000930000000000319e+00,1.677220000000000045e-04
1.159989999999999952e+02,5.002220000000000333e+00,1.754360000000000056e-04
1.169989999999999952e+02,5.001940000000000275e+00,1.753900000000000131e-04
1.179989999999999952e+02,5.001940000000000275e+00,1.723770000000000066e-04
1.189989999999999952e+02,5.002299999999999969e+00,1.702359999999999876e-04
1.199989999999999952e+02,5.000639999999999752e+00,1.728789999999999960e-04
1.209989999999999952e+02,5.001719999999999722e+00,1.761230000000000076e-04
1.219989999999999952e+02,5.002510000000000012e+00,1.802329999999999937e-04
1.229989999999999952e+02,5.002580000000000027e+00,1.780539999999999998e-04
1.239989999999999952e+02,5.001070000000000348e+00,1.744600000000000068e-04
1.249989999999999952e+02,5.001219999999999999e+00,1.773680000000000135e-04
1.259989999999999952e+02,5.002369999999999983e+00,1.727900000000000041e-04
1.269989999999999952e+02,5.002760000000000318e+00,1.756899999999999933e-04
1.279989999999999952e+02,5.003479999999999706e+00,1.763649999999999962e-04
1.289989999999999952e+02,5.001459999999999795e+00,1.769449999999999940e-04
1.299989999999999952e+02,5.001249999999999751e+00,1.791170000000000132e-04
1.309989999999999952e+02,5.001970000000000027e+00,1.690929999999999885e-04
1.319989999999999952e+02,5.003409999999999691e+00,1.712609999999999990e-04
1.329989999999999952e+02,5.002180000000000071e+00,1.744449999999999874e-04
1.339989999999999952e+02,5.001540000000000319e+00,1.672959999999999920e-04
1.349989999999999952e+02,5.000820000000000043e+00,1.709960000000000006e-04
1.359989999999999952e+02,5.001179999999999737e+00,1.683319999999999868e-04
1.369989999999999952e+02,5.003049999999999997e+00,1.664400000000000124e-04
1.379989999999999952e+02,5.000820000000000043e+00,1.661289999999999946e-04
1.389989999999999952e+02,5.001459999999999795e+00,1.699129999999999976e-04
1.399989999999999952e+02,5.001610000000000333e+00,1.680490000000000033e-04
1.409989999999999952e+02,5.002399999999999736e+00,1.696590000000000099e-04
1.419989999999999952e+02,5.003339999999999677e+00,1.698849999999999904e-04
1.429989999999999952e+02,5.001820000000000377e+00,1.716459999999999893e-04
1.439989999999999952e+02,5.000370000000000203e+00,1.684160000000000084e-04
1.449989999999999952e+02,5.000810000000000421e+00,1.709279999999999871e-04
1.459989999999999952e+02,5.000729999999999897e+00,1.672950000000000034e-04
1.469989999999999952e+02,5.000449999999999839e+00,1.672029999999999914e-04
1.479989999999999952e+02,5.000370000000000203e+00,1.637470000000000028e-04
1.489989999999999952e+02,5.000160000000000160e+00,1.663889999999999955e-04
1.499989999999999952e+02,5.001669999999999838e+00,1.646460000000000089e-04
1.509989999999999952e+02,5.001240000000000130e+00,1.651439999999999896e-04
1.519989999999999952e+02,5.001669999999999838e+00,1.648610000000000060e-04
1.529989999999999952e+02,5.000589999999999868e+00,1.704320000000000108e-04
1.539989999999999952e+02,4.999729999999999563e+00,1.642779999999999881e-04
1.549989999999999952e+02,5.001820000000000377e+00,1.588310000000000112e-04
1.559989999999999952e+02,5.000880000000000436e+00,1.642779999999999881e-04
1.569989999999999952e+02,5.000589999999999868e+00,1.622620000000000128e-04
1.579989999999999952e+02,4.999220000000000219e+00,1.586290000000000020e-04
1.589989999999999952e+02,5.001470000000000304e+00,1.648700000000000122e-04
1.599989999999999952e+02,5.002110000000000056e+00,1.612619999999999885e-04
1.609989999999999952e+02,5.002259999999999707e+00,1.605009999999999868e-04
1.619989999999999952e+02,5.002040000000000042e+00,1.602429999999999903e-04
1.629989999999999952e+02,5.001319999999999766e+00,1.617319999999999891e-04
1.639989999999999952e+02,5.001680000000000348e+00,1.605090000000000043e-04
1.649989999999999952e+02,5.001900000000000013e+00,1.647499999999999930e-04
1.659989999999999952e+02,5.001389999999999780e+00,1.625279999999999997e-04
1.669989999999999952e+02,5.001109999999999722e+00,1.660579999999999880e-04
1.679989999999999952e+02,4.999810000000000088e+00,1.629699999999999931e-04
1.689989999999999952e+02,5.000239999999999796e+00,1.655170000000000079e-04
1.699989999999999952e+02,5.001680000000000348e+00,1.635580000000000085e-04
1.709989999999999952e+02,5.000670000000000393e+00,1.623969999999999971e-04
1.719989999999999952e+02,5.002469999999999750e+00,1.610390000000000009e-04
1.729989999999999952e+02,5.000169999999999781e+00,1.629740000000000019e-04
1.739989999999999952e+02,5.000530000000000364e+00,1.625920000000000045e-04
1.749989999999999952e+02,5.001900000000000013e+00,1.648879999999999975e-04
1.759989999999999952e+02,5.003350000000000186e+00,1.599860000000000095e-04
1.769989999999999952e+02,5.002340000000000231e+00,1.640540000000000119e-04
1.779989999999999952e+02,5.001330000000000275e+00,1.616839999999999922e-04
