# Wed Jun 21 18:27:28 2023
#  Tiempo [s], Voltage [V], Corriente [A]
#  Vpos=5, Vneg=0.001, stepPos=0.1, stepNeg=10, rev=0, hslV=0.4, hslF=1, cycles=1, T=0.5, pw=0.25, limitI=0.0005, rangeI=1e-08, limitV=0.5, rangeV=20, nlpc=0.001
0.000000000000000000e+00,4.030230000000000201e-01,1.208619999999999958e-05
5.001780000000000115e-01,1.003389999999999976e-01,2.781030000000000121e-06
9.999820000000000375e-01,4.025369999999999782e-01,1.205219999999999957e-05
1.500180000000000069e+00,1.993810000000000027e-01,5.609040000000000256e-06
1.999970000000000026e+00,4.022450000000000192e-01,1.201829999999999977e-05
2.500169999999999781e+00,3.016429999999999945e-01,8.388560000000000200e-06
2.999969999999999803e+00,4.019530000000000047e-01,1.195450000000000049e-05
3.499639999999999862e+00,4.025369999999999782e-01,1.212019999999999959e-05
3.999639999999999862e+00,4.036069999999999935e-01,1.216269999999999961e-05
4.499640000000000306e+00,5.020689999999999875e-01,1.528459999999999932e-05
4.999640000000000306e+00,4.017580000000000040e-01,1.220090000000000036e-05
5.499640000000000306e+00,6.035469999999999446e-01,1.825790000000000014e-05
5.999640000000000306e+00,4.013689999999999758e-01,1.209900000000000054e-05
6.499640000000000306e+00,7.013270000000000337e-01,2.128210000000000076e-05
6.999640000000000306e+00,4.015639999999999765e-01,1.216690000000000035e-05
7.499640000000000306e+00,8.034860000000000335e-01,2.456120000000000127e-05
7.999640000000000306e+00,4.022450000000000192e-01,1.228590000000000040e-05
8.499639999999999418e+00,9.016560000000000130e-01,2.753019999999999944e-05
8.999639999999999418e+00,4.035099999999999798e-01,1.213290000000000034e-05
9.499639999999999418e+00,1.002159999999999940e+00,3.055450000000000028e-05
9.999639999999999418e+00,4.023419999999999774e-01,1.211169999999999959e-05
1.049959999999999916e+01,1.100039999999999907e+00,3.365089999999999997e-05
1.099959999999999916e+01,4.008829999999999893e-01,1.214140000000000034e-05
1.149959999999999916e+01,1.200930000000000053e+00,3.687480000000000141e-05
1.199959999999999916e+01,4.024400000000000199e-01,1.206069999999999957e-05
1.249959999999999916e+01,1.304059999999999997e+00,3.991600000000000204e-05
1.299959999999999916e+01,4.023419999999999774e-01,1.207350000000000053e-05
1.349959999999999916e+01,1.402719999999999967e+00,4.308469999999999764e-05
1.399959999999999916e+01,4.030230000000000201e-01,1.210750000000000055e-05
1.449959999999999916e+01,1.501859999999999973e+00,4.612170000000000261e-05
1.499959999999999916e+01,4.021480000000000055e-01,1.214569999999999960e-05
1.549959999999999916e+01,1.596459999999999990e+00,4.927360000000000203e-05
1.599959999999999916e+01,3.991390000000000216e-01,1.219589999999999956e-05
1.649960000000000093e+01,1.697240000000000082e+00,5.240479999999999672e-05
1.699960000000000093e+01,3.987499999999999933e-01,1.231469999999999917e-05
1.749960000000000093e+01,1.798980000000000024e+00,5.553599999999999818e-05
1.799960000000000093e+01,3.980699999999999794e-01,1.228069999999999916e-05
1.849960000000000093e+01,1.898689999999999989e+00,5.867569999999999795e-05
1.899960000000000093e+01,3.976810000000000067e-01,1.213649999999999976e-05
1.949960000000000093e+01,1.997810000000000086e+00,6.184500000000000164e-05
1.999960000000000093e+01,3.973900000000000210e-01,1.220439999999999957e-05
2.049960000000000093e+01,2.076830000000000176e+00,6.492949999999999557e-05
2.099960000000000093e+01,4.000139999999999807e-01,1.219589999999999956e-05
2.149960000000000093e+01,2.188279999999999781e+00,6.823470000000000587e-05
2.199960000000000093e+01,3.984590000000000076e-01,1.225950000000000011e-05
2.249960000000000093e+01,2.286770000000000191e+00,7.142100000000000618e-05
2.299960000000000093e+01,3.982640000000000069e-01,1.220010000000000030e-05
2.349960000000000093e+01,2.390439999999999898e+00,7.454789999999999822e-05
2.399960000000000093e+01,3.991390000000000216e-01,1.218739999999999956e-05
2.449960000000000093e+01,2.485469999999999846e+00,7.792100000000000155e-05
2.499960000000000093e+01,3.974869999999999792e-01,1.227229999999999937e-05
2.549960000000000093e+01,2.590009999999999923e+00,8.097150000000000224e-05
2.599960000000000093e+01,3.978760000000000074e-01,1.238679999999999972e-05
2.649960000000000093e+01,2.686770000000000103e+00,8.820129999999999865e-05
2.699960000000000093e+01,4.003050000000000219e-01,1.277289999999999929e-05
2.749960000000000093e+01,2.786979999999999791e+00,9.179910000000000001e-05
2.799960000000000093e+01,3.995279999999999943e-01,1.276020000000000024e-05
2.849960000000000093e+01,2.877699999999999925e+00,9.510850000000000597e-05
2.899960000000000093e+01,3.981669999999999932e-01,1.273049999999999949e-05
2.949960000000000093e+01,2.985689999999999955e+00,9.833299999999999517e-05
2.999960000000000093e+01,3.990420000000000078e-01,1.298079999999999945e-05
3.050000000000000000e+01,3.084179999999999922e+00,1.021080000000000056e-04
3.100000000000000000e+01,3.993329999999999935e-01,1.279839999999999930e-05
3.150009999999999977e+01,3.212499999999999911e+00,1.052569999999999987e-04
3.200000000000000000e+01,4.005889999999999729e-01,1.284290000000000031e-05
3.250000000000000000e+01,3.326649999999999885e+00,1.084399999999999985e-04
3.300000000000000000e+01,4.009780000000000011e-01,1.275369999999999954e-05
3.350000000000000000e+01,3.425229999999999997e+00,1.121330000000000053e-04
3.400000000000000000e+01,4.011719999999999731e-01,1.286830000000000011e-05
3.450000000000000000e+01,3.510839999999999961e+00,1.158259999999999986e-04
