# Wed Jun 21 19:21:59 2023
#  Tiempo [s], Voltage [V], Corriente [A]
#  Vpos=5, Vneg=0.001, stepPos=0.1, stepNeg=10, rev=0, hslV=0.4, hslF=1, cycles=1, T=8, pw=4.0, limitI=0.0005, rangeI=1e-08, limitV=0.5, rangeV=20, nlpc=0.001
0.000000000000000000e+00,4.003760000000000097e-01,1.269359999999999990e-05
8.000180000000000291e+00,9.998210000000000430e-02,2.932609999999999947e-06
1.600009999999999977e+01,3.987370000000000081e-01,1.393920000000000030e-05
2.400019999999999953e+01,1.996110000000000106e-01,5.867979999999999847e-06
3.200010000000000332e+01,3.983470000000000066e-01,1.391109999999999968e-05
4.000019999999999953e+01,2.978439999999999976e-01,8.821070000000000571e-06
4.800010000000000332e+01,3.997879999999999767e-01,1.393380000000000032e-05
5.599960000000000093e+01,3.982330000000000036e-01,1.283440000000000031e-05
6.399960000000000093e+01,3.996219999999999772e-01,1.280459999999999934e-05
7.199960000000000093e+01,4.998850000000000238e-01,1.596810000000000048e-05
7.999960000000000093e+01,3.995349999999999735e-01,1.283120000000000007e-05
8.799960000000000093e+01,5.989470000000000072e-01,1.929879999999999893e-05
9.599960000000000093e+01,3.989779999999999993e-01,1.278500000000000041e-05
1.040000000000000000e+02,6.993780000000000552e-01,2.251869999999999838e-05
1.120000000000000000e+02,3.983729999999999771e-01,1.278880000000000027e-05
1.200000000000000000e+02,7.946769999999999667e-01,2.567309999999999989e-05
1.280000000000000000e+02,4.000859999999999972e-01,1.271180000000000084e-05
1.360000000000000000e+02,9.009089999999999598e-01,2.886430000000000077e-05
1.440000000000000000e+02,3.995980000000000087e-01,1.278510000000000063e-05
1.520000000000000000e+02,9.987049999999999539e-01,3.223539999999999972e-05
1.600000000000000000e+02,3.999349999999999850e-01,1.283169999999999947e-05
1.680000000000000000e+02,1.100400000000000045e+00,3.536320000000000050e-05
1.760000000000000000e+02,3.987680000000000113e-01,1.275529999999999966e-05
1.840000000000000000e+02,1.198290000000000077e+00,3.864810000000000017e-05
1.920000000000000000e+02,4.025839999999999974e-01,1.277759999999999943e-05
2.000000000000000000e+02,1.301469999999999905e+00,4.187810000000000143e-05
2.080000000000000000e+02,3.964520000000000266e-01,1.276389999999999988e-05
2.160000000000000000e+02,1.399659999999999904e+00,4.510539999999999678e-05
2.240000000000000000e+02,3.972129999999999828e-01,1.295219999999999942e-05
2.320000000000000000e+02,1.498850000000000016e+00,4.853089999999999981e-05
2.400000000000000000e+02,4.001270000000000104e-01,1.277330000000000017e-05
2.480000000000000000e+02,1.596139999999999892e+00,5.163059999999999996e-05
2.560000000000000000e+02,3.988360000000000238e-01,1.276170000000000014e-05
2.640000000000000000e+02,1.699009999999999909e+00,5.497540000000000223e-05
2.720000000000000000e+02,3.997200000000000197e-01,1.286569999999999949e-05
2.800000000000000000e+02,1.796890000000000098e+00,5.825970000000000058e-05
2.880000000000000000e+02,3.981700000000000239e-01,1.285770000000000058e-05
2.960000000000000000e+02,1.898949999999999916e+00,6.172800000000000259e-05
3.040000000000000000e+02,3.987339999999999773e-01,1.285140000000000032e-05
3.120000000000000000e+02,1.997730000000000006e+00,6.485540000000000250e-05
3.200000000000000000e+02,3.969699999999999895e-01,1.282590000000000031e-05
3.280000000000000000e+02,2.081490000000000062e+00,6.813559999999999864e-05
3.360000000000000000e+02,3.988289999999999891e-01,1.289649999999999926e-05
3.440000000000000000e+02,2.193690000000000140e+00,7.154280000000000220e-05
3.520000000000000000e+02,3.973769999999999802e-01,1.291400000000000036e-05
3.600000000000000000e+02,2.319490000000000052e+00,7.482839999999999663e-05
3.680000000000000000e+02,3.979579999999999784e-01,1.281479999999999969e-05
3.760000000000000000e+02,2.390070000000000139e+00,7.807500000000000041e-05
3.840000000000000000e+02,3.990159999999999818e-01,1.274470000000000014e-05
3.920000000000000000e+02,2.499839999999999840e+00,8.154039999999999606e-05
4.000000000000000000e+02,4.022830000000000017e-01,1.280510000000000044e-05
4.080000000000000000e+02,2.628359999999999808e+00,8.485939999999999597e-05
4.160000000000000000e+02,3.975810000000000177e-01,1.281900000000000042e-05
4.240000000000000000e+02,2.681979999999999809e+00,8.826490000000000258e-05
4.320000000000000000e+02,3.991589999999999860e-01,1.274090000000000027e-05
4.400000000000000000e+02,2.787619999999999987e+00,9.167540000000000660e-05
4.480000000000000000e+02,3.978740000000000054e-01,1.275219999999999964e-05
4.560000000000000000e+02,2.880440000000000111e+00,9.499530000000000170e-05
4.640000000000000000e+02,3.994530000000000025e-01,1.286729999999999961e-05
4.720000000000000000e+02,2.990629999999999900e+00,9.859299999999999607e-05
4.800000000000000000e+02,4.007000000000000006e-01,1.276699999999999991e-05
4.880000000000000000e+02,3.111540000000000195e+00,1.018230000000000041e-04
4.960000000000000000e+02,4.011580000000000146e-01,1.294100000000000027e-05
5.040000000000000000e+02,3.209700000000000220e+00,1.050910000000000006e-04
5.120000000000000000e+02,3.994320000000000093e-01,1.279619999999999956e-05
5.200000000000000000e+02,3.308759999999999923e+00,1.089070000000000061e-04
5.280000000000000000e+02,3.993990000000000040e-01,1.275899999999999931e-05
5.360000000000000000e+02,3.387980000000000214e+00,1.121000000000000008e-04
5.440000000000000000e+02,4.013570000000000193e-01,1.284549999999999924e-05
5.520000000000000000e+02,3.505630000000000024e+00,1.156800000000000037e-04
5.600000000000000000e+02,3.988949999999999996e-01,1.275010000000000012e-05
5.680000000000000000e+02,3.603819999999999801e+00,1.191449999999999985e-04
5.760000000000000000e+02,4.021689999999999987e-01,1.286090000000000082e-05
5.840000000000000000e+02,3.713509999999999867e+00,1.227979999999999990e-04
5.920000000000000000e+02,3.996160000000000267e-01,1.284130000000000019e-05
6.000000000000000000e+02,3.789289999999999825e+00,1.261240000000000006e-04
6.080000000000000000e+02,3.989849999999999786e-01,1.273299999999999989e-05
6.160000000000000000e+02,3.909110000000000085e+00,1.294149999999999934e-04
6.240000000000000000e+02,3.987539999999999973e-01,1.275209999999999942e-05
6.320000000000000000e+02,4.001929999999999765e+00,1.330020000000000117e-04
6.400000000000000000e+02,4.020529999999999937e-01,1.273620000000000013e-05
6.480000000000000000e+02,4.118210000000000370e+00,1.366189999999999874e-04
6.560000000000000000e+02,3.999179999999999957e-01,1.279149999999999942e-05
6.640000000000000000e+02,4.189320000000000377e+00,1.398410000000000050e-04
6.720000000000000000e+02,4.008099999999999996e-01,1.276860000000000003e-05
6.800000000000000000e+02,4.295790000000000219e+00,1.439869999999999887e-04
6.880000000000000000e+02,3.978220000000000089e-01,1.276970000000000074e-05
6.960000000000000000e+02,4.378870000000000040e+00,1.472610000000000119e-04
7.040000000000000000e+02,4.017979999999999885e-01,1.271710000000000060e-05
7.120000000000000000e+02,4.512019999999999698e+00,1.504809999999999980e-04
7.200000000000000000e+02,3.995000000000000218e-01,1.277129999999999917e-05
7.280000000000000000e+02,4.593049999999999855e+00,1.541109999999999887e-04
