# Wed Jun 21 16:57:50 2023
#  Tiempo [s], Voltage [V], Corriente [A]
#  Vpos=5, Vneg=0.001, stepPos=0.1, stepNeg=10, rev=0, hslV=0.4, hslF=1, cycles=1, T=8, pw=4.0, limitI=0.0005, rangeI=1e-08, limitV=0.5, rangeV=20, nlpc=0.001
2.972669999999999844e-07,0.000000000000000000e+00,4.013550000000000173e-01
2.691900000000000103e-08,8.044399999999999551e+00,9.995940000000000381e-02
4.369089999999999850e-07,1.600029999999999930e+01,4.011390000000000233e-01
7.903599999999999384e-08,2.404439999999999955e+01,2.001799999999999968e-01
4.350009999999999920e-07,3.200030000000000285e+01,3.986750000000000016e-01
1.802160000000000038e-07,3.999969999999999715e+01,2.995729999999999782e-01
3.039060000000000215e-07,4.799920000000000186e+01,3.964520000000000266e-01
3.389700000000000237e-07,5.599920000000000186e+01,3.981040000000000134e-01
3.124829999999999798e-07,6.399920000000000186e+01,3.993039999999999923e-01
5.530600000000000038e-07,7.199920000000000186e+01,4.979799999999999782e-01
3.018980000000000210e-07,7.999920000000000186e+01,3.983800000000000119e-01
8.166960000000000492e-07,8.799920000000000186e+01,5.980400000000000160e-01
3.159060000000000231e-07,9.599920000000000186e+01,3.996580000000000132e-01
1.187130000000000016e-06,1.040000000000000000e+02,6.993780000000000552e-01
3.170629999999999851e-07,1.120000000000000000e+02,3.986100000000000199e-01
1.689309999999999925e-06,1.200000000000000000e+02,8.001080000000000414e-01
3.099609999999999788e-07,1.280000000000000000e+02,3.977939999999999809e-01
2.243280000000000060e-06,1.360000000000000000e+02,8.991270000000000095e-01
3.181449999999999944e-07,1.440000000000000000e+02,3.980540000000000189e-01
2.892600000000000054e-06,1.520000000000000000e+02,1.000529999999999919e+00
3.478340000000000163e-07,1.600000000000000000e+02,3.988689999999999736e-01
3.697579999999999841e-06,1.680000000000000000e+02,1.099490000000000078e+00
3.179699999999999812e-07,1.760000000000000000e+02,3.988619999999999943e-01
4.716729999999999647e-06,1.840000000000000000e+02,1.197980000000000045e+00
3.420409999999999855e-07,1.920000000000000000e+02,4.009300000000000086e-01
5.824169999999999669e-06,2.000000000000000000e+02,1.300599999999999978e+00
3.226790000000000004e-07,2.080000000000000000e+02,4.001959999999999962e-01
6.942990000000000419e-06,2.160000000000000000e+02,1.398269999999999902e+00
3.282669999999999840e-07,2.240000000000000000e+02,3.983479999999999799e-01
8.137739999999999441e-06,2.320000000000000000e+02,1.500070000000000014e+00
3.033820000000000097e-07,2.400000000000000000e+02,4.025650000000000062e-01
9.740710000000000460e-06,2.480000000000000000e+02,1.600829999999999975e+00
3.247109999999999752e-07,2.560000000000000000e+02,4.029869999999999841e-01
1.151800000000000051e-05,2.640000000000000000e+02,1.701729999999999965e+00
3.327629999999999999e-07,2.720000000000000000e+02,4.016750000000000043e-01
1.418500000000000056e-05,2.800000000000000000e+02,1.801840000000000108e+00
2.315780000000000107e-07,2.880000000000000000e+02,4.008120000000000016e-01
1.536840000000000011e-05,2.960000000000000000e+02,1.900870000000000060e+00
2.166199999999999902e-07,3.040000000000000000e+02,4.011719999999999731e-01
1.743810000000000165e-05,3.120000000000000000e+02,1.998439999999999994e+00
2.314360000000000085e-07,3.200000000000000000e+02,3.995750000000000135e-01
1.985509999999999901e-05,3.280000000000000000e+02,2.094710000000000072e+00
2.281900000000000071e-07,3.360000000000000000e+02,4.001959999999999962e-01
2.238060000000000049e-05,3.440000000000000000e+02,2.197049999999999947e+00
2.469279999999999993e-07,3.520000000000000000e+02,3.998559999999999892e-01
2.520410000000000150e-05,3.600000000000000000e+02,2.311430000000000096e+00
2.223159999999999904e-07,3.680000000000000000e+02,3.996370000000000200e-01
2.820940000000000134e-05,3.760000000000000000e+02,2.407840000000000202e+00
2.327949999999999878e-07,3.840000000000000000e+02,3.987080000000000068e-01
3.114300000000000320e-05,3.920000000000000000e+02,2.498000000000000220e+00
2.570300000000000192e-07,4.000000000000000000e+02,4.020529999999999937e-01
3.494769999999999745e-05,4.080000000000000000e+02,2.607600000000000140e+00
2.677510000000000263e-07,4.160000000000000000e+02,4.000609999999999999e-01
3.782410000000000264e-05,4.240000000000000000e+02,2.673480000000000079e+00
2.729250000000000170e-07,4.320000000000000000e+02,4.006819999999999826e-01
4.210219999999999815e-05,4.400000000000000000e+02,2.800349999999999895e+00
2.400220000000000035e-07,4.480000000000000000e+02,4.002410000000000134e-01
4.624919999999999758e-05,4.560000000000000000e+02,2.900399999999999867e+00
2.478300000000000162e-07,4.640000000000000000e+02,4.011839999999999851e-01
5.044619999999999823e-05,4.720000000000000000e+02,2.996680000000000010e+00
2.590530000000000103e-07,4.800000000000000000e+02,4.003900000000000237e-01
5.530530000000000054e-05,4.880000000000000000e+02,3.098539999999999850e+00
2.327559999999999965e-07,4.960000000000000000e+02,4.002970000000000139e-01
5.995769999999999686e-05,5.040000000000000000e+02,3.202989999999999782e+00
2.491729999999999774e-07,5.120000000000000000e+02,3.994820000000000038e-01
6.433029999999999630e-05,5.200000000000000000e+02,3.305709999999999926e+00
2.485849999999999988e-07,5.280000000000000000e+02,4.007049999999999779e-01
6.920239999999999324e-05,5.360000000000000000e+02,3.395939999999999959e+00
2.600770000000000067e-07,5.440000000000000000e+02,4.019150000000000222e-01
7.555130000000000287e-05,5.520000000000000000e+02,3.498439999999999994e+00
2.518239999999999923e-07,5.600000000000000000e+02,3.986759999999999748e-01
8.189879999999999589e-05,5.680000000000000000e+02,3.606259999999999799e+00
2.588119999999999752e-07,5.760000000000000000e+02,4.004849999999999799e-01
8.675699999999999623e-05,5.840000000000000000e+02,3.698329999999999895e+00
2.377489999999999937e-07,5.920000000000000000e+02,3.999389999999999890e-01
9.231239999999999390e-05,6.000000000000000000e+02,3.807690000000000019e+00
2.729360000000000030e-07,6.080000000000000000e+02,3.997089999999999810e-01
1.006420000000000030e-04,6.160000000000000000e+02,3.885949999999999793e+00
3.716550000000000017e-07,6.240000000000000000e+02,3.986219999999999763e-01
1.083420000000000005e-04,6.320000000000000000e+02,3.992830000000000101e+00
4.045960000000000053e-07,6.400000000000000000e+02,4.010000000000000231e-01
1.147030000000000028e-04,6.480000000000000000e+02,4.101049999999999862e+00
3.255779999999999790e-07,6.560000000000000000e+02,3.983780000000000099e-01
1.238500000000000018e-04,6.640000000000000000e+02,4.172039999999999971e+00
3.349389999999999792e-07,6.720000000000000000e+02,3.996250000000000080e-01
1.305289999999999966e-04,6.800000000000000000e+02,4.274680000000000035e+00
3.905310000000000180e-07,6.880000000000000000e+02,4.001270000000000104e-01
1.385629999999999945e-04,6.960000000000000000e+02,4.384579999999999700e+00
3.094900000000000006e-07,7.040000000000000000e+02,3.996290000000000120e-01
1.330550000000000059e-04,7.120000000000000000e+02,4.503260000000000041e+00
3.566239999999999778e-07,7.200000000000000000e+02,3.998269999999999880e-01
1.403970000000000044e-04,7.280000000000000000e+02,4.607540000000000191e+00
3.192250000000000014e-07,7.360000000000000000e+02,4.013390000000000013e-01
1.471280000000000049e-04,7.440000000000000000e+02,4.703560000000000407e+00
3.381419999999999848e-07,7.520000000000000000e+02,4.004090000000000149e-01
1.557750000000000053e-04,7.600000000000000000e+02,4.794010000000000105e+00
2.892389999999999869e-07,7.680000000000000000e+02,4.015659999999999785e-01
1.594719999999999937e-04,7.760000000000000000e+02,4.908990000000000187e+00
3.736480000000000117e-07,7.840000000000000000e+02,3.978729999999999767e-01
1.638060000000000102e-04,7.920000000000000000e+02,4.980640000000000178e+00
2.834359999999999977e-07,8.000000000000000000e+02,3.984269999999999756e-01
1.543319999999999989e-04,8.080000000000000000e+02,4.894929999999999559e+00
3.343519999999999753e-07,8.160000000000000000e+02,4.012510000000000243e-01
1.492490000000000071e-04,8.240000000000000000e+02,4.803989999999999760e+00
4.242040000000000046e-07,8.320000000000000000e+02,3.987850000000000006e-01
1.398720000000000052e-04,8.400000000000000000e+02,4.709929999999999950e+00
3.985340000000000136e-07,8.480000000000000000e+02,3.999349999999999850e-01
1.319489999999999932e-04,8.560000000000000000e+02,4.602579999999999671e+00
3.000579999999999993e-07,8.640000000000000000e+02,4.019059999999999855e-01
1.276259999999999873e-04,8.720000000000000000e+02,4.518229999999999968e+00
3.195029999999999990e-07,8.800000000000000000e+02,3.983349999999999946e-01
1.242629999999999993e-04,8.880000000000000000e+02,4.378870000000000040e+00
3.260380000000000241e-07,8.960000000000000000e+02,3.992379999999999818e-01
1.145999999999999938e-04,9.040000000000000000e+02,4.286970000000000169e+00
3.107310000000000049e-07,9.120000000000000000e+02,4.009420000000000206e-01
1.093539999999999969e-04,9.200000000000000000e+02,4.196069999999999744e+00
3.052670000000000031e-07,9.280000000000000000e+02,4.000980000000000092e-01
1.048239999999999979e-04,9.360000000000000000e+02,4.101160000000000139e+00
3.346629999999999839e-07,9.440000000000000000e+02,4.048039999999999972e-01
