# Wed Jun  7 19:36:47 2023
#  Tiempo [s], Voltage [V], Corriente [A]
#  V=5, N=50, cycles=1, T=1, pw=0.0025, limitI=0.0005, rangeI=1e-08, limitV=0.5, rangeV=20, nlpc=0.01
0.000000000000000000e+00,5.005609999999999893e+00,1.332369999999999984e-04
9.986019999999999897e-01,5.005040000000000155e+00,1.345610000000000014e-04
1.998599999999999932e+00,5.004240000000000244e+00,1.314160000000000035e-04
2.998600000000000154e+00,5.003020000000000245e+00,1.286249999999999958e-04
3.998600000000000154e+00,5.003879999999999661e+00,1.314160000000000035e-04
4.998599999999999710e+00,5.004319999999999879e+00,1.344899999999999948e-04
5.998599999999999710e+00,5.004240000000000244e+00,1.363679999999999927e-04
6.998599999999999710e+00,5.005399999999999849e+00,1.322010000000000036e-04
7.998599999999999710e+00,5.003879999999999661e+00,1.390320000000000065e-04
8.998599999999999710e+00,5.004459999999999908e+00,1.391379999999999950e-04
9.998599999999999710e+00,5.004389999999999894e+00,1.380239999999999917e-04
1.099859999999999971e+01,5.005899999999999572e+00,1.347019999999999988e-04
1.199859999999999971e+01,5.004959999999999631e+00,1.342460000000000018e-04
1.299859999999999971e+01,5.003309999999999924e+00,1.354270000000000029e-04
1.399859999999999971e+01,5.004240000000000244e+00,1.361839999999999958e-04
1.499859999999999971e+01,5.004459999999999908e+00,1.345680000000000032e-04
1.599859999999999971e+01,5.001909999999999634e+00,1.330849999999999904e-04
1.699859999999999971e+01,5.000320000000000320e+00,1.346019999999999964e-04
1.799859999999999971e+01,4.999959999999999738e+00,1.318819999999999953e-04
1.899859999999999971e+01,5.001039999999999708e+00,1.323739999999999899e-04
1.999859999999999971e+01,5.001689999999999969e+00,1.318930000000000059e-04
2.099859999999999971e+01,5.002480000000000260e+00,1.301920000000000030e-04
2.199859999999999971e+01,5.000539999999999985e+00,1.324549999999999914e-04
2.299859999999999971e+01,5.001400000000000290e+00,1.315359999999999956e-04
2.399859999999999971e+01,5.000680000000000014e+00,1.319950000000000127e-04
2.499859999999999971e+01,5.002480000000000260e+00,1.323630000000000065e-04
2.599859999999999971e+01,5.001470000000000304e+00,1.319249999999999947e-04
2.699859999999999971e+01,5.000539999999999985e+00,1.312279999999999979e-04
2.799859999999999971e+01,4.999959999999999738e+00,1.353419999999999927e-04
2.899859999999999971e+01,5.000829999999999664e+00,1.373930000000000041e-04
2.999859999999999971e+01,5.001470000000000304e+00,1.347999999999999969e-04
3.099859999999999971e+01,5.000390000000000335e+00,1.331629999999999988e-04
3.199859999999999971e+01,5.002030000000000420e+00,1.354030000000000045e-04
3.299860000000000326e+01,5.002900000000000347e+00,1.358060000000000072e-04
3.399860000000000326e+01,5.003619999999999735e+00,1.384479999999999999e-04
3.499860000000000326e+01,5.004410000000000025e+00,1.353460000000000015e-04
3.599860000000000326e+01,5.003260000000000041e+00,1.365879999999999872e-04
3.699860000000000326e+01,5.002320000000000100e+00,1.369060000000000069e-04
3.799860000000000326e+01,5.002460000000000129e+00,1.364600000000000047e-04
3.899860000000000326e+01,5.003260000000000041e+00,1.354349999999999933e-04
3.999860000000000326e+01,5.002390000000000114e+00,1.331709999999999893e-04
4.099860000000000326e+01,5.001529999999999809e+00,1.348830000000000027e-04
4.199860000000000326e+01,5.002460000000000129e+00,1.331639999999999875e-04
4.299860000000000326e+01,5.003470000000000084e+00,1.343030000000000048e-04
4.399860000000000326e+01,5.003260000000000041e+00,1.540850000000000130e-04
4.499860000000000326e+01,5.003619999999999735e+00,1.581029999999999870e-04
4.599860000000000326e+01,5.002250000000000085e+00,1.677770000000000032e-04
4.699860000000000326e+01,5.002320000000000100e+00,1.683780000000000064e-04
4.799860000000000326e+01,5.003490000000000215e+00,1.684059999999999865e-04
4.899860000000000326e+01,5.003059999999999619e+00,1.716210000000000023e-04
