# Wed Jun  7 16:38:06 2023
#  Tiempo [s], Voltage [V], Corriente [A]
#  V=0.1, N=25, cycles=1, T=1, pw=0.0025, limitI=0.0005, rangeI=1e-08, limitV=0.5, rangeV=20, nlpc=0.01
9.998179999999999568e-02,5.856750000000000222e-11,0.000000000000000000e+00
9.997820000000000318e-02,3.450159999999999799e-10,9.538910000000000444e-01
1.000329999999999969e-01,3.530979999999999836e-10,1.953889999999999905e+00
1.000240000000000018e-01,3.518219999999999975e-10,2.953889999999999905e+00
9.997369999999999868e-02,3.484250000000000143e-10,3.953889999999999905e+00
1.000299999999999939e-01,3.526690000000000257e-10,4.953890000000000349e+00
9.998089999999999755e-02,3.513929999999999879e-10,5.953890000000000349e+00
1.000520000000000020e-01,3.450159999999999799e-10,6.953890000000000349e+00
1.000420000000000059e-01,3.212210000000000119e-10,7.953890000000000349e+00
1.000159999999999938e-01,3.237719999999999755e-10,8.953889999999999461e+00
9.999349999999999905e-02,3.003949999999999744e-10,9.953889999999999461e+00
9.994939999999999380e-02,2.668140000000000156e-10,1.095390000000000086e+01
1.000439999999999940e-01,2.260209999999999943e-10,1.195390000000000086e+01
9.999439999999999718e-02,2.005219999999999875e-10,1.295390000000000086e+01
1.000039999999999957e-01,1.669410000000000028e-10,1.395390000000000086e+01
9.996649999999999980e-02,1.520629999999999897e-10,1.495390000000000086e+01
9.995460000000000456e-02,1.660820000000000010e-10,1.595390000000000086e+01
1.000010000000000066e-01,1.529099999999999921e-10,1.695390000000000086e+01
9.999600000000000155e-02,1.605630000000000121e-10,1.795390000000000086e+01
1.000029999999999947e-01,1.469610000000000108e-10,1.895390000000000086e+01
1.000309999999999949e-01,1.503590000000000026e-10,1.995390000000000086e+01
1.000010000000000066e-01,1.499299999999999930e-10,2.095390000000000086e+01
9.995909999999999518e-02,1.571540000000000035e-10,2.195390000000000086e+01
1.000169999999999948e-01,1.541849999999999954e-10,2.295390000000000086e+01
1.000140000000000057e-01,1.682040000000000067e-10,2.395390000000000086e+01
