# Wed Jun  7 17:08:38 2023
#  Tiempo [s], Voltage [V], Corriente [A]
#  V=5, N=100, cycles=1, T=1, pw=0.0025, limitI=0.0005, rangeI=1e-08, limitV=0.5, rangeV=20, nlpc=0.01
0.000000000000000000e+00,5.004100000000000215e+00,1.716340000000000093e-09
9.532340000000000257e-01,5.004819999999999602e+00,3.681629999999999993e-08
1.953230000000000022e+00,5.003519999999999968e+00,3.721150000000000204e-08
2.953230000000000022e+00,5.004240000000000244e+00,3.720129999999999974e-08
3.953230000000000022e+00,5.003379999999999939e+00,3.711329999999999921e-08
4.953229999999999578e+00,5.004100000000000215e+00,3.700839999999999806e-08
5.953229999999999578e+00,5.004319999999999879e+00,3.692469999999999844e-08
6.953229999999999578e+00,5.004819999999999602e+00,3.687999999999999672e-08
7.953229999999999578e+00,5.004529999999999923e+00,3.691489999999999791e-08
8.953229999999999578e+00,5.004459999999999908e+00,3.695819999999999672e-08
9.953229999999999578e+00,5.004819999999999602e+00,3.696419999999999691e-08
1.095320000000000071e+01,5.003669999999999618e+00,3.712099999999999868e-08
1.195320000000000071e+01,5.003379999999999939e+00,3.726290000000000209e-08
1.295320000000000071e+01,5.004319999999999879e+00,3.743670000000000329e-08
1.395320000000000071e+01,5.004529999999999923e+00,3.763140000000000304e-08
1.495320000000000071e+01,5.004959999999999631e+00,3.785869999999999873e-08
1.595320000000000071e+01,5.002950000000000230e+00,3.817300000000000043e-08
1.695319999999999894e+01,5.003449999999999953e+00,3.834290000000000250e-08
1.795319999999999894e+01,5.002880000000000216e+00,3.854690000000000220e-08
1.895319999999999894e+01,5.004389999999999894e+00,3.860260000000000316e-08
1.995319999999999894e+01,5.004030000000000200e+00,3.862470000000000043e-08
2.095319999999999894e+01,5.002159999999999940e+00,3.860729999999999923e-08
2.195319999999999894e+01,5.002010000000000289e+00,3.856899999999999947e-08
2.295319999999999894e+01,5.002229999999999954e+00,3.858260000000000033e-08
2.395319999999999894e+01,5.003529999999999589e+00,3.854389999999999880e-08
2.495319999999999894e+01,5.002659999999999663e+00,3.851759999999999942e-08
2.595319999999999894e+01,5.003169999999999895e+00,3.854009999999999846e-08
2.695319999999999894e+01,5.004319999999999879e+00,3.856139999999999879e-08
2.795319999999999894e+01,5.003890000000000171e+00,3.857710000000000072e-08
2.895319999999999894e+01,5.005329999999999835e+00,3.860430000000000244e-08
2.995319999999999894e+01,5.003599999999999604e+00,3.864930000000000053e-08
3.095319999999999894e+01,5.002449999999999619e+00,3.861190000000000312e-08
3.195319999999999894e+01,5.002889999999999837e+00,3.863440000000000216e-08
3.295320000000000249e+01,5.003099999999999881e+00,3.858260000000000033e-08
3.395320000000000249e+01,5.002819999999999823e+00,3.861399999999999756e-08
3.495320000000000249e+01,5.003029999999999866e+00,3.859880000000000282e-08
3.595320000000000249e+01,5.002740000000000187e+00,3.859880000000000282e-08
3.695320000000000249e+01,5.003180000000000405e+00,3.859579999999999942e-08
3.795320000000000249e+01,5.002089999999999925e+00,3.860509999999999938e-08
3.895320000000000249e+01,5.003459999999999575e+00,3.860600000000000172e-08
3.995320000000000249e+01,5.003099999999999881e+00,3.864129999999999807e-08
4.095320000000000249e+01,5.003459999999999575e+00,3.863569999999999966e-08
4.195320000000000249e+01,5.003750000000000142e+00,3.864040000000000235e-08
4.295320000000000249e+01,5.001809999999999867e+00,3.862680000000000148e-08
4.395320000000000249e+01,5.002670000000000172e+00,3.859790000000000048e-08
