# Wed Jun  7 16:26:57 2023
#  Tiempo [s], Voltage [V], Corriente [A]
#  Vpos=-0.1, Vneg=0.1, stepPos=-0.001, stepNeg=0.001, rev=0, hslV=0.4, hslF=0, cycles=1, T=1, pw=0.0025, limitI=0.0005, rangeI=1e-08, limitV=0.5, rangeV=20, nlpc=0.01
0.000000000000000000e+00,2.000109999999999832e+00,1.986390000000000094e-07
9.985789999999999944e-01,2.000109999999999832e+00,1.987740000000000037e-07
1.998580000000000023e+00,2.000109999999999832e+00,2.002000000000000060e-07
2.998580000000000023e+00,2.000049999999999883e+00,2.007239999999999913e-07
3.998580000000000023e+00,2.000119999999999898e+00,2.013640000000000024e-07
4.998579999999999579e+00,2.000199999999999978e+00,2.008149999999999887e-07
5.998579999999999579e+00,1.999940000000000051e+00,1.999099999999999948e-07
6.998579999999999579e+00,2.000070000000000014e+00,1.983780000000000046e-07
7.998579999999999579e+00,2.000000000000000000e+00,1.976469999999999963e-07
8.998580000000000467e+00,2.000070000000000014e+00,1.951949999999999952e-07
9.998580000000000467e+00,1.999910000000000077e+00,1.950349999999999991e-07
1.099859999999999971e+01,1.999959999999999960e+00,1.933939999999999912e-07
1.199859999999999971e+01,1.999900000000000011e+00,1.932299999999999905e-07
1.299859999999999971e+01,1.999880000000000102e+00,1.934629999999999901e-07
1.399859999999999971e+01,2.000020000000000131e+00,1.932010000000000106e-07
1.499859999999999971e+01,2.000070000000000014e+00,1.929099999999999983e-07
1.599859999999999971e+01,1.999959999999999960e+00,1.931280000000000072e-07
1.699859999999999971e+01,2.000090000000000146e+00,1.941070000000000056e-07
1.799859999999999971e+01,1.999959999999999960e+00,1.955110000000000094e-07
1.899859999999999971e+01,2.000030000000000197e+00,1.963339999999999898e-07
1.999859999999999971e+01,1.999929999999999986e+00,1.983850000000000126e-07
2.099859999999999971e+01,2.000049999999999883e+00,1.986759999999999984e-07
2.199859999999999971e+01,2.000030000000000197e+00,2.001679999999999962e-07
2.299859999999999971e+01,2.000210000000000043e+00,2.002809999999999919e-07
2.399859999999999971e+01,2.000119999999999898e+00,2.017509999999999912e-07
