# Wed Jun  7 17:53:17 2023
#  Tiempo [s], Voltage [V], Corriente [A]
#  V=5, N=50, cycles=1, T=1, pw=0.0025, limitI=0.0005, rangeI=1e-08, limitV=0.5, rangeV=20, nlpc=0.01
0.000000000000000000e+00,5.003459999999999575e+00,4.823880000000000179e-07
9.986030000000000184e-01,5.003540000000000099e+00,4.826319999999999770e-07
1.998599999999999932e+00,5.002740000000000187e+00,4.831269999999999824e-07
2.998600000000000154e+00,5.003899999999999793e+00,4.835780000000000438e-07
3.998600000000000154e+00,5.003389999999999560e+00,4.862189999999999945e-07
4.998599999999999710e+00,5.003610000000000113e+00,4.885260000000000428e-07
5.998599999999999710e+00,5.004109999999999836e+00,4.905270000000000089e-07
6.998599999999999710e+00,5.002670000000000172e+00,4.922660000000000485e-07
7.998599999999999710e+00,5.003099999999999881e+00,4.970729999999999671e-07
8.998599999999999710e+00,5.002740000000000187e+00,4.968729999999999521e-07
9.998599999999999710e+00,5.003750000000000142e+00,5.000780000000000129e-07
1.099859999999999971e+01,5.003099999999999881e+00,5.014679999999999479e-07
1.199859999999999971e+01,5.002959999999999852e+00,5.006059999999999763e-07
1.299859999999999971e+01,5.003820000000000157e+00,5.008859999999999762e-07
1.399859999999999971e+01,5.003029999999999866e+00,5.029740000000000145e-07
1.499859999999999971e+01,5.003540000000000099e+00,5.029930000000000095e-07
1.599859999999999971e+01,5.000320000000000320e+00,5.018320000000000430e-07
1.699859999999999971e+01,5.001619999999999955e+00,4.998020000000000176e-07
1.799859999999999971e+01,5.001759999999999984e+00,4.970220000000000416e-07
1.899859999999999971e+01,5.001039999999999708e+00,4.952720000000000160e-07
1.999859999999999971e+01,5.001540000000000319e+00,4.925180000000000167e-07
2.099859999999999971e+01,5.002259999999999707e+00,4.894909999999999989e-07
2.199859999999999971e+01,5.001979999999999649e+00,4.883600000000000134e-07
2.299859999999999971e+01,5.001039999999999708e+00,4.849730000000000110e-07
2.399859999999999971e+01,5.000320000000000320e+00,4.852890000000000516e-07
2.499859999999999971e+01,5.001759999999999984e+00,4.843290000000000219e-07
2.599859999999999971e+01,5.002340000000000231e+00,4.833719999999999690e-07
2.699859999999999971e+01,5.002259999999999707e+00,4.833580000000000061e-07
2.799859999999999971e+01,5.001249999999999751e+00,4.844820000000000101e-07
2.899859999999999971e+01,5.001249999999999751e+00,4.863550000000000428e-07
2.999859999999999971e+01,5.000530000000000364e+00,4.886689999999999668e-07
3.099859999999999971e+01,5.003059999999999619e+00,4.905609999999999946e-07
3.199859999999999971e+01,5.002040000000000042e+00,4.927710000000000124e-07
3.299860000000000326e+01,5.000880000000000436e+00,4.970530000000000503e-07
3.399860000000000326e+01,5.001459999999999795e+00,4.991700000000000421e-07
3.499860000000000326e+01,5.001750000000000362e+00,5.014659999999999986e-07
3.599860000000000326e+01,5.001890000000000391e+00,5.039220000000000306e-07
3.699860000000000326e+01,5.001030000000000086e+00,5.032050000000000382e-07
3.799860000000000326e+01,5.001890000000000391e+00,5.000290000000000367e-07
3.899860000000000326e+01,5.003049999999999997e+00,4.958740000000000104e-07
3.999860000000000326e+01,5.002900000000000347e+00,4.892679999999999842e-07
4.099860000000000326e+01,5.003549999999999720e+00,4.862040000000000039e-07
4.199860000000000326e+01,5.002180000000000071e+00,4.852329999999999881e-07
4.299860000000000326e+01,5.001319999999999766e+00,4.825230000000000387e-07
4.399860000000000326e+01,5.001890000000000391e+00,4.831379999999999684e-07
4.499860000000000326e+01,5.002040000000000042e+00,4.856769999999999622e-07
4.599860000000000326e+01,5.002110000000000056e+00,4.891869999999999718e-07
4.699860000000000326e+01,5.001610000000000333e+00,4.911589999999999844e-07
4.799860000000000326e+01,5.001730000000000231e+00,4.939769999999999505e-07
4.899860000000000326e+01,5.002089999999999925e+00,4.976080000000000179e-07
