# Wed Jun  7 17:24:33 2023
#  Tiempo [s], Voltage [V], Corriente [A]
#  V=5, N=100, cycles=1, T=1, pw=0.0025, limitI=0.0005, rangeI=1e-08, limitV=0.5, rangeV=20, nlpc=0.01
0.000000000000000000e+00,5.004660000000000331e+00,1.802659999999999983e-03
9.994720000000000271e-01,5.005600000000000271e+00,1.802510000000000006e-03
1.999470000000000081e+00,5.003370000000000317e+00,1.802369999999999970e-03
2.999470000000000081e+00,5.003650000000000375e+00,1.802369999999999970e-03
3.999470000000000081e+00,5.004089999999999705e+00,1.802049999999999919e-03
4.999469999999999636e+00,5.004159999999999719e+00,1.802189999999999955e-03
5.999469999999999636e+00,5.004299999999999748e+00,1.802549999999999986e-03
6.999469999999999636e+00,5.003510000000000346e+00,1.802259999999999973e-03
7.999469999999999636e+00,5.003730000000000011e+00,1.801869999999999904e-03
8.999470000000000525e+00,5.004089999999999705e+00,1.802079999999999958e-03
9.999470000000000525e+00,5.004089999999999705e+00,1.802079999999999958e-03
1.099949999999999939e+01,5.002430000000000376e+00,1.802329999999999991e-03
1.199949999999999939e+01,5.003009999999999735e+00,1.802439999999999988e-03
1.299949999999999939e+01,5.003870000000000040e+00,1.802369999999999970e-03
1.399949999999999939e+01,5.004299999999999748e+00,1.802189999999999955e-03
1.499949999999999939e+01,5.006319999999999659e+00,1.802329999999999991e-03
1.599949999999999939e+01,5.002340000000000231e+00,1.802559999999999926e-03
1.699950000000000117e+01,5.000969999999999693e+00,1.802629999999999944e-03
1.799950000000000117e+01,5.001759999999999984e+00,1.802659999999999983e-03
1.899950000000000117e+01,5.001540000000000319e+00,1.802839999999999998e-03
1.999950000000000117e+01,5.001470000000000304e+00,1.802479999999999968e-03
2.099950000000000117e+01,5.001470000000000304e+00,1.802339999999999932e-03
2.199950000000000117e+01,5.000680000000000014e+00,1.802839999999999998e-03
2.299950000000000117e+01,5.001829999999999998e+00,1.802339999999999932e-03
2.399950000000000117e+01,5.001470000000000304e+00,1.802519999999999947e-03
2.499950000000000117e+01,5.002620000000000289e+00,1.802409999999999950e-03
2.599950000000000117e+01,5.001179999999999737e+00,1.802659999999999983e-03
2.699950000000000117e+01,5.000180000000000291e+00,1.802699999999999962e-03
2.799950000000000117e+01,5.001900000000000013e+00,1.802589999999999965e-03
2.899950000000000117e+01,5.001260000000000261e+00,1.802379999999999911e-03
2.999950000000000117e+01,5.001400000000000290e+00,1.802409999999999950e-03
3.099950000000000117e+01,5.000029999999999752e+00,1.802449999999999929e-03
3.199950000000000117e+01,5.001820000000000377e+00,1.802439999999999988e-03
3.299949999999999761e+01,5.001890000000000391e+00,1.802549999999999986e-03
3.399949999999999761e+01,5.002679999999999794e+00,1.802589999999999965e-03
3.499949999999999761e+01,5.002320000000000100e+00,1.802620000000000004e-03
3.599949999999999761e+01,5.001890000000000391e+00,1.802329999999999991e-03
3.699949999999999761e+01,5.002679999999999794e+00,1.802299999999999952e-03
3.799949999999999761e+01,5.002970000000000361e+00,1.802549999999999986e-03
3.899949999999999761e+01,5.001599999999999824e+00,1.802690000000000022e-03
3.999949999999999761e+01,5.001529999999999809e+00,1.802369999999999970e-03
4.099949999999999761e+01,5.001170000000000115e+00,1.802549999999999986e-03
4.199949999999999761e+01,5.001310000000000144e+00,1.802079999999999958e-03
4.299949999999999761e+01,5.001820000000000377e+00,1.802299999999999952e-03
4.399949999999999761e+01,5.001669999999999838e+00,1.802189999999999955e-03
4.499949999999999761e+01,5.002469999999999750e+00,1.802620000000000004e-03
4.599949999999999761e+01,5.001529999999999809e+00,1.802549999999999986e-03
4.699949999999999761e+01,5.002110000000000056e+00,1.802149999999999976e-03
4.799949999999999761e+01,5.000689999999999635e+00,1.802730000000000001e-03
4.899949999999999761e+01,5.000259999999999927e+00,1.802980000000000034e-03
4.999949999999999761e+01,5.001990000000000158e+00,1.802629999999999944e-03
5.099949999999999761e+01,5.001920000000000144e+00,1.802839999999999998e-03
5.199949999999999761e+01,5.001490000000000435e+00,1.802659999999999983e-03
5.299949999999999761e+01,5.001409999999999911e+00,1.802479999999999968e-03
5.399949999999999761e+01,5.001559999999999562e+00,1.802449999999999929e-03
5.499949999999999761e+01,5.001699999999999591e+00,1.802699999999999962e-03
5.599949999999999761e+01,5.003000000000000114e+00,1.802189999999999955e-03
5.699949999999999761e+01,5.002419999999999867e+00,1.802449999999999929e-03
5.799949999999999761e+01,5.001129999999999853e+00,1.802369999999999970e-03
5.899949999999999761e+01,5.001409999999999911e+00,1.802449999999999929e-03
5.999949999999999761e+01,5.001559999999999562e+00,1.802269999999999914e-03
6.099949999999999761e+01,5.001559999999999562e+00,1.802449999999999929e-03
6.199949999999999761e+01,5.000689999999999635e+00,1.802519999999999947e-03
6.299949999999999761e+01,5.002060000000000173e+00,1.802589999999999965e-03
6.399949999999999761e+01,5.001920000000000144e+00,1.802479999999999968e-03
6.499949999999999761e+01,5.003000000000000114e+00,1.802189999999999955e-03
6.599949999999999761e+01,5.003870000000000040e+00,1.802089999999999899e-03
6.699949999999999761e+01,5.001710000000000100e+00,1.802299999999999952e-03
6.799949999999999761e+01,5.001280000000000392e+00,1.802589999999999965e-03
6.899949999999999761e+01,5.002430000000000376e+00,1.802299999999999952e-03
6.999949999999999761e+01,5.003440000000000332e+00,1.802269999999999914e-03
7.099949999999999761e+01,5.002139999999999809e+00,1.802269999999999914e-03
7.199949999999999761e+01,5.000560000000000116e+00,1.802229999999999934e-03
7.299949999999999761e+01,5.003149999999999764e+00,1.802089999999999899e-03
7.399949999999999761e+01,5.003149999999999764e+00,1.802119999999999937e-03
7.499949999999999761e+01,5.003650000000000375e+00,1.802299999999999952e-03
7.599949999999999761e+01,5.003440000000000332e+00,1.802269999999999914e-03
7.699949999999999761e+01,5.002139999999999809e+00,1.802409999999999950e-03
