# Wed Jun  7 17:21:44 2023
#  Tiempo [s], Voltage [V], Corriente [A]
#  V=5, N=25, cycles=1, T=1, pw=0.0025, limitI=0.0005, rangeI=1e-08, limitV=0.5, rangeV=20, nlpc=0.01
0.000000000000000000e+00,5.003129999999999633e+00,1.802570000000000084e-03
9.994709999999999983e-01,5.003639999999999866e+00,1.802500000000000066e-03
1.999470000000000081e+00,5.003639999999999866e+00,1.802640000000000102e-03
2.999470000000000081e+00,5.002699999999999925e+00,1.802750000000000099e-03
3.999470000000000081e+00,5.002200000000000202e+00,1.802500000000000066e-03
4.999469999999999636e+00,5.002839999999999954e+00,1.802750000000000099e-03
5.999469999999999636e+00,5.003280000000000172e+00,1.802460000000000086e-03
6.999469999999999636e+00,5.002119999999999678e+00,1.802460000000000086e-03
7.999469999999999636e+00,5.003420000000000201e+00,1.802570000000000084e-03
8.999470000000000525e+00,5.002919999999999590e+00,1.802500000000000066e-03
9.999470000000000525e+00,5.003490000000000215e+00,1.802460000000000086e-03
1.099949999999999939e+01,5.003999999999999559e+00,1.802390000000000068e-03
1.199949999999999939e+01,5.003490000000000215e+00,1.802680000000000081e-03
1.299949999999999939e+01,5.003779999999999895e+00,1.802430000000000048e-03
1.399949999999999939e+01,5.002769999999999939e+00,1.802500000000000066e-03
1.499949999999999939e+01,5.002769999999999939e+00,1.802610000000000063e-03
1.599949999999999939e+01,5.002640000000000420e+00,1.803160000000000049e-03
1.699950000000000117e+01,5.001780000000000115e+00,1.803160000000000049e-03
1.799950000000000117e+01,5.001920000000000144e+00,1.803310000000000026e-03
1.899950000000000117e+01,5.002640000000000420e+00,1.802839999999999998e-03
1.999950000000000117e+01,5.004080000000000084e+00,1.803020000000000013e-03
2.099950000000000117e+01,5.003510000000000346e+00,1.802839999999999998e-03
2.199950000000000117e+01,5.003720000000000390e+00,1.803090000000000031e-03
2.299950000000000117e+01,5.002279999999999838e+00,1.803160000000000049e-03
2.399950000000000117e+01,5.002640000000000420e+00,1.803160000000000049e-03
