# Tue Aug 22 16:02:27 2023
#  Tiempo [s], Voltage [V], Corriente [A]
#  Vpos=5, Vneg=5, stepPos=0.025, stepNeg=0.025, rev=0, hslV=0.4, hslF=1, cycles=1, T=0.125, pw=0.0625, limitI=0.5, rangeI=1e-08, limitV=5, rangeV=20, nlpc=0.001
0.000000000000000000e+00,4.021120000000000250e-01,-5.646600000000000317e-04
1.246280000000000027e-01,2.534269999999999926e-02,-5.647879999999999871e-04
2.496279999999999888e-01,4.005560000000000231e-01,-5.644899999999999571e-04
3.746280000000000165e-01,4.968159999999999937e-02,-5.641080000000000139e-04
4.996280000000000165e-01,4.023059999999999969e-01,-5.647449999999999606e-04
6.246279999999999610e-01,7.477730000000000488e-02,-5.647879999999999871e-04
7.496279999999999610e-01,4.014309999999999823e-01,-5.643630000000000174e-04
8.746279999999999610e-01,9.986230000000000107e-02,-5.638109999999999997e-04
9.996279999999999610e-01,4.011390000000000233e-01,-5.632159999999999554e-04
1.124630000000000019e+00,1.241249999999999992e-01,-5.629190000000000495e-04
1.249630000000000019e+00,4.028900000000000259e-01,-5.635139999999999854e-04
1.374630000000000019e+00,1.498049999999999937e-01,-5.635980000000000070e-04
1.499630000000000019e+00,4.018200000000000105e-01,-5.642359999999999693e-04
1.624630000000000019e+00,1.747279999999999944e-01,-5.642359999999999693e-04
1.749630000000000019e+00,4.009449999999999958e-01,-5.654670000000000529e-04
1.874630000000000019e+00,2.000939999999999941e-01,-5.650429999999999906e-04
1.999630000000000019e+00,4.026950000000000252e-01,-5.655099999999999710e-04
2.124629999999999797e+00,2.259700000000000042e-01,-5.655519999999999818e-04
2.249629999999999797e+00,4.027930000000000121e-01,-5.658920000000000226e-04
2.374629999999999797e+00,2.515499999999999958e-01,-5.660189999999999623e-04
2.499629999999999797e+00,4.014309999999999823e-01,-5.660619999999999888e-04
2.624629999999999797e+00,2.768379999999999730e-01,-5.665289999999999692e-04
2.749629999999999797e+00,3.990969999999999795e-01,-5.666560000000000173e-04
2.874629999999999797e+00,3.020289999999999919e-01,-5.673359999999999905e-04
2.999629999999999797e+00,4.021120000000000250e-01,-5.675059999999999567e-04
3.124629999999999797e+00,3.261499999999999955e-01,-5.678029999999999709e-04
3.249629999999999797e+00,3.999719999999999942e-01,-5.678449999999999817e-04
3.374629999999999797e+00,3.540639999999999898e-01,-5.688219999999999691e-04
3.499629999999999797e+00,4.009449999999999958e-01,-5.690769999999999726e-04
3.624629999999999797e+00,3.770180000000000198e-01,-5.684400000000000260e-04
3.749629999999999797e+00,4.010420000000000096e-01,-5.679730000000000455e-04
3.874629999999999797e+00,4.004579999999999806e-01,-5.675059999999999567e-04
3.999629999999999797e+00,4.004579999999999806e-01,-5.669540000000000473e-04
4.124629999999999797e+00,4.267190000000000150e-01,-5.670809999999999870e-04
4.249629999999999797e+00,4.009449999999999958e-01,-5.670389999999999762e-04
4.374629999999999797e+00,4.522990000000000066e-01,-5.673780000000000013e-04
4.499629999999999797e+00,4.006529999999999814e-01,-5.675059999999999567e-04
4.624629999999999797e+00,4.769059999999999966e-01,-5.681430000000000117e-04
4.749629999999999797e+00,4.023059999999999969e-01,-5.683129999999999779e-04
4.874629999999999797e+00,4.996659999999999990e-01,-5.684400000000000260e-04
4.999629999999999797e+00,4.008470000000000089e-01,-5.686530000000000187e-04
5.124629999999999797e+00,5.276769999999999516e-01,-5.689920000000000437e-04
5.249629999999999797e+00,4.020139999999999825e-01,-5.693319999999999761e-04
5.374629999999999797e+00,5.513120000000000243e-01,-5.690349999999999618e-04
5.499629999999999797e+00,4.030850000000000266e-01,-5.695439999999999531e-04
5.624629999999999797e+00,5.744599999999999707e-01,-5.698839999999999939e-04
5.749629999999999797e+00,4.024039999999999839e-01,-5.699270000000000204e-04
5.874629999999999797e+00,6.019849999999999923e-01,-5.694170000000000134e-04
5.999629999999999797e+00,4.014309999999999823e-01,-5.701389999999999974e-04
6.124629999999999797e+00,6.273710000000000120e-01,-5.698839999999999939e-04
6.249629999999999797e+00,4.019170000000000242e-01,-5.703940000000000008e-04
6.374629999999999797e+00,6.514919999999999600e-01,-5.695020000000000507e-04
6.499629999999999797e+00,4.013340000000000241e-01,-5.695869999999999796e-04
6.624629999999999797e+00,6.763909999999999645e-01,-5.689920000000000437e-04
6.749629999999999797e+00,4.015279999999999960e-01,-5.691199999999999991e-04
6.874629999999999797e+00,7.014839999999999964e-01,-5.692899999999999653e-04
6.999629999999999797e+00,3.998749999999999805e-01,-5.704790000000000381e-04
7.124629999999999797e+00,7.264810000000000434e-01,-5.698419999999999831e-04
7.249629999999999797e+00,4.014309999999999823e-01,-5.702660000000000454e-04
7.374629999999999797e+00,7.523520000000000207e-01,-5.689070000000000064e-04
7.499629999999999797e+00,4.006529999999999814e-01,-5.695439999999999531e-04
7.624629999999999797e+00,7.775429999999999842e-01,-5.691199999999999991e-04
7.749629999999999797e+00,4.004579999999999806e-01,-5.700539999999999601e-04
7.874629999999999797e+00,8.023449999999999749e-01,-5.695869999999999796e-04
7.999629999999999797e+00,4.010420000000000096e-01,-5.697989999999999566e-04
8.124629999999999797e+00,8.264660000000000339e-01,-5.689920000000000437e-04
8.249629999999999797e+00,4.004579999999999806e-01,-5.690349999999999618e-04
8.374629999999999797e+00,8.524350000000000538e-01,-5.685679999999999814e-04
8.499629999999999797e+00,4.024039999999999839e-01,-5.694590000000000242e-04
8.624629999999999797e+00,8.767500000000000293e-01,-5.683549999999999887e-04
8.749629999999999797e+00,4.020139999999999825e-01,-5.694170000000000134e-04
8.874629999999999797e+00,9.015520000000000200e-01,-5.678880000000000082e-04
8.999629999999999797e+00,4.019170000000000242e-01,-5.686530000000000187e-04
9.124629999999999797e+00,9.257710000000000106e-01,-5.679300000000000190e-04
9.249629999999999797e+00,4.020139999999999825e-01,-5.685679999999999814e-04
9.374629999999999797e+00,9.514479999999999604e-01,-5.678029999999999709e-04
9.499629999999999797e+00,4.006529999999999814e-01,-5.678029999999999709e-04
9.624629999999999797e+00,9.765420000000000211e-01,-5.668690000000000100e-04
9.749629999999999797e+00,4.044460000000000277e-01,-5.681430000000000117e-04
9.874629999999999797e+00,1.000760000000000094e+00,-5.662319999999999550e-04
9.999629999999999797e+00,4.020139999999999825e-01,-5.675059999999999567e-04
1.012459999999999916e+01,1.026140000000000052e+00,-5.654250000000000421e-04
1.024959999999999916e+01,4.018200000000000105e-01,-5.668690000000000100e-04
1.037459999999999916e+01,1.051430000000000087e+00,-5.653400000000000048e-04
