# Tue Aug 22 19:11:26 2023
#  Tiempo [s], Voltage [V], Corriente [A]
#  Vpos=5, Vneg=5, stepPos=0.2, stepNeg=0.2, rev=0, hslV=0.4, hslF=1, cycles=1, T=0.125, pw=0.0625, limitI=0.5, rangeI=1e-08, limitV=5, rangeV=20, nlpc=0.001
0.000000000000000000e+00,4.022899999999999809e-01,4.342159999999999820e-09
7.895900000000000141e-02,2.005290000000000128e-01,2.749710000000000010e-09
2.039590000000000014e-01,4.015119999999999800e-01,3.494890000000000119e-09
3.289590000000000014e-01,4.033599999999999963e-01,5.051610000000000095e-09
4.539590000000000014e-01,4.011230000000000073e-01,9.257330000000000746e-09
5.789590000000000014e-01,6.022520000000000095e-01,2.206330000000000011e-08
7.039590000000000014e-01,4.023869999999999947e-01,7.659769999999999906e-09
8.289590000000000014e-01,8.035759999999999570e-01,5.396349999999999878e-08
9.539590000000000014e-01,4.013169999999999793e-01,2.044540000000000056e-08
1.080000000000000071e+00,1.003440000000000110e+00,3.840410000000000386e-06
1.249190000000000023e+00,4.008309999999999929e-01,2.640369999999999744e-10
1.329960000000000031e+00,1.202530000000000099e+00,5.633149999999999590e-06
1.499179999999999957e+00,3.989829999999999766e-01,-1.256979999999999934e-09
1.579970000000000097e+00,1.402979999999999894e+00,5.764230000000000205e-06
1.749190000000000023e+00,4.027760000000000229e-01,2.027990000000000045e-10
1.829960000000000031e+00,1.604689999999999950e+00,6.232190000000000380e-06
1.999179999999999957e+00,4.004420000000000202e-01,-1.522400000000000037e-09
2.079969999999999875e+00,1.802219999999999933e+00,6.534549999999999972e-06
2.249179999999999957e+00,4.002470000000000194e-01,6.162170000000000445e-10
2.329959999999999809e+00,2.002089999999999925e+00,7.240640000000000017e-06
2.499179999999999957e+00,4.021919999999999940e-01,-1.251880000000000024e-09
2.579959999999999809e+00,2.211699999999999999e+00,7.427640000000000090e-06
2.749179999999999957e+00,4.021919999999999940e-01,7.285120000000000171e-10
2.829959999999999809e+00,2.403649999999999842e+00,7.726070000000000043e-06
