# Tue Aug 22 16:12:29 2023
#  Tiempo [s], Voltage [V], Corriente [A]
#  Vpos=0.4, Vneg=8, stepPos=1, stepNeg=0.16, rev=0, hslV=0.4, hslF=1, cycles=1, T=0.125, pw=0.0625, limitI=0.5, rangeI=1e-08, limitV=5, rangeV=20, nlpc=0.001
0.000000000000000000e+00,4.015090000000000048e-01,-6.473330000000000447e-04
1.246339999999999948e-01,-2.396110000000000069e-04,-6.480550000000000286e-04
2.496339999999999948e-01,4.008289999999999909e-01,-6.480970000000000394e-04
3.746340000000000225e-01,-1.593900000000000039e-01,-6.445729999999999559e-04
4.996340000000000225e-01,4.010230000000000183e-01,-6.476729999999999770e-04
6.246340000000000225e-01,-3.171510000000000162e-01,-6.447430000000000305e-04
7.496340000000000225e-01,4.001480000000000037e-01,-6.461869999999999984e-04
8.746340000000000225e-01,-4.790479999999999738e-01,-6.438089999999999612e-04
9.996340000000000225e-01,4.006339999999999901e-01,-6.459319999999999949e-04
1.124630000000000019e+00,-6.399730000000000141e-01,-6.442340000000000393e-04
1.249630000000000019e+00,3.992729999999999890e-01,-6.459750000000000214e-04
1.374630000000000019e+00,-7.991470000000000518e-01,-6.444460000000000162e-04
1.499630000000000019e+00,3.987870000000000026e-01,-6.461439999999999718e-04
1.624630000000000019e+00,-9.583220000000000072e-01,-6.464840000000000126e-04
1.749630000000000019e+00,3.996620000000000172e-01,-6.482249999999999948e-04
1.874630000000000019e+00,-1.118470000000000075e+00,-6.481399999999999575e-04
1.999630000000000019e+00,4.010230000000000183e-01,-6.478849999999999540e-04
2.124629999999999797e+00,-1.279779999999999918e+00,-6.480130000000000178e-04
2.249629999999999797e+00,4.001480000000000037e-01,-6.475460000000000374e-04
2.374629999999999797e+00,-1.438369999999999926e+00,-6.494139999999999592e-04
2.499629999999999797e+00,4.017040000000000055e-01,-6.476299999999999505e-04
2.624629999999999797e+00,-1.599010000000000042e+00,-6.500079999999999877e-04
2.749629999999999797e+00,4.002450000000000174e-01,-6.464840000000000126e-04
2.874629999999999797e+00,-1.759249999999999980e+00,-6.507719999999999824e-04
2.999629999999999797e+00,4.008289999999999909e-01,-6.465260000000000234e-04
3.124629999999999797e+00,-1.921149999999999913e+00,-6.547210000000000356e-04
3.249629999999999797e+00,3.996620000000000172e-01,-6.466109999999999523e-04
3.374629999999999797e+00,-2.081649999999999778e+00,-6.647410000000000515e-04
3.499629999999999797e+00,4.018010000000000193e-01,-6.466109999999999523e-04
3.624629999999999797e+00,-2.247619999999999951e+00,-6.760349999999999606e-04
3.749629999999999797e+00,4.013149999999999773e-01,-6.456769999999999914e-04
3.874629999999999797e+00,-2.396310000000000162e+00,-7.035060000000000098e-04
3.999629999999999797e+00,4.016069999999999918e-01,-6.464409999999999861e-04
4.124629999999999797e+00,-2.557960000000000012e+00,-7.342460000000000306e-04
4.249629999999999797e+00,4.018010000000000193e-01,-6.464840000000000126e-04
4.374629999999999797e+00,-2.723069999999999879e+00,-7.773829999999999803e-04
4.499629999999999797e+00,4.009260000000000046e-01,-6.466959999999999896e-04
4.624629999999999797e+00,-2.869159999999999933e+00,-8.182279999999999458e-04
4.749629999999999797e+00,4.014119999999999910e-01,-6.464409999999999861e-04
4.874629999999999797e+00,-3.031680000000000152e+00,-8.532140000000000340e-04
4.999629999999999797e+00,3.998559999999999892e-01,-6.454219999999999879e-04
5.124629999999999797e+00,-3.201109999999999900e+00,-8.939319999999999515e-04
5.249629999999999797e+00,4.011199999999999766e-01,-6.432570000000000518e-04
5.374629999999999797e+00,-3.369670000000000165e+00,-9.415279999999999613e-04
5.499629999999999797e+00,3.997589999999999755e-01,-6.406670000000000377e-04
5.624629999999999797e+00,-3.510580000000000034e+00,-9.930299999999999978e-04
5.749629999999999797e+00,4.013149999999999773e-01,-6.367190000000000003e-04
5.874979999999999869e+00,-3.662720000000000198e+00,-1.036519999999999976e-03
5.999970000000000248e+00,3.999539999999999762e-01,-6.309020000000000253e-04
6.124959999999999738e+00,-3.826099999999999834e+00,-1.080929999999999912e-03
6.249970000000000248e+00,3.993700000000000028e-01,-6.276749999999999561e-04
6.374959999999999738e+00,-3.990349999999999842e+00,-1.117139999999999973e-03
6.499970000000000248e+00,3.983979999999999744e-01,-6.254249999999999827e-04
6.624959999999999738e+00,-4.148539999999999672e+00,-1.166729999999999937e-03
6.749959999999999738e+00,4.017040000000000055e-01,-6.236840000000000005e-04
6.874959999999999738e+00,-4.310190000000000410e+00,-1.223209999999999966e-03
6.999959999999999738e+00,4.024820000000000064e-01,-6.209240000000000202e-04
7.124950000000000117e+00,-4.478749999999999787e+00,-1.269769999999999927e-03
7.249959999999999738e+00,4.001480000000000037e-01,-6.166360000000000504e-04
7.374959999999999738e+00,-4.626570000000000071e+00,-1.309440000000000040e-03
7.499970000000000248e+00,4.015090000000000048e-01,-6.145550000000000275e-04
7.624959999999999738e+00,-4.792550000000000310e+00,-1.362900000000000006e-03
7.749970000000000248e+00,4.019949999999999912e-01,-6.118799999999999760e-04
7.874959999999999738e+00,-4.963709999999999845e+00,-1.404719999999999927e-03
7.999970000000000248e+00,4.014119999999999910e-01,-6.089080000000000187e-04
8.124959999999999738e+00,-5.110660000000000203e+00,-1.448700000000000031e-03
8.249959999999999738e+00,4.018010000000000193e-01,-6.044930000000000008e-04
8.374959999999999738e+00,-5.265399999999999636e+00,-1.490089999999999904e-03
8.499959999999999738e+00,3.994670000000000165e-01,-6.000340000000000491e-04
8.624959999999999738e+00,-5.446930000000000049e+00,-1.531910000000000042e-03
8.749959999999999738e+00,3.993700000000000028e-01,-5.924339999999999728e-04
8.874959999999999738e+00,-5.590429999999999566e+00,-1.577609999999999906e-03
8.999959999999999738e+00,4.013149999999999773e-01,-5.849190000000000422e-04
9.124969999999999359e+00,-5.765049999999999564e+00,-1.639700000000000012e-03
9.249969999999999359e+00,4.018979999999999775e-01,-5.802490000000000208e-04
9.374969999999999359e+00,-5.923239999999999839e+00,-1.681949999999999982e-03
9.499959999999999738e+00,4.005369999999999764e-01,-5.779140000000000102e-04
9.624969999999999359e+00,-6.073649999999999771e+00,-1.731539999999999946e-03
9.749959999999999738e+00,3.995650000000000035e-01,-5.762999999999999677e-04
9.874980000000000757e+00,-6.241349999999999731e+00,-1.784999999999999911e-03
9.999959999999999738e+00,4.023840000000000194e-01,-5.751110000000000033e-04
1.012500000000000000e+01,-6.389179999999999637e+00,-1.841050000000000108e-03
1.025000000000000000e+01,4.015090000000000048e-01,-5.712480000000000032e-04
1.037500000000000000e+01,-6.543050000000000033e+00,-1.879849999999999967e-03
1.050000000000000000e+01,4.015090000000000048e-01,-5.669170000000000069e-04
1.062500000000000000e+01,-6.707290000000000418e+00,-1.938059999999999913e-03
1.075000000000000000e+01,4.001480000000000037e-01,-5.624160000000000444e-04
1.087500000000000000e+01,-6.875860000000000305e+00,-1.966519999999999813e-03
1.100000000000000000e+01,4.011199999999999766e-01,-5.586379999999999731e-04
1.112500000000000000e+01,-7.027129999999999654e+00,-2.007469999999999914e-03
1.125000000000000000e+01,4.011199999999999766e-01,-5.549440000000000319e-04
1.137500000000000000e+01,-7.192239999999999966e+00,-2.057059999999999878e-03
1.150000000000000000e+01,3.993700000000000028e-01,-5.529480000000000462e-04
1.162500000000000000e+01,-7.357350000000000279e+00,-2.115259999999999883e-03
1.175000000000000000e+01,4.012169999999999903e-01,-5.493819999999999520e-04
1.187500000000000000e+01,-7.517280000000000406e+00,-2.148460000000000040e-03
1.200000000000000000e+01,4.013149999999999773e-01,-5.456449999999999842e-04
1.212500000000000000e+01,-7.670279999999999987e+00,-2.198910000000000101e-03
1.225000000000000000e+01,3.995650000000000035e-01,-5.416540000000000287e-04
1.237500000000000000e+01,-7.825879999999999725e+00,-2.255389999999999912e-03
1.250000000000000000e+01,4.011199999999999766e-01,-5.376629999999999647e-04
1.262500000000000000e+01,-7.992720000000000269e+00,-2.289880000000000214e-03
1.275000000000000000e+01,4.010230000000000183e-01,-5.345639999999999593e-04
1.287500000000000000e+01,-7.830199999999999605e+00,-2.226929999999999795e-03
1.300000000000000000e+01,4.010230000000000183e-01,-5.321430000000000040e-04
1.312500000000000000e+01,-7.662499999999999645e+00,-2.165709999999999944e-03
1.325000000000000000e+01,4.000509999999999899e-01,-5.306570000000000254e-04
1.337500000000000000e+01,-7.528509999999999813e+00,-2.116129999999999921e-03
1.350000000000000000e+01,3.985920000000000019e-01,-5.322709999999999594e-04
1.362500000000000000e+01,-7.355620000000000047e+00,-2.061799999999999917e-03
1.375000000000000000e+01,3.996620000000000172e-01,-5.333319999999999684e-04
1.387500000000000000e+01,-7.181009999999999671e+00,-2.010490000000000194e-03
1.400000000000000000e+01,3.996620000000000172e-01,-5.343089999999999559e-04
1.412500000000000000e+01,-7.045289999999999608e+00,-1.961339999999999785e-03
1.425000000000000000e+01,4.006339999999999901e-01,-5.351149999999999613e-04
1.437500000000000000e+01,-6.885369999999999990e+00,-1.912190000000000027e-03
1.450000000000000000e+01,4.028709999999999791e-01,-5.351999999999999987e-04
1.462500000000000000e+01,-6.709889999999999688e+00,-1.872519999999999914e-03
1.475000000000000000e+01,4.005369999999999764e-01,-5.365170000000000269e-04
1.487500000000000000e+01,-6.573299999999999699e+00,-1.822510000000000059e-03
1.500000000000000000e+01,4.010230000000000183e-01,-5.373659999999999505e-04
1.512500000000000000e+01,-6.401279999999999859e+00,-1.773789999999999915e-03
1.525000000000000000e+01,4.026759999999999784e-01,-5.377480000000000020e-04
1.537500000000000000e+01,-6.230979999999999741e+00,-1.720759999999999998e-03
1.550000000000000000e+01,4.006339999999999901e-01,-5.392759999999999915e-04
1.562509999999999977e+01,-6.082550000000000345e+00,-1.677370000000000076e-03
1.575000000000000000e+01,3.975389999999999757e-01,-5.390170000000000334e-04
1.587500000000000000e+01,-5.902739999999999654e+00,-1.628220000000000101e-03
1.600000000000000000e+01,3.996779999999999777e-01,-5.398239999999999462e-04
1.612500000000000000e+01,-5.758370000000000211e+00,-1.578219999999999970e-03
1.625000000000000000e+01,4.000670000000000059e-01,-5.403759999999999640e-04
1.637500000000000000e+01,-5.605360000000000120e+00,-1.536830000000000097e-03
1.650000000000000000e+01,3.997760000000000202e-01,-5.416919999999999765e-04
1.662500000000000000e+01,-5.447160000000000224e+00,-1.494150000000000079e-03
1.675000000000000000e+01,4.016230000000000078e-01,-5.440269999999999872e-04
1.687500000000000000e+01,-5.277720000000000411e+00,-1.451480000000000001e-03
1.700000000000000000e+01,3.985110000000000041e-01,-5.464890000000000459e-04
1.712500000000000000e+01,-5.132489999999999775e+00,-1.407510000000000054e-03
1.725000000000000000e+01,3.984139999999999904e-01,-5.496299999999999537e-04
1.737500000000000000e+01,-4.969100000000000072e+00,-1.369140000000000027e-03
1.750000000000000000e+01,3.988030000000000186e-01,-5.512009999999999696e-04
1.762500000000000000e+01,-4.807439999999999714e+00,-1.328619999999999975e-03
1.775000000000000000e+01,4.022060000000000080e-01,-5.542150000000000461e-04
1.787500000000000000e+01,-4.637139999999999596e+00,-1.278609999999999903e-03
1.800000000000000000e+01,3.990949999999999775e-01,-5.569740000000000107e-04
1.812500000000000000e+01,-4.480669999999999931e+00,-1.243259999999999938e-03
1.825000000000000000e+01,4.005529999999999924e-01,-5.597339999999999911e-04
1.837500000000000000e+01,-4.309499999999999886e+00,-1.201880000000000006e-03
1.850000000000000000e+01,3.999699999999999922e-01,-5.618990000000000356e-04
1.862500000000000000e+01,-4.159950000000000259e+00,-1.157049999999999962e-03
1.875000000000000000e+01,3.994840000000000058e-01,-5.645309999999999521e-04
1.887500000000000000e+01,-4.003479999999999706e+00,-1.117820000000000055e-03
1.900000000000000000e+01,3.986089999999999911e-01,-5.660160000000000234e-04
1.912500000000000000e+01,-3.845279999999999809e+00,-1.071260000000000094e-03
1.925000000000000000e+01,3.988030000000000186e-01,-5.664840000000000196e-04
1.937500000000000000e+01,-3.682749999999999968e+00,-1.031599999999999922e-03
1.950000000000000000e+01,3.993869999999999920e-01,-5.681389999999999487e-04
1.962460000000000093e+01,-3.516770000000000174e+00,-9.898089999999999146e-04
1.974960000000000093e+01,4.013309999999999933e-01,-5.703039999999999932e-04
1.987460000000000093e+01,-3.367220000000000102e+00,-9.477399999999999757e-04
1.999960000000000093e+01,3.992890000000000050e-01,-5.721300000000000127e-04
