# Tue Aug 22 16:50:59 2023
#  Tiempo [s], Voltage [V], Corriente [A]
#  Vpos=5, Vneg=5, stepPos=0.1, stepNeg=0.1, rev=0, hslV=0.4, hslF=1, cycles=3, T=0.125, pw=0.0625, limitI=0.5, rangeI=1e-08, limitV=5, rangeV=20, nlpc=0.001
0.000000000000000000e+00,4.013149999999999773e-01,-7.840419999999999855e-04
1.246410000000000018e-01,9.977930000000000132e-02,-7.865049999999999516e-04
2.496410000000000018e-01,3.994670000000000165e-01,-7.872270000000000439e-04
3.746410000000000018e-01,1.997869999999999924e-01,-7.883309999999999710e-04
4.996410000000000018e-01,3.997589999999999755e-01,-7.891379999999999922e-04
6.246410000000000018e-01,2.993160000000000265e-01,-7.902420000000000277e-04
7.496410000000000018e-01,4.019949999999999912e-01,-7.904540000000000047e-04
8.746410000000000018e-01,3.997589999999999755e-01,-7.898169999999999497e-04
9.996410000000000018e-01,4.002450000000000174e-01,-7.892650000000000403e-04
1.124640000000000084e+00,4.988400000000000056e-01,-7.879490000000000278e-04
1.249640000000000084e+00,4.010230000000000183e-01,-7.865049999999999516e-04
1.374640000000000084e+00,6.006439999999999557e-01,-7.852309999999999499e-04
1.499640000000000084e+00,4.007310000000000039e-01,-7.860799999999999819e-04
1.624640000000000084e+00,7.006010000000000293e-01,-7.845940000000000032e-04
1.749640000000000084e+00,3.996620000000000172e-01,-7.854430000000000352e-04
1.874640000000000084e+00,8.005569999999999631e-01,-7.832349999999999642e-04
1.999640000000000084e+00,4.001480000000000037e-01,-7.845509999999999767e-04
2.124639999999999862e+00,8.989580000000000348e-01,-7.812389999999999786e-04
2.249639999999999862e+00,3.994670000000000165e-01,-7.827679999999999838e-04
2.374639999999999862e+00,9.992060000000000386e-01,-7.785210000000000090e-04
2.499639999999999862e+00,4.007310000000000039e-01,-7.814939999999999821e-04
2.624639999999999862e+00,1.099650000000000016e+00,-7.769069999999999665e-04
2.749639999999999862e+00,3.991759999999999753e-01,-7.812389999999999786e-04
2.874639999999999862e+00,1.201259999999999994e+00,-7.766099999999999523e-04
2.999639999999999862e+00,3.993700000000000028e-01,-7.804319999999999573e-04
3.124639999999999862e+00,1.299460000000000059e+00,-7.757180000000000021e-04
3.249639999999999862e+00,3.996620000000000172e-01,-7.812809999999999894e-04
