# Tue Aug 22 19:03:08 2023
#  Tiempo [s], Voltage [V], Corriente [A]
#  Vpos=5, Vneg=5, stepPos=0.2, stepNeg=0.2, rev=0, hslV=0.4, hslF=1, cycles=3, T=0.125, pw=0.0625, limitI=0.5, rangeI=1e-08, limitV=5, rangeV=20, nlpc=0.001
0.000000000000000000e+00,4.042029999999999790e-01,2.199120000000000046e-04
1.246939999999999993e-01,1.998719999999999941e-01,8.820930000000000264e-05
2.496629999999999960e-01,4.048849999999999949e-01,2.198269999999999944e-04
3.743369999999999753e-01,4.039110000000000200e-01,2.195289999999999915e-04
4.993369999999999753e-01,4.057609999999999828e-01,2.196990000000000119e-04
6.243370000000000308e-01,6.035620000000000429e-01,3.828149999999999999e-04
7.493370000000000308e-01,4.046899999999999942e-01,2.201670000000000081e-04
8.743370000000000308e-01,8.054540000000000033e-01,5.690030000000000001e-04
9.993370000000000308e-01,4.038140000000000063e-01,2.190200000000000003e-04
1.124339999999999895e+00,1.004329999999999945e+00,7.698060000000000493e-04
1.249339999999999895e+00,4.050799999999999956e-01,2.190620000000000111e-04
1.374339999999999895e+00,1.206700000000000106e+00,9.834839999999999641e-04
1.499339999999999895e+00,4.027419999999999889e-01,2.186799999999999866e-04
1.624679999999999902e+00,1.404800000000000049e+00,1.203440000000000065e-03
1.749670000000000059e+00,4.049820000000000086e-01,2.188500000000000070e-04
1.874670000000000059e+00,1.604940000000000033e+00,1.435580000000000103e-03
1.999659999999999993e+00,4.050799999999999956e-01,2.189770000000000009e-04
2.124680000000000124e+00,1.806920000000000082e+00,1.682829999999999960e-03
2.249659999999999993e+00,4.053720000000000101e-01,2.188500000000000070e-04
2.374670000000000059e+00,2.008039999999999825e+00,1.932670000000000048e-03
2.499649999999999928e+00,4.050799999999999956e-01,2.198690000000000052e-04
2.624670000000000059e+00,2.234630000000000116e+00,2.190709999999999793e-03
2.749659999999999993e+00,4.037160000000000193e-01,2.211020000000000119e-04
2.874670000000000059e+00,2.439839999999999787e+00,2.459540000000000077e-03
2.999670000000000059e+00,4.023530000000000162e-01,2.210590000000000124e-04
3.124659999999999993e+00,2.642440000000000122e+00,2.736989999999999909e-03
3.249670000000000059e+00,4.039110000000000200e-01,2.217390000000000127e-04
3.374670000000000059e+00,2.837250000000000050e+00,3.017039999999999913e-03
3.499670000000000059e+00,4.059559999999999835e-01,2.226309999999999899e-04
3.624670000000000059e+00,3.035530000000000062e+00,3.311750000000000024e-03
3.749670000000000059e+00,4.045929999999999804e-01,2.241180000000000114e-04
3.874659999999999993e+00,3.234669999999999934e+00,3.597410000000000104e-03
3.999670000000000059e+00,4.035219999999999918e-01,2.255199999999999956e-04
4.124660000000000437e+00,3.427750000000000075e+00,3.901620000000000175e-03
4.249670000000000059e+00,4.051770000000000094e-01,2.266679999999999921e-04
4.374660000000000437e+00,3.641610000000000014e+00,4.210140000000000236e-03
4.499670000000000059e+00,4.047879999999999812e-01,2.278570000000000107e-04
4.624660000000000437e+00,3.845940000000000136e+00,4.507009999999999662e-03
4.749679999999999680e+00,4.065409999999999857e-01,2.279849999999999932e-04
