# Fri Aug 25 17:17:44 2023
#  Tiempo dinamica [s], Voltaje dinamica [V], Corriente dinamica [A], Tiempo remanente [s], Voltaje remanente [V], Corriente remanente [A]
#  Vmax=6, Vmin=-2.5, Npos=50, Nneg=50, pw=0.01, cycles=4, hslV=0.4, T1 = 0.01, T2 = 0.01
1.296973228454589844e-02,-2.615449999999999836e-05,2.833600000000000043e-11,1.694808006286621094e-01,4.000130000000000075e-01,3.703959999999999770e-07
2.457771301269531250e-01,2.399679999999999869e-01,1.483859999999999895e-07,3.074784278869628906e-01,4.000179999999999847e-01,3.652000000000000144e-07
3.706419467926025391e-01,4.800200000000000022e-01,5.212740000000000129e-07,4.328310489654541016e-01,4.000199999999999867e-01,3.716070000000000002e-07
4.954638481140136719e-01,7.200410000000000421e-01,1.185450000000000017e-06,5.744378566741943359e-01,4.000150000000000095e-01,3.688250000000000220e-07
6.543920040130615234e-01,9.600419999999999510e-01,2.162769999999999877e-06,7.333650588989257812e-01,4.000099999999999767e-01,3.648369999999999998e-07
8.098740577697753906e-01,1.200059999999999905e+00,3.572739999999999949e-06,8.869957923889160156e-01,4.000119999999999787e-01,3.774780000000000136e-07
9.635238647460937500e-01,1.440010000000000012e+00,5.317929999999999921e-06,1.042585849761962891e+00,4.000130000000000075e-01,3.820819999999999931e-07
1.120263099670410156e+00,1.680010000000000003e+00,7.454019999999999827e-06,1.198598861694335938e+00,4.000099999999999767e-01,3.757900000000000053e-07
1.275287389755249023e+00,1.919980000000000020e+00,1.024219999999999996e-05,1.371412515640258789e+00,4.000079999999999747e-01,3.894139999999999955e-07
1.446494102478027344e+00,2.159990000000000077e+00,1.348849999999999969e-05,1.541041612625122070e+00,4.000049999999999994e-01,3.972530000000000169e-07
1.621019363403320312e+00,2.399880000000000013e+00,1.740860000000000134e-05,1.712624311447143555e+00,4.000020000000000242e-01,4.006740000000000050e-07
1.790483236312866211e+00,2.639949999999999797e+00,2.198869999999999837e-05,1.884392023086547852e+00,4.000020000000000242e-01,3.972950000000000116e-07
1.963244199752807617e+00,2.880300000000000082e+00,2.702199999999999980e-05,2.055883884429931641e+00,3.999969999999999914e-01,4.192720000000000237e-07
2.134075880050659180e+00,3.120330000000000048e+00,3.339880000000000285e-05,2.226471185684204102e+00,3.999980000000000202e-01,4.412020000000000090e-07
2.304051399230957031e+00,3.360329999999999817e+00,3.974449999999999869e-05,2.399125576019287109e+00,3.999989999999999934e-01,4.295400000000000201e-07
2.478379249572753906e+00,3.600690000000000168e+00,4.727140000000000280e-05,2.571513414382934570e+00,3.999960000000000182e-01,4.383120000000000142e-07
2.650639057159423828e+00,3.840660000000000185e+00,5.577409999999999849e-05,2.743553876876831055e+00,3.999920000000000142e-01,4.488129999999999836e-07
2.821425676345825195e+00,4.080639999999999823e+00,6.502949999999999800e-05,2.916692972183227539e+00,3.999909999999999854e-01,4.619929999999999997e-07
2.994170427322387695e+00,4.320520000000000138e+00,7.534259999999999926e-05,3.088847875595092773e+00,3.999920000000000142e-01,4.946339999999999808e-07
3.167184114456176758e+00,4.560990000000000322e+00,8.659420000000000517e-05,3.260410308837890625e+00,3.999829999999999774e-01,5.226900000000000303e-07
3.338786125183105469e+00,4.800980000000000025e+00,9.926659999999999586e-05,3.432105541229248047e+00,3.999860000000000082e-01,5.427609999999999988e-07
3.508577823638916016e+00,5.040919999999999845e+00,1.127270000000000068e-04,3.618804931640625000e+00,3.999730000000000230e-01,5.142280000000000172e-07
3.697124719619750977e+00,5.280840000000000423e+00,1.217959999999999974e-04,3.806596755981445312e+00,3.999690000000000190e-01,5.454379999999999902e-07
3.885202407836914062e+00,5.521189999999999820e+00,1.327730000000000110e-04,3.993787527084350586e+00,3.999780000000000002e-01,4.930379999999999710e-07
4.086800336837768555e+00,5.761269999999999669e+00,1.476890000000000017e-04,4.195876359939575195e+00,3.999630000000000130e-01,5.389659999999999572e-07
4.274213552474975586e+00,6.001219999999999999e+00,1.607009999999999916e-04,4.383510351181030273e+00,3.999639999999999862e-01,4.826119999999999543e-07
4.459831714630126953e+00,5.761190000000000033e+00,1.457440000000000059e-04,4.569836854934692383e+00,3.999659999999999882e-01,4.792740000000000338e-07
4.649082660675048828e+00,5.521119999999999806e+00,1.350970000000000111e-04,4.773142576217651367e+00,3.999730000000000230e-01,5.159299999999999883e-07
4.852697610855102539e+00,5.280840000000000423e+00,1.269750000000000100e-04,4.975497245788574219e+00,3.999730000000000230e-01,6.184200000000000015e-07
5.053790807723999023e+00,5.040840000000000209e+00,1.142030000000000042e-04,5.162522315979003906e+00,3.999670000000000170e-01,5.578189999999999739e-07
5.240060091018676758e+00,4.800839999999999996e+00,1.059030000000000057e-04,5.363688468933105469e+00,3.999789999999999734e-01,6.449809999999999704e-07
5.440799713134765625e+00,4.560950000000000060e+00,9.460280000000000165e-05,5.536366224288940430e+00,3.999849999999999794e-01,6.490199999999999711e-07
5.613471508026123047e+00,4.320759999999999934e+00,8.246119999999999579e-05,5.705076694488525391e+00,3.999860000000000082e-01,6.551370000000000516e-07
5.784376144409179688e+00,4.080650000000000333e+00,7.354680000000000538e-05,5.877154111862182617e+00,3.999909999999999854e-01,6.746739999999999968e-07
5.955228567123413086e+00,3.840629999999999988e+00,6.396959999999999821e-05,6.049930810928344727e+00,3.999940000000000162e-01,6.299989999999999757e-07
6.128595590591430664e+00,3.600670000000000037e+00,5.623719999999999750e-05,6.221102237701416016e+00,3.999920000000000142e-01,6.547279999999999849e-07
6.299634218215942383e+00,3.360310000000000130e+00,4.831880000000000230e-05,6.392728090286254883e+00,3.999940000000000162e-01,6.690640000000000412e-07
6.469581365585327148e+00,3.120319999999999983e+00,4.084419999999999766e-05,6.564661264419555664e+00,4.000009999999999954e-01,6.508499999999999815e-07
6.641630172729492188e+00,2.880300000000000082e+00,3.404809999999999678e-05,6.737081766128540039e+00,4.000029999999999974e-01,6.584869999999999856e-07
6.815084457397460938e+00,2.639990000000000059e+00,2.808609999999999864e-05,6.907111644744873047e+00,4.000029999999999974e-01,6.527420000000000093e-07
6.985046148300170898e+00,2.399979999999999780e+00,2.263230000000000013e-05,7.079594850540161133e+00,4.000040000000000262e-01,6.608299999999999690e-07
7.157449007034301758e+00,2.159969999999999946e+00,1.796989999999999883e-05,7.250509977340698242e+00,4.000079999999999747e-01,6.310290000000000319e-07
7.328005790710449219e+00,1.919980000000000020e+00,1.395809999999999939e-05,7.421274185180664062e+00,4.000119999999999787e-01,6.409889999999999966e-07
7.501204729080200195e+00,1.679999999999999938e+00,1.045979999999999936e-05,7.594134330749511719e+00,4.000090000000000034e-01,6.367029999999999542e-07
7.672110795974731445e+00,1.440010000000000012e+00,7.638089999999999913e-06,7.752143859863281250e+00,4.000099999999999767e-01,6.390079999999999473e-07
7.830334424972534180e+00,1.200050000000000061e+00,5.202230000000000335e-06,7.908286094665527344e+00,4.000150000000000095e-01,6.111929999999999858e-07
7.988259315490722656e+00,9.600450000000000372e-01,3.329180000000000116e-06,8.068191766738891602e+00,4.000159999999999827e-01,6.220230000000000371e-07
8.146294593811035156e+00,7.200339999999999518e-01,1.860270000000000021e-06,8.225303888320922852e+00,4.000119999999999787e-01,6.151880000000000424e-07
8.303201198577880859e+00,4.800110000000000210e-01,8.766149999999999917e-07,8.351167917251586914e+00,4.000159999999999827e-01,6.445080000000000429e-07
8.399143218994140625e+00,2.399590000000000056e-01,2.659469999999999925e-07,8.461211919784545898e+00,4.000119999999999787e-01,6.146909999999999818e-07
8.508432865142822266e+00,-3.101830000000000082e-05,-1.562360000000000124e-10,8.635360956192016602e+00,4.000099999999999767e-01,6.201860000000000452e-07
8.716324567794799805e+00,-1.000589999999999952e-01,-7.263090000000000486e-08,8.841242313385009766e+00,4.000139999999999807e-01,6.078009999999999512e-07
8.918618679046630859e+00,-2.000520000000000076e-01,-1.867320000000000074e-07,8.966561794281005859e+00,4.000170000000000115e-01,6.075329999999999649e-07
9.029523134231567383e+00,-3.000929999999999986e-01,-3.649890000000000134e-07,9.077497959136962891e+00,4.000199999999999867e-01,6.194610000000000437e-07
9.125468730926513672e+00,-4.001009999999999844e-01,-6.130010000000000242e-07,9.173441171646118164e+00,4.000219999999999887e-01,6.303030000000000027e-07
9.221412658691406250e+00,-5.001060000000000505e-01,-9.019099999999999545e-07,9.269385814666748047e+00,4.000179999999999847e-01,6.284940000000000426e-07
9.331077098846435547e+00,-6.001490000000000435e-01,-1.270390000000000088e-06,9.412029981613159180e+00,4.000210000000000155e-01,6.425010000000000171e-07
9.491001367568969727e+00,-7.001610000000000333e-01,-1.736400000000000011e-06,9.570959329605102539e+00,4.000210000000000155e-01,6.466109999999999658e-07
9.648915529251098633e+00,-8.001439999999999664e-01,-2.265979999999999860e-06,9.728851795196533203e+00,4.000179999999999847e-01,6.492809999999999759e-07
9.807820081710815430e+00,-9.001609999999999889e-01,-2.885489999999999880e-06,9.887757301330566406e+00,4.000190000000000135e-01,6.446420000000000360e-07
9.967711210250854492e+00,-1.000159999999999938e+00,-3.491239999999999967e-06,1.004466748237609863e+01,4.000250000000000195e-01,6.359000000000000230e-07
1.012364339828491211e+01,-1.100190000000000001e+00,-4.164099999999999654e-06,1.020259857177734375e+01,4.000239999999999907e-01,6.055419999999999572e-07
1.028079795837402344e+01,-1.200180000000000025e+00,-4.945220000000000232e-06,1.035954332351684570e+01,4.000219999999999887e-01,6.221150000000000356e-07
1.043822669982910156e+01,-1.300159999999999982e+00,-5.807880000000000203e-06,1.051817226409912109e+01,4.000239999999999907e-01,6.299320000000000320e-07
1.059616184234619141e+01,-1.400179999999999980e+00,-6.713569999999999996e-06,1.067509698867797852e+01,4.000259999999999927e-01,6.330759999999999972e-07
1.075505018234252930e+01,-1.500150000000000095e+00,-7.648299999999999261e-06,1.083404350280761719e+01,4.000239999999999907e-01,6.427179999999999720e-07
1.091201210021972656e+01,-1.600119999999999987e+00,-8.719439999999999309e-06,1.099194908142089844e+01,4.000270000000000215e-01,6.285979999999999487e-07
1.107192373275756836e+01,-1.700150000000000050e+00,-9.824119999999999378e-06,1.115085721015930176e+01,4.000279999999999947e-01,6.352299999999999515e-07
1.123181200027465820e+01,-1.800130000000000008e+00,-1.101820000000000066e-05,1.132675814628601074e+01,4.000299999999999967e-01,6.062800000000000000e-07
1.140633988380432129e+01,-1.900139999999999940e+00,-1.219240000000000036e-05,1.149883747100830078e+01,4.000310000000000255e-01,6.055180000000000359e-07
1.157904767990112305e+01,-2.000100000000000211e+00,-1.343700000000000027e-05,1.167372012138366699e+01,4.000330000000000275e-01,5.828560000000000147e-07
1.175367450714111328e+01,-2.100220000000000198e+00,-1.478239999999999928e-05,1.184961962699890137e+01,4.000340000000000007e-01,5.640920000000000195e-07
1.192826390266418457e+01,-2.200410000000000199e+00,-1.624369999999999831e-05,1.202268362045288086e+01,4.000319999999999987e-01,5.395159999999999985e-07
1.210217332839965820e+01,-2.300359999999999960e+00,-1.754789999999999847e-05,1.219713807106018066e+01,4.000360000000000027e-01,5.297119999999999988e-07
1.227707123756408691e+01,-2.400479999999999947e+00,-1.904579999999999983e-05,1.237098574638366699e+01,4.000369999999999759e-01,5.135770000000000466e-07
1.244917988777160645e+01,-2.500370000000000203e+00,-2.052660000000000096e-05,1.254427623748779297e+01,4.000400000000000067e-01,4.736239999999999799e-07
1.262231755256652832e+01,-2.400479999999999947e+00,-1.807470000000000162e-05,1.271601319313049316e+01,4.000380000000000047e-01,4.356129999999999978e-07
1.279435849189758301e+01,-2.300300000000000011e+00,-1.626899999999999958e-05,1.288702607154846191e+01,4.000380000000000047e-01,4.319290000000000026e-07
1.296471309661865234e+01,-2.200419999999999821e+00,-1.450720000000000063e-05,1.305971956253051758e+01,4.000389999999999779e-01,4.687940000000000088e-07
1.313673067092895508e+01,-2.100159999999999805e+00,-1.296570000000000022e-05,1.323038339614868164e+01,4.000349999999999739e-01,4.526940000000000169e-07
1.330887842178344727e+01,-2.000090000000000146e+00,-1.167579999999999924e-05,1.340133261680603027e+01,4.000369999999999759e-01,4.426149999999999966e-07
1.348033332824707031e+01,-1.900130000000000097e+00,-1.038610000000000039e-05,1.357428431510925293e+01,4.000340000000000007e-01,4.527219999999999957e-07
1.365197896957397461e+01,-1.800130000000000008e+00,-9.276929999999999625e-06,1.373235487937927246e+01,4.000299999999999967e-01,4.423289999999999899e-07
1.380767250061035156e+01,-1.700150000000000050e+00,-8.194640000000000539e-06,1.388503074645996094e+01,4.000299999999999967e-01,4.422289999999999824e-07
1.396290254592895508e+01,-1.600119999999999987e+00,-7.170929999999999798e-06,1.404110670089721680e+01,4.000299999999999967e-01,4.152549999999999951e-07
1.412074279785156250e+01,-1.500140000000000029e+00,-6.201920000000000414e-06,1.419934606552124023e+01,4.000230000000000175e-01,4.095049999999999866e-07
1.427633857727050781e+01,-1.400169999999999915e+00,-5.357780000000000057e-06,1.435298824310302734e+01,4.000230000000000175e-01,4.069820000000000109e-07
1.443220329284667969e+01,-1.300159999999999982e+00,-4.574430000000000179e-06,1.451388144493103027e+01,4.000219999999999887e-01,4.297490000000000189e-07
1.458918833732604980e+01,-1.200169999999999959e+00,-3.883589999999999692e-06,1.466680216789245605e+01,4.000190000000000135e-01,4.327929999999999765e-07
1.474441814422607422e+01,-1.100190000000000001e+00,-3.240089999999999839e-06,1.482194209098815918e+01,4.000190000000000135e-01,4.015260000000000182e-07
1.490076065063476562e+01,-1.000159999999999938e+00,-2.692709999999999923e-06,1.497994089126586914e+01,4.000199999999999867e-01,4.145069999999999939e-07
1.505592060089111328e+01,-9.001620000000000177e-01,-2.101779999999999806e-06,1.513415837287902832e+01,4.000190000000000135e-01,4.064300000000000203e-07
1.524294543266296387e+01,-8.001409999999999911e-01,-1.635249999999999929e-06,1.532036972045898438e+01,4.000210000000000155e-01,3.978369999999999909e-07
1.539946842193603516e+01,-7.001589999999999758e-01,-1.224149999999999960e-06,1.547835230827331543e+01,4.000210000000000155e-01,3.997000000000000123e-07
1.555765366554260254e+01,-6.001400000000000068e-01,-8.671260000000000052e-07,1.561923623085021973e+01,4.000230000000000175e-01,4.046659999999999788e-07
1.568093776702880859e+01,-5.001039999999999930e-01,-6.263239999999999643e-07,1.572771382331848145e+01,4.000239999999999907e-01,4.004929999999999851e-07
1.578989744186401367e+01,-4.001009999999999844e-01,-4.080370000000000161e-07,1.585103178024291992e+01,4.000239999999999907e-01,3.992150000000000182e-07
1.591316962242126465e+01,-3.000880000000000214e-01,-2.361189999999999983e-07,1.596084785461425781e+01,4.000250000000000195e-01,4.016790000000000064e-07
1.602299523353576660e+01,-2.000510000000000066e-01,-1.260549999999999995e-07,1.608684873580932617e+01,4.000219999999999887e-01,3.992099999999999861e-07
1.613401341438293457e+01,-1.000589999999999952e-01,-4.612460000000000262e-08,1.626053333282470703e+01,4.000110000000000054e-01,3.858780000000000094e-07
1.633694601058959961e+01,-3.018380000000000059e-05,-4.470350000000000233e-12,1.646274781227111816e+01,4.000119999999999787e-01,3.902229999999999864e-07
1.654246115684509277e+01,2.399640000000000106e-01,1.615529999999999909e-07,1.659010577201843262e+01,4.000150000000000095e-01,3.954679999999999781e-07
1.663618826866149902e+01,4.800150000000000250e-01,5.587889999999999620e-07,1.669765615463256836e+01,4.000179999999999847e-01,3.943439999999999741e-07
1.675902533531188965e+01,7.200379999999999558e-01,1.252649999999999984e-06,1.683667111396789551e+01,4.000110000000000054e-01,3.750319999999999928e-07
1.691471290588378906e+01,9.600429999999999797e-01,2.413609999999999919e-06,1.699297761917114258e+01,4.000130000000000075e-01,3.884509999999999888e-07
1.707206153869628906e+01,1.200059999999999905e+00,3.874190000000000256e-06,1.715104150772094727e+01,4.000119999999999787e-01,3.944370000000000002e-07
1.722849774360656738e+01,1.440010000000000012e+00,5.861139999999999926e-06,1.730723500251770020e+01,4.000119999999999787e-01,4.331860000000000251e-07
1.738550829887390137e+01,1.680010000000000003e+00,8.158750000000000447e-06,1.746364927291870117e+01,4.000119999999999787e-01,4.109440000000000037e-07
1.754346656799316406e+01,1.919980000000000020e+00,1.123929999999999927e-05,1.763762712478637695e+01,4.000110000000000054e-01,4.358760000000000048e-07
1.771609568595886230e+01,2.159940000000000193e+00,1.455139999999999929e-05,1.781149220466613770e+01,4.000110000000000054e-01,4.101700000000000260e-07
1.788830208778381348e+01,2.399960000000000093e+00,1.868470000000000086e-05,1.798294019699096680e+01,4.000070000000000014e-01,4.398170000000000002e-07
1.806181263923645020e+01,2.639990000000000059e+00,2.357149999999999954e-05,1.815503478050231934e+01,4.000040000000000262e-01,4.708980000000000123e-07
1.823308753967285156e+01,2.880269999999999886e+00,2.927090000000000125e-05,1.832619643211364746e+01,4.000020000000000242e-01,4.309409999999999941e-07
1.840360856056213379e+01,3.120369999999999866e+00,3.604340000000000121e-05,1.849626898765563965e+01,3.999989999999999934e-01,5.172210000000000493e-07
1.857612657546997070e+01,3.360310000000000130e+00,4.306840000000000256e-05,1.866855072975158691e+01,3.999949999999999894e-01,5.037690000000000424e-07
1.874595308303833008e+01,3.600670000000000037e+00,5.148010000000000200e-05,1.884104776382446289e+01,3.999969999999999914e-01,5.140389999999999881e-07
1.891852784156799316e+01,3.840660000000000185e+00,5.933000000000000285e-05,1.901675963401794434e+01,3.999969999999999914e-01,5.684230000000000336e-07
1.910669636726379395e+01,4.080689999999999706e+00,6.862109999999999933e-05,1.919975399971008301e+01,3.999940000000000162e-01,5.040039999999999648e-07
1.927678775787353516e+01,4.320579999999999643e+00,7.961449999999999473e-05,1.936937642097473145e+01,3.999900000000000122e-01,5.777170000000000373e-07
1.944796800613403320e+01,4.560999999999999943e+00,8.918209999999999441e-05,1.954337549209594727e+01,3.999900000000000122e-01,5.734060000000000459e-07
1.962185144424438477e+01,4.800930000000000142e+00,1.014119999999999974e-04,1.972998499870300293e+01,3.999750000000000250e-01,4.903529999999999705e-07
1.981001472473144531e+01,5.040879999999999583e+00,1.127029999999999948e-04,1.993388986587524414e+01,3.999809999999999754e-01,6.243259999999999751e-07
2.001060485839843750e+01,5.280910000000000437e+00,1.273579999999999959e-04,2.012157368659973145e+01,3.999719999999999942e-01,6.410020000000000378e-07
2.019933271408081055e+01,5.521160000000000068e+00,1.395489999999999882e-04,2.030752968788146973e+01,3.999610000000000110e-01,5.833390000000000065e-07
2.038497972488403320e+01,5.761169999999999902e+00,1.531260000000000108e-04,2.049458694458007812e+01,3.999559999999999782e-01,5.954849999999999619e-07
2.057347893714904785e+01,6.001179999999999737e+00,1.625979999999999906e-04,2.069692277908325195e+01,3.999650000000000150e-01,4.974689999999999926e-07
2.077670240402221680e+01,5.761180000000000412e+00,1.501290000000000122e-04,2.090159964561462402e+01,3.999619999999999842e-01,4.971839999999999606e-07
2.097852063179016113e+01,5.521110000000000184e+00,1.395029999999999957e-04,2.108769559860229492e+01,3.999590000000000090e-01,5.642580000000000489e-07
2.116478371620178223e+01,5.280770000000000408e+00,1.260710000000000064e-04,2.127383446693420410e+01,3.999599999999999822e-01,5.789379999999999660e-07
2.135120725631713867e+01,5.040820000000000078e+00,1.139690000000000061e-04,2.146128177642822266e+01,3.999659999999999882e-01,5.701190000000000509e-07
2.153945779800415039e+01,4.800860000000000127e+00,1.025450000000000016e-04,2.166286778450012207e+01,3.999820000000000042e-01,5.838669999999999699e-07
2.174236583709716797e+01,4.560940000000000438e+00,9.086230000000000587e-05,2.183522987365722656e+01,3.999860000000000082e-01,5.861350000000000006e-07
2.191206979751586914e+01,4.320730000000000182e+00,8.051519999999999782e-05,2.200701904296875000e+01,3.999840000000000062e-01,5.546140000000000189e-07
2.208381581306457520e+01,4.080630000000000202e+00,7.063369999999999425e-05,2.217532491683959961e+01,3.999880000000000102e-01,5.823390000000000372e-07
2.225336503982543945e+01,3.840669999999999806e+00,6.189449999999999499e-05,2.234679651260375977e+01,3.999929999999999874e-01,5.950990000000000006e-07
2.242588114738464355e+01,3.600659999999999972e+00,5.361890000000000259e-05,2.251787781715393066e+01,3.999960000000000182e-01,5.937409999999999960e-07
2.259608864784240723e+01,3.360329999999999817e+00,4.541360000000000172e-05,2.268934798240661621e+01,3.999980000000000202e-01,5.505469999999999866e-07
2.276851701736450195e+01,3.120350000000000179e+00,3.844309999999999790e-05,2.286128091812133789e+01,3.999980000000000202e-01,5.474479999999999930e-07
2.293932294845581055e+01,2.880310000000000148e+00,3.217170000000000235e-05,2.303450465202331543e+01,4.000020000000000242e-01,5.717220000000000422e-07
2.310962533950805664e+01,2.640000000000000124e+00,2.650640000000000087e-05,2.320320558547973633e+01,4.000020000000000242e-01,5.706930000000000136e-07
2.328113961219787598e+01,2.399999999999999911e+00,2.136329999999999924e-05,2.337537407875061035e+01,4.000049999999999994e-01,5.531359999999999841e-07
2.345268559455871582e+01,2.160000000000000142e+00,1.704240000000000136e-05,2.354666018486022949e+01,4.000090000000000034e-01,5.546250000000000049e-07
2.362574625015258789e+01,1.919990000000000085e+00,1.310880000000000060e-05,2.371735668182373047e+01,4.000139999999999807e-01,5.419849999999999659e-07
2.379446601867675781e+01,1.680010000000000003e+00,9.840410000000000538e-06,2.387154650688171387e+01,4.000119999999999787e-01,5.380189999999999686e-07
2.395025753974914551e+01,1.440010000000000012e+00,7.054080000000000231e-06,2.402950477600097656e+01,4.000150000000000095e-01,5.255620000000000047e-07
2.410773658752441406e+01,1.200059999999999905e+00,4.815269999999999892e-06,2.418450498580932617e+01,4.000159999999999827e-01,5.362659999999999661e-07
2.426207351684570312e+01,9.600419999999999510e-01,3.036360000000000012e-06,2.433920264244079590e+01,4.000119999999999787e-01,5.451210000000000278e-07
2.441561937332153320e+01,7.200360000000000094e-01,1.703620000000000004e-06,2.449307107925415039e+01,4.000099999999999767e-01,5.534109999999999519e-07
2.457158446311950684e+01,4.800079999999999902e-01,7.755160000000000471e-07,2.461866784095764160e+01,4.000119999999999787e-01,5.473540000000000453e-07
2.468044877052307129e+01,2.399620000000000086e-01,2.306729999999999904e-07,2.474195885658264160e+01,4.000119999999999787e-01,5.314249999999999560e-07
