# Fri Aug 25 20:07:10 2023
#  Tiempo dinamica [s], Voltaje dinamica [V], Corriente dinamica [A], Tiempo remanente [s], Voltaje remanente [V], Corriente remanente [A]
#  Vmax=7, Vmin=-2.5, Npos=75, Nneg=75, pw=0.1, cycles=3, hslV=0.4, T1 = 0.01, T2 = 0.01, nplc=0.5
5.696749687194824219e-02,-4.198549999999999976e-05,2.634220000000000029e-09,2.788383960723876953e-01,4.000179999999999847e-01,6.843729999999999568e-07
4.378364086151123047e-01,1.891680000000000028e-01,2.557280000000000252e-07,5.778071880340576172e-01,4.000299999999999967e-01,6.698139999999999917e-07
7.187709808349609375e-01,3.783790000000000209e-01,6.125750000000000176e-07,8.591759204864501953e-01,4.000230000000000175e-01,6.726359999999999623e-07
1.003096103668212891e+00,5.676109999999999767e-01,1.135919999999999917e-06,1.161023855209350586e+00,4.000259999999999927e-01,6.886769999999999668e-07
1.319911479949951172e+00,7.568169999999999620e-01,1.817610000000000035e-06,1.479823112487792969e+00,4.000230000000000175e-01,7.012370000000000210e-07
1.639727592468261719e+00,9.459840000000000471e-01,2.673819999999999838e-06,1.798658132553100586e+00,4.000219999999999887e-01,6.920540000000000109e-07
1.957299709320068359e+00,1.135180000000000078e+00,3.720080000000000049e-06,2.112349271774291992e+00,4.000199999999999867e-01,6.694109999999999847e-07
2.269136428833007812e+00,1.324359999999999982e+00,4.945649999999999820e-06,2.423563480377197266e+00,4.000179999999999847e-01,7.093249999999999807e-07
2.579521179199218750e+00,1.513530000000000042e+00,6.421500000000000267e-06,2.736833810806274414e+00,4.000159999999999827e-01,7.093680000000000030e-07
2.892794609069824219e+00,1.702720000000000011e+00,8.288060000000000061e-06,3.048404693603515625e+00,4.000190000000000135e-01,7.124769999999999549e-07
3.204678297042846680e+00,1.891860000000000097e+00,1.027110000000000064e-05,3.376827239990234375e+00,4.000230000000000175e-01,7.252549999999999916e-07
3.534008264541625977e+00,2.081259999999999888e+00,1.254240000000000040e-05,3.702780485153198242e+00,4.000270000000000215e-01,7.450609999999999508e-07
3.857872009277343750e+00,2.270290000000000141e+00,1.519449999999999996e-05,4.030676603317260742e+00,4.000239999999999907e-01,7.158400000000000360e-07
4.187623262405395508e+00,2.459630000000000205e+00,1.820100000000000073e-05,4.358666419982910156e+00,4.000219999999999887e-01,7.385679999999999733e-07
4.515630483627319336e+00,2.648930000000000007e+00,2.201719999999999987e-05,4.687040567398071289e+00,4.000199999999999867e-01,7.588420000000000395e-07
4.841202020645141602e+00,2.838159999999999794e+00,2.577380000000000046e-05,5.013429403305053711e+00,4.000159999999999827e-01,7.487639999999999939e-07
5.169199705123901367e+00,3.027420000000000222e+00,3.033639999999999978e-05,5.338912010192871094e+00,4.000139999999999807e-01,7.986619999999999819e-07
5.493834733963012695e+00,3.216720000000000024e+00,3.487220000000000131e-05,5.667245388031005859e+00,4.000130000000000075e-01,7.852219999999999886e-07
