# Fri Aug 25 16:36:29 2023
#  Tiempo dinamica [s], Voltaje dinamica [V], Corriente dinamica [A], Tiempo remanente [s], Voltaje remanente [V], Corriente remanente [A]
#  Vmax=3, Vmin=-3, Npos=50, Nneg=50, pw=0.1, hslV=0.4
1.145703792572021484e-01,-3.464219999999999843e-05,3.405809999999999843e-11,2.859051227569580078e-01,4.000119999999999787e-01,6.732699999999999922e-10
4.105644226074218750e-01,1.199729999999999963e-01,1.080040000000000071e-11,5.341579914093017578e-01,4.000170000000000115e-01,5.862589999999999915e-10
6.750078201293945312e-01,2.399620000000000086e-01,1.333710000000000092e-10,7.984206676483154297e-01,4.000110000000000054e-01,6.161930000000000455e-10
9.230663776397705078e-01,3.599899999999999767e-01,3.894449999999999926e-10,1.067903995513916016e+00,4.000110000000000054e-01,5.136369999999999707e-10
1.205263137817382812e+00,4.800119999999999942e-01,9.513260000000000296e-10,1.330142498016357422e+00,4.000099999999999767e-01,1.080780000000000067e-09
1.455728292465209961e+00,6.000379999999999603e-01,4.722709999999999711e-09,1.582035541534423828e+00,4.000139999999999807e-01,9.042259999999999544e-10
1.707775831222534180e+00,7.200349999999999806e-01,4.351789999999999920e-09,1.831742525100708008e+00,4.000159999999999827e-01,9.262080000000000342e-10
1.957354068756103516e+00,8.400320000000000009e-01,3.428730000000000008e-09,2.117557525634765625e+00,4.000159999999999827e-01,2.561569999999999975e-10
2.414380550384521484e+00,9.600379999999999470e-01,2.441159999999999871e-08,2.600851774215698242e+00,4.000099999999999767e-01,9.625909999999999901e-10
2.737889289855957031e+00,1.080039999999999889e+00,2.728799999999999924e-08,2.864040851593017578e+00,4.000119999999999787e-01,5.493999999999999846e-10
2.990715503692626953e+00,1.200050000000000061e+00,3.076379999999999917e-08,3.128424882888793945e+00,4.000119999999999787e-01,2.044320000000000029e-10
3.255070686340332031e+00,1.320040000000000102e+00,7.463320000000000155e-08,3.380164861679077148e+00,4.000139999999999807e-01,7.903460000000000333e-10
3.504165887832641602e+00,1.439999999999999947e+00,1.034870000000000055e-07,3.678066015243530273e+00,4.000110000000000054e-01,4.188179999999999903e-10
3.870057821273803711e+00,1.559970000000000079e+00,1.955810000000000094e-07,4.012974739074707031e+00,4.000139999999999807e-01,1.189409999999999928e-09
4.202871322631835938e+00,1.679999999999999938e+00,6.319200000000000099e-08,4.356537103652954102e+00,4.000139999999999807e-01,9.407999999999999979e-11
4.546011447906494141e+00,1.799989999999999979e+00,2.019310000000000100e-07,4.698907136917114258e+00,4.000150000000000095e-01,1.084889999999999962e-09
4.900762081146240234e+00,1.919969999999999954e+00,1.428000000000000081e-07,5.043053388595581055e+00,4.000139999999999807e-01,3.382679999999999945e-10
5.243933200836181641e+00,2.039899999999999824e+00,1.811409999999999939e-07,5.400228023529052734e+00,4.000119999999999787e-01,9.211180000000000032e-10
5.599916458129882812e+00,2.159829999999999917e+00,6.016649999999999815e-07,5.742097377777099609e+00,4.000119999999999787e-01,3.195790000000000190e-09
5.929707050323486328e+00,2.279879999999999907e+00,7.958530000000000525e-07,6.072548151016235352e+00,4.000079999999999747e-01,4.894100000000000295e-09
6.262716054916381836e+00,2.399809999999999999e+00,5.651059999999999517e-07,6.416922330856323242e+00,4.000110000000000054e-01,4.861949999999999945e-10
6.605086565017700195e+00,2.519800000000000040e+00,4.540210000000000128e-07,6.761926651000976562e+00,4.000139999999999807e-01,2.354859999999999972e-10
6.963971614837646484e+00,2.639790000000000081e+00,5.288669999999999671e-07,7.120419979095458984e+00,4.000150000000000095e-01,2.856489999999999821e-10
7.310292959213256836e+00,2.760110000000000063e+00,7.130430000000000144e-07,7.465554714202880859e+00,4.000139999999999807e-01,5.591149999999999868e-10
7.653889894485473633e+00,2.880119999999999791e+00,1.161419999999999927e-06,7.823573827743530273e+00,4.000119999999999787e-01,2.671190000000000161e-09
8.011497497558593750e+00,3.000100000000000211e+00,1.963890000000000098e-06,8.182675838470458984e+00,4.000150000000000095e-01,4.350639999999999774e-09
8.373590469360351562e+00,2.880139999999999922e+00,2.351269999999999851e-06,8.542593955993652344e+00,4.000119999999999787e-01,1.318649999999999991e-09
8.743380546569824219e+00,2.760079999999999867e+00,1.481490000000000066e-06,8.914754629135131836e+00,4.000090000000000034e-01,2.477969999999999871e-09
9.102711677551269531e+00,2.639790000000000081e+00,1.346160000000000085e-06,9.274077415466308594e+00,4.000139999999999807e-01,2.946749999999999983e-09
9.461097002029418945e+00,2.519880000000000120e+00,1.262599999999999990e-06,9.633004426956176758e+00,4.000159999999999827e-01,4.746699999999999749e-09
9.821817398071289062e+00,2.399880000000000013e+00,1.113719999999999943e-06,9.993014335632324219e+00,4.000150000000000095e-01,6.494649999999999694e-09
1.019490528106689453e+01,2.279929999999999790e+00,1.066040000000000088e-06,1.036537766456604004e+01,4.000119999999999787e-01,9.873830000000000013e-09
1.055494260787963867e+01,2.159879999999999800e+00,7.373589999999999523e-07,1.070632672309875488e+01,4.000130000000000075e-01,1.096059999999999956e-08
1.089408731460571289e+01,2.039880000000000138e+00,6.353269999999999821e-07,1.104743528366088867e+01,4.000099999999999767e-01,7.428239999999999983e-09
1.124906086921691895e+01,1.919960000000000111e+00,4.335140000000000264e-07,1.140493011474609375e+01,4.000079999999999747e-01,7.930580000000000132e-09
1.159469938278198242e+01,1.799979999999999913e+00,4.012380000000000093e-07,1.174896264076232910e+01,4.000119999999999787e-01,7.423080000000000385e-09
