# Fri Aug 25 16:52:51 2023
#  Tiempo dinamica [s], Voltaje dinamica [V], Corriente dinamica [A], Tiempo remanente [s], Voltaje remanente [V], Corriente remanente [A]
#  Vmax=7, Vmin=-3.5, Npos=50, Nneg=50, pw=0.1, cycles=1, hslV=0.4
1.077771186828613281e-01,-3.483299999999999667e-05,1.045470000000000068e-11,2.789785861968994141e-01,4.000139999999999807e-01,1.371190000000000018e-08
4.035422801971435547e-01,2.799780000000000046e-01,6.862589999999999977e-09,5.299818515777587891e-01,4.000110000000000054e-01,1.423520000000000064e-08
6.556062698364257812e-01,5.600180000000000158e-01,3.066879999999999733e-08,7.798252105712890625e-01,4.000070000000000014e-01,1.385050000000000051e-08
9.051988124847412109e-01,8.400239999999999929e-01,8.341590000000000515e-08,1.029553651809692383e+00,4.000110000000000054e-01,1.381339999999999947e-08
1.153663873672485352e+00,1.120020000000000016e+00,1.945070000000000092e-07,1.309962034225463867e+00,4.000119999999999787e-01,1.515790000000000036e-08
1.511407852172851562e+00,1.400030000000000108e+00,3.985190000000000231e-07,1.668242454528808594e+00,4.000139999999999807e-01,1.598090000000000051e-08
1.873545646667480469e+00,1.679999999999999938e+00,6.351680000000000400e-07,2.027212619781494141e+00,4.000130000000000075e-01,1.415049999999999989e-08
2.228843450546264648e+00,1.959940000000000015e+00,1.015679999999999947e-06,2.404290914535522461e+00,4.000159999999999827e-01,1.476829999999999997e-08
2.592714071273803711e+00,2.240050000000000097e+00,1.633120000000000002e-06,2.763509750366210938e+00,4.000170000000000115e-01,1.542140000000000136e-08
2.953677654266357422e+00,2.519890000000000185e+00,2.304859999999999901e-06,3.123696565628051758e+00,4.000150000000000095e-01,1.740760000000000097e-08
3.310840845108032227e+00,2.800079999999999902e+00,3.358749999999999818e-06,3.483845949172973633e+00,4.000179999999999847e-01,1.299590000000000059e-08
3.685173034667968750e+00,3.080259999999999998e+00,5.087519999999999700e-06,3.857124328613281250e+00,4.000179999999999847e-01,2.208469999999999923e-08
4.046980857849121094e+00,3.360160000000000036e+00,7.017220000000000045e-06,4.214930772781372070e+00,4.000230000000000175e-01,1.420170000000000070e-08
4.417092323303222656e+00,3.640330000000000066e+00,1.170320000000000003e-05,4.606718540191650391e+00,4.000159999999999827e-01,3.321830000000000305e-08
4.808455228805541992e+00,3.920420000000000016e+00,1.786329999999999887e-05,4.997071743011474609e+00,4.000119999999999787e-01,4.991669999999999990e-08
5.198916435241699219e+00,4.200280000000000236e+00,2.608689999999999921e-05,5.387261629104614258e+00,4.000159999999999827e-01,5.362449999999999820e-08
5.574742794036865234e+00,4.480509999999999771e+00,4.591009999999999942e-05,5.762291431427001953e+00,4.000130000000000075e-01,1.511760000000000032e-07
5.916811704635620117e+00,4.760340000000000238e+00,5.773339999999999852e-05,6.087934255599975586e+00,4.000130000000000075e-01,1.308629999999999986e-07
6.229694128036499023e+00,5.040530000000000399e+00,7.123179999999999790e-05,6.402179002761840820e+00,4.000020000000000242e-01,2.044129999999999922e-07
6.556350708007812500e+00,5.320669999999999789e+00,9.175850000000000586e-05,6.725606679916381836e+00,4.000079999999999747e-01,1.788230000000000125e-07
6.882197856903076172e+00,5.600559999999999761e+00,1.117350000000000000e-04,7.070343017578125000e+00,3.999940000000000162e-01,2.226439999999999918e-07
7.226660728454589844e+00,5.880790000000000184e+00,1.318539999999999881e-04,7.415481328964233398e+00,3.999889999999999834e-01,2.271410000000000088e-07
7.570868730545043945e+00,6.160929999999999573e+00,1.565819999999999994e-04,7.756194353103637695e+00,3.999829999999999774e-01,2.281359999999999988e-07
7.913450479507446289e+00,6.440780000000000172e+00,1.832009999999999964e-04,8.101136922836303711e+00,3.999800000000000022e-01,3.224889999999999968e-07
8.255326986312866211e+00,6.720909999999999940e+00,2.141370000000000133e-04,8.443848371505737305e+00,3.999719999999999942e-01,4.346550000000000232e-07
