# Fri Aug 25 16:51:26 2023
#  Tiempo dinamica [s], Voltaje dinamica [V], Corriente dinamica [A], Tiempo remanente [s], Voltaje remanente [V], Corriente remanente [A]
#  Vmax=6, Vmin=-4, Npos=50, Nneg=50, pw=0.1, cycles=1, hslV=0.4
1.083033084869384766e-01,-3.461840000000000045e-05,-1.871590000000000106e-12,2.809865474700927734e-01,4.000179999999999847e-01,1.188390000000000029e-08
4.058661460876464844e-01,2.399650000000000116e-01,3.645729999999999983e-09,5.290243625640869141e-01,4.000179999999999847e-01,1.211820000000000061e-08
6.537873744964599609e-01,4.800159999999999982e-01,1.966340000000000057e-08,7.785568237304687500e-01,4.000179999999999847e-01,1.450110000000000072e-08
9.040958881378173828e-01,7.200370000000000381e-01,5.902909999999999750e-08,1.027174949645996094e+00,4.000219999999999887e-01,1.262870000000000045e-08
1.150977373123168945e+00,9.600459999999999550e-01,1.260539999999999984e-07,1.307583093643188477e+00,4.000190000000000135e-01,1.132439999999999948e-08
1.494874000549316406e+00,1.200050000000000061e+00,2.201830000000000070e-07,1.654068708419799805e+00,4.000230000000000175e-01,1.753180000000000019e-08
1.853255510330200195e+00,1.440010000000000012e+00,2.977280000000000042e-07,2.010126829147338867e+00,4.000170000000000115e-01,1.573200000000000151e-08
2.212165594100952148e+00,1.679999999999999938e+00,4.991899999999999589e-07,2.354353189468383789e+00,4.000110000000000054e-01,1.240729999999999954e-08
2.556617736816406250e+00,1.919969999999999954e+00,7.322640000000000248e-07,2.712839603424072266e+00,4.000199999999999867e-01,1.635930000000000078e-08
2.915437936782836914e+00,2.159909999999999997e+00,9.781260000000000859e-07,3.071599960327148438e+00,4.000190000000000135e-01,1.313290000000000042e-08
3.258320331573486328e+00,2.399929999999999897e+00,1.211940000000000038e-06,3.427962303161621094e+00,4.000179999999999847e-01,1.331160000000000023e-08
3.631871223449707031e+00,2.639879999999999782e+00,1.581610000000000092e-06,3.803639411926269531e+00,4.000190000000000135e-01,9.794340000000000735e-09
4.005558490753173828e+00,2.880129999999999857e+00,2.280610000000000091e-06,4.178271055221557617e+00,4.000139999999999807e-01,1.687120000000000022e-08
4.365522384643554688e+00,3.120190000000000019e+00,2.876140000000000130e-06,4.570636510848999023e+00,4.000179999999999847e-01,1.560449999999999921e-08
4.757203340530395508e+00,3.360180000000000167e+00,3.955649999999999981e-06,4.927178621292114258e+00,4.000210000000000155e-01,1.499330000000000033e-08
5.114526510238647461e+00,3.600439999999999863e+00,6.244900000000000128e-06,5.288044929504394531e+00,4.000199999999999867e-01,1.963949999999999861e-08
5.490061759948730469e+00,3.840390000000000192e+00,1.255480000000000048e-05,5.676387071609497070e+00,4.000159999999999827e-01,6.620520000000000047e-08
5.864527702331542969e+00,4.080280000000000129e+00,1.786750000000000130e-05,6.052881956100463867e+00,4.000170000000000115e-01,3.906729999999999805e-08
6.254056930541992188e+00,4.320350000000000357e+00,2.712770000000000117e-05,6.440262079238891602e+00,4.000170000000000115e-01,5.568059999999999899e-08
6.643361091613769531e+00,4.560649999999999871e+00,3.999060000000000299e-05,6.831050157546997070e+00,4.000170000000000115e-01,9.457589999999999391e-08
7.018665313720703125e+00,4.800679999999999836e+00,5.274579999999999904e-05,7.207087516784667969e+00,4.000230000000000175e-01,1.154860000000000059e-07
7.427632093429565430e+00,5.040630000000000166e+00,6.292849999999999898e-05,7.600299119949340820e+00,4.000190000000000135e-01,6.539839999999999618e-08
