# Fri Aug 25 16:44:31 2023
#  Tiempo dinamica [s], Voltaje dinamica [V], Corriente dinamica [A], Tiempo remanente [s], Voltaje remanente [V], Corriente remanente [A]
#  Vmax=5, Vmin=-5, Npos=50, Nneg=50, pw=0.1, cycles=3, hslV=0.4
1.089370250701904297e-01,-3.280639999999999815e-05,-1.382830000000000076e-12,2.831912040710449219e-01,4.000099999999999767e-01,8.757759999999999337e-09
4.095325469970703125e-01,1.999609999999999999e-01,1.867229999999999972e-09,5.370059013366699219e-01,4.000119999999999787e-01,1.117179999999999982e-08
6.629118919372558594e-01,4.000119999999999787e-01,1.145750000000000019e-08,7.885410785675048828e-01,4.000130000000000075e-01,1.131910000000000075e-08
9.155268669128417969e-01,6.000410000000000466e-01,2.664390000000000143e-08,1.041565656661987305e+00,4.000170000000000115e-01,9.884750000000000219e-09
1.167221307754516602e+00,8.000599999999999934e-01,5.485240000000000220e-08,1.293357133865356445e+00,4.000179999999999847e-01,8.743070000000000084e-09
1.420692682266235352e+00,1.000050000000000106e+00,9.881169999999999535e-08,1.565608501434326172e+00,4.000159999999999827e-01,1.104329999999999970e-08
1.755497932434082031e+00,1.200050000000000061e+00,1.353800000000000119e-07,1.899415969848632812e+00,4.000090000000000034e-01,9.617850000000000655e-09
2.089528799057006836e+00,1.400020000000000042e+00,2.115880000000000018e-07,2.233034849166870117e+00,4.000119999999999787e-01,9.194610000000000367e-09
2.424510240554809570e+00,1.599990000000000023e+00,3.342960000000000177e-07,2.581962823867797852e+00,4.000159999999999827e-01,9.522129999999999253e-09
2.772867441177368164e+00,1.799989999999999979e+00,4.755450000000000142e-07,2.930394887924194336e+00,4.000119999999999787e-01,9.372819999999999486e-09
3.119070529937744141e+00,1.999949999999999894e+00,7.045010000000000164e-07,3.273931503295898438e+00,4.000110000000000054e-01,1.116030000000000002e-08
3.463388442993164062e+00,2.199759999999999938e+00,9.508699999999999906e-07,3.619450092315673828e+00,4.000119999999999787e-01,9.260380000000000234e-09
3.806878328323364258e+00,2.399859999999999882e+00,1.249230000000000023e-06,3.981790781021118164e+00,4.000159999999999827e-01,9.904899999999999576e-09
4.169580698013305664e+00,2.599930000000000074e+00,1.693039999999999972e-06,4.340348482131958008e+00,4.000119999999999787e-01,1.106390000000000023e-08
4.529747486114501953e+00,2.799999999999999822e+00,2.054720000000000124e-06,4.699156999588012695e+00,4.000130000000000075e-01,9.084420000000000358e-09
4.888305425643920898e+00,3.000080000000000080e+00,2.647399999999999844e-06,5.058333873748779297e+00,4.000079999999999747e-01,7.355789999999999887e-09
5.247483253479003906e+00,3.200210000000000221e+00,3.604999999999999789e-06,5.417720794677734375e+00,4.000110000000000054e-01,6.847320000000000297e-09
5.606251716613769531e+00,3.400310000000000166e+00,5.077940000000000378e-06,5.776802539825439453e+00,4.000090000000000034e-01,1.293979999999999951e-08
5.964098453521728516e+00,3.600389999999999979e+00,6.404119999999999935e-06,6.135285854339599609e+00,4.000099999999999767e-01,1.532889999999999904e-08
6.326426982879638672e+00,3.800170000000000048e+00,8.471859999999999894e-06,6.498230934143066406e+00,4.000139999999999807e-01,1.251170000000000013e-08
6.687392711639404297e+00,4.000200000000000422e+00,1.402079999999999966e-05,6.876264333724975586e+00,4.000119999999999787e-01,2.723760000000000032e-08
7.076831817626953125e+00,4.200210000000000221e+00,1.859739999999999917e-05,7.263550758361816406e+00,4.000090000000000034e-01,2.786310000000000152e-08
7.452073097229003906e+00,4.400319999999999787e+00,2.953010000000000040e-05,7.638402223587036133e+00,4.000029999999999974e-01,8.121539999999999812e-08
7.839667320251464844e+00,4.600369999999999848e+00,3.534190000000000123e-05,8.028284788131713867e+00,4.000009999999999954e-01,9.048879999999999962e-08
8.230451822280883789e+00,4.800449999999999662e+00,4.427809999999999879e-05,8.418868541717529297e+00,3.999980000000000202e-01,8.723809999999999553e-08
8.621423482894897461e+00,5.000510000000000232e+00,5.702760000000000267e-05,8.808948755264282227e+00,4.000049999999999994e-01,1.132029999999999980e-07
9.028326034545898438e+00,4.800489999999999924e+00,5.595470000000000147e-05,9.198156356811523438e+00,3.999960000000000182e-01,1.862059999999999933e-07
9.354554176330566406e+00,4.600360000000000227e+00,5.007299999999999983e-05,9.528076648712158203e+00,3.999949999999999894e-01,1.731149999999999987e-07
9.683579921722412109e+00,4.400290000000000035e+00,4.373439999999999923e-05,9.854759454727172852e+00,3.999969999999999914e-01,1.777690000000000085e-07
