# Tue Aug 29 16:47:30 2023
#  Tiempo dinamica [s], Voltaje dinamica [V], Corriente dinamica [A], Tiempo remanente [s], Voltaje remanente [V], Corriente remanente [A]
#  Vmax=3, Vmin=-3, Npos=50, Nneg=50, pw=0.1, cycles=2, hslV=0.4, T1 = 0.01, T2 = 0.01, nplc=0.5
5.896759033203125000e-02,-3.042220000000000156e-05,-2.862289999999999884e-08,2.797925472259521484e-01,4.000159999999999827e-01,1.574520000000000097e-04
4.700677394866943359e-01,1.199709999999999943e-01,4.393020000000000166e-05,6.270928382873535156e-01,4.000150000000000095e-01,1.574430000000000035e-04
7.851748466491699219e-01,2.399580000000000046e-01,8.994869999999999483e-05,9.406337738037109375e-01,4.000199999999999867e-01,1.573079999999999921e-04
1.098667383193969727e+00,3.599979999999999847e-01,1.397880000000000108e-04,1.238951683044433594e+00,4.000230000000000175e-01,1.573789999999999987e-04
1.379247665405273438e+00,4.800220000000000042e-01,1.939509999999999867e-04,1.521819353103637695e+00,4.000210000000000155e-01,1.573110000000000122e-04
1.661510229110717773e+00,6.000459999999999683e-01,2.526900000000000218e-04,1.801544666290283203e+00,4.000199999999999867e-01,1.573110000000000122e-04
1.943369865417480469e+00,7.200360000000000094e-01,3.158529999999999996e-04,2.081655979156494141e+00,4.000170000000000115e-01,1.572009999999999879e-04
2.221462726593017578e+00,8.400370000000000337e-01,3.832910000000000136e-04,2.363820791244506836e+00,4.000159999999999827e-01,1.571990000000000106e-04
2.504565238952636719e+00,9.600440000000000085e-01,4.556920000000000003e-04,2.646049261093139648e+00,4.000179999999999847e-01,1.570169999999999910e-04
2.788839340209960938e+00,1.080049999999999955e+00,5.330769999999999649e-04,2.930070638656616211e+00,4.000099999999999767e-01,1.569049999999999894e-04
3.071478128433227539e+00,1.200059999999999905e+00,6.117129999999999486e-04,3.212012529373168945e+00,4.000199999999999867e-01,1.564539999999999898e-04
3.370126247406005859e+00,1.320060000000000011e+00,6.960999999999999523e-04,3.511016368865966797e+00,4.000159999999999827e-01,1.579770000000000089e-04
3.652170181274414062e+00,1.440020000000000078e+00,7.853590000000000137e-04,3.805936336517333984e+00,4.000190000000000135e-01,1.588980000000000091e-04
3.947414875030517578e+00,1.560000000000000053e+00,8.736339999999999774e-04,4.087667226791381836e+00,4.000179999999999847e-01,1.595500000000000022e-04
4.229083538055419922e+00,1.680010000000000003e+00,9.657900000000000078e-04,4.369409322738647461e+00,4.000170000000000115e-01,1.603529999999999875e-04
4.510237216949462891e+00,1.800000000000000044e+00,1.066019999999999988e-03,4.665921688079833984e+00,4.000170000000000115e-01,1.606959999999999942e-04
4.820493936538696289e+00,1.919990000000000085e+00,1.165379999999999932e-03,4.979621171951293945e+00,4.000159999999999827e-01,1.614209999999999983e-04
5.135111093521118164e+00,2.040000000000000036e+00,1.267979999999999932e-03,5.292668581008911133e+00,4.000119999999999787e-01,1.624759999999999941e-04
5.448842048645019531e+00,2.160000000000000142e+00,1.377069999999999987e-03,5.603157997131347656e+00,4.000170000000000115e-01,1.623539999999999977e-04
5.759955644607543945e+00,2.279999999999999805e+00,1.484639999999999961e-03,5.917191028594970703e+00,4.000150000000000095e-01,1.637409999999999896e-04
6.073664188385009766e+00,2.399950000000000028e+00,1.605110000000000087e-03,6.229472637176513672e+00,4.000170000000000115e-01,1.613779999999999989e-04
6.386320352554321289e+00,2.519919999999999938e+00,1.718069999999999927e-03,6.541462659835815430e+00,4.000150000000000095e-01,1.618950000000000077e-04
6.698757648468017578e+00,2.639909999999999979e+00,1.838210000000000061e-03,6.855380535125732422e+00,4.000130000000000075e-01,1.613039999999999992e-04
7.011497020721435547e+00,2.760209999999999830e+00,1.985300000000000172e-03,7.166590213775634766e+00,4.000099999999999767e-01,1.611569999999999886e-04
7.323040962219238281e+00,2.880240000000000133e+00,2.134060000000000124e-03,7.479993581771850586e+00,4.000110000000000054e-01,1.638710000000000036e-04
7.634973526000976562e+00,3.000239999999999796e+00,2.287029999999999792e-03,7.790783882141113281e+00,4.000079999999999747e-01,1.662190000000000022e-04
7.947179794311523438e+00,2.880279999999999951e+00,2.193140000000000107e-03,8.103409528732299805e+00,4.000119999999999787e-01,1.701980000000000127e-04
