# Tue Aug 29 14:39:23 2023
#  Tiempo dinamica [s], Voltaje dinamica [V], Corriente dinamica [A], Tiempo remanente [s], Voltaje remanente [V], Corriente remanente [A]
#  Vmax=3, Vmin=-3, Npos=50, Nneg=50, pw=0.1, cycles=2, hslV=0.4, T1 = 0.01, T2 = 0.01, nplc=0.5
5.875325202941894531e-02,-1.978869999999999978e-04,-2.909569999999999911e-09,2.780175209045410156e-01,3.998360000000000247e-01,1.174510000000000042e-05
4.508967399597167969e-01,1.198069999999999968e-01,1.518559999999999908e-06,6.067698001861572266e-01,3.998430000000000040e-01,1.169279999999999925e-05
7.615242004394531250e-01,2.397880000000000011e-01,4.434609999999999712e-06,9.155738353729248047e-01,3.998410000000000020e-01,1.162090000000000083e-05
1.073057413101196289e+00,3.598069999999999879e-01,9.423060000000000206e-06,1.228173017501831055e+00,3.998360000000000247e-01,1.163540000000000044e-05
1.383644104003906250e+00,4.798520000000000008e-01,1.697270000000000099e-05,1.524451971054077148e+00,3.998470000000000080e-01,1.154050000000000072e-05
1.680494785308837891e+00,5.998719999999999608e-01,2.560540000000000052e-05,1.836680650711059570e+00,3.998439999999999772e-01,1.019639999999999948e-05
1.978063344955444336e+00,7.198670000000000346e-01,3.538580000000000263e-05,2.118677854537963867e+00,3.998340000000000227e-01,9.058129999999999280e-06
2.272503852844238281e+00,8.398529999999999607e-01,4.389640000000000208e-05,2.430807590484619141e+00,3.998369999999999980e-01,7.036299999999999869e-06
2.586626768112182617e+00,9.598640000000000505e-01,4.716210000000000031e-05,2.741508960723876953e+00,3.998410000000000020e-01,4.612920000000000043e-06
2.897929906845092773e+00,1.079870000000000108e+00,4.992639999999999687e-05,3.053483486175537109e+00,3.998419999999999752e-01,3.171189999999999957e-06
3.209440469741821289e+00,1.199880000000000058e+00,5.029370000000000265e-05,3.364484310150146484e+00,3.998450000000000060e-01,2.134300000000000047e-06
3.520462512969970703e+00,1.319879999999999942e+00,4.834340000000000203e-05,3.675468683242797852e+00,3.998450000000000060e-01,1.387730000000000052e-06
3.832308769226074219e+00,1.439840000000000009e+00,4.753990000000000201e-05,3.989975214004516602e+00,3.998410000000000020e-01,9.108859999999999682e-07
4.145640850067138672e+00,1.559830000000000050e+00,4.500089999999999803e-05,4.317685365676879883e+00,3.998450000000000060e-01,7.367569999999999579e-07
4.474339008331298828e+00,1.679840000000000000e+00,3.977169999999999734e-05,4.646106243133544922e+00,3.998439999999999772e-01,5.464109999999999553e-07
4.800987720489501953e+00,1.799830000000000041e+00,3.185199999999999929e-05,4.973256826400756836e+00,3.998490000000000100e-01,4.422919999999999744e-07
5.129100322723388672e+00,1.919810000000000016e+00,2.974520000000000110e-05,5.300907611846923828e+00,3.998399999999999732e-01,3.688429999999999895e-07
5.457178115844726562e+00,2.038479999999999848e+00,2.029440000000000004e-05,5.629054784774780273e+00,3.998430000000000040e-01,2.897120000000000203e-07
5.783617019653320312e+00,2.158440000000000136e+00,2.232330000000000021e-05,5.956694126129150391e+00,3.998439999999999772e-01,3.181139999999999857e-07
6.114098310470581055e+00,2.278439999999999799e+00,1.893259999999999895e-05,6.285494089126586914e+00,3.998479999999999812e-01,2.653349999999999867e-07
6.439222574234008789e+00,2.398429999999999840e+00,2.104969999999999940e-05,6.610434770584106445e+00,3.998510000000000120e-01,2.415499999999999891e-07
6.766915798187255859e+00,2.518429999999999946e+00,2.481399999999999993e-05,6.938115119934082031e+00,3.998479999999999812e-01,2.808599999999999884e-07
7.093856096267700195e+00,2.638430000000000053e+00,2.766550000000000134e-05,7.265124320983886719e+00,3.998430000000000040e-01,2.781209999999999796e-07
7.420574903488159180e+00,2.758739999999999970e+00,2.709159999999999994e-05,7.594183206558227539e+00,3.998390000000000000e-01,2.433520000000000207e-07
7.749497175216674805e+00,2.878730000000000011e+00,3.201859999999999868e-05,7.920094728469848633e+00,3.998390000000000000e-01,3.009319999999999844e-07
8.078776121139526367e+00,2.998689999999999856e+00,3.448149999999999843e-05,8.247384548187255859e+00,3.998390000000000000e-01,2.160720000000000041e-07
8.405381441116333008e+00,2.878709999999999880e+00,2.960310000000000122e-05,8.579770326614379883e+00,3.998380000000000267e-01,2.313190000000000082e-07
8.734230279922485352e+00,2.758729999999999905e+00,2.482129999999999900e-05,8.914383411407470703e+00,3.998410000000000020e-01,2.433429999999999841e-07
9.065090179443359375e+00,2.638430000000000053e+00,1.999729999999999910e-05,9.235667943954467773e+00,3.998439999999999772e-01,2.413519999999999764e-07
9.393746852874755859e+00,2.518409999999999815e+00,1.713079999999999868e-05,9.566242933273315430e+00,3.998369999999999980e-01,2.347460000000000031e-07
9.723532676696777344e+00,2.398540000000000116e+00,1.423200000000000028e-05,9.895626068115234375e+00,3.998419999999999752e-01,2.436609999999999741e-07
1.005313634872436523e+01,2.278480000000000061e+00,1.207410000000000015e-05,1.022542190551757812e+01,3.998430000000000040e-01,2.282069999999999999e-07
1.038073182106018066e+01,2.158510000000000151e+00,1.009890000000000084e-05,1.055489325523376465e+01,3.998490000000000100e-01,2.352210000000000123e-07
1.070991897583007812e+01,2.038539999999999797e+00,8.359460000000000767e-06,1.088197302818298340e+01,3.998499999999999832e-01,2.347639999999999970e-07
1.103867244720458984e+01,1.919829999999999925e+00,6.815979999999999919e-06,1.119384050369262695e+01,3.998550000000000160e-01,2.475690000000000115e-07
1.135008144378662109e+01,1.799840000000000106e+00,5.673430000000000160e-06,1.150500559806823730e+01,3.998479999999999812e-01,2.329829999999999892e-07
1.166230225563049316e+01,1.679850000000000065e+00,4.824179999999999778e-06,1.181676602363586426e+01,3.998510000000000120e-01,2.341700000000000117e-07
1.197288918495178223e+01,1.559849999999999959e+00,3.898660000000000210e-06,1.212769579887390137e+01,3.998559999999999892e-01,2.375750000000000081e-07
1.228348493576049805e+01,1.439859999999999918e+00,3.137789999999999988e-06,1.244128489494323730e+01,3.998530000000000140e-01,2.303140000000000068e-07
1.259755587577819824e+01,1.319900000000000073e+00,2.569930000000000143e-06,1.275329685211181641e+01,3.998550000000000160e-01,2.528129999999999756e-07
1.291155409812927246e+01,1.199899999999999967e+00,2.050640000000000156e-06,1.306093811988830566e+01,3.998599999999999932e-01,2.344510000000000127e-07
1.325382852554321289e+01,1.079890000000000017e+00,1.599709999999999969e-06,1.343799257278442383e+01,3.998579999999999912e-01,2.351629999999999995e-07
1.359590578079223633e+01,9.598910000000000498e-01,1.227430000000000079e-06,1.375503134727478027e+01,3.998630000000000240e-01,2.397650000000000032e-07
1.393339180946350098e+01,8.398769999999999847e-01,9.400479999999999484e-07,1.416026043891906738e+01,3.998590000000000200e-01,2.498199999999999963e-07
1.432916450500488281e+01,7.198780000000000179e-01,6.845520000000000275e-07,1.449906587600708008e+01,3.998570000000000180e-01,2.446489999999999827e-07
1.466002154350280762e+01,5.998830000000000551e-01,5.013009999999999968e-07,1.481208658218383789e+01,3.998559999999999892e-01,2.374980000000000002e-07
1.495448780059814453e+01,4.798580000000000068e-01,3.371320000000000042e-07,1.510953068733215332e+01,3.998530000000000140e-01,2.393209999999999762e-07
1.528053879737854004e+01,3.598250000000000060e-01,2.140319999999999938e-07,1.543661808967590332e+01,3.998499999999999832e-01,2.520459999999999793e-07
1.557730579376220703e+01,2.398049999999999904e-01,1.163749999999999949e-07,1.571855211257934570e+01,3.998539999999999872e-01,2.510569999999999961e-07
1.586076116561889648e+01,1.198130000000000028e-01,4.112870000000000088e-08,1.606575250625610352e+01,3.998590000000000200e-01,2.844300000000000131e-07
1.621925425529479980e+01,-1.897570000000000062e-04,-6.536130000000000052e-10,1.642960405349731445e+01,3.998579999999999912e-01,2.900209999999999736e-07
1.657861948013305664e+01,-1.200760000000000022e-01,-4.435900000000000036e-08,1.678044986724853516e+01,3.998579999999999912e-01,2.729270000000000192e-07
1.694406104087829590e+01,-2.400849999999999929e-01,-1.138040000000000045e-07,1.709640741348266602e+01,3.998550000000000160e-01,2.521180000000000080e-07
1.723880195617675781e+01,-3.600900000000000212e-01,-2.127160000000000103e-07,1.739410972595214844e+01,3.998530000000000140e-01,2.470880000000000219e-07
1.753632283210754395e+01,-4.801270000000000260e-01,-3.619539999999999865e-07,1.767803907394409180e+01,3.998519999999999852e-01,2.515689999999999943e-07
1.781953072547912598e+01,-6.001579999999999693e-01,-5.603319999999999911e-07,1.796183371543884277e+01,3.998530000000000140e-01,2.528769999999999952e-07
1.810507726669311523e+01,-7.201549999999999896e-01,-8.187470000000000191e-07,1.824323606491088867e+01,3.998510000000000120e-01,2.519329999999999836e-07
1.838498330116271973e+01,-8.401750000000000052e-01,-1.141780000000000103e-06,1.854127764701843262e+01,3.998550000000000160e-01,2.559179999999999759e-07
1.869628262519836426e+01,-9.601929999999999632e-01,-1.550940000000000096e-06,1.885188436508178711e+01,3.998619999999999952e-01,2.599030000000000212e-07
1.900892639160156250e+01,-1.080170000000000075e+00,-2.109549999999999987e-06,1.916729903221130371e+01,3.998579999999999912e-01,2.697669999999999830e-07
1.932477974891662598e+01,-1.200199999999999934e+00,-2.785850000000000187e-06,1.947832083702087402e+01,3.998570000000000180e-01,2.538509999999999879e-07
1.963119363784790039e+01,-1.320210000000000106e+00,-3.797889999999999818e-06,1.978725051879882812e+01,3.998599999999999932e-01,2.731209999999999745e-07
1.994255805015563965e+01,-1.440180000000000016e+00,-5.261120000000000037e-06,2.013044881820678711e+01,3.998579999999999912e-01,2.858369999999999939e-07
2.028739643096923828e+01,-1.560170000000000057e+00,-7.810180000000000497e-06,2.044530344009399414e+01,3.998579999999999912e-01,3.014030000000000156e-07
2.060130810737609863e+01,-1.680190000000000072e+00,-1.194799999999999979e-05,2.079619550704956055e+01,3.998579999999999912e-01,3.019360000000000112e-07
2.096609783172607422e+01,-1.800159999999999982e+00,-1.975309999999999897e-05,2.113312458992004395e+01,3.998599999999999932e-01,3.052169999999999993e-07
2.128949713706970215e+01,-1.920150000000000023e+00,-3.394399999999999891e-05,2.146441125869750977e+01,3.998599999999999932e-01,3.360089999999999749e-07
2.163526654243469238e+01,-2.040379999999999860e+00,-5.480109999999999951e-05,2.180724406242370605e+01,3.998590000000000200e-01,3.623390000000000260e-07
2.196312308311462402e+01,-2.160449999999999982e+00,-2.063040000000000089e-04,2.213650655746459961e+01,3.998619999999999952e-01,6.434959999999999542e-07
2.229281234741210938e+01,-2.280730000000000146e+00,-2.460100000000000112e-04,2.247739195823669434e+01,3.998619999999999952e-01,6.437029999999999507e-07
2.263485765457153320e+01,-2.400729999999999809e+00,-2.618879999999999971e-04,2.280640053749084473e+01,3.998689999999999745e-01,8.251140000000000125e-07
2.296614742279052734e+01,-2.520700000000000163e+00,-3.001470000000000114e-04,2.315205168724060059e+01,3.998630000000000240e-01,8.497369999999999545e-07
2.330824780464172363e+01,-2.640649999999999942e+00,-5.539429999999999918e-04,2.348236203193664551e+01,3.998689999999999745e-01,2.357329999999999841e-06
2.363763356208801270e+01,-2.760660000000000114e+00,-5.801600000000000290e-04,2.380832266807556152e+01,3.998769999999999825e-01,1.973190000000000161e-06
2.397196936607360840e+01,-2.880619999999999958e+00,-6.919089999999999919e-04,2.413863372802734375e+01,3.998700000000000032e-01,3.025049999999999946e-06
2.429527640342712402e+01,-3.000620000000000065e+00,-1.119460000000000073e-03,2.450760102272033691e+01,3.998570000000000180e-01,5.817439999999999820e-06
2.466955232620239258e+01,-2.880590000000000206e+00,-1.023739999999999980e-03,2.485245680809020996e+01,3.998659999999999992e-01,6.719439999999999823e-06
2.500876569747924805e+01,-2.760619999999999852e+00,-9.537340000000000271e-04,2.518128967285156250e+01,3.998659999999999992e-01,6.558250000000000270e-06
2.533989071846008301e+01,-2.640660000000000007e+00,-8.798350000000000354e-04,2.550879406929016113e+01,3.998650000000000260e-01,7.286649999999999937e-06
2.566370511054992676e+01,-2.520680000000000032e+00,-8.053599999999999735e-04,2.584460401535034180e+01,3.998659999999999992e-01,6.618369999999999620e-06
2.603918766975402832e+01,-2.400710000000000122e+00,-7.358479999999999925e-04,2.620869112014770508e+01,3.998659999999999992e-01,6.935569999999999734e-06
2.636500859260559082e+01,-2.280660000000000132e+00,-6.667560000000000110e-04,2.655527257919311523e+01,3.998700000000000032e-01,7.089160000000000410e-06
2.672517490386962891e+01,-2.160460000000000047e+00,-5.990019999999999546e-04,2.689607501029968262e+01,3.998590000000000200e-01,7.384670000000000229e-06
2.706998085975646973e+01,-2.040430000000000188e+00,-5.322459999999999995e-04,2.725487136840820312e+01,3.998559999999999892e-01,6.684759999999999674e-06
2.742178058624267578e+01,-1.920169999999999932e+00,-4.703469999999999743e-04,2.760966801643371582e+01,3.998579999999999912e-01,6.653880000000000234e-06
2.779056525230407715e+01,-1.800170000000000048e+00,-4.062210000000000126e-04,2.799444818496704102e+01,3.998570000000000180e-01,6.618129999999999772e-06
2.816534924507141113e+01,-1.680199999999999916e+00,-3.482280000000000141e-04,2.834024906158447266e+01,3.998610000000000220e-01,6.975359999999999907e-06
2.850415706634521484e+01,-1.560179999999999900e+00,-2.952780000000000010e-04,2.867814707756042480e+01,3.998639999999999972e-01,6.610340000000000309e-06
2.883544158935546875e+01,-1.440180000000000016e+00,-2.416130000000000057e-04,2.900936055183410645e+01,3.998610000000000220e-01,6.452240000000000078e-06
2.916806387901306152e+01,-1.320210000000000106e+00,-1.903100000000000126e-04,2.934296321868896484e+01,3.998619999999999952e-01,6.104609999999999816e-06
2.950187063217163086e+01,-1.200199999999999934e+00,-1.484889999999999940e-04,2.967577123641967773e+01,3.998559999999999892e-01,5.480189999999999787e-06
2.984067749977111816e+01,-1.080179999999999918e+00,-1.065229999999999964e-04,3.006927251815795898e+01,3.998570000000000180e-01,5.295819999999999891e-06
3.022714757919311523e+01,-9.601709999999999967e-01,-7.287920000000000520e-05,3.040220284461975098e+01,3.998630000000000240e-01,4.894000000000000069e-06
3.057335281372070312e+01,-8.401499999999999524e-01,-4.880849999999999864e-05,3.073231959342956543e+01,3.998619999999999952e-01,4.693969999999999885e-06
3.088820719718933105e+01,-7.201379999999999448e-01,-3.245240000000000120e-05,3.104203605651855469e+01,3.998659999999999992e-01,4.500750000000000064e-06
3.119974184036254883e+01,-6.001379999999999493e-01,-1.979929999999999863e-05,3.135596728324890137e+01,3.998630000000000240e-01,4.469680000000000038e-06
3.151247882843017578e+01,-4.801070000000000060e-01,-1.091240000000000076e-05,3.166843819618225098e+01,3.998619999999999952e-01,4.436719999999999934e-06
3.182415723800659180e+01,-3.600800000000000112e-01,-5.360710000000000044e-06,3.197025728225708008e+01,3.998680000000000012e-01,4.392509999999999725e-06
3.211987423896789551e+01,-2.400700000000000056e-01,-2.091480000000000091e-06,3.226142716407775879e+01,3.998729999999999785e-01,4.376379999999999593e-06
3.241751289367675781e+01,-1.200650000000000051e-01,-5.498880000000000069e-07,3.257367253303527832e+01,3.998610000000000220e-01,4.320460000000000136e-06
3.273221540451049805e+01,-1.836300000000000020e-04,3.581290000000000255e-10,3.293489766120910645e+01,3.998619999999999952e-01,4.338540000000000308e-06
3.310398769378662109e+01,1.198240000000000000e-01,4.194199999999999798e-07,3.326096820831298828e+01,3.998689999999999745e-01,4.297979999999999632e-06
3.341741394996643066e+01,2.398180000000000034e-01,1.316010000000000043e-06,3.358833479881286621e+01,3.998639999999999972e-01,4.268870000000000347e-06
3.374229311943054199e+01,3.598439999999999972e-01,3.312550000000000158e-06,3.390819764137268066e+01,3.998639999999999972e-01,4.156870000000000402e-06
3.407086229324340820e+01,4.798640000000000128e-01,6.327070000000000393e-06,3.421370577812194824e+01,3.998630000000000240e-01,3.930720000000000035e-06
3.435268092155456543e+01,5.998850000000000016e-01,1.051459999999999925e-05,3.452556276321411133e+01,3.998579999999999912e-01,3.501209999999999890e-06
3.468347072601318359e+01,7.198879999999999724e-01,1.427220000000000033e-05,3.484037947654724121e+01,3.998669999999999725e-01,2.593899999999999848e-06
3.499935722351074219e+01,8.398729999999999807e-01,1.729909999999999841e-05,3.515575814247131348e+01,3.998709999999999765e-01,1.877919999999999970e-06
3.531384921073913574e+01,9.598790000000000378e-01,2.037279999999999915e-05,3.548538494110107422e+01,3.998659999999999992e-01,1.321980000000000089e-06
3.563929080963134766e+01,1.079890000000000017e+00,2.272749999999999882e-05,3.579743599891662598e+01,3.998619999999999952e-01,1.104480000000000054e-06
3.596933960914611816e+01,1.199889999999999901e+00,2.358770000000000118e-05,3.618221449851989746e+01,3.998579999999999912e-01,8.712800000000000039e-07
3.637713599205017090e+01,1.319900000000000073e+00,2.478419999999999896e-05,3.655205011367797852e+01,3.998559999999999892e-01,6.789780000000000068e-07
3.670695996284484863e+01,1.439840000000000009e+00,2.315340000000000095e-05,3.688129281997680664e+01,3.998570000000000180e-01,5.205739999999999603e-07
