# Tue Aug 29 18:10:09 2023
#  Tiempo dinamica [s], Voltaje dinamica [V], Corriente dinamica [A], Tiempo remanente [s], Voltaje remanente [V], Corriente remanente [A]
#  Vmax=5, Vmin=-5, Npos=50, Nneg=50, pw=0.1, cycles=30, hslV=0.4, T1 = 0.01, T2 = 0.01, nplc=0.5
5.626535415649414062e-02,-3.812310000000000096e-05,-7.245659999999999772e-10,2.269883155822753906e-01,4.000070000000000014e-01,7.857570000000000195e-09
3.672113418579101562e-01,1.999529999999999919e-01,2.299729999999999874e-09,5.092802047729492188e-01,4.000159999999999827e-01,8.583510000000000275e-09
6.516094207763671875e-01,4.000119999999999787e-01,8.217619999999999174e-09,7.927799224853515625e-01,4.000199999999999867e-01,7.818710000000000600e-09
9.499719142913818359e-01,6.000379999999999603e-01,2.244729999999999878e-08,1.092234849929809570e+00,4.000190000000000135e-01,7.794790000000000542e-09
1.232990026473999023e+00,8.000589999999999646e-01,5.067930000000000303e-08,1.375506877899169922e+00,4.000170000000000115e-01,5.574680000000000027e-09
1.516081333160400391e+00,1.000050000000000106e+00,1.082279999999999948e-07,1.675977706909179688e+00,4.000179999999999847e-01,8.193970000000000812e-09
1.882860422134399414e+00,1.200050000000000061e+00,1.740980000000000016e-07,2.040769815444946289e+00,4.000210000000000155e-01,5.368199999999999722e-09
2.247021913528442383e+00,1.400030000000000108e+00,2.852740000000000172e-07,2.406064987182617188e+00,4.000159999999999827e-01,4.634140000000000295e-09
2.615944623947143555e+00,1.600009999999999932e+00,4.619039999999999782e-07,2.772750377655029297e+00,4.000230000000000175e-01,8.425200000000000229e-09
2.979861497879028320e+00,1.800000000000000044e+00,6.817790000000000330e-07,3.139135837554931641e+00,4.000239999999999907e-01,4.816810000000000037e-09
3.347897052764892578e+00,1.999959999999999960e+00,9.596430000000000123e-07,3.504633188247680664e+00,4.000179999999999847e-01,5.210909999999999741e-09
3.712295055389404297e+00,2.199920000000000098e+00,1.380659999999999924e-06,3.888387441635131836e+00,4.000139999999999807e-01,9.974049999999999901e-09
4.096211910247802734e+00,2.399939999999999962e+00,1.855179999999999914e-06,4.272201061248779297e+00,4.000259999999999927e-01,1.178590000000000001e-08
4.476407051086425781e+00,2.600080000000000169e+00,2.324639999999999990e-06,4.651407003402709961e+00,4.000210000000000155e-01,8.386470000000000716e-09
4.856339454650878906e+00,2.800190000000000179e+00,3.169050000000000177e-06,5.027900457382202148e+00,4.000130000000000075e-01,1.003269999999999990e-08
5.230329036712646484e+00,3.000340000000000007e+00,4.118599999999999835e-06,5.403494119644165039e+00,4.000210000000000155e-01,7.024599999999999917e-09
5.605770587921142578e+00,3.200489999999999835e+00,5.385879999999999838e-06,5.778872489929199219e+00,4.000230000000000175e-01,7.626390000000000172e-09
5.982869148254394531e+00,3.400580000000000158e+00,7.418239999999999807e-06,6.155778646469116211e+00,4.000250000000000195e-01,8.508119999999999360e-09
6.359476566314697266e+00,3.600560000000000205e+00,1.032650000000000015e-05,6.532827138900756836e+00,4.000190000000000135e-01,1.023079999999999987e-08
6.738767147064208984e+00,3.800289999999999946e+00,1.330790000000000010e-05,6.912798166275024414e+00,4.000230000000000175e-01,1.006019999999999965e-08
7.118092298507690430e+00,4.000399999999999956e+00,1.968930000000000138e-05,7.290305376052856445e+00,4.000170000000000115e-01,1.532839999999999848e-08
7.495474815368652344e+00,4.200479999999999769e+00,3.165739999999999949e-05,7.668332576751708984e+00,4.000150000000000095e-01,2.250790000000000000e-08
7.871341705322265625e+00,4.400570000000000093e+00,4.919509999999999931e-05,8.043984413146972656e+00,4.000099999999999767e-01,3.995379999999999742e-08
8.246646165847778320e+00,4.600699999999999790e+00,7.347470000000000314e-05,8.418732881546020508e+00,4.000020000000000242e-01,5.600960000000000147e-08
8.623805046081542969e+00,4.800769999999999982e+00,1.206730000000000015e-04,8.811358690261840820e+00,4.000020000000000242e-01,7.180789999999999809e-08
9.016438484191894531e+00,5.000890000000000057e+00,1.651459999999999940e-04,9.205402612686157227e+00,4.000009999999999954e-01,9.681780000000000289e-08
9.409644365310668945e+00,4.800839999999999996e+00,1.688000000000000101e-04,9.597774028778076172e+00,3.999969999999999914e-01,1.721029999999999894e-07
9.757330656051635742e+00,4.600760000000000183e+00,1.553609999999999919e-04,9.931991815567016602e+00,4.000009999999999954e-01,1.735549999999999947e-07
1.009161233901977539e+01,4.400660000000000238e+00,1.333189999999999885e-04,1.026272892951965332e+01,4.000049999999999994e-01,1.527020000000000130e-07
1.041870665550231934e+01,4.200499999999999901e+00,1.155500000000000033e-04,1.059314918518066406e+01,3.999949999999999894e-01,1.819569999999999928e-07
1.074779558181762695e+01,4.000399999999999956e+00,9.550540000000000212e-05,1.091980195045471191e+01,3.999989999999999934e-01,1.837049999999999896e-07
1.107442593574523926e+01,3.800310000000000077e+00,7.988620000000000096e-05,1.124493265151977539e+01,4.000029999999999974e-01,1.822159999999999953e-07
1.140284180641174316e+01,3.600540000000000074e+00,6.428760000000000431e-05,1.157474160194396973e+01,4.000000000000000222e-01,1.805940000000000090e-07
1.173365283012390137e+01,3.400419999999999998e+00,5.317720000000000308e-05,1.190955209732055664e+01,4.000029999999999974e-01,1.889470000000000044e-07
1.206946015357971191e+01,3.200289999999999857e+00,4.349329999999999912e-05,1.224543261528015137e+01,4.000090000000000034e-01,1.857419999999999966e-07
1.240114426612854004e+01,3.000210000000000043e+00,3.427409999999999767e-05,1.257284784317016602e+01,4.000070000000000014e-01,1.774840000000000029e-07
1.272862362861633301e+01,2.800110000000000099e+00,2.725039999999999917e-05,1.290428590774536133e+01,4.000219999999999887e-01,1.744270000000000041e-07
1.306047916412353516e+01,2.600020000000000220e+00,2.156719999999999910e-05,1.323429298400878906e+01,4.000170000000000115e-01,1.753099999999999995e-07
1.339023590087890625e+01,2.399770000000000181e+00,1.673689999999999895e-05,1.356360197067260742e+01,4.000310000000000255e-01,1.730649999999999949e-07
1.371842122077941895e+01,2.199889999999999901e+00,1.273250000000000049e-05,1.389073610305786133e+01,4.000219999999999887e-01,1.732800000000000005e-07
1.404762625694274902e+01,1.999959999999999960e+00,9.546529999999999551e-06,1.420477366447448730e+01,4.000199999999999867e-01,1.716809999999999873e-07
1.436020874977111816e+01,1.800000000000000044e+00,7.017830000000000366e-06,1.451554393768310547e+01,4.000190000000000135e-01,1.704999999999999981e-07
1.467327094078063965e+01,1.600009999999999932e+00,4.974079999999999817e-06,1.482933831214904785e+01,4.000150000000000095e-01,1.770470000000000103e-07
1.498339605331420898e+01,1.400039999999999951e+00,3.391849999999999975e-06,1.514109849929809570e+01,4.000219999999999887e-01,1.758590000000000132e-07
1.531207966804504395e+01,1.200059999999999905e+00,2.188839999999999951e-06,1.546946740150451660e+01,4.000219999999999887e-01,1.629480000000000110e-07
1.562667107582092285e+01,1.000059999999999949e+00,1.345300000000000062e-06,1.578318166732788086e+01,4.000219999999999887e-01,1.587170000000000044e-07
1.593709444999694824e+01,8.000690000000000301e-01,7.621489999999999513e-07,1.607745385169982910e+01,4.000250000000000195e-01,1.506999999999999929e-07
1.621837258338928223e+01,6.000480000000000258e-01,3.935179999999999904e-07,1.636043453216552734e+01,4.000230000000000175e-01,1.724339999999999941e-07
1.650166010856628418e+01,4.000239999999999907e-01,1.649280000000000062e-07,1.665435743331909180e+01,4.000270000000000215e-01,1.571570000000000089e-07
1.679639363288879395e+01,1.999680000000000069e-01,4.247699999999999714e-08,1.699770212173461914e+01,4.000299999999999967e-01,1.555379999999999995e-07
1.715397763252258301e+01,-2.512930000000000011e-05,4.492999999999999891e-10,1.735532784461975098e+01,4.000259999999999927e-01,1.562529999999999897e-07
1.751193618774414062e+01,-2.000419999999999976e-01,-3.944729999999999881e-08,1.771475577354431152e+01,4.000299999999999967e-01,1.623550000000000003e-07
1.787075185775756836e+01,-4.000850000000000239e-01,-1.554399999999999943e-07,1.801288771629333496e+01,4.000259999999999927e-01,1.523960000000000102e-07
1.816623806953430176e+01,-6.001370000000000315e-01,-3.819299999999999796e-07,1.830689549446105957e+01,4.000340000000000007e-01,1.528689999999999906e-07
1.844938611984252930e+01,-8.001310000000000366e-01,-7.739700000000000411e-07,1.858944153785705566e+01,4.000330000000000275e-01,1.385629999999999948e-07
1.874459648132324219e+01,-1.000150000000000095e+00,-1.366310000000000010e-06,1.890160036087036133e+01,4.000310000000000255e-01,1.333559999999999932e-07
1.905994915962219238e+01,-1.200169999999999959e+00,-4.666299999999999691e-06,1.921508860588073730e+01,4.000360000000000027e-01,1.377100000000000069e-07
1.937159919738769531e+01,-1.400160000000000071e+00,-1.855579999999999944e-05,1.954551553726196289e+01,4.000319999999999987e-01,1.351130000000000003e-07
1.970218205451965332e+01,-1.600109999999999921e+00,-4.174759999999999989e-05,1.987360334396362305e+01,4.000360000000000027e-01,1.524299999999999958e-07
2.002901887893676758e+01,-1.800110000000000099e+00,-7.124250000000000103e-05,2.019834971427917480e+01,4.000330000000000275e-01,1.333759999999999894e-07
2.035424208641052246e+01,-2.000100000000000211e+00,-1.057209999999999997e-04,2.052963972091674805e+01,4.000389999999999779e-01,1.323200000000000096e-07
2.068365025520324707e+01,-2.200400000000000134e+00,-1.444960000000000070e-04,2.085754036903381348e+01,4.000440000000000107e-01,1.286369999999999891e-07
2.101353168487548828e+01,-2.400479999999999947e+00,-1.860189999999999956e-04,2.118571281433105469e+01,4.000409999999999799e-01,1.580700000000000119e-07
2.134112048149108887e+01,-2.600560000000000205e+00,-2.300570000000000100e-04,2.151359415054321289e+01,4.000449999999999839e-01,1.287829999999999959e-07
2.167049193382263184e+01,-2.800330000000000208e+00,-2.760859999999999855e-04,2.184196043014526367e+01,4.000440000000000107e-01,1.302319999999999978e-07
2.199870395660400391e+01,-3.000410000000000021e+00,-3.241890000000000093e-04,2.217005324363708496e+01,4.000400000000000067e-01,1.355350000000000023e-07
2.232553935050964355e+01,-3.200569999999999915e+00,-3.743679999999999773e-04,2.249777317047119141e+01,4.000429999999999819e-01,1.443459999999999877e-07
2.265484404563903809e+01,-3.400710000000000122e+00,-4.227519999999999802e-04,2.282945895195007324e+01,4.000480000000000147e-01,1.357740000000000086e-07
2.298321986198425293e+01,-3.600750000000000117e+00,-4.733429999999999842e-04,2.315293145179748535e+01,4.000500000000000167e-01,1.054950000000000060e-07
2.330993771553039551e+01,-3.800819999999999865e+00,-5.216599999999999623e-04,2.348402190208435059e+01,4.000389999999999779e-01,8.674120000000000648e-08
2.370192718505859375e+01,-4.000569999999999737e+00,-5.710749999999999897e-04,2.389274239540100098e+01,4.000409999999999799e-01,5.568669999999999796e-08
2.409715509414672852e+01,-4.200660000000000061e+00,-6.189509999999999630e-04,2.428358769416809082e+01,4.000429999999999819e-01,3.561669999999999758e-08
2.448966312408447266e+01,-4.400699999999999612e+00,-6.718079999999999755e-04,2.467576003074645996e+01,4.000480000000000147e-01,3.144589999999999705e-08
2.487751483917236328e+01,-4.600780000000000314e+00,-7.281549999999999698e-04,2.506584739685058594e+01,4.000520000000000187e-01,4.478550000000000091e-08
2.526688718795776367e+01,-4.800810000000000244e+00,-7.730050000000000029e-04,2.545585584640502930e+01,4.000520000000000187e-01,2.308010000000000098e-08
2.565610766410827637e+01,-5.000919999999999810e+00,-8.219479999999999712e-04,2.584442639350891113e+01,4.000480000000000147e-01,3.695330000000000308e-08
2.604947113990783691e+01,-4.800860000000000127e+00,-7.756700000000000053e-04,2.623698568344116211e+01,4.000500000000000167e-01,3.023459999999999732e-08
2.643928241729736328e+01,-4.600760000000000183e+00,-7.272090000000000368e-04,2.663070917129516602e+01,4.000549999999999939e-01,2.408010000000000001e-08
2.683482360839843750e+01,-4.400699999999999612e+00,-6.729070000000000407e-04,2.702226471900939941e+01,4.000469999999999859e-01,2.561569999999999954e-08
2.722994780540466309e+01,-4.200689999999999813e+00,-6.226860000000000077e-04,2.741742134094238281e+01,4.000469999999999859e-01,2.117100000000000144e-08
2.761940765380859375e+01,-4.000609999999999999e+00,-5.716850000000000534e-04,2.780395674705505371e+01,4.000429999999999819e-01,2.199689999999999959e-08
2.800593996047973633e+01,-3.800879999999999814e+00,-5.244310000000000074e-04,2.819294452667236328e+01,4.000489999999999879e-01,1.952299999999999886e-08
2.839643883705139160e+01,-3.600750000000000117e+00,-4.734599999999999833e-04,2.858498954772949219e+01,4.000380000000000047e-01,2.430130000000000003e-08
2.879008626937866211e+01,-3.400650000000000173e+00,-4.240970000000000156e-04,2.897876214981079102e+01,4.000360000000000027e-01,2.306530000000000140e-08
