# Tue Aug 29 16:11:06 2023
#  Tiempo dinamica [s], Voltaje dinamica [V], Corriente dinamica [A], Tiempo remanente [s], Voltaje remanente [V], Corriente remanente [A]
#  Vmax=3, Vmin=-3, Npos=50, Nneg=50, pw=0.1, cycles=2, hslV=0.4, T1 = 0.01, T2 = 0.01, nplc=0.5
6.097435951232910156e-02,-3.736020000000000188e-05,7.587190000000000349e-10,2.335178852081298828e-01,4.000139999999999807e-01,2.886409999999999838e-08
3.762946128845214844e-01,1.199640000000000012e-01,2.670300000000000178e-09,5.201163291931152344e-01,4.000179999999999847e-01,3.020549999999999873e-08
6.613698005676269531e-01,2.399679999999999869e-01,1.029139999999999943e-08,8.028838634490966797e-01,4.000259999999999927e-01,3.009999999999999821e-08
9.467732906341552734e-01,3.599990000000000134e-01,2.134069999999999931e-08,1.087078094482421875e+00,4.000190000000000135e-01,2.802919999999999995e-08
1.228951215744018555e+00,4.800150000000000250e-01,4.686209999999999847e-08,1.370945692062377930e+00,4.000130000000000075e-01,2.675820000000000134e-08
1.513661861419677734e+00,6.000349999999999850e-01,9.900550000000000599e-08,1.656544208526611328e+00,4.000130000000000075e-01,2.912090000000000105e-08
1.799376964569091797e+00,7.200250000000000261e-01,1.747409999999999896e-07,1.958530187606811523e+00,4.000099999999999767e-01,2.591869999999999902e-08
2.163949012756347656e+00,8.400229999999999642e-01,2.936130000000000233e-07,2.317632198333740234e+00,4.000110000000000054e-01,2.459870000000000109e-08
2.520139694213867188e+00,9.600340000000000540e-01,4.264359999999999944e-07,2.674758195877075195e+00,4.000179999999999847e-01,2.054540000000000145e-08
2.878244400024414062e+00,1.080039999999999889e+00,5.581569999999999865e-07,3.034643411636352539e+00,4.000159999999999827e-01,1.863340000000000061e-08
3.237549304962158203e+00,1.200050000000000061e+00,6.528960000000000251e-07,3.393013954162597656e+00,4.000199999999999867e-01,1.840439999999999902e-08
3.595304965972900391e+00,1.320049999999999946e+00,7.337499999999999628e-07,3.752371788024902344e+00,4.000279999999999947e-01,1.569490000000000047e-08
3.955003023147583008e+00,1.440010000000000012e+00,8.222100000000000019e-07,4.112686634063720703e+00,4.000230000000000175e-01,1.392680000000000034e-08
4.316973447799682617e+00,1.560000000000000053e+00,9.368830000000000388e-07,4.472575426101684570e+00,4.000159999999999827e-01,1.384469999999999956e-08
4.674664735794067383e+00,1.679999999999999938e+00,9.504889999999999556e-07,4.831174135208129883e+00,4.000139999999999807e-01,1.207999999999999964e-08
5.033821344375610352e+00,1.799989999999999979e+00,1.013069999999999899e-06,5.205586433410644531e+00,4.000130000000000075e-01,1.104270000000000034e-08
5.409545660018920898e+00,1.919980000000000020e+00,1.023700000000000041e-06,5.581376552581787109e+00,4.000059999999999727e-01,7.011569999999999601e-09
5.785854101181030273e+00,2.040020000000000167e+00,1.014150000000000065e-06,5.959306716918945312e+00,4.000139999999999807e-01,6.508550000000000236e-09
6.164262771606445312e+00,2.160070000000000157e+00,1.152599999999999984e-06,6.337333202362060547e+00,4.000239999999999907e-01,6.402579999999999618e-09
6.540223360061645508e+00,2.280019999999999936e+00,1.279710000000000069e-06,6.711150646209716797e+00,4.000210000000000155e-01,9.469469999999999561e-09
6.916519880294799805e+00,2.399979999999999780e+00,1.445959999999999959e-06,7.091154813766479492e+00,4.000250000000000195e-01,9.159860000000000668e-09
7.329560518264770508e+00,2.520010000000000083e+00,1.606129999999999943e-06,7.502672433853149414e+00,4.000139999999999807e-01,5.551480000000000355e-09
7.706011772155761719e+00,2.640000000000000124e+00,1.760839999999999983e-06,7.877654075622558594e+00,4.000159999999999827e-01,5.591610000000000298e-09
8.078698396682739258e+00,2.760299999999999976e+00,2.085160000000000124e-06,8.251423835754394531e+00,4.000219999999999887e-01,1.234760000000000066e-08
8.453756093978881836e+00,2.880160000000000053e+00,3.443130000000000101e-06,8.625951528549194336e+00,4.000110000000000054e-01,1.108269999999999938e-08
8.830391883850097656e+00,3.000290000000000123e+00,2.996760000000000002e-06,9.000747203826904297e+00,4.000159999999999827e-01,9.682889999999999430e-09
9.204617738723754883e+00,2.880269999999999886e+00,3.069230000000000174e-06,9.378117561340332031e+00,4.000210000000000155e-01,6.957320000000000124e-09
9.581314802169799805e+00,2.760320000000000107e+00,2.249289999999999940e-06,9.751479387283325195e+00,4.000150000000000095e-01,1.098549999999999934e-08
9.955204725265502930e+00,2.639940000000000175e+00,1.792689999999999941e-06,1.012428188323974609e+01,4.000130000000000075e-01,7.315900000000000348e-09
1.032873344421386719e+01,2.520000000000000018e+00,1.487290000000000078e-06,1.050025844573974609e+01,4.000230000000000175e-01,6.703700000000000332e-09
1.070185756683349609e+01,2.399970000000000159e+00,9.855409999999999971e-07,1.085871911048889160e+01,4.000279999999999947e-01,6.429400000000000152e-09
1.106133174896240234e+01,2.280009999999999870e+00,7.515209999999999702e-07,1.121764373779296875e+01,4.000239999999999907e-01,6.850140000000000087e-09
1.142213487625122070e+01,2.159940000000000193e+00,6.035089999999999548e-07,1.157608413696289062e+01,4.000190000000000135e-01,8.082470000000000111e-09
1.178062367439270020e+01,2.039909999999999890e+00,4.911669999999999935e-07,1.193768835067749023e+01,4.000199999999999867e-01,7.163940000000000389e-09
1.214078807830810547e+01,1.919980000000000020e+00,4.023450000000000204e-07,1.229517984390258789e+01,4.000230000000000175e-01,8.475029999999999426e-09
1.249717283248901367e+01,1.800000000000000044e+00,3.168979999999999833e-07,1.265393114089965820e+01,4.000159999999999827e-01,8.963349999999999658e-09
1.285693097114562988e+01,1.679999999999999938e+00,2.500539999999999970e-07,1.301294827461242676e+01,4.000170000000000115e-01,9.086490000000000124e-09
1.321765160560607910e+01,1.559989999999999988e+00,1.953049999999999876e-07,1.337428045272827148e+01,4.000179999999999847e-01,8.899399999999999274e-09
1.357724189758300781e+01,1.440020000000000078e+00,1.600589999999999908e-07,1.373320150375366211e+01,4.000110000000000054e-01,8.818260000000000111e-09
1.393667244911193848e+01,1.320049999999999946e+00,1.232320000000000013e-07,1.409253931045532227e+01,4.000159999999999827e-01,8.891110000000000330e-09
1.429504203796386719e+01,1.200050000000000061e+00,8.790030000000000261e-08,1.444954228401184082e+01,4.000150000000000095e-01,9.029330000000000293e-09
1.460540628433227539e+01,1.080049999999999955e+00,6.906380000000000464e-08,1.474542164802551270e+01,4.000139999999999807e-01,8.324290000000000420e-09
1.488620591163635254e+01,9.600459999999999550e-01,5.135719999999999880e-08,1.502523398399353027e+01,4.000150000000000095e-01,7.960179999999999285e-09
1.516442155838012695e+01,8.400300000000000544e-01,3.593630000000000131e-08,1.533869147300720215e+01,4.000170000000000115e-01,5.771349999999999928e-09
1.547981500625610352e+01,7.200320000000000054e-01,2.358900000000000033e-08,1.561999368667602539e+01,4.000110000000000054e-01,5.697109999999999986e-09
1.576087689399719238e+01,6.000370000000000426e-01,1.510070000000000101e-08,1.589956021308898926e+01,4.000139999999999807e-01,5.898709999999999786e-09
1.604151248931884766e+01,4.800070000000000170e-01,9.401600000000000290e-09,1.618304562568664551e+01,4.000090000000000034e-01,6.496120000000000104e-09
1.632404899597167969e+01,3.599870000000000014e-01,5.792059999999999952e-09,1.646486830711364746e+01,4.000090000000000034e-01,7.900050000000000652e-09
1.660607004165649414e+01,2.399570000000000036e-01,3.648150000000000063e-09,1.674616503715515137e+01,4.000110000000000054e-01,8.323539999999999569e-09
1.688722085952758789e+01,1.199630000000000002e-01,1.783730000000000002e-09,1.702689647674560547e+01,4.000110000000000054e-01,8.644249999999999799e-09
1.716817927360534668e+01,-3.874299999999999820e-05,5.759840000000000450e-10,1.730776405334472656e+01,4.000150000000000095e-01,8.924509999999999821e-09
1.744804906845092773e+01,-1.200579999999999981e-01,-8.454079999999999617e-10,1.758890223503112793e+01,4.000190000000000135e-01,9.295930000000000179e-09
1.773111176490783691e+01,-2.400680000000000036e-01,-2.521309999999999847e-09,1.787226223945617676e+01,4.000219999999999887e-01,9.341180000000000203e-09
1.801367235183715820e+01,-3.600740000000000052e-01,-6.623779999999999640e-09,1.815283560752868652e+01,4.000270000000000215e-01,9.672179999999999991e-09
1.829429316520690918e+01,-4.801030000000000020e-01,-1.298979999999999996e-08,1.843445277214050293e+01,4.000299999999999967e-01,8.895920000000000027e-09
1.857298064231872559e+01,-6.001440000000000108e-01,-1.883570000000000104e-08,1.871389412879943848e+01,4.000290000000000235e-01,9.226060000000000295e-09
1.885424876213073730e+01,-7.201440000000000063e-01,-3.206170000000000313e-08,1.899566864967346191e+01,4.000279999999999947e-01,8.637080000000000536e-09
1.913814711570739746e+01,-8.401530000000000387e-01,-4.975819999999999884e-08,1.929341578483581543e+01,4.000310000000000255e-01,1.111739999999999968e-08
1.943386197090148926e+01,-9.601690000000000502e-01,-6.945179999999999461e-08,1.957535648345947266e+01,4.000290000000000235e-01,9.737979999999999495e-09
1.971736121177673340e+01,-1.080149999999999944e+00,-9.778859999999999461e-08,1.987689542770385742e+01,4.000279999999999947e-01,1.158589999999999987e-08
2.007864356040954590e+01,-1.200159999999999894e+00,-1.418680000000000101e-07,2.023349809646606445e+01,4.000150000000000095e-01,1.220380000000000040e-08
2.043738603591918945e+01,-1.320170000000000066e+00,-2.273700000000000038e-07,2.059221363067626953e+01,4.000179999999999847e-01,1.234310000000000052e-08
2.079632377624511719e+01,-1.440139999999999976e+00,-3.782220000000000102e-07,2.095320606231689453e+01,4.000190000000000135e-01,1.501169999999999935e-08
2.115509104728698730e+01,-1.560140000000000082e+00,-6.188899999999999521e-07,2.131056642532348633e+01,4.000170000000000115e-01,1.344879999999999930e-08
2.151318502426147461e+01,-1.680160000000000098e+00,-1.057879999999999941e-06,2.168555831909179688e+01,4.000210000000000155e-01,1.453879999999999947e-08
2.188714694976806641e+01,-1.800130000000000008e+00,-1.970060000000000159e-06,2.205767512321472168e+01,4.000279999999999947e-01,2.318080000000000002e-08
2.226237440109252930e+01,-1.920120000000000049e+00,-3.920830000000000203e-06,2.243255829811096191e+01,4.000179999999999847e-01,2.352220000000000135e-08
2.263341355323791504e+01,-2.040280000000000094e+00,-8.030699999999999192e-06,2.280710101127624512e+01,4.000159999999999827e-01,2.736589999999999956e-08
