# Tue Aug 29 19:20:48 2023
#  Tiempo dinamica [s], Voltaje dinamica [V], Corriente dinamica [A], Tiempo remanente [s], Voltaje remanente [V], Corriente remanente [A]
#  Vmax=3, Vmin=-3, Npos=50, Nneg=50, pw=0.1, cycles=1, hslV=0.4, T1 = 0.01, T2 = 0.01, nplc=0.5
5.996465682983398438e-02,-2.336499999999999873e-04,3.427509999999999882e-10,2.328631877899169922e-01,3.994750000000000245e-01,1.435889999999999929e-08
3.757834434509277344e-01,1.197079999999999950e-01,2.294499999999999883e-09,5.186996459960937500e-01,3.995799999999999907e-01,1.203529999999999958e-08
6.616399288177490234e-01,2.397870000000000001e-01,3.669820000000000051e-09,8.048791885375976562e-01,3.995159999999999823e-01,9.581650000000000305e-09
9.454562664031982422e-01,3.596329999999999805e-01,6.984749999999999894e-09,1.086405754089355469e+00,3.995230000000000170e-01,9.486269999999999751e-09
1.229316711425781250e+00,4.796290000000000275e-01,1.523839999999999899e-08,1.369234561920166016e+00,3.995589999999999975e-01,8.623680000000000561e-09
1.511153221130371094e+00,5.995989999999999931e-01,3.038049999999999864e-08,1.654052972793579102e+00,3.995079999999999742e-01,1.141259999999999924e-08
1.795534133911132812e+00,7.196019999999999639e-01,5.362530000000000175e-08,1.938888549804687500e+00,3.995850000000000235e-01,1.216969999999999945e-08
2.080807924270629883e+00,8.397029999999999772e-01,7.842060000000000276e-08,2.221726417541503906e+00,3.995940000000000047e-01,1.156560000000000068e-08
2.364643096923828125e+00,9.599280000000000035e-01,1.231959999999999869e-07,2.521140813827514648e+00,3.995630000000000015e-01,1.375839999999999997e-08
2.722077131271362305e+00,1.079749999999999988e+00,1.736469999999999931e-07,2.879425764083862305e+00,3.995040000000000258e-01,1.352889999999999947e-08
3.084024906158447266e+00,1.199729999999999963e+00,2.267180000000000056e-07,3.239427328109741211e+00,3.995440000000000103e-01,1.457740000000000055e-08
3.439646959304809570e+00,1.319690000000000030e+00,2.966390000000000134e-07,3.596600294113159180e+00,3.994869999999999810e-01,1.101150000000000070e-08
3.798815727233886719e+00,1.439740000000000020e+00,3.984270000000000247e-07,3.953588724136352539e+00,3.995130000000000070e-01,1.016360000000000076e-08
4.157117128372192383e+00,1.559749999999999970e+00,5.401850000000000424e-07,4.312016010284423828e+00,3.995130000000000070e-01,1.040220000000000033e-08
4.515828132629394531e+00,1.679750000000000076e+00,7.338839999999999560e-07,4.671138763427734375e+00,3.995730000000000115e-01,1.171940000000000070e-08
4.876759767532348633e+00,1.800059999999999993e+00,9.022589999999999532e-07,5.034661293029785156e+00,3.995509999999999895e-01,1.111299999999999998e-08
5.241541624069213867e+00,1.920069999999999943e+00,1.172910000000000092e-06,5.418608665466308594e+00,3.995319999999999983e-01,2.054529999999999935e-08
5.624342679977416992e+00,2.040070000000000050e+00,1.691440000000000063e-06,5.797221183776855469e+00,3.995179999999999843e-01,2.464440000000000063e-08
6.002105474472045898e+00,2.160140000000000171e+00,2.227329999999999815e-06,6.177003860473632812e+00,3.995159999999999823e-01,2.509930000000000162e-08
