# Tue Aug 29 19:10:14 2023
#  Tiempo dinamica [s], Voltaje dinamica [V], Corriente dinamica [A], Tiempo remanente [s], Voltaje remanente [V], Corriente remanente [A]
#  Vmax=4, Vmin=0, Npos=50, Nneg=1, pw=0.1, cycles=1, hslV=0.4, T1 = 0.01, T2 = 0.01, nplc=0.5
6.096529960632324219e-02,-3.623959999999999774e-05,6.611590000000000120e-10,2.048850059509277344e-01,4.000250000000000195e-01,8.296730000000000155e-10
3.597965240478515625e-01,1.599669999999999981e-01,4.649879999999999974e-10,5.037121772766113281e-01,4.000199999999999867e-01,9.397030000000000998e-10
6.466298103332519531e-01,3.199810000000000154e-01,5.463719999999999616e-10,7.895491123199462891e-01,4.000299999999999967e-01,-9.065869999999999941e-11
9.324865341186523438e-01,4.800280000000000102e-01,-5.635739999999999814e-10,1.075408220291137695e+00,4.000290000000000235e-01,-4.816530000000000117e-10
1.216074466705322266e+00,6.400350000000000206e-01,-3.066780000000000033e-10,1.356792926788330078e+00,4.000270000000000215e-01,-2.020239999999999995e-10
1.499708890914916992e+00,8.000680000000000014e-01,5.259040000000000484e-10,1.655705690383911133e+00,4.000239999999999907e-01,-2.906800000000000240e-10
1.797314882278442383e+00,9.600539999999999630e-01,-1.224280000000000030e-11,1.938763380050659180e+00,4.000290000000000235e-01,3.222700000000000152e-10
2.079543113708496094e+00,1.120039999999999925e+00,6.715539999999999539e-10,2.234025239944458008e+00,4.000270000000000215e-01,-7.815960000000000377e-10
2.374751806259155273e+00,1.280070000000000041e+00,-5.234239999999999701e-10,2.520117998123168945e+00,4.000210000000000155e-01,7.659319999999999768e-10
2.676075220108032227e+00,1.440029999999999921e+00,-2.263069999999999920e-10,2.816524267196655273e+00,4.000270000000000215e-01,-3.186819999999999962e-10
2.956516981124877930e+00,1.600019999999999998e+00,3.027919999999999885e-12,3.100299358367919922e+00,4.000230000000000175e-01,7.900479999999999585e-10
3.240772724151611328e+00,1.760010000000000074e+00,1.148549999999999927e-09,3.383120775222778320e+00,4.000290000000000235e-01,9.163260000000000470e-10
3.523418426513671875e+00,1.919999999999999929e+00,1.307319999999999990e-09,3.696130990982055664e+00,4.000250000000000195e-01,-2.960799999999999743e-10
3.836296558380126953e+00,2.080070000000000086e+00,1.264209999999999970e-10,3.978060722351074219e+00,4.000190000000000135e-01,3.509999999999999770e-10
4.133382320404052734e+00,2.240260000000000140e+00,-3.993989999999999770e-10,4.275086164474487305e+00,4.000179999999999847e-01,-4.781130000000000425e-10
4.414009094238281250e+00,2.400069999999999926e+00,-2.277370000000000067e-10,4.554638147354125977e+00,4.000159999999999827e-01,-4.526619999999999822e-10
4.695098161697387695e+00,2.560309999999999864e+00,3.668069999999999980e-11,4.835287809371948242e+00,4.000119999999999787e-01,-8.946660000000000412e-11
4.975074529647827148e+00,2.720190000000000108e+00,1.639490000000000043e-10,5.118850946426391602e+00,4.000110000000000054e-01,7.420299999999999698e-10
5.272396564483642578e+00,2.880419999999999980e+00,-2.909419999999999968e-10,5.412016153335571289e+00,4.000170000000000115e-01,-8.370040000000000391e-10
5.551829814910888672e+00,3.040309999999999846e+00,-2.696510000000000028e-10,5.694150924682617188e+00,4.000119999999999787e-01,-3.796579999999999932e-10
5.834323406219482422e+00,3.200600000000000112e+00,2.228860000000000097e-10,5.974209070205688477e+00,4.000090000000000034e-01,-2.882599999999999951e-10
6.115038394927978516e+00,3.360450000000000159e+00,5.177259999999999966e-10,6.255916833877563477e+00,4.000079999999999747e-01,3.735180000000000020e-10
6.395662069320678711e+00,3.520680000000000032e+00,9.740950000000000364e-10,6.536137342453002930e+00,4.000070000000000014e-01,4.100559999999999951e-10
6.677871465682983398e+00,3.680619999999999781e+00,1.542689999999999974e-09,6.819650650024414062e+00,4.000029999999999974e-01,7.974979999999999689e-10
6.972980499267578125e+00,3.840829999999999966e+00,3.356809999999999806e-10,7.114818334579467773e+00,4.000000000000000222e-01,3.828410000000000018e-10
7.256051778793334961e+00,4.000659999999999883e+00,1.388690000000000092e-09,7.397144794464111328e+00,4.000020000000000242e-01,7.702469999999999769e-10
7.539332151412963867e+00,3.840809999999999835e+00,1.725980000000000072e-09,7.682236433029174805e+00,4.000099999999999767e-01,-1.116750000000000047e-10
7.821917772293090820e+00,3.680680000000000174e+00,1.119959999999999925e-09,7.960097074508666992e+00,4.000099999999999767e-01,4.973169999999999692e-10
8.101473569869995117e+00,3.520770000000000177e+00,6.522180000000000322e-10,8.241919994354248047e+00,4.000119999999999787e-01,-5.259509999999999992e-11
8.383398294448852539e+00,3.360539999999999861e+00,1.466870000000000126e-10,8.522212982177734375e+00,4.000159999999999827e-01,-3.154989999999999876e-10
8.663941383361816406e+00,3.200629999999999864e+00,-6.469489999999999649e-11,8.819205284118652344e+00,4.000170000000000115e-01,4.354480000000000146e-10
8.960888624191284180e+00,3.040389999999999926e+00,8.621930000000000231e-10,9.115847826004028320e+00,4.000119999999999787e-01,8.443709999999999579e-10
9.256307601928710938e+00,2.880469999999999864e+00,1.515870000000000060e-09,9.397636413574218750e+00,4.000230000000000175e-01,5.318639999999999947e-10
9.537185192108154297e+00,2.720310000000000006e+00,1.357660000000000045e-09,9.695214509963989258e+00,4.000190000000000135e-01,8.736609999999999674e-10
9.836172342300415039e+00,2.560410000000000075e+00,1.420070000000000040e-09,9.976261377334594727e+00,4.000250000000000195e-01,7.158279999999999811e-10
1.011692261695861816e+01,2.400189999999999824e+00,1.080950000000000077e-09,1.025820803642272949e+01,4.000279999999999947e-01,2.515199999999999752e-10
1.041270780563354492e+01,2.240270000000000206e+00,1.358249999999999937e-09,1.056791257858276367e+01,4.000219999999999887e-01,5.583760000000000191e-11
1.071060633659362793e+01,2.080080000000000151e+00,9.877089999999999855e-10,1.085091209411621094e+01,4.000219999999999887e-01,7.607459999999999494e-10
1.099310755729675293e+01,1.919999999999999929e+00,1.366079999999999898e-09,1.113464832305908203e+01,4.000219999999999887e-01,7.375599999999999842e-10
1.127422118186950684e+01,1.760019999999999918e+00,1.201899999999999954e-09,1.141461420059204102e+01,4.000380000000000047e-01,5.215650000000000492e-10
